Subject_or_Unit,Subject_Objective,Subject_Description,Subject_Link,Non-member_price,Member_price
Assessing and Managing Adult Pain,"Pain management is complex and nurses need to consider management in the light of current best practice, cultural diversity and patient’s belief systems. Nurses are encouraged to investigate their patient’s experience of pain and collaborate with their patients and other health professionals in the management of pain.","
Graduate Certificate in Acute Care Nursing
Graduate Certificate in Aged Care Nursing
Graduate Certificate in Breast Cancer Nursing
Graduate Certificate in Cancer Nursing
Graduate Certificate in Community and Primary Health Care Nursing
Graduate Certificate in Orthopaedic Nursing
Graduate Certificate in Perioperative Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/assessing-and-managing-adult-pain,"2,300.00","2,070.00"
Cardiac Nursing,"This unit of study is designed to explore issues specific to nursing practice in the cardiac critical care setting. Topics explored in this unit of study include: advanced cardiopulmonary support, heart failure, hypertension, diabetes and heart disease, advanced cardiac pharmacology, valvular heart disease, diagnostic and interventional cardiology, surgical management of heart disease and secondary prevention strategies.","Graduate Certificate in Critical Care Nursing
GC single unit of study (single unit only available for graduates of Graduate Certificate in Critical Care Nursing or equivalent)",https://www.acn.edu.au/education/single-unit-of-study/cardiac-nursing,"2,300.00","2,070.00"
Endometriosis and Pelvic Pain,"The purpose of this unit of study is to provide the student with the necessary theoretical knowledge to improve how they assess and manage endometriosis and pelvic pain in the clinical setting. This is achieved by exploring endometriosis pathophysiology, pain physiology, and contemporary, evidence-based treatment and management within various clinical settings. A holistic, individual, person centred approach is core to this subject.","
Graduate Certificate in Acute Care Nursing
Graduate Certificate in Community and Primary Health Care Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/endometriosis-pelvic-pain,"2,625.00","2,362.50"
Paediatric Pain – Assessment and Management,"Pain management in the paediatric setting is complex and nurses are challenged to consider management in light of current best practice, cultural diversity and belief systems.","Graduate Certificate in Orthopaedic Nursing
Graduate Certificate in Paediatric Nursing Studies
Graduate Certificate in Perioperative Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/paediatric-pain-assessment-and-management,"2,300.00","2,070.00"
Principles of Acute Care Nursing,"The purpose of this unit of study is to enable you to advance your knowledge, specialist skills and core competencies required to care for patients in acute care setting. You will have the opportunity to build on your existing knowledge and experience and this subject will also encourage you to critically evaluate your own practice. Concepts explored in this unit of study will focus on factors used for the assessment and management of the deteriorating patient.","Graduate Certificate in Acute Care Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/principles-of-acute-care-nursing,"2,300.00","2,070.00"
Principles of Acute Paediatric Nursing,"This unit of study focuses on the assessment and management of infants, children and young people with acute illness/injury in the hospital setting. Building on the students’ foundational knowledge of normal anatomy and physiology, and childhood development, the content is presented using a body systems approach, with case vignettes used to link theory to practice. A family centred and interdisciplinary approach feature in holistic management strategies, and students are challenged to critique their nursing practice against contemporary research and industry endorsed clinical practice guidelines. This unit of study helps prepare paediatric nurses for leadership by encouraging critical thinking, reflection, and a strong evidence based practice philosophy.","Graduate Certificate in Paediatric Nursing Studies
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/principles-of-acute-paediatric-nursing,"2,300.00","2,070.00"
Principles of Orthopaedic Nursing,An understanding will promote reflective practice to build nursing expertise leading to:,"
Graduate Certificate in Orthopaedic Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/principles-of-orthopaedic-nursing,"2,300.00","2,070.00"
Principles of Stoma Care,Clinical placement should occur between weeks 5 and 9 of each term.,"
Graduate Certificate in Stomal Therapy Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/principles-of-stoma-care,"3,690.00","3,321.00"
Stress Response and Health Breakdown,"This unit of study aims to expand the student’s undergraduate understanding of applied clinical physiology to that of an advanced level. This is achieved through the linking of complex theoretical concepts to clinical practice by utilisation of diverse clinical case scenarios. The students are required to analyse, rationalise and evaluate normal versus abnormal physiology and validate patient management in light of findings. This unit of study provides a strong foundational platform for students wishing to explore specialist areas of nursing.","Graduate Certificate in Acute Care Nursing
Graduate Certificate in Cancer Nursing
Graduate Certificate in Community and Primary Health Care Nursing
Graduate Certificate in Critical Care Nursing
Graduate Certificate in Orthopaedic Nursing
Graduate Certificate in Perioperative Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/stress-response-and-health-breakdown,"2,300.00","2,070.00"
Wound Management,"This unit of study is designed to promote the development of advanced knowledge and skills in wound management. It revises the anatomy and physiology of the skin, examines the physiology of wound healing, wound assessment, principles of wound management and explores specific types of wounds and their management. Professional issues related to wound management practice are also explored. It encourages the use of current literature and best practice models to critically evaluate current clinical practice.","
Graduate Certificate in Acute Care Nursing
Graduate Certificate in Aged Care Nursing
Graduate Certificate in Community and Primary Health Care Nursing
Graduate Certificate in Orthopaedic Nursing
Graduate Certificate in Stomal Therapy Nursing
GC single unit of study",https://www.acn.edu.au/education/single-unit-of-study/wound-management,"2,625.00","2,362.50"
