Level_Code,University,City,Course,Faculty,Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
ADEG,Avondale College,Lake Macquarie,Associate Degree in Theological Studies,MINISTRY & THEOLOGY,,AUD,Years,2,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,63,,,http://www.avondale.edu.au/courses/ministry/undergraduate/associate-degree-in-theological-studies/,English,A,"For those interested in studying theology, the Bible and improving practical ministry skills, Avondale's Associate Degree in Theological Studies (AssocDegTheolStud) is a two year course covering topics on basic theology, the Bible, and church ministry. The degree will provide you with a flexible program, which includes a range of units, and practical field work where you are mentored in a local church. The units undertaken in this degree may be credited towards a Bachelor of Theology or a Bachelor of Ministry and Theology if further study is desired.","A lay ministry supporter, A church pastor (with further study)",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Avondale College,Lake Macquarie,Bachelor of Arts,HUMANITIES & CREATIVE ARTS,,AUD,Years,3,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,60,,,http://www.avondale.edu.au/courses/arts/undergraduate/bachelor-of-arts/,English,A,"Avondale's Bachelor of Arts (BA) is a three-year degree designed to present arts within a Christian world view and to help you understand society and your role in it. The course gives you opportunities to develop your abilities in problem-recognition and solving, research skills, analysis, synthesis and creativity, critical and reflective thinking, and written and non-verbal communication.  The degree provides broad preparation for future employment, as well as a sound basis for those wishing to pursue graduate diplomas and other postgraduate qualifications.  Studying Arts will develop your higher critical thinking skills and encourage exploration of how you view the world and yourself.   You will have the opportunity to progress in a variety of creative and humanitarian interest areas.","Chaplain, Aged Care Chaplain, Hospital Chaplain, School Chaplain, Youth Worker, Journalist, Public Relations Officer, Media Officer, Radio Producer, Blogger, Freelance Writer, Counsellor, Marriage Counsellor, Family Therapist, School Counsellor, Welfare and Youth Counsellor, Town Planner, Political Advisor, Politician, Publisher, Museum Curator, Development Field Worker, International Projects Manager, Refugee Worker, Monitoring and Evaluation Consultant, Community Development and Project Management Specialist, Musical Director, Conductor, Music Studio Teacher, Freelance Musician, Arts Administration: Concert Agent, Manager, Critic and Reviewer, School Psychologist, Clinical Psychologist, Research Psychologist , Forensic Psychologist, Neuropsychologist, Sports Psychologist, Social Welfare Officer, Family Service Officer, Commercial Fine Art Ceramicist, Designer, Gallery Curator, Fine Artist, Commercial Artist, Graphic Artist",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Avondale College,Lake Macquarie,Bachelor of Arts/Bachelor of Teaching (Birth-12 years),Double Degree,,AUD,Years,4,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,63,,,http://www.avondale.edu.au/courses/education/undergraduate/bachelor-of-arts-bachelor-of-teaching-birth-12/,English,A,"Avondale’s Bachelor of Arts/Bachelor of Teaching (Birth – 12 years) (BA/BTch (Birth - 12 years)) is available on campus, or by distance education. This course is offered by distance for those currently working in childcare (only), making it even easier for students to fit study around your work and personal life.","Early Childhood teacher, Primary school teacher (Prep or Kindergarten to Year 6), Preschool teacher, Day care centre educational leader or nominated supervisor (after one year of teaching), Family day care coordinator",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Avondale College,Lake Macquarie,Bachelor of Arts/Bachelor of Teaching (Primary),Double Degree,,AUD,Years,4,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,63,,,http://www.avondale.edu.au/courses/education/undergraduate/bachelor-of-arts-bachelor-of-teaching-primary/,English,A,"The Bachelor of Arts/Bachelor of Teaching (Primary) (BA/BTch (Primary)) is a highly practical course with hands-on classroom experience from the second year of full-time study. The degree not only qualifies and prepares graduates to competently teach from Foundation to Year 6, but also to be responsible and ethical leaders to children who need positive role models. During the course, students will engage in five professional experience opportunities. These are undertaken at various schools to enable the application of theory in a practical setting. Students may also be able to undertake an overseas professional experience.   There is an increasing demand for Christian teachers to be employed in all school sectors across Australia, including the rapidly expanding Christian school sector.  Primary KLA teaching areas include:  English, Mathematics, Humanities & Social Sciences, Creative Arts, Science, and Physical Education and Health.","Primary school teacher, Primary school administrator, Primary school specialist teacher (Creative Arts, PDHPE, Science, Humanities & Social Sciences, English and Mathematics), Tutor",Australia,Yes,Yes,Yes,Yes,Yes,
BAH,Avondale College,Lake Macquarie,Bachelor of Arts/Bachelor of Teaching (Primary)(Honours),Double Degree,,AUD,Years,4,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,,,,http://www.avondale.edu.au/courses/education/undergraduate/bachelor-of-arts-bachelor-of-teaching-primary-honours/,English,A,"The Bachelor of Arts/Bachelor of Teaching (Primary) (Honours) (BA/BTch (Primary) (Honours)) program enhances the efforts of high potential students to influence professional practice through research, and facilitates access for students to proceed to research-based studies at masters or doctorate level. After completing the first two years of the Bachelor of Arts/Bachelor of Teaching (Primary) course, students may gain entry into the honours program based on academic performance.   Primary KLA teaching areas include:   English, Mathematics, Humanities & Social Sciences, Creative Arts, Science, and PDHPE.","Primary teacher, Primary school administrator, Primary school specialist teacher (Creative Arts, PDHPE, Science, Humanities & Social Sciences, English and Mathematics), Tutor, entry to masters degrees and, depending on the result obtained for the honours thesis, may be able to enrol in a higher degree research masters with expedited transfer to a PhD",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Avondale College,Lake Macquarie,Bachelor of Arts/Bachelor of Teaching (Secondary),Double Degree,,AUD,Years,4,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,63,,,http://www.avondale.edu.au/courses/education/undergraduate/bachelor-of-arts-bachelor-of-teaching-secondary/,English,A,"The Bachelor of Arts/Bachelor of Teaching (Secondary) (BA/BTch (Sec)) course is designed to equip you with the necessary skills needed to teach in Christian, independent and state high school systems in both Australia and overseas. Many Avondale graduates are highly valued in the Australian education sector. It is Avondale's aim to graduate teachers who are reflective, creative and confident in the classroom.  Double majors are offered at Avondale, allowing you to choose two teaching subject areas. This course successfully prepares you to teach through innovative learning, hands on practical placements and an intentional focus on health and wellbeing.   At Avondale you are given the opportunity to complete one of your professional teaching experiences in a developing country. In the past this has taken teams of Avondale students to Cambodia, India, Nepal and The Kingdom of Tonga.   Secondary Fields:   Biology Business Studies and Commerce Chemistry Computing Technology - Information Systems** Design and Technology  English Food Technology Geography Health and Physical Education History (Modern and Ancient**) Home Economics Industrial Technology Legal Studies** Mathematics Music Outdoor Education** Physics Religious Studies Science Technology and Applied Studies Textiles Technology** Visual Arts 	** Offered as a minor only","Secondary School Teacher, Secondary Mathematics Teacher, Secondary Science Teacher, School Chaplain, Tutor",Australia,Yes,Yes,Yes,Yes,Yes,
BAH,Avondale College,Lake Macquarie,Bachelor of Arts/Bachelor of Teaching (Secondary)(Honours),Double Degree,,AUD,Years,4,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,,,,http://www.avondale.edu.au/courses/education/undergraduate/bachelor-of-arts-bachelor-of-teaching-secondary-honours/,English,A,"The Bachelor of Arts/Bachelor of Teaching (Secondary) (Honours) is designed to equip you with the necessary skills needed to teach in Christian, independent and state high school systems in both Australia and overseas. Depending on your chosen field of study, you can graduate with the ability to teach in at least two different curriculum areas. Many Avondale graduates are highly valued in the Australian education sector. It is Avondale's aim to graduate teachers who are reflective, creative and confident in the classroom.  You will engage in practical classroom experience in your degree. This is undertaken in a variety of relevant learning environments to enable the application of theory in a practical setting. You may also have the opportunity to travel overseas and gain teaching experience in a developing country.","Special education teacher, Secondary school administrator, School chaplain",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Avondale College,Lake Macquarie,Bachelor of Business,BUSINESS,,AUD,Years,3,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,60,,,http://www.avondale.edu.au/courses/business/undergraduate/bachelor-of-business/,English,A,"Avondale's Bachelor of Business (BBus) is designed to prepare you for a life in the business world, whether it be in accounting, human resource management, marketing, international development and entrepreneurship, and business administration or a combination of these. In your degree, you will have the opportunity to learn the business essentials such as how to be an effective leader, market a product, budget and sell your ideas. You will also explore how the economy functions and what it entails to manage your own business.   In a learning environment with personalised attention, you will be taught the skills needed to be creative and innovative in problem solving, systems design and people management, giving you a competitive advantage in the workplace. You will also be given the opportunity to undertake paid and unpaid internships throughout your degree, helping you to secure employment upon graduation. Whichever area of business you see yourself in, Avondale has a course structure to best suit your needs.  Majors:  Accounting Business Administration Human Resource Management International Development and Entrepreneurship Marketing Practical Experience Students have the option to take on internship experiences as part of their Bachelor of Business program. An internship unit can be utilised in either a major or minor field of study. Semester Intake Semester One - Yes Semester Two - Yes","Chief financial officer, Financial controller, Accountant, Business manager, Financial analyst, Auditor, Actuary, Accounts payable officer, Accounts receivable officer, Head of people and culture, Human resources manager, People and culture manager, Head hunter, Training and development officer, Head of charity organisation, NGO project officer, Treasurer, Philanthropy manager, Consultant, Chief marketing officer, Marketing manager, Digital marketer, Market researcher, Social media producer, Content producer, Events manager, Advertising manager",Australia,No,Yes,No,Yes,No,
BA,Avondale College,Lake Macquarie,Bachelor of Ministry and Theology,MINISTRY & THEOLOGY,,AUD,Years,4,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,63,,,http://www.avondale.edu.au/courses/ministry/undergraduate/bachelor-of-ministry-and-theology/,English,A,"Avondale’s Bachelor of Ministry and Theology (BMinTh) is designed to prepare students for employment in ministry in Seventh-day Adventist churches and organisations, and other Christian denominational churches. The course provides a foundation in ministry and theology and the resources required to work as an employed minister. Within the bachelor degree, a variant and elective in chaplaincy is also available, providing greater career opportunities. An honours course is also available, providing students with advanced study and further pastoral and theological reflection. The ministry qualifications are designed to equip you with the knowledge and skills needed to build a strong church and community. The Bachelor of Ministry and Theology is offered either on campus or via distance education, allowing you to fit your study around work, social or family commitments. With practical experience opportunities, strong industry contacts and one-on-one support, you are provided the opportunity to be work-ready upon graduation.","Church pastor, Youth minister, Evangelist, Church administrator, School chaplain, Pastoral educator",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Avondale College,Lake Macquarie,Bachelor of Nursing,NURSING,,AUD,Years,3,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,63,,,http://www.avondale.edu.au/courses/nursing/undergraduate/bachelor-of-nursing/,English,A,"Avondale is renowned for its Bachelor of Nursing (BNurs), a highly practical degree that produces well informed and capable registered nurses. Avondale's main nursing campus, located on the grounds of the Sydney Adventist Hospital, offers state-of-the-art learning facilities, including a simulation centre, high-tech library, purpose-built furniture and affordable parking options. The first year of the degree is also available for study on Avondale's Lake Macquarie campus. Both campuses provide on-campus accommodation options for easy access and convenience.   The course aims to develop high ethical standards, critical thinking, problem-solving skills and sound knowledge in a supportive and caring environment, to enable the provision of safe and competent care to patients. The course also offers a variety of clinical practice components, allowing students to gain experience within a diverse range of health care organisations, including the Sydney Adventist Hospital. The practical experience provides exceptional preparation for a career in nursing.   There is high demand for registered nurses in the health care system in public, private and community settings. Opportunities for employment are diverse and span work in local, national and international environments.","Medical, surgical or critical care, Maternal or paediatric health, Mental health, Gynaecological/women's health, International hospitals and communities, Aged care and community health, Perioperative/operating theatre, Health related industries such as medical products and services, Education, administration and management.",Australia,No,Yes,No,Yes,No,
