Face_to_Face,Prerequisite_1,Course,Website,Prerequisite_3_grade_3,Course_Lang,Distance,Prerequisite_2,Blended,Prerequisite_1_grade_1,Career_Outcomes/path,Part_Time,Faculty,Local_Fees,Remarks,City,Availability,Full_Time,University,Online,Level_Code,Description,Int_Fees,Currency_Time,Country,Prerequisite_3,Prerequisite_2_grade_2,Currency,Offline,Duration_Time,Duration
Yes,ATAR,Diploma of Photography and Photo Imaging,https://www.billyblue.edu.au/courses/photography-courses/diploma-of-photo-imaging,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Fashion Photographer, Food Photographer, Commercial Photographer, Photo Technician, Re-toucher",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,DIP,"You might think that studying anything to do with photography is a thing of the past now that we all have millions of sweet filters on VSCO and our phones do all the heavy lifting. Well you’re wrong. The Diploma of Photography and Photo Imaging is about so much more than gathering likes. It’s a professional, comprehensive qualification that sees you learning the sturdy foundations for a photographic career that will outlast the casuals with their handheld megapixels. A broad base of generalist skills, experience and skills that combine theory, practice and putting your baseball cap on backwards to take sweet shots.",,Years,Australia,Equivalent AQF level,5.5,AUD,Yes,Year,1.0
Yes,ATAR,Diploma of Photography and Photo Imaging,https://www.billyblue.edu.au/courses/photography-courses/diploma-of-photo-imaging,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Fashion Photographer, Food Photographer, Commercial Photographer, Photo Technician, Re-toucher",Yes,College of Design,,,Brisbane,A,Yes,Billy Blue College,Yes,DIP,"You might think that studying anything to do with photography is a thing of the past now that we all have millions of sweet filters on VSCO and our phones do all the heavy lifting. Well you’re wrong. The Diploma of Photography and Photo Imaging is about so much more than gathering likes. It’s a professional, comprehensive qualification that sees you learning the sturdy foundations for a photographic career that will outlast the casuals with their handheld megapixels. A broad base of generalist skills, experience and skills that combine theory, practice and putting your baseball cap on backwards to take sweet shots.",,Years,Australia,Equivalent AQF level,5.5,AUD,Yes,Year,1.0
Yes,ATAR,Diploma of Photography and Photo Imaging,https://www.billyblue.edu.au/courses/photography-courses/diploma-of-photo-imaging,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Fashion Photographer, Food Photographer, Commercial Photographer, Photo Technician, Re-toucher",Yes,College of Design,,,Melbourne,A,Yes,Billy Blue College,Yes,DIP,"You might think that studying anything to do with photography is a thing of the past now that we all have millions of sweet filters on VSCO and our phones do all the heavy lifting. Well you’re wrong. The Diploma of Photography and Photo Imaging is about so much more than gathering likes. It’s a professional, comprehensive qualification that sees you learning the sturdy foundations for a photographic career that will outlast the casuals with their handheld megapixels. A broad base of generalist skills, experience and skills that combine theory, practice and putting your baseball cap on backwards to take sweet shots.",,Years,Australia,Equivalent AQF level,5.5,AUD,Yes,Year,1.0
Yes,ATAR,Diploma of Design,https://www.billyblue.edu.au/courses/general-design-courses/diploma-of-design,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Designer, Finished artist, Graphic designer, Interactive designer, Interior Designer",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,DIP,"When you’re not sure exactly what you want to  do with your 9–5s, or whether those numbers refer to AM or PM, the Diploma of Design is the ideal option. This higher-education diploma lets you mix’n’match from a few different specialist areas and see what works for you. Most importantly, the Diploma of Design provides full credit as a pathway to bachelor courses. This means you can take the time to figure out what you love and / or are great at doing, then pivot into a full degree. Upgrade and specialise… or continue being the kind of sampleplatter creative who can turn their hand to anything and make the rest of us fume with envy behind the smiles that never touch our eyes.",,Years,Australia,Equivalent AQF level,5.5,AUD,Yes,Year,1.0
Yes,ATAR,Diploma of Design,https://www.billyblue.edu.au/courses/general-design-courses/diploma-of-design,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Designer, Finished artist, Graphic designer, Interactive designer, Interior Designer",Yes,College of Design,,,Brisbane,A,Yes,Billy Blue College,Yes,DIP,"When you’re not sure exactly what you want to  do with your 9–5s, or whether those numbers refer to AM or PM, the Diploma of Design is the ideal option. This higher-education diploma lets you mix’n’match from a few different specialist areas and see what works for you. Most importantly, the Diploma of Design provides full credit as a pathway to bachelor courses. This means you can take the time to figure out what you love and / or are great at doing, then pivot into a full degree. Upgrade and specialise… or continue being the kind of sampleplatter creative who can turn their hand to anything and make the rest of us fume with envy behind the smiles that never touch our eyes.",,Years,Australia,Equivalent AQF level,5.5,AUD,Yes,Year,1.0
Yes,ATAR,Diploma of Design,https://www.billyblue.edu.au/courses/general-design-courses/diploma-of-design,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Designer, Finished artist, Graphic designer, Interactive designer, Interior Designer",Yes,College of Design,,,Melbourne,A,Yes,Billy Blue College,Yes,DIP,"When you’re not sure exactly what you want to  do with your 9–5s, or whether those numbers refer to AM or PM, the Diploma of Design is the ideal option. This higher-education diploma lets you mix’n’match from a few different specialist areas and see what works for you. Most importantly, the Diploma of Design provides full credit as a pathway to bachelor courses. This means you can take the time to figure out what you love and / or are great at doing, then pivot into a full degree. Upgrade and specialise… or continue being the kind of sampleplatter creative who can turn their hand to anything and make the rest of us fume with envy behind the smiles that never touch our eyes.",,Years,Australia,Equivalent AQF level,5.5,AUD,Yes,Year,1.0
Yes,ATAR,Diploma of Digital Media Design,https://www.billyblue.edu.au/courses/digital-media-design/diploma-in-digital-media-design?id=82,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Production Assistant, Design / Studio Intern, Web Content Administrator",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,DIP,"As you may have guessed from the name, this branch of design is all about digital media. Which means screens. Which means it’s becoming more and more relevant to the world we all live in, which is basically 83 percent screens these days. This diploma is industry-driven, so the focus is on giving you in-demand skills in high-growth sectors: web, mobile, 3D, visual effects… you know, screen stuff. More specifically, it means we cover idea generation, graphic design, 3D design, digital video, motion graphics, web and interactive design. Then you can think about which of that lot you’d most like to know more about, and go from there or head out for an entry-level role somewhere. Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,5.5,AUD,Yes,Year,1.0
Yes,ATAR,Diploma of Digital Media Design,https://www.billyblue.edu.au/courses/digital-media-design/diploma-in-digital-media-design?id=82,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Production Assistant, Design / Studio Intern, Web Content Administrator",Yes,College of Design,,,Brisbane,A,Yes,Billy Blue College,Yes,DIP,"As you may have guessed from the name, this branch of design is all about digital media. Which means screens. Which means it’s becoming more and more relevant to the world we all live in, which is basically 83 percent screens these days. This diploma is industry-driven, so the focus is on giving you in-demand skills in high-growth sectors: web, mobile, 3D, visual effects… you know, screen stuff. More specifically, it means we cover idea generation, graphic design, 3D design, digital video, motion graphics, web and interactive design. Then you can think about which of that lot you’d most like to know more about, and go from there or head out for an entry-level role somewhere. Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,5.5,AUD,Yes,Year,1.0
Yes,ATAR,Diploma of Digital Media Design,https://www.billyblue.edu.au/courses/digital-media-design/diploma-in-digital-media-design?id=82,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Production Assistant, Design / Studio Intern, Web Content Administrator",Yes,College of Design,,,Melbourne,A,Yes,Billy Blue College,Yes,DIP,"As you may have guessed from the name, this branch of design is all about digital media. Which means screens. Which means it’s becoming more and more relevant to the world we all live in, which is basically 83 percent screens these days. This diploma is industry-driven, so the focus is on giving you in-demand skills in high-growth sectors: web, mobile, 3D, visual effects… you know, screen stuff. More specifically, it means we cover idea generation, graphic design, 3D design, digital video, motion graphics, web and interactive design. Then you can think about which of that lot you’d most like to know more about, and go from there or head out for an entry-level role somewhere. Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,5.5,AUD,Yes,Year,1.0
Yes,ATAR,Diploma of Interior Design and Decoration,https://www.billyblue.edu.au/courses/interiors/diploma-of-interior-design-and-decoration,Year 12,English,Yes,IELTS,Yes,No ATAR needed,"Interior Stylist, Soft Furnishings Consultant, Visual Merchandiser, Events & Installation Designer, In-House Interior Designer",Yes,College of Design,,,Sydney,A,Yes,Billy Blue College,Yes,DIP,"Open the door to a whole new world of turning rooms into statements – whether that statement is “There are good chairs and there are bad chairs” or “this is a place to recharge with mindfulness eating”. When you join our interior decoration community of diploma students, lecturers and industry, you’re setting yourself up to acquire a technical base of design principles and practice. Explore a world of bespoke decoration through colour and texture, learn how to illustrate your ideas before turning them into reality and where to find the best cushions to redefine retro for the future. You’ll also fill your brain with information on the history of built environment design – which will make you both useful and interesting to the design profession, all before you even graduate.As a part of our exclusive 2020 partnership with Australian design industry leader, Sibella Court, we are giving two lucky students commencing September 2020 the chance to adventure into Interior Design with Sibella Court herself! Get 50% off your course fees, have Sibella be your mentor at the start of your studies, get exclusive access to The Society Inc. studio office for research and much much more. Head to our Scholarships page to learn more! Design Institute Australia recognised course.",,Years,Australia,Equivalent AQF level,5.5,AUD,Yes,Year,1.0
