Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Course Delivery Mode,FREE TAFE,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
CERTIII,Box Hill Institute,Melbourne,Certificate III in Micro Business Operations, Business & Commerce ,,249,AUD,Years,8.0,Weeks,No,Yes,ATAR,IELTS,,,,,https://www.boxhill.edu.au/courses/certificate-iii-in-micro-business-operations-nes15-d/,English,D,"Do you want to be self employed?  Do you have a business idea?  Start your own business with confidence whilst studying this free and high quality NEIS business course.  This course will provide you with business advice and support, free business management support, and a fortnightly allowance in addition to your business profits (if eligible).  You will complete 8 weeks of training and graduate with a nationally recognised qualification. The course covers the following topics:  introduction to small business business planning legal and administrative requirements marketing financial planning operations planning record keeping  One of the key benefits of this course is that you will develop a thorough Business Plan. This is the most important step for your business. We will review your Business Plan and if approved as a viable business, you will be ready to begin Stage 2 of the NEIS program.   The NEIS training in the Melbourne metropolitan region will be mainly based at the Box Hill Institute City Campus at 253 Flinders Lane as well as the Elgar Campus in Box Hill.  The NEIS training in regional Victoria for the Goulburn-Murray region, is delivered through a flexible, blended learning model that is responsive to regional needs.   There are no fees applicable to this course.","After successful completion, this course will allow you to be self employed in your chosen field",Australia,No,Yes,No,Yes,No,,Normal,No,BSBCUS301 Deliver And Monitor A Service To Customers,,,BSBSMB303 Organise Finances For The Micro Business,,,"BSBSMB305 Comply With Regulatory, Taxation And Insurance Requirements For The Micro Business",,,BSBSMB301 Investigate Micro Business Opportunities,,,BSBSMB302 Develop A Micro Business Proposal,,,BSBSMB306 Plan A Home Based Business,,,BSBWOR301 Organise Personal Work Priorities And Development,,,BSBSMB304 Determine Resource Requirements For The Micro Business,,,BSBSMB403 Market The Small Business,,,BSBFIA301 Maintain Financial Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIII,Box Hill Institute,Melbourne,Certificate III in Micro Business Operations, Business & Commerce ,,249,AUD,Years,8.0,Weeks,No,Yes,ATAR,IELTS,,,,,https://www.boxhill.edu.au/courses/certificate-iii-in-micro-business-operations-nes15-d/,English,D,"Do you want to be self employed?  Do you have a business idea?  Start your own business with confidence whilst studying this free and high quality NEIS business course.  This course will provide you with business advice and support, free business management support, and a fortnightly allowance in addition to your business profits (if eligible).  You will complete 8 weeks of training and graduate with a nationally recognised qualification. The course covers the following topics:  introduction to small business business planning legal and administrative requirements marketing financial planning operations planning record keeping  One of the key benefits of this course is that you will develop a thorough Business Plan. This is the most important step for your business. We will review your Business Plan and if approved as a viable business, you will be ready to begin Stage 2 of the NEIS program.   The NEIS training in the Melbourne metropolitan region will be mainly based at the Box Hill Institute City Campus at 253 Flinders Lane as well as the Elgar Campus in Box Hill.  The NEIS training in regional Victoria for the Goulburn-Murray region, is delivered through a flexible, blended learning model that is responsive to regional needs.   There are no fees applicable to this course.","After successful completion, this course will allow you to be self employed in your chosen field",Australia,No,Yes,No,Yes,No,,Normal,No,BSBCUS301 Deliver And Monitor A Service To Customers,,,BSBSMB303 Organise Finances For The Micro Business,,,"BSBSMB305 Comply With Regulatory, Taxation And Insurance Requirements For The Micro Business",,,BSBSMB301 Investigate Micro Business Opportunities,,,BSBSMB302 Develop A Micro Business Proposal,,,BSBSMB306 Plan A Home Based Business,,,BSBWOR301 Organise Personal Work Priorities And Development,,,BSBSMB304 Determine Resource Requirements For The Micro Business,,,BSBSMB403 Market The Small Business,,,BSBFIA301 Maintain Financial Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIV,Box Hill Institute,Melbourne,Certificate IV in Accounting and Bookkeeping, Business & Commerce ,,579,AUD,Years,6.0,Months,Yes,Yes,ATAR,IELTS,,,,,https://www.boxhill.edu.au/courses/certificate-iv-in-accounting-and-bookkeeping-fn427-d/,English,D,"Get a firm footing in the office’s engine room by taking our practical accounting and bookkeeping course where you'll gain the skills neccessary to work in the field of accounting. Studying budgets, costing, assets and inventory, you’ll develop a broad knowledge of the accounting profession, learning how to assist businesses and finance teams in driving better financial performance. These skills will enable you to work within a business environment and complete office tax documentation.","Employment opportunities may include working as a  budget assistant costing clerk, asset inventory clerk accounts assistant",Australia,No,Yes,No,Yes,No,,Normal,Yes,BSBFIA401 Prepare Financial Reports,,,FNSACC311 Process Financial Transactions And Extract Interim Reports,,,FNSACC312 Administer Subsidiary Accounts And Ledgers,,,FNSACC408 Work Effectively In The Accounting And Bookkeeping Industry,,,FNSACC416 Set Up And Operate A Computerised Accounting System,,,FNSTPB401 Complete Business Activity And Instalment Activity Statements,,,FNSTPB402 Establish And Maintain Payroll Systems,,,FNSACC414 Prepare Financial Statements For Non-Reporting Entities,,,FNSTPB503 Apply Legal Principles In Contract And Consumer Law,,,FNSACC411 Process Business Tax Requirements,,,FNSACC412 Prepare Operational Budgets,,,BSBITU314 Design And Produce Spreadsheets,,,BSBSMB412 Introduce Cloud Computing Into Business Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIV,Box Hill Institute,Melbourne,Certificate IV in Business, Business & Commerce ,,"1,007",AUD,Years,6.0,Months,Yes,Yes,ATAR,IELTS,,,,,https://www.boxhill.edu.au/courses/certificate-iv-in-business-bs425-d/,English,D,"In our business course, build on your previous knowledge of business management, learning essential business skills such as developing text documents and spreadsheets, maintaining financial records and creating eye-catching presentations. You’ll also learn how to organise meetings, coordinate business resources and deliver outstanding customer service, as well as various other business-related functions. Our business course is a great option if you're looking at working in administrative or supervisory roles, but if you're uncertain which area of study you want to follow, our course still keeps your options open, while giving you the opportunity to consider several business areas of study. It's also a good place to start if you're wanting qualifications to return to the workforce or change careers.    Like Box Hill Institute - Business & Management on Facebook","After completion, relevant job opportunities include as an:  administrative officer marketing or sales assistant project officer",Australia,No,Yes,No,Yes,No,,Normal,No,BSBRES411 Analyse And Present Research Information,,,BSBWRT401 Write Complex Documents,,,BSBCUS402 Address Customer Needs,,,BSBCMM401 Make A Presentation,,,BSBMKG413 Promote Products And Services,,,BSBWRT301 Write Simple Documents,,,"BSBWHS401 Implement And Monitor Whs Policies, Procedures And Programs To Meet Legislative Requirements",,,BSBCUS501 Manage Quality Customer Service,,,BSBSMB402 Plan Small Business Finance,,,BSBMKG414 Undertake Marketing Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIV,Box Hill Institute,Melbourne,Certificate IV in Business, Business & Commerce ,,"1,007",AUD,Years,6.0,Months,Yes,Yes,ATAR,IELTS,,,,,https://www.boxhill.edu.au/courses/certificate-iv-in-business-bs425-d/,English,D,"In our business course, build on your previous knowledge of business management, learning essential business skills such as developing text documents and spreadsheets, maintaining financial records and creating eye-catching presentations. You’ll also learn how to organise meetings, coordinate business resources and deliver outstanding customer service, as well as various other business-related functions. Our business course is a great option if you're looking at working in administrative or supervisory roles, but if you're uncertain which area of study you want to follow, our course still keeps your options open, while giving you the opportunity to consider several business areas of study. It's also a good place to start if you're wanting qualifications to return to the workforce or change careers.    Like Box Hill Institute - Business & Management on Facebook","After completion, relevant job opportunities include as an:  administrative officer marketing or sales assistant project officer",Australia,No,Yes,No,Yes,No,,Normal,No,BSBRES411 Analyse And Present Research Information,,,BSBWRT401 Write Complex Documents,,,BSBCUS402 Address Customer Needs,,,BSBCMM401 Make A Presentation,,,BSBMKG413 Promote Products And Services,,,BSBWRT301 Write Simple Documents,,,"BSBWHS401 Implement And Monitor Whs Policies, Procedures And Programs To Meet Legislative Requirements",,,BSBCUS501 Manage Quality Customer Service,,,BSBSMB402 Plan Small Business Finance,,,BSBMKG414 Undertake Marketing Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIV,Box Hill Institute,Melbourne,Certificate IV in Celebrancy, Business & Commerce ,,754,AUD,Years,6.0,Months,No,No,ATAR,IELTS,,,,,https://www.boxhill.edu.au/courses/certificate-iv-in-celebrancy-hccel-d/,English,D,"It's an exciting time in Australia to consider obtaining a qualification in Celebrancy. There have been land mark changes in Celebrancy legislation which will see a significant increase in demand for celebrants in Australia. Our celebrancy course reflects the role of celebrants who work with their clients to plan and present ceremonies of varied types in the Australian community. These include weddings and community ceremonies, such as naming of babies, renewal of wedding vows, commitment ceremonies and funerals. The units we deliver address the specific legislative responsibilities of marriage celebrants and link to national registration requirements. We have included the following units so that, upon completion, you'll be eligible to apply for registration as a marriage celebrant with the Australian Attorney-General’s Department:  Establish and Maintain Celebrancy Practice (CHCCEL005) Interview clients and plan Marriage Ceremonies (CHCCEL006) Prepare for, Present and Evaluate Marriage Ceremonies (CHCCEL007)  Celebrants are generally self-employed. They need to have the ability to work outside usual business hours and may need to travel to their clients preferred locations. Given this, the course also includes units that address marketing and managing a small business.",After successful completion of our celebrancy course you may apply for registration as a marriage celebrant with the Australian Attorney General’s Department. You can also work as a celebrant in your own business.,Australia,No,Yes,No,Yes,No,,Normal,No,CHCCCS017 Provide Loss And Grief Support,,,CHCCEL001 Develop Sustainable Celebrancy Practice,,,CHCCEL002 Establish Client Celebrancy Needs,,,"CHCCEL003 Research, Design And Organise Ceremonies",,,"CHCCEL004 Prepare For, Present And Evaluate Ceremonies",,,CHCCEL005 Establish And Maintain Marriage Celebrancy Practice,,,CHCCEL006 Interview Clients And Plan Marriage Ceremonies,,,"CHCCEL007 Prepare For, Present And Evaluate Marriage Ceremonies",,,"CHCCEL008 Plan, Present And Evaluate Funeral And Memorial Ceremonies",,,CHCLEG001 Work Legally And Ethically,,,CHCDIV001 Work With Diverse People,,,BSBITU306 Design And Produce Business Documents,,,BSBSMB404 Undertake Small Business Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIV,Box Hill Institute,Melbourne,Certificate IV in Accounting and Bookkeeping, Business & Commerce ,"8,506",,AUD,Years,6.0,Months,Yes,No,ATAR,IELTS,,,5.5,,https://www.boxhill.edu.au/courses/certificate-iv-in-accounting-and-bookkeeping-fn427-i/,English,I,"Get a firm footing in the office’s engine room by taking our practical accounting and bookkeeping course where you'll gain the skills neccessary to work in the field of accounting. Studying budgets, costing, assets and inventory, you’ll develop a broad knowledge of the accounting profession, learning how to assist businesses and finance teams in driving better financial performance. These skills will enable you to work within a business environment and complete office tax documentation.","Employment opportunities may include working as a  budget assistant costing clerk, asset inventory clerk accounts assistant",Australia,No,Yes,No,Yes,No,,Normal,No,BSBFIA401 Prepare Financial Reports,,,FNSACC311 Process Financial Transactions And Extract Interim Reports,,,FNSACC312 Administer Subsidiary Accounts And Ledgers,,,FNSACC408 Work Effectively In The Accounting And Bookkeeping Industry,,,FNSACC416 Set Up And Operate A Computerised Accounting System,,,FNSTPB401 Complete Business Activity And Instalment Activity Statements,,,FNSTPB402 Establish And Maintain Payroll Systems,,,FNSACC414 Prepare Financial Statements For Non-Reporting Entities,,,FNSTPB503 Apply Legal Principles In Contract And Consumer Law,,,FNSACC411 Process Business Tax Requirements,,,FNSACC412 Prepare Operational Budgets,,,BSBITU314 Design And Produce Spreadsheets,,,BSBSMB412 Introduce Cloud Computing Into Business Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIV,Box Hill Institute,Melbourne,Certificate IV in Business, Business & Commerce ,"7,439",,AUD,Years,6.0,Months,Yes,No,ATAR,IELTS,,,5.5,,https://www.boxhill.edu.au/courses/certificate-iv-in-business-bs425-i/,English,I,"In our business course, build on your previous knowledge of business management, learning essential business skills such as developing text documents and spreadsheets, maintaining financial records and creating eye-catching presentations. You’ll also learn how to organise meetings, coordinate business resources and deliver outstanding customer service, as well as various other business-related functions. Our business course is a great option if you're looking at working in administrative or supervisory roles, but if you're uncertain which area of study you want to follow, our course still keeps your options open, while giving you the opportunity to consider several business areas of study. It's also a good place to start if you're wanting qualifications to return to the workforce or change careers.    Like Box Hill Institute - Business & Management on Facebook","After completion, relevant job opportunities include as an:  administrative officer marketing or sales assistant project officer",Australia,No,Yes,No,Yes,No,,Normal,No,BSBRES411 Analyse And Present Research Information,,,BSBWRT401 Write Complex Documents,,,BSBCUS402 Address Customer Needs,,,BSBCMM401 Make A Presentation,,,BSBMKG413 Promote Products And Services,,,BSBWRT301 Write Simple Documents,,,"BSBWHS401 Implement And Monitor Whs Policies, Procedures And Programs To Meet Legislative Requirements",,,BSBCUS501 Manage Quality Customer Service,,,BSBSMB402 Plan Small Business Finance,,,BSBMKG414 Undertake Marketing Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIV,Box Hill Institute,Melbourne,Certificate IV in Business, Business & Commerce ,"7,439",,AUD,Years,6.0,Months,Yes,No,ATAR,IELTS,,,5.5,,https://www.boxhill.edu.au/courses/certificate-iv-in-business-bs425-i/,English,I,"In our business course, build on your previous knowledge of business management, learning essential business skills such as developing text documents and spreadsheets, maintaining financial records and creating eye-catching presentations. You’ll also learn how to organise meetings, coordinate business resources and deliver outstanding customer service, as well as various other business-related functions. Our business course is a great option if you're looking at working in administrative or supervisory roles, but if you're uncertain which area of study you want to follow, our course still keeps your options open, while giving you the opportunity to consider several business areas of study. It's also a good place to start if you're wanting qualifications to return to the workforce or change careers.    Like Box Hill Institute - Business & Management on Facebook","After completion, relevant job opportunities include as an:  administrative officer marketing or sales assistant project officer",Australia,No,Yes,No,Yes,No,,Normal,No,BSBRES411 Analyse And Present Research Information,,,BSBWRT401 Write Complex Documents,,,BSBCUS402 Address Customer Needs,,,BSBCMM401 Make A Presentation,,,BSBMKG413 Promote Products And Services,,,BSBWRT301 Write Simple Documents,,,"BSBWHS401 Implement And Monitor Whs Policies, Procedures And Programs To Meet Legislative Requirements",,,BSBCUS501 Manage Quality Customer Service,,,BSBSMB402 Plan Small Business Finance,,,BSBMKG414 Undertake Marketing Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Box Hill Institute,Melbourne,Diploma of Accounting, Business & Commerce ,,544,AUD,Years,6.0,Months,Yes,No,ATAR,IELTS,,,,,https://www.boxhill.edu.au/courses/diploma-of-accounting-fn527-d/,English,D,"We know you’ve already got a taste for accounting in the real world and want to further your qualifications to take the next step in a career in company finance and financial management. Our accounting course will give you the skills and training you need to enhance your prospects in the accounting profession. In this highly engaging and practical course, you’ll learn how to:  prepare income tax returns prepare financial reports for reporting entities prepare and maintain complex budgets and forecasts develop and implement internal control procedures, marketing activities, and financial strategies develop, implement and measure performance management systems     Like Box Hill Institute - Business & Management on Facebook","After succesful completion of this course, you may apply for work as an assistant for company financial reporting or financial management projects, internal control or as a projects costing officer. As a student, we can assist you with resume and job application writing. This qualification includes units that comprise an approved Tax Practitioner Board (TPB) course in Australian taxation law and commercial law, which are relevant for registration as a tax agent. Persons seeking registration with the TPB should check current registration requirements with the TPB as registration requirements are reviewed regularly.",Australia,No,Yes,No,Yes,No,,Normal,Yes,FNSACC511 Provide Financial And Business Performance Information,,,FNSACC512 Prepare Tax Documentation For Individuals,,,FNSACC513 Manage Budgets And Forecasts,,,FNSACC514 Prepare Financial Reports For Corporate Entities,,,FNSACC516 Implement And Maintain Internal Control Procedures,,,FNSACC517 Provide Management Accounting Information,,,FNSTPB504 Apply Legal Principles In Corporations And Trusts Law,,,BSBITU402 Develop And Use Complex Spreadsheets,,,BSBLDR402 Lead Effective Workplace Relationships,,,FNSINC401 Apply Principles Of Professional Practice To Work In The Financial Services Industry,,,BSBFIA401 Prepare Financial Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Box Hill Institute,Melbourne,Diploma of Business, Business & Commerce ,,"4,497",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,,,,,https://www.boxhill.edu.au/courses/diploma-of-business-bs525-d/,English,D,Our business course is ideal for those looking for general business skills to help them gain employment in management roles in a variety of industries.  Your studies will cover:  marketing managing budgets conducting projects a range of relevant management subjects  Our business course also allows you to study for a qualification that offers a pathway to further study.    Like Box Hill Institute - Business & Management on Facebook,"After successful completion of our business course, you may apply for employment opportunities such as a being a:  manager program consultant program coordinator marketing coordinator",Australia,No,Yes,No,Yes,No,,Normal,No,BSBFIM501 Manage Budgets And Financial Plans,,,BSBPMG522 Undertake Project Work,,,BSBWOR501 Manage Personal Work Priorities And Professional Development,,,BSBMKG501 Identify And Evaluate Marketing Opportunities,,,BSBMKG510 Plan E-Marketing Communications,,,BSBMGT403 Implement Continuous Improvement,,,BSBMKG514 Implement And Monitor Marketing Activities,,,BSBLDR402 Lead Effective Workplace Relationships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTII,Box Hill Institute,Online,Certificate II in Animal Studies, Animal Studies ,,,AUD,Years,,,No,No,ATAR,IELTS,,,,,https://www.boxhill.edu.au/courses/certificate-ii-in-animal-studies-as200-vetis/,English,A,"This program provides you with the basic skills and knowledge in order to become an animal carer. You will learn how to care for a variety of animals and provide information on companion animals, products and services. You will gain the practical skills and basic knowledge you need for entry–level work in the animal care industry. You will learn how to assist with general animal care, provide food and water for animals and follow occupational health and safety procedures in the workplace. You will undertake work in our animal facility throughout the year giving you the opportunity to work with mice, rats, guinea pigs, rabbits, fish and reptiles. You will also have dogs and cats regularly attend class for practical training.    Follow Box Hill Institute - Animal Studies on Instagram","This course may provide you with entry level employment in animal rescue centres, pet retail shops, welfare organisations and veterinary clinics, etc.",Australia,Yes,Yes,Yes,Yes,Yes,,Normal,No,ACMGAS201 Work In The Animal Care Industry,,,ACMGAS202 Participate In Workplace Communications,,,ACMGAS203 Complete Animal Care Hygiene Routines,,,ACMGAS204 Feed And Water Animals,,,ACMGAS205 Assist In Health Care Of Animals,,,ACMWHS201 Participate In Workplace Health And Safety Processes,,,ACMSUS201 Participate In Environmentally Sustainable Work Practices,,,ACMSPE310 Provide Basic Care Of Mammals,,,"ACMGAS209 Provide Information On Companion Animals, Products And Services",,,ACMGAS206 Provide Basic First Aid For Animals,,,ACMGAS208 Source Information For Animal Care Needs,,,ACMCAS307 Provide Companion Animal Hydro-Bathing Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
