Level_Code,University,City,Course,Faculty,Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Course Delivery Mode,FREE TAFE
CERTIII,Box Hill Institute,Melbourne,Certificate III in Micro Business Operations, Business & Commerce ,249,AUD,Years,8.0,Weeks,No,Yes,ATAR,IELTS,,,https://www.boxhill.edu.au/courses/certificate-iii-in-micro-business-operations-nes15-d/,English,D,"Do you want to be self employed?  Do you have a business idea?  Start your own business with confidence whilst studying this free and high quality NEIS business course.  This course will provide you with business advice and support, free business management support, and a fortnightly allowance in addition to your business profits (if eligible).  You will complete 8 weeks of training and graduate with a nationally recognised qualification. The course covers the following topics:  introduction to small business business planning legal and administrative requirements marketing financial planning operations planning record keeping  One of the key benefits of this course is that you will develop a thorough Business Plan. This is the most important step for your business. We will review your Business Plan and if approved as a viable business, you will be ready to begin Stage 2 of the NEIS program.   The NEIS training in the Melbourne metropolitan region will be mainly based at the Box Hill Institute City Campus at 253 Flinders Lane as well as the Elgar Campus in Box Hill.  The NEIS training in regional Victoria for the Goulburn-Murray region, is delivered through a flexible, blended learning model that is responsive to regional needs.   There are no fees applicable to this course.","After successful completion, this course will allow you to be self employed in your chosen field",Australia,,Yes,No,Yes,No,,Normal,No
CERTIII,Box Hill Institute,Melbourne,Certificate III in Micro Business Operations, Business & Commerce ,249,AUD,Years,8.0,Weeks,No,Yes,ATAR,IELTS,,,https://www.boxhill.edu.au/courses/certificate-iii-in-micro-business-operations-nes15-d/,English,D,"Do you want to be self employed?  Do you have a business idea?  Start your own business with confidence whilst studying this free and high quality NEIS business course.  This course will provide you with business advice and support, free business management support, and a fortnightly allowance in addition to your business profits (if eligible).  You will complete 8 weeks of training and graduate with a nationally recognised qualification. The course covers the following topics:  introduction to small business business planning legal and administrative requirements marketing financial planning operations planning record keeping  One of the key benefits of this course is that you will develop a thorough Business Plan. This is the most important step for your business. We will review your Business Plan and if approved as a viable business, you will be ready to begin Stage 2 of the NEIS program.   The NEIS training in the Melbourne metropolitan region will be mainly based at the Box Hill Institute City Campus at 253 Flinders Lane as well as the Elgar Campus in Box Hill.  The NEIS training in regional Victoria for the Goulburn-Murray region, is delivered through a flexible, blended learning model that is responsive to regional needs.   There are no fees applicable to this course.","After successful completion, this course will allow you to be self employed in your chosen field",Australia,,Yes,No,Yes,No,,Normal,No
CERTIV,Box Hill Institute,Melbourne,Certificate IV in Accounting and Bookkeeping, Business & Commerce ,0,AUD,Years,6.0,Months,Yes,Yes,ATAR,IELTS,,,https://www.boxhill.edu.au/courses/certificate-iv-in-accounting-and-bookkeeping-fn427-d/,English,D,"Get a firm footing in the office’s engine room by taking our practical accounting and bookkeeping course where you'll gain the skills neccessary to work in the field of accounting. Studying budgets, costing, assets and inventory, you’ll develop a broad knowledge of the accounting profession, learning how to assist businesses and finance teams in driving better financial performance. These skills will enable you to work within a business environment and complete office tax documentation.","Employment opportunities may include working as a  budget assistant costing clerk, asset inventory clerk accounts assistant",Australia,,Yes,No,Yes,No,,Normal,Yes
CERTIV,Box Hill Institute,Melbourne,Certificate IV in Business, Business & Commerce ,"1,007",AUD,Years,6.0,Months,Yes,Yes,ATAR,IELTS,,,https://www.boxhill.edu.au/courses/certificate-iv-in-business-bs425-d/,English,D,"In our business course, build on your previous knowledge of business management, learning essential business skills such as developing text documents and spreadsheets, maintaining financial records and creating eye-catching presentations. You’ll also learn how to organise meetings, coordinate business resources and deliver outstanding customer service, as well as various other business-related functions. Our business course is a great option if you're looking at working in administrative or supervisory roles, but if you're uncertain which area of study you want to follow, our course still keeps your options open, while giving you the opportunity to consider several business areas of study. It's also a good place to start if you're wanting qualifications to return to the workforce or change careers.    Like Box Hill Institute - Business & Management on Facebook","After completion, relevant job opportunities include as an:  administrative officer marketing or sales assistant project officer",Australia,,Yes,No,Yes,No,,Normal,No
CERTIV,Box Hill Institute,Melbourne,Certificate IV in Business, Business & Commerce ,"1,007",AUD,Years,6.0,Months,Yes,Yes,ATAR,IELTS,,,https://www.boxhill.edu.au/courses/certificate-iv-in-business-bs425-d/,English,D,"In our business course, build on your previous knowledge of business management, learning essential business skills such as developing text documents and spreadsheets, maintaining financial records and creating eye-catching presentations. You’ll also learn how to organise meetings, coordinate business resources and deliver outstanding customer service, as well as various other business-related functions. Our business course is a great option if you're looking at working in administrative or supervisory roles, but if you're uncertain which area of study you want to follow, our course still keeps your options open, while giving you the opportunity to consider several business areas of study. It's also a good place to start if you're wanting qualifications to return to the workforce or change careers.    Like Box Hill Institute - Business & Management on Facebook","After completion, relevant job opportunities include as an:  administrative officer marketing or sales assistant project officer",Australia,,Yes,No,Yes,No,,Normal,No
CERTIV,Box Hill Institute,Melbourne,Certificate IV in Celebrancy, Business & Commerce ,754,AUD,Years,6.0,Months,No,No,ATAR,IELTS,,,https://www.boxhill.edu.au/courses/certificate-iv-in-celebrancy-hccel-d/,English,D,"It's an exciting time in Australia to consider obtaining a qualification in Celebrancy. There have been land mark changes in Celebrancy legislation which will see a significant increase in demand for celebrants in Australia. Our celebrancy course reflects the role of celebrants who work with their clients to plan and present ceremonies of varied types in the Australian community. These include weddings and community ceremonies, such as naming of babies, renewal of wedding vows, commitment ceremonies and funerals. The units we deliver address the specific legislative responsibilities of marriage celebrants and link to national registration requirements. We have included the following units so that, upon completion, you'll be eligible to apply for registration as a marriage celebrant with the Australian Attorney-General’s Department:  Establish and Maintain Celebrancy Practice (CHCCEL005) Interview clients and plan Marriage Ceremonies (CHCCEL006) Prepare for, Present and Evaluate Marriage Ceremonies (CHCCEL007)  Celebrants are generally self-employed. They need to have the ability to work outside usual business hours and may need to travel to their clients preferred locations. Given this, the course also includes units that address marketing and managing a small business.",After successful completion of our celebrancy course you may apply for registration as a marriage celebrant with the Australian Attorney General’s Department. You can also work as a celebrant in your own business.,Australia,,Yes,No,Yes,No,,Normal,No
CERTIV,Box Hill Institute,Melbourne,Certificate IV in Accounting and Bookkeeping, Business & Commerce ,"8,506",AUD,Years,6.0,Months,Yes,No,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iv-in-accounting-and-bookkeeping-fn427-i/,English,I,"Get a firm footing in the office’s engine room by taking our practical accounting and bookkeeping course where you'll gain the skills neccessary to work in the field of accounting. Studying budgets, costing, assets and inventory, you’ll develop a broad knowledge of the accounting profession, learning how to assist businesses and finance teams in driving better financial performance. These skills will enable you to work within a business environment and complete office tax documentation.","Employment opportunities may include working as a  budget assistant costing clerk, asset inventory clerk accounts assistant",Australia,,Yes,No,Yes,No,,Normal,No
CERTIV,Box Hill Institute,Melbourne,Certificate IV in Business, Business & Commerce ,"7,439",AUD,Years,6.0,Months,Yes,No,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iv-in-business-bs425-i/,English,I,"In our business course, build on your previous knowledge of business management, learning essential business skills such as developing text documents and spreadsheets, maintaining financial records and creating eye-catching presentations. You’ll also learn how to organise meetings, coordinate business resources and deliver outstanding customer service, as well as various other business-related functions. Our business course is a great option if you're looking at working in administrative or supervisory roles, but if you're uncertain which area of study you want to follow, our course still keeps your options open, while giving you the opportunity to consider several business areas of study. It's also a good place to start if you're wanting qualifications to return to the workforce or change careers.    Like Box Hill Institute - Business & Management on Facebook","After completion, relevant job opportunities include as an:  administrative officer marketing or sales assistant project officer",Australia,,Yes,No,Yes,No,,Normal,No
CERTIV,Box Hill Institute,Melbourne,Certificate IV in Business, Business & Commerce ,"7,439",AUD,Years,6.0,Months,Yes,No,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/certificate-iv-in-business-bs425-i/,English,I,"In our business course, build on your previous knowledge of business management, learning essential business skills such as developing text documents and spreadsheets, maintaining financial records and creating eye-catching presentations. You’ll also learn how to organise meetings, coordinate business resources and deliver outstanding customer service, as well as various other business-related functions. Our business course is a great option if you're looking at working in administrative or supervisory roles, but if you're uncertain which area of study you want to follow, our course still keeps your options open, while giving you the opportunity to consider several business areas of study. It's also a good place to start if you're wanting qualifications to return to the workforce or change careers.    Like Box Hill Institute - Business & Management on Facebook","After completion, relevant job opportunities include as an:  administrative officer marketing or sales assistant project officer",Australia,,Yes,No,Yes,No,,Normal,No
DIP,Box Hill Institute,Melbourne,Diploma of Accounting, Business & Commerce ,0,AUD,Years,6.0,Months,Yes,No,ATAR,IELTS,,5.5,https://www.boxhill.edu.au/courses/diploma-of-accounting-fn527-d/,English,D,"We know you’ve already got a taste for accounting in the real world and want to further your qualifications to take the next step in a career in company finance and financial management. Our accounting course will give you the skills and training you need to enhance your prospects in the accounting profession. In this highly engaging and practical course, you’ll learn how to:  prepare income tax returns prepare financial reports for reporting entities prepare and maintain complex budgets and forecasts develop and implement internal control procedures, marketing activities, and financial strategies develop, implement and measure performance management systems     Like Box Hill Institute - Business & Management on Facebook","After succesful completion of this course, you may apply for work as an assistant for company financial reporting or financial management projects, internal control or as a projects costing officer. As a student, we can assist you with resume and job application writing. This qualification includes units that comprise an approved Tax Practitioner Board (TPB) course in Australian taxation law and commercial law, which are relevant for registration as a tax agent. Persons seeking registration with the TPB should check current registration requirements with the TPB as registration requirements are reviewed regularly.",Australia,,Yes,No,Yes,No,,Normal,Yes
