Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
MST,Charles Darwin University,Darwin,Master of Professional Accounting,Asia Pacific College of Business and Law,CSP supported,"32,760.00",AUD,Years,1,Year,Yes,No,,,,,,,https://www.cdu.edu.au/study/master-professional-accounting-spacc1-2021,English,A,"The Master of Professional Accounting complements your non-accounting or partial accounting, or accounting but not equivalent to Australian accounting qualifications to meet the entry requirements for membership of CPA Australia and The Chartered Accountants Australia and New Zealand (CAANZ).","Completing a Master of Professional Accounting with relevant work experience can lead to a wide range of career opportunities in small, medium and large organisations. As a graduate, you may become a financial accountant, management accountant, financial auditor, tax auditor/preparer, business/financial analyst, or work in a large multinational company or 'Big Four' accounting firm. Or, you could run your own businesses, work in a small local accounting firm, or work in other areas of business management.",Australia,Yes,Yes,Yes,Yes,Yes,
MST,Charles Darwin University,Online,Master of Professional Accounting,Asia Pacific College of Business and Law,CSP supported,"32,760.00",AUD,Years,1,Year,Yes,No,,,,,,,https://www.cdu.edu.au/study/master-professional-accounting-spacc1-2021,English,A,"The Master of Professional Accounting complements your non-accounting or partial accounting, or accounting but not equivalent to Australian accounting qualifications to meet the entry requirements for membership of CPA Australia and The Chartered Accountants Australia and New Zealand (CAANZ).","Completing a Master of Professional Accounting with relevant work experience can lead to a wide range of career opportunities in small, medium and large organisations. As a graduate, you may become a financial accountant, management accountant, financial auditor, tax auditor/preparer, business/financial analyst, or work in a large multinational company or 'Big Four' accounting firm. Or, you could run your own businesses, work in a small local accounting firm, or work in other areas of business management.",Australia,Yes,Yes,Yes,Yes,Yes,
MST,Charles Darwin University,Darwin,Master of Professional Accounting (Professional Practice),Asia Pacific College of Business and Law,CSP supported,"32,760.00",AUD,Years,2,Years,Yes,No,,,,,,,https://www.cdu.edu.au/study/master-professional-accounting-professional-practice-spapp1-2021,English,A,"The Master of Professional Accounting (Professional Practice) complements your non-accounting or partial accounting, or  accounting but not equivalent to Australian accounting qualifications to meet the entry requirements for membership of CPA Australia and The Chartered Accountants of Australia and New Zealand (CAANZ).","Completing a Master of Professional Accounting (Professional Practice) can lead to a wide range of career opportunities in small, medium and large organisations. As a graduate, you may become a financial accountant, management accountant, financial auditor, tax auditor/preparer, business/financial analyst, or work in a large multinational company or 'Big Four' accounting firm. Or, you could run your own businesses, work in a small local accounting firm, or work in other areas of business management.",Australia,Yes,Yes,Yes,Yes,Yes,
MST,Charles Darwin University,Online,Master of Professional Accounting (Professional Practice),Asia Pacific College of Business and Law,CSP supported,"32,760.00",AUD,Years,2,Years,Yes,No,,,,,,,https://www.cdu.edu.au/study/master-professional-accounting-professional-practice-spapp1-2021,English,A,"The Master of Professional Accounting (Professional Practice) complements your non-accounting or partial accounting, or  accounting but not equivalent to Australian accounting qualifications to meet the entry requirements for membership of CPA Australia and The Chartered Accountants of Australia and New Zealand (CAANZ).","Completing a Master of Professional Accounting (Professional Practice) can lead to a wide range of career opportunities in small, medium and large organisations. As a graduate, you may become a financial accountant, management accountant, financial auditor, tax auditor/preparer, business/financial analyst, or work in a large multinational company or 'Big Four' accounting firm. Or, you could run your own businesses, work in a small local accounting firm, or work in other areas of business management.",Australia,Yes,Yes,Yes,Yes,Yes,
GCERT,Charles Darwin University,Darwin,Graduate Certificate of Arts,"College of Indigenous Futures, Arts and Society",CSP supported,"16,004.00",AUD,Years,6,Years,Yes,No,,,,,,,https://www.cdu.edu.au/study/graduate-certificate-arts-uarts1-2021,English,A,The Graduate Certificate of Arts is a flexible postgraduate course that prepares you for further studies or research. The course will diversify and grow your knowledge in cultural and creative spheres.,"A Graduate Certificate of Arts will open up opportunities for you by adding a new dimension of knowledge and skills to your existing qualification. It is likely to make you ready for work in the NT by giving your qualifications and experience a local edge. It also allows you to access locally specific, Indigenous or creative skills and knowledge development without committing to longer periods of study.",Australia,Yes,Yes,Yes,Yes,Yes,
GCERT,Charles Darwin University,Online,Graduate Certificate of Arts,"College of Indigenous Futures, Arts and Society",CSP supported,"16,004.00",AUD,Years,6,Years,Yes,No,,,,,,,https://www.cdu.edu.au/study/graduate-certificate-arts-uarts1-2021,English,A,The Graduate Certificate of Arts is a flexible postgraduate course that prepares you for further studies or research. The course will diversify and grow your knowledge in cultural and creative spheres.,"A Graduate Certificate of Arts will open up opportunities for you by adding a new dimension of knowledge and skills to your existing qualification. It is likely to make you ready for work in the NT by giving your qualifications and experience a local edge. It also allows you to access locally specific, Indigenous or creative skills and knowledge development without committing to longer periods of study.",Australia,Yes,Yes,Yes,Yes,Yes,
MST,Charles Darwin University,Darwin,Master of Arts,"College of Indigenous Futures, Arts and Society",CSP supported,"32,008.00",AUD,Years,2,Years,Yes,No,,,,,,,https://www.cdu.edu.au/study/master-arts-sarts1-2021,English,A,"The Master of Arts is a flexible, postgraduate degree that allows you to undertake a bespoke research project on a topic of your choice. It will equip you with deep knowledge to bolster your CV, demonstrate your expertise and prepare you for a PhD should you wish to continue your studies.",Not provided in the website,Australia,Yes,Yes,Yes,Yes,Yes,
MST,Charles Darwin University,Online,Master of Arts,"College of Indigenous Futures, Arts and Society",CSP supported,"32,008.00",AUD,Years,2,Years,Yes,No,,,,,,,https://www.cdu.edu.au/study/master-arts-sarts1-2021,English,A,"The Master of Arts is a flexible, postgraduate degree that allows you to undertake a bespoke research project on a topic of your choice. It will equip you with deep knowledge to bolster your CV, demonstrate your expertise and prepare you for a PhD should you wish to continue your studies.",Not provided in the website,Australia,Yes,Yes,Yes,Yes,Yes,
GCERT,Charles Darwin University,Darwin,Graduate Certificate of Global Marketing,Asia Pacific College of Business and Law,CSP supported,N/A,AUD,Years,2,Years,Yes,No,,,,,,,https://www.cdu.edu.au/study/graduate-certificate-global-marketing-ugmar1-2021,English,D,"This course develops your knowledge and skills applied to successful entrepreneurial ventures, business to business (B2B) marketing, business to customer (B2C) marketing and marketing in the service industry.","You may have career opportunities in marketing management, brand management, customer relationship management, market research, communications or public relations. The Graduate Certificate of Global Marketing also provides you with a pathway into the Master of Business Administration, which offers further career progression opportunities.",Australia,Yes,Yes,Yes,Yes,Yes,
GCERT,Charles Darwin University,Online,Graduate Certificate of Global Marketing,Asia Pacific College of Business and Law,CSP supported,N/A,AUD,Years,2,Years,Yes,No,,,,,,,https://www.cdu.edu.au/study/graduate-certificate-global-marketing-ugmar1-2021,English,D,"This course develops your knowledge and skills applied to successful entrepreneurial ventures, business to business (B2B) marketing, business to customer (B2C) marketing and marketing in the service industry.","You may have career opportunities in marketing management, brand management, customer relationship management, market research, communications or public relations. The Graduate Certificate of Global Marketing also provides you with a pathway into the Master of Business Administration, which offers further career progression opportunities.",Australia,Yes,Yes,Yes,Yes,Yes,
GCERT,Charles Darwin University,Darwin,Graduate Certificate of Human Resource Management,Asia Pacific College of Business and Law,CSP supported,N/A,AUD,Years,2,Years,Yes,No,,,,,,,https://www.cdu.edu.au/study/graduate-certificate-human-resource-management-uhrm01-2021,English,D,This course is designed to develop your knowledge and skills in human resource management.,"You may gain career opportunities in middle to upper management positions in the private and public sectors. The Graduate Certificate of Human Resources Management also provides you with a pathway to the Master of Business Administration, which offers further career progression opportunities.",Australia,Yes,Yes,Yes,Yes,Yes,
GCERT,Charles Darwin University,Online,Graduate Certificate of Human Resource Management,Asia Pacific College of Business and Law,CSP supported,N/A,AUD,Years,2,Years,Yes,No,,,,,,,https://www.cdu.edu.au/study/graduate-certificate-human-resource-management-uhrm01-2021,English,D,This course is designed to develop your knowledge and skills in human resource management.,"You may gain career opportunities in middle to upper management positions in the private and public sectors. The Graduate Certificate of Human Resources Management also provides you with a pathway to the Master of Business Administration, which offers further career progression opportunities.",Australia,Yes,Yes,Yes,Yes,Yes,
GCERT,Charles Darwin University,Darwin,Graduate Certificate of Strategic Management,Asia Pacific College of Business and Law,CSP supported,N/A,AUD,Years,2,Years,Yes,No,,,,,,,https://www.cdu.edu.au/study/graduate-certificate-strategic-management-ustm01-2021,English,D,The Graduate Certificate of Strategic Management will help you get the qualifications and skills to be a confident candidate when applying for middle to upper-management positions.,"Graduates may have the opportunity to move into a variety of industries that offer middle to upper management positions in the private and public sectors. The Graduate Certificate of Strategic Management also provides you with a pathway into the Master of Business Administration, which offers further career progression opportunities.",Australia,Yes,Yes,Yes,Yes,Yes,
GCERT,Charles Darwin University,Online,Graduate Certificate of Strategic Management,Asia Pacific College of Business and Law,CSP supported,N/A,AUD,Years,2,Years,Yes,No,,,,,,,https://www.cdu.edu.au/study/graduate-certificate-strategic-management-ustm01-2021,English,D,The Graduate Certificate of Strategic Management will help you get the qualifications and skills to be a confident candidate when applying for middle to upper-management positions.,"Graduates may have the opportunity to move into a variety of industries that offer middle to upper management positions in the private and public sectors. The Graduate Certificate of Strategic Management also provides you with a pathway into the Master of Business Administration, which offers further career progression opportunities.",Australia,Yes,Yes,Yes,Yes,Yes,
GDIP,Charles Darwin University,Darwin,Graduate Diploma of Business Administration,Asia Pacific College of Business and Law,CSP supported,"32,760.00",AUD,Years,1,Year,Yes,No,,,,,,,https://www.cdu.edu.au/study/graduate-diploma-business-administration-tbad01-2021,English,A,"This course builds and develops your knowledge, skills and understanding of strategic management. It is perfectly suited to professionals and industry leaders in both public and private sectors, along with those with experience in the business sector to add to their skill base to increase your employment and professional opportunities.","By completing this course, you may gain career opportunities in industries that offer middle to upper management-level positions in private companies and government.",Australia,Yes,Yes,Yes,Yes,Yes,
GDIP,Charles Darwin University,Online,Graduate Diploma of Business Administration,Asia Pacific College of Business and Law,CSP supported,"32,760.00",AUD,Years,1,Year,Yes,No,,,,,,,https://www.cdu.edu.au/study/graduate-diploma-business-administration-tbad01-2021,English,A,"This course builds and develops your knowledge, skills and understanding of strategic management. It is perfectly suited to professionals and industry leaders in both public and private sectors, along with those with experience in the business sector to add to their skill base to increase your employment and professional opportunities.","By completing this course, you may gain career opportunities in industries that offer middle to upper management-level positions in private companies and government.",Australia,Yes,Yes,Yes,Yes,Yes,
MST,Charles Darwin University,Darwin,Master of Business Administration,Asia Pacific College of Business and Law,CSP supported,"32,760.00",AUD,Years,1,Year,Yes,No,,,,,,,https://www.cdu.edu.au/study/master-business-administration-sbad01-2021,English,A,"The Master of Business Administration (MBA) develops the key attributes and skills you need to move into senior and middle management positions in business, industry and the public sector. It complements your existing qualifications and experience, giving you an opportunity to learn more about:","The Australian Government predicts strong industry demand for business degree graduates from a wide range of sectors. As a Master of Business Administration graduate, you will be qualified to pursue a range of exciting domestic and international career opportunities, which include business planning and management, brand management, marketing, market research, business analysis, e-commerce, human resource management, and many others.",Australia,Yes,Yes,Yes,Yes,Yes,
