Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,Charles Darwin University,Darwin,Bachelor of Accounting,Asia Pacific College of Business and Law,CSP supported,"26,776.00",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-accounting-wacc01-2021,English,A,The Bachelor of Accounting prepares you with professional skills to become an accountant or work in a range of roles that rely on accounting knowledge.,"Completing a Bachelor of Accounting can lead to a wide range of career opportunities in small, medium and large organisations. As a graduate, you may become a financial accountant, management accountant, financial auditor, tax auditor/preparer, financial/business analyst, or work in a large multinational company or ""Big Four"" accounting firm. Or, you could run your own businesses, work in a small local accounting firm, or work in other areas of business management.",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Charles Darwin University,Online,Bachelor of Accounting,Asia Pacific College of Business and Law,CSP supported,"26,776.00",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-accounting-wacc01-2021,English,A,The Bachelor of Accounting prepares you with professional skills to become an accountant or work in a range of roles that rely on accounting knowledge.,"Completing a Bachelor of Accounting can lead to a wide range of career opportunities in small, medium and large organisations. As a graduate, you may become a financial accountant, management accountant, financial auditor, tax auditor/preparer, financial/business analyst, or work in a large multinational company or ""Big Four"" accounting firm. Or, you could run your own businesses, work in a small local accounting firm, or work in other areas of business management.",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Charles Darwin University,Darwin,Bachelor of Accounting/Diploma of Laws,Asia Pacific College of Business and Law,CSP supported,"26,872.00",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-accountingdiploma-laws-laccl1-2021,English,A,The Bachelor of Accounting/Diploma of Laws is a unique course that prepares you to qualify as an accountant and teaches you about the legal issues affecting accounting practices. The course is an opportunity to gain two qualifications in three years (if you study full time) and expand your career prospects as a more sought-after accountant in the corporate world.,"Completing a Bachelor of Accounting/Diploma of Laws dual qualification can lead to a wide range of career opportunities in small, medium and large organisations. An accountant with knowledge of the law is better equipped to handle legal issues relating to money. As a dual qualification graduate, you may become a financial accountant, management accountant, financial auditor, tax auditor/preparer, business financial analyst, or work in a large multinational company or 'Big Four' accounting firm. Or, you could run your own businesses, work in a small local accounting firm, or work in other areas of business management. There can be other career opportunities due to the combination of knowledge of accounting and law putting you in a unique advantage which a single qualification otherwise cannot offer.",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Charles Darwin University,Online,Bachelor of Accounting/Diploma of Laws,Asia Pacific College of Business and Law,CSP supported,"26,872.00",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-accountingdiploma-laws-laccl1-2021,English,A,The Bachelor of Accounting/Diploma of Laws is a unique course that prepares you to qualify as an accountant and teaches you about the legal issues affecting accounting practices. The course is an opportunity to gain two qualifications in three years (if you study full time) and expand your career prospects as a more sought-after accountant in the corporate world.,"Completing a Bachelor of Accounting/Diploma of Laws dual qualification can lead to a wide range of career opportunities in small, medium and large organisations. An accountant with knowledge of the law is better equipped to handle legal issues relating to money. As a dual qualification graduate, you may become a financial accountant, management accountant, financial auditor, tax auditor/preparer, business financial analyst, or work in a large multinational company or 'Big Four' accounting firm. Or, you could run your own businesses, work in a small local accounting firm, or work in other areas of business management. There can be other career opportunities due to the combination of knowledge of accounting and law putting you in a unique advantage which a single qualification otherwise cannot offer.",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Charles Darwin University,Darwin,Bachelor of Arts,"College of Indigenous Futures, Arts and Society",CSP supported,"25,328.00",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-arts-warts2-2021,English,A,"The Bachelor of Arts is a highly flexible, new-age degree featuring a choice of nine majors, each offering a unique perspective on the world around you and your role in it. You'll learn how to improve your decision making, generate new ideas, and think critically and creatively. At a time when some jobs are disappearing, others are evolving and new jobs are emerging, these are the transferable skills that will future proof your career.","Graduating from this course may lead to career opportunities in a wide range of fields. The knowledge and skills you acquire through this degree will prepare you for work in a range of government and statutory authorities  such as land councils, museums, training and research organisations, diplomacy, policy advisor, communications, media, or consultancy particularly where these organisations engage with central and northern Australia and Asia. Study with a focus on creative endeavours will support your career as a artist, writer, designer or performer, particularly if you can combine your study with some work in entrepreneurship and business management.",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Charles Darwin University,Online,Bachelor of Arts,"College of Indigenous Futures, Arts and Society",CSP supported,"25,328.00",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-arts-warts2-2021,English,A,"The Bachelor of Arts is a highly flexible, new-age degree featuring a choice of nine majors, each offering a unique perspective on the world around you and your role in it. You'll learn how to improve your decision making, generate new ideas, and think critically and creatively. At a time when some jobs are disappearing, others are evolving and new jobs are emerging, these are the transferable skills that will future proof your career.","Graduating from this course may lead to career opportunities in a wide range of fields. The knowledge and skills you acquire through this degree will prepare you for work in a range of government and statutory authorities  such as land councils, museums, training and research organisations, diplomacy, policy advisor, communications, media, or consultancy particularly where these organisations engage with central and northern Australia and Asia. Study with a focus on creative endeavours will support your career as a artist, writer, designer or performer, particularly if you can combine your study with some work in entrepreneurship and business management.",Australia,Yes,Yes,Yes,Yes,Yes,
HONS,Charles Darwin University,Darwin,Bachelor of Arts Honours,"College of Indigenous Futures, Arts and Society",CSP supported,"25,328.00",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-arts-honours-varth1-2021,English,A,The Bachelor of Arts (Honours) is a one-year course for high-achieving Bachelor of Arts' graduates. It is an opportunity to produce a research project that deeply explores an area of your interest and boost your CV.,"Graduating from this course may lead to career opportunities in a wide range of fields. The knowledge and skills you acquire through this degree will prepare you for a research role in a range of government and statutory authorities such as land councils, museums, training and research organisations, diplomacy, policy advisor, communications, media, or consultancy particularly where these organisations engage with central and northern Australia and Asia.  Completion of honours at the highest levels will open up possibilities of a research career by allowing you to enrol in a PhD.",Australia,Yes,Yes,Yes,Yes,Yes,
HONS,Charles Darwin University,Online,Bachelor of Arts Honours,"College of Indigenous Futures, Arts and Society",CSP supported,"25,328.00",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-arts-honours-varth1-2021,English,A,The Bachelor of Arts (Honours) is a one-year course for high-achieving Bachelor of Arts' graduates. It is an opportunity to produce a research project that deeply explores an area of your interest and boost your CV.,"Graduating from this course may lead to career opportunities in a wide range of fields. The knowledge and skills you acquire through this degree will prepare you for a research role in a range of government and statutory authorities such as land councils, museums, training and research organisations, diplomacy, policy advisor, communications, media, or consultancy particularly where these organisations engage with central and northern Australia and Asia.  Completion of honours at the highest levels will open up possibilities of a research career by allowing you to enrol in a PhD.",Australia,Yes,Yes,Yes,Yes,Yes,
DIP,Charles Darwin University,Darwin,Diploma of Arts,"College of Indigenous Futures, Arts and Society",CSP supported,"25,328.00",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/diploma-arts-yarts1-2021,English,A,"The Diploma of Arts program offers students a pathway into diverse specialist and interdisciplinary thematic areas including communications, text and digital media; society and culture; digital and global humanities; Indigenous governance and policy; contemporary Indigenous Australian languages and linguistics; digital and creative arts; music, production and performance; and architectural design. As a student, your journey through this program will also develop core communication, critical and creative thinking skills to prepare you to participate in a multi-disciplinary and global workforce.","Graduating from this course may lead to career opportunities in a wide range of fields. The knowledge and skills you acquire through this qualification will begin to prepare you for work in a range of government and statutory authorities such as land councils, museums, training and research organisations, as a policy advisor, or work in diplomacy, communications, media, or consultancy: particularly where these organisations engage with central and northern Australia and Asia. Study with a focus on creative endeavours will support your career as an artist, writer, designer or performer, particularly if you can combine your study with some work in entrepreneurship and business management.",Australia,Yes,Yes,Yes,Yes,Yes,
DIP,Charles Darwin University,Online,Diploma of Arts,"College of Indigenous Futures, Arts and Society",CSP supported,"25,328.00",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/diploma-arts-yarts1-2021,English,A,"The Diploma of Arts program offers students a pathway into diverse specialist and interdisciplinary thematic areas including communications, text and digital media; society and culture; digital and global humanities; Indigenous governance and policy; contemporary Indigenous Australian languages and linguistics; digital and creative arts; music, production and performance; and architectural design. As a student, your journey through this program will also develop core communication, critical and creative thinking skills to prepare you to participate in a multi-disciplinary and global workforce.","Graduating from this course may lead to career opportunities in a wide range of fields. The knowledge and skills you acquire through this qualification will begin to prepare you for work in a range of government and statutory authorities such as land councils, museums, training and research organisations, as a policy advisor, or work in diplomacy, communications, media, or consultancy: particularly where these organisations engage with central and northern Australia and Asia. Study with a focus on creative endeavours will support your career as an artist, writer, designer or performer, particularly if you can combine your study with some work in entrepreneurship and business management.",Australia,Yes,Yes,Yes,Yes,Yes,
