Prerequisite_2,Part_Time,Currency,Face_to_Face,Duration,Prerequisite_1,City,Currency_Time,Blended,Course_Lang,Offline,Int_Fees,Prerequisite_2_grade_2,Full_Time,Distance,Career_Outcomes/path,University,Availability,Local_Fees,Prerequisite_3_grade_3,Website,Prerequisite_3,Description,Prerequisite_1_grade_1,Duration_Time,Country,Faculty,Level_Code,Online,Course,Remarks
IELTS,Yes,AUD,Yes,3.0,ATAR,Darwin,Years,Yes,English,Yes,"26,776.00",6.0,Yes,Yes,"Completing a Bachelor of Accounting can lead to a wide range of career opportunities in small, medium and large organisations. As a graduate, you may become a financial accountant, management accountant, financial auditor, tax auditor/preparer, financial/business analyst, or work in a large multinational company or ""Big Four"" accounting firm. Or, you could run your own businesses, work in a small local accounting firm, or work in other areas of business management.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-accounting-wacc01-2021,Equivalent ,The Bachelor of Accounting prepares you with professional skills to become an accountant or work in a range of roles that rely on accounting knowledge.,,Years,Australia,Asia Pacific College of Business and Law,BA,Yes,Bachelor of Accounting,
IELTS,Yes,AUD,Yes,3.0,ATAR,Online,Years,Yes,English,Yes,"26,776.00",6.0,Yes,Yes,"Completing a Bachelor of Accounting can lead to a wide range of career opportunities in small, medium and large organisations. As a graduate, you may become a financial accountant, management accountant, financial auditor, tax auditor/preparer, financial/business analyst, or work in a large multinational company or ""Big Four"" accounting firm. Or, you could run your own businesses, work in a small local accounting firm, or work in other areas of business management.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-accounting-wacc01-2021,Equivalent ,The Bachelor of Accounting prepares you with professional skills to become an accountant or work in a range of roles that rely on accounting knowledge.,,Years,Australia,Asia Pacific College of Business and Law,BA,Yes,Bachelor of Accounting,
IELTS,Yes,AUD,Yes,3.0,ATAR,Darwin,Years,Yes,English,Yes,"26,872.00",6.0,Yes,Yes,"Completing a Bachelor of Accounting/Diploma of Laws dual qualification can lead to a wide range of career opportunities in small, medium and large organisations. An accountant with knowledge of the law is better equipped to handle legal issues relating to money. As a dual qualification graduate, you may become a financial accountant, management accountant, financial auditor, tax auditor/preparer, business financial analyst, or work in a large multinational company or 'Big Four' accounting firm. Or, you could run your own businesses, work in a small local accounting firm, or work in other areas of business management. There can be other career opportunities due to the combination of knowledge of accounting and law putting you in a unique advantage which a single qualification otherwise cannot offer.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-accountingdiploma-laws-laccl1-2021,Equivalent ,The Bachelor of Accounting/Diploma of Laws is a unique course that prepares you to qualify as an accountant and teaches you about the legal issues affecting accounting practices. The course is an opportunity to gain two qualifications in three years (if you study full time) and expand your career prospects as a more sought-after accountant in the corporate world.,,Years,Australia,Asia Pacific College of Business and Law,BA,Yes,Bachelor of Accounting/Diploma of Laws,
IELTS,Yes,AUD,Yes,3.0,ATAR,Online,Years,Yes,English,Yes,"26,872.00",6.0,Yes,Yes,"Completing a Bachelor of Accounting/Diploma of Laws dual qualification can lead to a wide range of career opportunities in small, medium and large organisations. An accountant with knowledge of the law is better equipped to handle legal issues relating to money. As a dual qualification graduate, you may become a financial accountant, management accountant, financial auditor, tax auditor/preparer, business financial analyst, or work in a large multinational company or 'Big Four' accounting firm. Or, you could run your own businesses, work in a small local accounting firm, or work in other areas of business management. There can be other career opportunities due to the combination of knowledge of accounting and law putting you in a unique advantage which a single qualification otherwise cannot offer.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-accountingdiploma-laws-laccl1-2021,Equivalent ,The Bachelor of Accounting/Diploma of Laws is a unique course that prepares you to qualify as an accountant and teaches you about the legal issues affecting accounting practices. The course is an opportunity to gain two qualifications in three years (if you study full time) and expand your career prospects as a more sought-after accountant in the corporate world.,,Years,Australia,Asia Pacific College of Business and Law,BA,Yes,Bachelor of Accounting/Diploma of Laws,
IELTS,Yes,AUD,Yes,3.0,ATAR,Darwin,Years,Yes,English,Yes,"25,328.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in a wide range of fields. The knowledge and skills you acquire through this degree will prepare you for work in a range of government and statutory authorities  such as land councils, museums, training and research organisations, diplomacy, policy advisor, communications, media, or consultancy particularly where these organisations engage with central and northern Australia and Asia. Study with a focus on creative endeavours will support your career as a artist, writer, designer or performer, particularly if you can combine your study with some work in entrepreneurship and business management.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-arts-warts2-2021,Equivalent ,"The Bachelor of Arts is a highly flexible, new-age degree featuring a choice of nine majors, each offering a unique perspective on the world around you and your role in it. You'll learn how to improve your decision making, generate new ideas, and think critically and creatively. At a time when some jobs are disappearing, others are evolving and new jobs are emerging, these are the transferable skills that will future proof your career.",,Years,Australia,"College of Indigenous Futures, Arts and Society",BA,Yes,Bachelor of Arts,
IELTS,Yes,AUD,Yes,3.0,ATAR,Online,Years,Yes,English,Yes,"25,328.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in a wide range of fields. The knowledge and skills you acquire through this degree will prepare you for work in a range of government and statutory authorities  such as land councils, museums, training and research organisations, diplomacy, policy advisor, communications, media, or consultancy particularly where these organisations engage with central and northern Australia and Asia. Study with a focus on creative endeavours will support your career as a artist, writer, designer or performer, particularly if you can combine your study with some work in entrepreneurship and business management.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-arts-warts2-2021,Equivalent ,"The Bachelor of Arts is a highly flexible, new-age degree featuring a choice of nine majors, each offering a unique perspective on the world around you and your role in it. You'll learn how to improve your decision making, generate new ideas, and think critically and creatively. At a time when some jobs are disappearing, others are evolving and new jobs are emerging, these are the transferable skills that will future proof your career.",,Years,Australia,"College of Indigenous Futures, Arts and Society",BA,Yes,Bachelor of Arts,
IELTS,Yes,AUD,Yes,1.0,ATAR,Darwin,Years,Yes,English,Yes,"25,328.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in a wide range of fields. The knowledge and skills you acquire through this degree will prepare you for a research role in a range of government and statutory authorities such as land councils, museums, training and research organisations, diplomacy, policy advisor, communications, media, or consultancy particularly where these organisations engage with central and northern Australia and Asia.  Completion of honours at the highest levels will open up possibilities of a research career by allowing you to enrol in a PhD.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-arts-honours-varth1-2021,Equivalent ,The Bachelor of Arts (Honours) is a one-year course for high-achieving Bachelor of Arts' graduates. It is an opportunity to produce a research project that deeply explores an area of your interest and boost your CV.,,Year,Australia,"College of Indigenous Futures, Arts and Society",HONS,Yes,Bachelor of Arts Honours,
IELTS,Yes,AUD,Yes,1.0,ATAR,Online,Years,Yes,English,Yes,"25,328.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in a wide range of fields. The knowledge and skills you acquire through this degree will prepare you for a research role in a range of government and statutory authorities such as land councils, museums, training and research organisations, diplomacy, policy advisor, communications, media, or consultancy particularly where these organisations engage with central and northern Australia and Asia.  Completion of honours at the highest levels will open up possibilities of a research career by allowing you to enrol in a PhD.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/bachelor-arts-honours-varth1-2021,Equivalent ,The Bachelor of Arts (Honours) is a one-year course for high-achieving Bachelor of Arts' graduates. It is an opportunity to produce a research project that deeply explores an area of your interest and boost your CV.,,Year,Australia,"College of Indigenous Futures, Arts and Society",HONS,Yes,Bachelor of Arts Honours,
IELTS,Yes,AUD,Yes,1.0,ATAR,Darwin,Years,Yes,English,Yes,"25,328.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in a wide range of fields. The knowledge and skills you acquire through this qualification will begin to prepare you for work in a range of government and statutory authorities such as land councils, museums, training and research organisations, as a policy advisor, or work in diplomacy, communications, media, or consultancy: particularly where these organisations engage with central and northern Australia and Asia. Study with a focus on creative endeavours will support your career as an artist, writer, designer or performer, particularly if you can combine your study with some work in entrepreneurship and business management.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/diploma-arts-yarts1-2021,Equivalent ,"The Diploma of Arts program offers students a pathway into diverse specialist and interdisciplinary thematic areas including communications, text and digital media; society and culture; digital and global humanities; Indigenous governance and policy; contemporary Indigenous Australian languages and linguistics; digital and creative arts; music, production and performance; and architectural design. As a student, your journey through this program will also develop core communication, critical and creative thinking skills to prepare you to participate in a multi-disciplinary and global workforce.",,Year,Australia,"College of Indigenous Futures, Arts and Society",DIP,Yes,Diploma of Arts,
IELTS,Yes,AUD,Yes,1.0,ATAR,Online,Years,Yes,English,Yes,"25,328.00",6.0,Yes,Yes,"Graduating from this course may lead to career opportunities in a wide range of fields. The knowledge and skills you acquire through this qualification will begin to prepare you for work in a range of government and statutory authorities such as land councils, museums, training and research organisations, as a policy advisor, or work in diplomacy, communications, media, or consultancy: particularly where these organisations engage with central and northern Australia and Asia. Study with a focus on creative endeavours will support your career as an artist, writer, designer or performer, particularly if you can combine your study with some work in entrepreneurship and business management.",Charles Darwin University,A,CSP supported,Year 12,https://www.cdu.edu.au/study/diploma-arts-yarts1-2021,Equivalent ,"The Diploma of Arts program offers students a pathway into diverse specialist and interdisciplinary thematic areas including communications, text and digital media; society and culture; digital and global humanities; Indigenous governance and policy; contemporary Indigenous Australian languages and linguistics; digital and creative arts; music, production and performance; and architectural design. As a student, your journey through this program will also develop core communication, critical and creative thinking skills to prepare you to participate in a multi-disciplinary and global workforce.",,Year,Australia,"College of Indigenous Futures, Arts and Society",DIP,Yes,Diploma of Arts,
