Prerequisite_2_grade_2,Prerequisite_1,Country,Face_to_Face,Career_Outcomes/path,Course_Lang,Availability,Course,Level_Code,FREE TAFE,Int_Fees,Duration,Faculty,Local_Fees,Full_Time,Website,Duration_Time,Remarks,Prerequisite_2,Part_Time,Description,Blended,City,Distance,Online,Prerequisite_1_grade_1,Currency_Time,University,Offline,Currency,Course Delivery Mode
N/A,ATAR,Australia,Yes,"'printing machinist', 'graphic artist assistant', 'multimedia design assistant', 'advertising design assistant', 'print/graphic design assistant', 'digital print operator', 'graphic artist', 'web designer', 'advertising design assistant', 'graphic design/art assistant', 'multimedia design assistant', 'design assistant', 'graphic artist', 'web designer', 'multimedia designer', 'advertising designer'",English,D,Certificate II In Printing And Graphic Arts (General),CERTII,No,N/A,16.0,,7438,No,https://www.chisholm.edu.au/courses/certificate-ii/printing-and-graphic-arts-general,Weeks,,IELTS,Yes,"Chase your creative calling and join the printing and design industry.The Certificate II in Printing and Graphic Arts gives you the skills and knowledge to work in the printing industry in particular digital printing systems and processes.You will gain the skills to design and layout materials, check proofs and liaise with commercial printers.  You will also learn to produce materials for publication such as books, newsletters and reports using Adobe Creative Suite.  From a graphic design perspective you will learn to work on a range of documents, creating layouts and typographic elements.This well-rounded pre-apprenticeship is your stepping stone for you to chase your creative calling in the print and graphic design industry.  This course pathways into Certificate IV in Design (CUA40715).This course runs for three days a week for 16 weeks.",No,Melbourne,No,No,,Years,Chisholm Institute,Yes,AUD,Normal
N/A,ATAR,Australia,Yes,"'graphic artist', 'web designer', 'advertising design assistant', 'graphic design/art assistant', 'multimedia design assistant', 'design assistant', 'graphic artist', 'web designer', 'multimedia designer', 'advertising designer'",English,D,Certificate IV In Design,CERTIV,No,N/A,1.0,,8638,Yes,https://www.chisholm.edu.au/courses/certificate-iv/design,Years,,IELTS,No,"Extend your design skills and set yourself up for an exciting career in the design or graphic design industry. As a Chisholm Certificate IV in Design graduate you will receive  a strong foundation in both technical and conceptual requirements to problem solve through design, as well as a a portfolio of  wide ranging work. You will implement design briefs from concept through to production according to industry standards, while learning practical skills in photo imaging, design layout and typography, using both traditional and digital mediums and techniques. With a strong emphasis on the Adobe creative suite you will develop solid foundation skills in this industry standard software using state of the art Apple computers and our suite of large format printers on paper and vinyl. Students can pathway directly into the Diploma of Graphic Design upon completion and extend their skills and knowledge before chasing a creative career in the design industry. Full time: two - three days/weekPlease note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.",No,Melbourne,No,No,,Years,Chisholm Institute,Yes,AUD,Normal
N/A,ATAR,Australia,Yes,"'graphic artist', 'web designer', 'multimedia designer', 'advertising designer', 'fine artist', 'illustrator', 'art consultant', 'photographer', 'digital artist', 'graphic designer'",English,D,Diploma Of Graphic Design,DIP,No,N/A,1.0,,13935,Yes,https://www.chisholm.edu.au/courses/diploma/graphic-design,Year,,IELTS,No,"Build a dynamic graphic design portfolio and stand out in the Graphic Design Industry. When you complete our Diploma of Graphic Design, you will have accumulated a wide range of industry relevant technical and creative skills, and a portfolio of quality artwork to kick start your graphic design career. You will learn practical skills such as working on  design briefs, concept development, visual presentation, print preparation, web layout, freelance skills and photo imaging. Delivered by experienced teachers who are current practitioners in their field our teachers inspire and support our students to create a portfolio in a range of styles. Our Diploma of Graphic Design will allow you to combine your technical, creative and conceptual skills to create designs and solutions that meet client requirements and solve a range of visual communication challenges. Chisholm's focus is on quality facilities and links to industry partners to provide stimulating and strong technical and creative expertise in the graphic design field. The program is supported with workshops, excursions, industry visits and participation in competitions.Full time: four days a weekPlease note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.",No,Melbourne,No,No,,Years,Chisholm Institute,Yes,AUD,Normal
N/A,ATAR,Australia,Yes,"'desktop publishing assistant', 'design assistant', 'graphic artist', 'web designer', 'multimedia designer', 'advertising designer'",English,D,VCAL - Victorian Certificate Of Applied Learning (Intermediate),CERT,No,N/A,1.0,,2568,Yes,https://www.chisholm.edu.au/courses/victorian-certificate-of-applied-learning/vcal--victorian-certificate-of-applied-learning-intermediate-year-11-digital-design-and-graphics,Year,,IELTS,No,"During the course you’ll gain industry specific training in web design; photography; digital image editing; and production of desktop published documents. You’ll also build numeracy; literacy; personal development; and work related skills.Please note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.",No,Melbourne,No,No,,Years,Chisholm Institute,Yes,AUD,Normal
N/A,ATAR,Australia,Yes,"'desktop publishing assistant', 'design assistant', 'graphic artist', 'web designer', 'multimedia designer', 'advertising designer'",English,D,VCAL - Victorian Certificate Of Applied Learning (Senior),CERT,No,N/A,1.0,,2568,Yes,https://www.chisholm.edu.au/courses/victorian-certificate-of-applied-learning/vcal-desktop-printing-and-graphics-intermediate-or-senior,Year,,IELTS,No,"During the course you’ll gain industry specific training in web design; photography; digital image editing; and production of desktop published documents. You’ll also build numeracy; literacy; personal development; and work related skills.Please note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.",No,Melbourne,No,No,,Years,Chisholm Institute,Yes,AUD,Normal
N/A,ATAR,Australia,Yes,"'photography assistant', 'photo store specialist', 'retail photography', 'studio assistant', 'photo lab technician', 'photographer'",English,D,Certificate IV In Photography And Photo Imaging,CERTIV,No,N/A,1.0,,10676,Yes,https://www.chisholm.edu.au/courses/certificate-iv/photography-and-photo-imaging,Years,,IELTS,No,"The Certificate IV in Photography and Photo Imaging is the perfect introduction to building the foundation skills you need as a commercial photographer or photographic artist. This course has a strong mix of both commercial and fine art subjects, developing your digital and analogue skills. You will have access to all new facilities such as our studio spaces, print room and analogue darkroom facilities gaining knowledge and practical experience in digital image capture, studio and location lighting and of the photography industry.Our course is endorsed by the Australian Institute of Professional Photography (AIPP) and is delivered by experienced teachers who are current practitioners in their field, either running their own photographic practice and businesses or working in industry. Our teachers inspire and support our students in creating a portfolio’s in a range of styles. Our focus is on quality facilities and links to industry partners to provide stimulating and strong technical and creative expertise in the photography field. The program is supported with workshops, excursions and industry visits including the The Ballarat International Foto Biennale and participation in national competitions such as the Head On photography festival. Full time: 2-3 days per weekPlease note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.View some of our Photography and Photo Imaging student's work on flickr",No,Melbourne,No,No,,Years,Chisholm Institute,Yes,AUD,Normal
N/A,ATAR,Australia,Yes,"'photographer', 'fine artist', 'illustrator', 'art consultant', 'photographer', 'digital artist', 'graphic designer'",English,D,Diploma Of Photography And Photo Imaging,DIP,No,N/A,1.0,,12533,Yes,https://www.chisholm.edu.au/courses/diploma/photography-and-photo-imaging,Year,,IELTS,Yes,"Refine your skills and build industry contacts.Expand your creative and technical knowledge as you prepare to enter the photography industry. You will further your skills working in our new photo studios, post-production labs and using analogue processes in our black and white darkroom, while gaining exposure and experience with industry through exhibition and photography work opportunities. Your teachers will guide you through building your portfolio for your next endeavour whether that be in commercial or fine art photography.  Our course is endorsed by the Australian Institute of Professional Photography (AIPP) and is delivered by experienced teachers who are current practitioners in their field, either running their own photographic practice and businesses or working in industry. Our teachers inspire and support our students to create a portfolio geared towards entering the industry. This course combines industry knowledge and practical training with a strong emphasis on innovation, technical competence and finding your photographic style. There is a focus on producing photo images for a variety of media, as well as colour management, photo lighting, social media engagement, refining digital techniques, industry engagement and producing public art projects. Our focus is on quality facilities and links to industry partners to provide stimulating connections and strong technical and creative expertise in the photography field. The program is supported with a visiting artists program and excursions including the Ballarat International Foto Biennale and a selection of galleries throughout the year. Students are encouraged to participate in national competitions and exhibitions such as the Head On Photo Festival and the Ilford CCP Salon. This course can pathway into the Advanced Diploma of Creative Product Development.Full time 3-4 daysPlease note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.View some of our Photography and Photo Imaging student's work on flickr",No,Melbourne,No,No,,Years,Chisholm Institute,Yes,AUD,Normal
N/A,ATAR,Australia,Yes,"'painter', 'community arts', 'visual arts assistant', 'art assistant', 'freelance artist', 'printmaker', 'story board artist', 'multimedia artist', 'tattoo artist', 'illustrator', 'comic color, background and effects artist'",English,D,Certificate IV In Visual Arts,CERTIV,No,N/A,1.0,,9720,Yes,https://www.chisholm.edu.au/courses/certificate-iv/visual-arts,Years,,IELTS,No,"Our Certificate IV in Visual Arts is the first step to expand our student’s understanding of all practical and theoretical areas in arts practice. The course is designed to lead into the Fine Arts and Illustration and extends the student's awareness of self-expression and creativity, through drawing, painting, sculpture print making, digital art, exhibition planning, creative thinking and building a business in the creative industries. Our experienced staff are practicing artists and experts in their teaching areas, are  committed to their students and passionate about the quality of their learning experience. We offer a regular visiting artist program includes industry experts in a variety of genres and introduces students to industry practice, new creative processes and networking opportunities. Students will receive a broad experience in art within the classroom and workshops to facilitate personal understanding of their own future direction in the creative industries. They will participate in and experience a range of exhibitions held in professional gallery spaces. Chisholm art facilities include excellent industry standard printmaking and sculpture studios.Full time 2-3 days per weekPlease note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.View some of our Visual Arts student's work on flickr",No,Melbourne,No,No,,Years,Chisholm Institute,Yes,AUD,Normal
N/A,ATAR,Australia,Yes,"'story board artist', 'multimedia artist', 'tattoo artist', 'illustrator', 'comic color, background and effects artist', 'fine artist', 'illustrator', 'art consultant', 'photographer', 'digital artist', 'graphic designer'",English,D,Diploma Of  Visual Arts,DIP,No,N/A,1.0,,12819,Yes,https://www.chisholm.edu.au/courses/diploma/visual-arts-illustration,Year,,IELTS,Yes,"If you love creating images  and the process of visual stories this course is for you. By specialising in illustration at Chisholm, you will further develop your practical communication skills in a variety of traditional and digital media techniques. In addition you will learn to develop conceptual ideas, problem solving techniques, creativity skills, fine illustration techniques, exhibition concepts  and how to prepare artwork from publishing to exhibition. Our passionate teachers are closely connected to the illustration industry, encouraging both traditional and contemporary image making   Our experienced teachers are current practitioners in their field and inspire and support our students to create a portfolio in a range of styles. You will complete most of your learning in our dedicated drawing, illustration and mac studios located at the Frankston campus, and will have the opportunity to conceptualise, plan and exhibit work in commercial gallery spaces throughout the course. Classes are informative and fun with students encouraged to introduce their own style to their work and  class assessments. Our focus is on quality facilities and links to industry partners to provide stimulating and strong technical and creative expertise in the illustration field. The program is supported with workshops, excursions, industry visits and participation in competitions.Please note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.",No,Melbourne,No,No,,Years,Chisholm Institute,Yes,AUD,Normal
N/A,ATAR,Australia,Yes,"'new media artist', 'printmaker', 'visual arts assistant', 'gallery assistant', 'sculptor', 'freelance artist', 'fine artist', 'illustrator', 'art consultant', 'photographer', 'digital artist', 'graphic designer'",English,D,Diploma Of  Visual Arts,DIP,No,N/A,1.0,,13275,Yes,https://www.chisholm.edu.au/courses/diploma/visual-arts-fine-arts,Year,,IELTS,No,"Chisholm's Diploma in Fine Art  provides a stimulating delivery to support your creativity across multi-disciplines in art including drawing, painting, sculpture, digital media, creative thinking, exhibitions concepts and printmaking. This course will further develop your practical communication skills in a variety of traditional and digital media. In addition, you will learn to conceptualise ideas, problem solving techniques, portfolio presentation, history and theory, sustainability and how to prepare artwork from creation to exhibition. Our passionate teachers are practicing artists closely connected to the visual arts industry, encouraging both traditional and contemporary creativity. Our experienced trainers inspire and support our students to create a portfolio in a range of styles which is technically and conceptually focused. Strong emphasis is placed on developing students’ ability to create their own designs through group activities and innovative approaches to handling materials. On completion of this course, graduates will enter the arts industry prepared and with the skills needed to present their work directly to the public or exhibitions, supply to retail outlets or find employment in various creative arts industries. You will complete most of your learning in our dedicated drawing, sculpture, printmaking and mac studios located at the Frankston campus. Students will have the opportunity to plan and exhibit work in commercial gallery spaces throughout the course. Classes are informative and fun, with students encouraged to introduce their own style to their work to class assessments. Our focus is on quality facilities and links to industry partners to provide stimulating and strong technical and creative expertise in the Visual Arts field. This program is supported with workshops, excursions, industry visits and participation in competitions. Full time: three to four days a weekPlease note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.",No,Melbourne,No,No,,Years,Chisholm Institute,Yes,AUD,Normal
