Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Course Delivery Mode,FREE TAFE,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
CERTII,Chisholm Institute,Melbourne,Certificate II In Printing And Graphic Arts (General),,N/A,0,AUD,Years,16.0,Weeks,No,Yes,ATAR,IELTS,,N/A,https://www.chisholm.edu.au/courses/certificate-ii/printing-and-graphic-arts-general,English,D,"Chase your creative calling and join the printing and design industry.The Certificate II in Printing and Graphic Arts gives you the skills and knowledge to work in the printing industry in particular digital printing systems and processes.You will gain the skills to design and layout materials, check proofs and liaise with commercial printers.  You will also learn to produce materials for publication such as books, newsletters and reports using Adobe Creative Suite.  From a graphic design perspective you will learn to work on a range of documents, creating layouts and typographic elements.This well-rounded pre-apprenticeship is your stepping stone for you to chase your creative calling in the print and graphic design industry.  This course pathways into Certificate IV in Design (CUA40715).This course runs for three days a week for 16 weeks.","printing machinist, graphic artist assistant, multimedia design assistant, advertising design assistant, print/graphic design assistant, digital print operator, graphic artist, web designer, advertising design assistant, graphic design/art assistant, multimedia design assistant, design assistant, graphic artist, web designer, multimedia designer, advertising designer",Australia,No,Yes,No,Yes,No,,Normal,Yes,ICPPRP2110,Develop basic design concepts,,ICPDMT3220,Edit digital images,,ICPPRP2320,Electronically combine and assemble data for page layouts,,ICPSUP2160,Inspect quality against required standards in a production environment,,ICPSUP2030,Prepare and maintain the work area,,ICPPRP2250,Produce graphics using graphics applications,,ICPPRP224,Produce pages using a page layout application,,ICPPRP2210,Select and apply type,,ICPPRN3840,Set up and produce basic digital print,,ICPPRN284,Use colour management systems,,ICPSUP2810,Use computer systems in the printing and graphic arts sectors,,ICPPRN2870,Use digital processes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIV,Chisholm Institute,Melbourne,Certificate IV In Design,,N/A,8638,AUD,Years,1.0,Years,Yes,No,ATAR,IELTS,,N/A,https://www.chisholm.edu.au/courses/certificate-iv/design,English,D,"Extend your design skills and set yourself up for an exciting career in the design or graphic design industry. As a Chisholm Certificate IV in Design graduate you will receive  a strong foundation in both technical and conceptual requirements to problem solve through design, as well as a a portfolio of  wide ranging work. You will implement design briefs from concept through to production according to industry standards, while learning practical skills in photo imaging, design layout and typography, using both traditional and digital mediums and techniques. With a strong emphasis on the Adobe creative suite you will develop solid foundation skills in this industry standard software using state of the art Apple computers and our suite of large format printers on paper and vinyl. Students can pathway directly into the Diploma of Graphic Design upon completion and extend their skills and knowledge before chasing a creative career in the design industry. Full time: two - three days/weekPlease note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.","graphic artist, web designer, advertising design assistant, graphic design/art assistant, multimedia design assistant, design assistant, graphic artist, web designer, multimedia designer, advertising designer",Australia,No,Yes,No,Yes,No,,Normal,No,BSBWHS201,Contribute to health and safety of self and others,,ICPPRP324,Create pages using a page layout application,,BSBCRT301,Develop and extend critical and creative thinking skills,,BSBDES403,Develop and extend design skills and practice,,CUAILL401,Develop and refine illustrative work,,CUADRA401,Experiment with techniques to produce drawings,,BSBDES401,Generate design solutions,,CUAACD401,Integrate colour theory and design processes,,BSBDES402,Interpret and respond to a design brief,,CUADIG405,Produce innovative digital images,,ICPPRP224,Produce pages using a page layout application,,CUAACD303,Produce technical drawings,,CUAGRD302,Use typography techniques,,CUAPPR401,Realise a creative project,,BSBDES305,Source and apply information on the history and theory of design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Chisholm Institute,Melbourne,Diploma Of Graphic Design,,N/A,13935,AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,N/A,https://www.chisholm.edu.au/courses/diploma/graphic-design,English,D,"Build a dynamic graphic design portfolio and stand out in the Graphic Design Industry. When you complete our Diploma of Graphic Design, you will have accumulated a wide range of industry relevant technical and creative skills, and a portfolio of quality artwork to kick start your graphic design career. You will learn practical skills such as working on  design briefs, concept development, visual presentation, print preparation, web layout, freelance skills and photo imaging. Delivered by experienced teachers who are current practitioners in their field our teachers inspire and support our students to create a portfolio in a range of styles. Our Diploma of Graphic Design will allow you to combine your technical, creative and conceptual skills to create designs and solutions that meet client requirements and solve a range of visual communication challenges. Chisholm's focus is on quality facilities and links to industry partners to provide stimulating and strong technical and creative expertise in the graphic design field. The program is supported with workshops, excursions, industry visits and participation in competitions.Full time: four days a weekPlease note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.","graphic artist, web designer, multimedia designer, advertising designer, fine artist, illustrator, art consultant, photographer, digital artist, graphic designer",Australia,No,Yes,No,Yes,No,,Normal,No,ICTWEB501,Build a dynamic website,,CUAGRD504,Create and manipulate graphics,,BSBADV509,Create mass print media advertisements,,CUAANM403,Create titles for screen productions,,CUADIG403,Create user interfaces,,CUAGRD505,Design and manipulate complex layouts,,CUAANM503,Design animation and digital visual effects,,BSBDES403,Develop and extend design skills and practice,,CUAGRD506,Develop graphic design practice to meet industry needs,,CUAGRD607,Develop graphic designs for branding and identity,,CUAGRD606,Develop graphic designs for packaging,,CUAILL501,Develop professional illustrations,,CUAPPR503,Present a body of own creative work,,CUAGRD502,Produce graphic designs for 2-D and 3-D applications,,CUAGRD503,Produce typographic design solutions,,CUAIND402,Provide freelance services,,CUAGRD501,Research visual communication history and theory,,CUAACD507,Refine 3-D design ideas and processes,,CUAACD501,Refine drawing and other visual representation tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERT,Chisholm Institute,Melbourne,VCAL - Victorian Certificate Of Applied Learning (Intermediate),,N/A,2568,AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,N/A,https://www.chisholm.edu.au/courses/victorian-certificate-of-applied-learning/vcal--victorian-certificate-of-applied-learning-intermediate-year-11-digital-design-and-graphics,English,D,"During the course you’ll gain industry specific training in web design; photography; digital image editing; and production of desktop published documents. You’ll also build numeracy; literacy; personal development; and work related skills.Please note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.","desktop publishing assistant, design assistant, graphic artist, web designer, multimedia designer, advertising designer",Australia,No,Yes,No,Yes,No,,Normal,No,ICPMM322C,Edit a digital image,,ICPPP322C,Digitise images for reproduction,,LIT021,Reading and writing,,NUM021,Numeracy Skills Intermediate,,BSBITU309A,Produce desktop published documents,,ICPPP224C,Produce pages using page layout application,,BSBSUS201A,Participate in environmentally sustainable work practices,,WRS022,Work related skills unit 2 (intermediate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERT,Chisholm Institute,Melbourne,VCAL - Victorian Certificate Of Applied Learning (Senior),,N/A,2568,AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,N/A,https://www.chisholm.edu.au/courses/victorian-certificate-of-applied-learning/vcal-desktop-printing-and-graphics-intermediate-or-senior,English,D,"During the course you’ll gain industry specific training in web design; photography; digital image editing; and production of desktop published documents. You’ll also build numeracy; literacy; personal development; and work related skills.Please note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.","desktop publishing assistant, design assistant, graphic artist, web designer, multimedia designer, advertising designer",Australia,No,Yes,No,Yes,No,,Normal,No,NUM021,Numeracy Skills Intermediate,,BSBSUS201A,Participate in environmentally sustainable work practices,,ICPPP224C,Produce pages using page layout application,,ICPMM322C,Edit a digital image,,WRS022,Work related skills unit 2 (intermediate),,BSBITU309A,Produce desktop published documents,,ICPPP322C,Digitise images for reproduction,,LIT021,Reading and writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIV,Chisholm Institute,Melbourne,Certificate IV In Photography And Photo Imaging,,N/A,10676,AUD,Years,1.0,Years,Yes,No,ATAR,IELTS,,N/A,https://www.chisholm.edu.au/courses/certificate-iv/photography-and-photo-imaging,English,D,"The Certificate IV in Photography and Photo Imaging is the perfect introduction to building the foundation skills you need as a commercial photographer or photographic artist. This course has a strong mix of both commercial and fine art subjects, developing your digital and analogue skills. You will have access to all new facilities such as our studio spaces, print room and analogue darkroom facilities gaining knowledge and practical experience in digital image capture, studio and location lighting and of the photography industry.Our course is endorsed by the Australian Institute of Professional Photography (AIPP) and is delivered by experienced teachers who are current practitioners in their field, either running their own photographic practice and businesses or working in industry. Our teachers inspire and support our students in creating a portfolio’s in a range of styles. Our focus is on quality facilities and links to industry partners to provide stimulating and strong technical and creative expertise in the photography field. The program is supported with workshops, excursions and industry visits including the The Ballarat International Foto Biennale and participation in national competitions such as the Head On photography festival. Full time: 2-3 days per weekPlease note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.View some of our Photography and Photo Imaging student's work on flickr","photography assistant, photo store specialist, retail photography, studio assistant, photo lab technician, photographer",Australia,No,Yes,No,Yes,No,,Normal,No,CUAPHI402,Apply photo imaging lighting techniques,,BSBREL402,Build client relationships and business networks,,CUAPHI401,Capture images in response to a brief,,CUAPHI302,Capture photographic images,,BSBWHS201,Contribute to health and safety of self and others,,CUAPHI403,"Enhance, manipulate and output photo images",,CUAPHI301,Develop and apply photo imaging industry knowledge,,CUAACD401,Integrate colour theory and design processes,,BSBDES402,Interpret and respond to a design brief,,CUAPPR304,Participate in collaborative creative projects,,CUAPPR503,Present a body of own creative work,,CUAPHI303,Process photo images to work-print and file stage,,CUARES403,Research history and theory to inform own arts practice,,CUAPPR403,Store and maintain finished creative work,,CUAPHI305,Use wet darkroom techniques to produce monochrome photographs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Chisholm Institute,Melbourne,Diploma Of Photography And Photo Imaging,,N/A,12533,AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,,N/A,https://www.chisholm.edu.au/courses/diploma/photography-and-photo-imaging,English,D,"Refine your skills and build industry contacts.Expand your creative and technical knowledge as you prepare to enter the photography industry. You will further your skills working in our new photo studios, post-production labs and using analogue processes in our black and white darkroom, while gaining exposure and experience with industry through exhibition and photography work opportunities. Your teachers will guide you through building your portfolio for your next endeavour whether that be in commercial or fine art photography.  Our course is endorsed by the Australian Institute of Professional Photography (AIPP) and is delivered by experienced teachers who are current practitioners in their field, either running their own photographic practice and businesses or working in industry. Our teachers inspire and support our students to create a portfolio geared towards entering the industry. This course combines industry knowledge and practical training with a strong emphasis on innovation, technical competence and finding your photographic style. There is a focus on producing photo images for a variety of media, as well as colour management, photo lighting, social media engagement, refining digital techniques, industry engagement and producing public art projects. Our focus is on quality facilities and links to industry partners to provide stimulating connections and strong technical and creative expertise in the photography field. The program is supported with a visiting artists program and excursions including the Ballarat International Foto Biennale and a selection of galleries throughout the year. Students are encouraged to participate in national competitions and exhibitions such as the Head On Photo Festival and the Ilford CCP Salon. This course can pathway into the Advanced Diploma of Creative Product Development.Full time 3-4 daysPlease note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.View some of our Photography and Photo Imaging student's work on flickr","photographer, fine artist, illustrator, art consultant, photographer, digital artist, graphic designer",Australia,No,Yes,No,Yes,No,,Normal,No,BSBIPR401,Use and respect copyright,,BSBMKG537,Develop a social media engagement plan,,CUACAM401,Shoot a wide range of screen content,,CUADIG405,Produce innovative digital images,,CUAIND402,Provide freelance services,,CUAPHI501,Apply visual communication theory to photo imaging practice,,CUAPHI502,Research and apply photo imaging trends,,CUAPHI503,Explore the descriptive and emotive nature of photo lighting,,CUAPHI505,Produce commercial photo images,,CUAPHI506,Provide photographic portrait services,,CUAPHI507,Produce media photo images,,CUAPHI509,Plan and produce visual art photo images,,CUAPHI511,Make illustrative photo images for publication and display,,CUAPHI513,Employ colour management in a digital imaging workplace,,CUAPHI514,Prepare digital images for pre-press processing,,CUAPPR501,Realise a body of creative work,,CUAPPR606,Extend expertise in a specialised art form to professional level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIV,Chisholm Institute,Melbourne,Certificate IV In Visual Arts,,N/A,9720,AUD,Years,1.0,Years,Yes,No,ATAR,IELTS,,N/A,https://www.chisholm.edu.au/courses/certificate-iv/visual-arts,English,D,"Our Certificate IV in Visual Arts is the first step to expand our student’s understanding of all practical and theoretical areas in arts practice. The course is designed to lead into the Fine Arts and Illustration and extends the student's awareness of self-expression and creativity, through drawing, painting, sculpture print making, digital art, exhibition planning, creative thinking and building a business in the creative industries. Our experienced staff are practicing artists and experts in their teaching areas, are  committed to their students and passionate about the quality of their learning experience. We offer a regular visiting artist program includes industry experts in a variety of genres and introduces students to industry practice, new creative processes and networking opportunities. Students will receive a broad experience in art within the classroom and workshops to facilitate personal understanding of their own future direction in the creative industries. They will participate in and experience a range of exhibitions held in professional gallery spaces. Chisholm art facilities include excellent industry standard printmaking and sculpture studios.Full time 2-3 days per weekPlease note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.View some of our Visual Arts student's work on flickr","painter, community arts, visual arts assistant, art assistant, freelance artist, printmaker, story board artist, multimedia artist, tattoo artist, illustrator, comic color, background and effects artist",Australia,No,Yes,No,Yes,No,,Normal,No,CUAACD401,Integrate colour theory and design processes,,CUAPPR404,Develop self as artist,,CUAPRI401,Experiment with techniques to produce prints,,CUAPPR405,Develop and discuss ideas for own creative work,,CUADRA401,Experiment with techniques to produce drawings,,BSBWHS201,Contribute to health and safety of self and others,,CUAACD301,Produce drawings to communicate ideas,,CUAPAI401,Experiment with techniques to produce paintings,,CUAPPR401,Realise a creative project,,CUADIG405,Produce innovative digital images,,CUARES403,Research history and theory to inform own arts practice,,CUAILL401,Develop and refine illustrative work,,CUASCU401,Experiment with techniques to produce sculpture,,CUAPPR407,Select and prepare creative work for exhibition,,BSBDES301,Explore the use of colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Chisholm Institute,Melbourne,Diploma Of  Visual Arts,,N/A,12819,AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,,N/A,https://www.chisholm.edu.au/courses/diploma/visual-arts-illustration,English,D,"If you love creating images  and the process of visual stories this course is for you. By specialising in illustration at Chisholm, you will further develop your practical communication skills in a variety of traditional and digital media techniques. In addition you will learn to develop conceptual ideas, problem solving techniques, creativity skills, fine illustration techniques, exhibition concepts  and how to prepare artwork from publishing to exhibition. Our passionate teachers are closely connected to the illustration industry, encouraging both traditional and contemporary image making   Our experienced teachers are current practitioners in their field and inspire and support our students to create a portfolio in a range of styles. You will complete most of your learning in our dedicated drawing, illustration and mac studios located at the Frankston campus, and will have the opportunity to conceptualise, plan and exhibit work in commercial gallery spaces throughout the course. Classes are informative and fun with students encouraged to introduce their own style to their work and  class assessments. Our focus is on quality facilities and links to industry partners to provide stimulating and strong technical and creative expertise in the illustration field. The program is supported with workshops, excursions, industry visits and participation in competitions.Please note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.","story board artist, multimedia artist, tattoo artist, illustrator, comic color, background and effects artist, fine artist, illustrator, art consultant, photographer, digital artist, graphic designer",Australia,No,Yes,No,Yes,No,,Normal,No,CUARES503,Analyse cultural history and theory,,CUAPPR502,Develop own sustainable professional practice,,CUADRA502,Investigate drawing materials and processes,,CUAPPR505,Establish and maintain safe creative practice,,CUAIND502,Maintain and apply creative arts industry knowledge,,CUAPPR501,Realise a body of creative work,,CUAIND401,Extend expertise in specialist creative fields,,CUAILL501,Develop professional illustrations,,CUADIG509,Investigate technologies for the creation of digital art,,CUAACD501,Refine drawing and other visual representation tools,,CUAPPR503,Present a body of own creative work,,CUAACD513,Make mixed media artworks,,CUADIG508,Refine digital art techniques,,CUAILL502,Refine illustration techniques,,BSBLIB504,Develop exhibition concepts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Chisholm Institute,Melbourne,Diploma Of  Visual Arts,,N/A,13275,AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,N/A,https://www.chisholm.edu.au/courses/diploma/visual-arts-fine-arts,English,D,"Chisholm's Diploma in Fine Art  provides a stimulating delivery to support your creativity across multi-disciplines in art including drawing, painting, sculpture, digital media, creative thinking, exhibitions concepts and printmaking. This course will further develop your practical communication skills in a variety of traditional and digital media. In addition, you will learn to conceptualise ideas, problem solving techniques, portfolio presentation, history and theory, sustainability and how to prepare artwork from creation to exhibition. Our passionate teachers are practicing artists closely connected to the visual arts industry, encouraging both traditional and contemporary creativity. Our experienced trainers inspire and support our students to create a portfolio in a range of styles which is technically and conceptually focused. Strong emphasis is placed on developing students’ ability to create their own designs through group activities and innovative approaches to handling materials. On completion of this course, graduates will enter the arts industry prepared and with the skills needed to present their work directly to the public or exhibitions, supply to retail outlets or find employment in various creative arts industries. You will complete most of your learning in our dedicated drawing, sculpture, printmaking and mac studios located at the Frankston campus. Students will have the opportunity to plan and exhibit work in commercial gallery spaces throughout the course. Classes are informative and fun, with students encouraged to introduce their own style to their work to class assessments. Our focus is on quality facilities and links to industry partners to provide stimulating and strong technical and creative expertise in the Visual Arts field. This program is supported with workshops, excursions, industry visits and participation in competitions. Full time: three to four days a weekPlease note that, due to the COVID-19 pandemic and social distancing requirements, to continue your learning journey, this program will be delivered remotely where possible.  Participants will be required to engage with learning material online and via video conferencing software rather than attend classes.  Refer to our COVID-19 Online Service Standards for details of minimum technical requirements and support available. While it is expected that the course duration will remain unchanged, it may be necessary to extend the completion date if circumstances change. Chisholm will be monitoring the situation closely and inform of any changes if the duration of a course is extended.If you have any queries on a course delivery please contact our student information centre on 1300 244 746 or enquiries@chisholm.edu.au.","new media artist, printmaker, visual arts assistant, gallery assistant, sculptor, freelance artist, fine artist, illustrator, art consultant, photographer, digital artist, graphic designer",Australia,No,Yes,No,Yes,No,,Normal,No,CUAACD501,Refine drawing and other visual representation tools,,CUADRA502,Investigate drawing materials and processes,,CUAPPR505,Establish and maintain safe creative practice,,CUAPRI502,Investigate printmaking materials and processes,,CUARES503,Analyse cultural history and theory,,CUAPAI502,Investigate painting materials and processes,,CUAPAI501,Refine painting techniques,,CUASCU502,Investigate sculptural materials and processes,,BSBLIB504,Develop exhibition concepts,,CUAIND502,Maintain and apply creative arts industry knowledge,,BSBMKG414,Undertake marketing activities,,CUAPRI501,Refine printmaking techniques,,CUAPPR501,Realise a body of creative work,,CUAPPR503,Present a body of own creative work,,CUADIG508,Refine digital art techniques,,CUAPPR502,Develop own sustainable professional practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
