Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
ADIP,Edith Cowan University,Perth,Advanced Diploma of Dance (Elite Performance),Western Australian Academy of Performing Arts,,,AUD,Years,1,Year,Yes,No,ATAR,IELTS,Equivalent AQF, ,6,Year 12,https://www.ecu.edu.au/degrees/courses/advanced-diploma-of-dance-elite-performance,English,D,"This nationally-recognised qualification is the second year of the vocational dance program and is ballet focused. It takes a holistic approach to the needs of the dancer of the future, building the skills required for lifelong sustainability in the dance profession. The course encourages dancers' individuality, confidence, flair and creativity. Students take classes in ballet, pointe, classical repertoire, contemporary techniques, choreography, performance, dance history, music, fitness and kinesiology. Following completion of this course, it is possible to transfer to the Bachelor of Arts (Dance) for a third year of training that allows students to graduate with a Bachelor's degree.","This course prepares the talented dance artist for the demands of work in mainstream Australian and overseas ballet and/or dance companies. It provides intense practical experience, developing strong technique and artistry through classes and performance opportunities.",Australia,No,Yes,No,Yes,No,,CUADAN603 - Extend ballet technique to a professional level,"This unit describes the performance outcomes, skills and knowledge required to show range, depth, precision and complexity across ballet technique and classical and contemporary repertoire at a professional level.",,CUADAN602 - Perform advanced classical ballet technique,"This unit describes the performance outcomes, skills and knowledge required to train in the Italian virtuoso style of ballet that combines French ballet technique with a vigorous athleticism and has particular application to solo performances.",,CUADAN604 - Extend ballet performance skills to a professional level,"This unit describes the performance outcomes, skills and knowledge required to perform complex ballet technique demonstrating range, depth, precision and artistry across classical and contemporary repertoire at the professional level.",,CUADAN605 - Perform pas de deux at a professional level,This unit describes the performance outcomes required to refine and consolidate technical skills and knowledge in the art of partnering to perform pas de deux repertoire across classical and contemporary styles of ballet in preparation for a professional performance career.,,CUADAN606 - Extend pointe work techniques to a professional level,"This unit describes the performance outcomes, skills and knowledge required to dance sur les pointes at a professional level.",,CUADAN607 - Extend contemporary dance technique to a professional level,"This unit describes the performance outcomes, skills and knowledge required to show range, depth, precision and complexity across contemporary dance technique and repertoire at a professional level. This unit applies to dancers who are moving towards professional careers in contexts where complex contemporary dance technique is required for performing as members of a dance company as an ensemble or soloist dancer or in other professional contexts. At this level, dancers are constantly refining their technique and perfecting their artistry across complex dance sequences and repertoire, including improvisation, solo and group work. While some supervision and guidance are provided in practice sessions and rehearsals, dancers are expected to display a high level of motivation and responsibility for themselves and others during practice sessions, rehearsals and live performances. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUADAN608 - Extend contemporary dance performance skills to a professional level,"This unit describes the performance outcomes, skills and knowledge required to perform complex contemporary dance technique demonstrating range, depth, precision and artistry across contemporary dance repertoire at a professional level. This unit applies to dancers who are moving towards professional careers in contexts where complex contemporary dance technique and versatility are required for performing as members of a professional dance company as an ensemble or soloist dancer. At this level, dancers are constantly refining their technique and perfecting their artistry across complex dance sequences and repertoire, including improvisation, solo and group work. While some supervision and guidance are provided in practice sessions and rehearsals, dancers are expected to display a high level of motivation and responsibility for themselves and others during practice sessions, rehearsals and live performances. No licensing, legislative or certification requirements apply to this unit at the time of publication. This unit describes the performance outcomes, skills and knowledge required to perform complex contemporary dance technique demonstrating range, depth, precision and artistry across contemporary dance repertoire at a professional level.",,CUADAN610 - Extend allied contemporary dance techniques at a professional level,"This unit describes the performance outcomes, skills and knowledge required to refine and consolidate allied contemporary dance techniques. This often involves responding through improvisation to task-based work, performing high velocity acrobatic moves and displaying skilful partnering techniques. This unit applies to dancers who are moving towards professional careers in contexts where complex contemporary skill-based dance technique and versatility are required for performing as members of a professional contemporary dance company in Australia or internationally. While some supervision and guidance are provided in practice sessions and rehearsals, dancers are expected to display a high level of motivation and responsibility for themselves and others during practice sessions, rehearsals and live performances. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUADAN611 - Perform virtuoso contemporary dance technique,"This unit describes the performance outcomes, skills and knowledge required to achieve virtuoso technique in contemporary dance, with particular application to solo performances. This unit applies to dancers who are moving towards professional careers in contexts where virtuoso contemporary dance technique is required for performing as members of a dance company as a soloist and in other professional contexts. At this level, dancers are constantly expanding and perfecting their artistry, technique and repertoire across a number of dance styles and genres. While some supervision and guidance are provided in practice sessions and rehearsals, dancers are expected to display a high level of motivation and responsibility for themselves and others during practice sessions, rehearsals and live performances. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUADAN601 - Perform dance repertoire at a professional level,"This unit describes the performance outcomes, skills and knowledge required to perform complex dance technique demonstrating range, depth, precision and artistry in traditional ballet and contemporary works at a professional level. This unit applies to dancers who are moving towards professional careers in contexts where complex dance technique and versatility are required. Employment is with professional companies where dancers perform advanced repertoire from traditional ballets and contemporary works as part of ensemble, duo or soloist roles. They could also be performing in rehearsals and productions of established or original works by staff and guest choreographers. While some supervision and guidance are provided in practice sessions and rehearsals, dancers are expected to display a high level of motivation and responsibility for themselves and others during practice sessions, rehearsals and live performances. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUAPPR502 - Develop own sustainable professional practice,"This unit describes the skills and knowledge required to establish goals for own professional practice and to determine how one's practice can be developed in a sustainable way, taking account of all aspects of sustainability, individual, social, environmental and economic. It applies to individuals who must consider the sustainability of their practice in any sector or area of expertise. No licensing, legislative or certification conditions apply to this unit at the time of publication.",,CUAWHS602 - Develop techniques for maintaining resilience in a competitive environment,"This unit describes the performance outcomes, skills and knowledge required by performers to evaluate behavioural principles to develop strategies that help cope with performance anxiety and other aspects of working in a competitive environment. In a highly competitive market, performers have to apply a range of psychological techniques to perform with the skill and artistry needed to further their careers. Developing strategies to resolve performance issues is a largely self-directed activity, but may involve some mentored guidance. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUACHR501 - Create and perform complex dance pieces,"This unit describes the performance outcomes, skills and knowledge required to create, coordinate and perform complex solo or ensemble dance pieces for formal presentations. Dancers and dance teachers apply the skills and knowledge outlined in this unit in class work, rehearsals, auditions, and performance situations.",,CUAMPF602 - Manage stagecraft aspects of performances,"This unit describes the skills and knowledge required to plan and manage stagecraft of performances. It applies to individuals who are responsible for contributing ideas to the overall look, feel and sound of performances in collaboration with other creative and production personnel. They are also responsible for overseeing that stagecraft goes according to plan during performances. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUARES501 - Refine conceptual understanding of dance,"This unit describes the performance outcomes, skills and knowledge required by dancers, choreographers, writers and researchers to investigate and reach conclusions about cultural, historical and theoretical concepts related to dance. They may need to refine their conceptual understanding of dance to inform the development of a dance piece for a class, audition or performance, deepen their knowledge of a particular topic, or to develop an independent piece of research.",,CUAWRT501 - Write about dance,"This unit describes the performance outcomes, skills and knowledge required by writers to research issues and apply a sound knowledge of grammar and punctuation when writing original and non-narrative dance content for a range of purposes. Typical writing briefs could include creating program notes for performances, reviews of live and recorded dance performances, as well as dance editorials and dance commentary pieces for a range of media. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUAMUP501 - Apply theatrical make-up and hairstyles,"This unit describes the performance outcomes, skills and knowledge required by performers, such as singers, actors, dancers, circus performers and comedians to apply theatrical make-up and hairstyles for performances according to make-up and hair plans. Performances could be in commercial, competition or community settings. At this level, performers would usually work without supervision and are expected to apply initiative and judgement in the planning and selection of appropriate tools and techniques. They may also be assisting other performers. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUADAN609 - Extend cultural dance performance skills to a professional level,"This unit describes the performance outcomes, skills and knowledge required to extend cultural dance skills to a professional level and engage in professional development.",,CUAWHS601 - Apply advanced gym and weight training to ballet,"This unit describes the performance outcomes, skills and knowledge required by male ballet and contemporary dancers performing at a professional level who are required to perform lifts during the execution of pas de deux and other complex dance sequences with a partner.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADIP,Edith Cowan University,Perth,Advanced Diploma of Live Production and Management Services,Western Australian Academy of Performing Arts,,,AUD,Years,1,Year,Yes,No,ATAR,IELTS,Equivalent AQF, ,6,Year 12,https://www.ecu.edu.au/degrees/courses/advanced-diploma-of-live-production-and-management-services,English,D,"This nationally-recognised qualification is the second year of the vocational Production and Design program at WAAPA.This course may appeal to those who have an interest in design, lighting, props, scenery, stage management and similar aspects of production. The course is structured to provide skills and experience consistent with the growing needs of the entertainment industry. Students work as directed on productions mounted by WAAPA and will be expected to provide service at a professional level of competence.","Scenic Designer, Costume Designer, Stylist, Art Finisher, Costumier, Dresser, Film Standby, Milliner, Muralist, Stage Manager",Australia,No,Yes,No,Yes,No,,CUAPPM503 - Incorporate creative and technical needs into management processes,"This unit describes the performance outcomes, skills and knowledge required to work with creative and technical personnel to realise concepts that underpin productions in the screen, media, entertainment and events industries.",,CUAPPM502 - Realise productions,"This unit describes the performance outcomes, skills and knowledge required to plan and manage pre-production and production operations in specialist areas, such as lighting, audio, vision systems, stage management, costume, sets, props, scenic art and staging.",,CUAIND601 - Work professionally in the creative arts industry,"This unit describes the performance outcomes, skills and knowledge required to display a professional attitude when working in the creative arts industry. Individuals could be establishing a career as a performer in disciplines, such as dance, music, acting or circus skills, or they could be specialising in choreography, production management, arts administration, visual arts, design or community cultural development.",,CUAPPR602 - Collaborate in professional creative projects,"This unit describes the skills and knowledge required to collaborate with other creative practitioners in order to establish, realise and then evaluate a creative project. It applies to individuals who are independent creative practitioners working together in a collaborative team on commercial or community creative projects in physical or virtual environments. They may work on individual pieces of creative work or on thematically connected works in the broader context of a work brief, exhibition, competition or themed event. The unit applies to self-generated projects as well as those developed in response to opportunities presented by others. No licensing, legislative or certification conditions apply to this unit at the time of publication.",,FNSORG501 - Develop and manage a budget,"This unit describes the skills and knowledge required to collect and analyse information and apply sound accounting principles to the development and ongoing management of a budget for a small organisation or section of a large organisation. It applies to individuals who use a range of specialist and managerial techniques to plan, monitor and control budgetary work. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CPCCOHS1001A - Work safely in the construction industry,"This unit of competency specifies the outcomes required to undertake Occupational Health and Safety (OHS) induction training within the construction industry. It requires the ability to demonstrate personal awareness of OHS legislative requirements, and the basic principles of risk management and prevention of injury and illness in the construction industry. Licensing requirements will apply to this unit of competency depending on the regulatory requirements of each jurisdiction.",,BSBPMG522 - Undertake project work,"This unit describes the skills and knowledge required to undertake a straightforward project or a section of a larger project. It covers developing a project plan, administering and monitoring the project, finalising the project and reviewing the project to identify lessons learned for application to future projects. This unit applies to individuals who play a significant role in ensuring a project meets timelines, quality standards, budgetary limits and other requirements set for the project. The unit does not apply to specialist project managers. For specialist project managers, the other units of competency in the project management field (BSBPMG) will be applicable. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,"BSBWHS605 - Develop, implement and maintain WHS management systems","his unit describes the skills and knowledge required to develop, implement and maintain a Work Health and Safety management system (WHSMS) or parts of a WHSMS. It applies to individuals with organisational responsibilities and who have advanced practical knowledge required to coordinate, facilitate and maintain the WHS program in an organisation. NOTE: The terms 'occupational health and safety' (OHS) and 'work health and safety' (WHS) are equivalent and generally either can be used in the workplace. In jurisdictions where the Model WHS Legislation has not been implemented RTOs are advised to contextualise the unit of competency by referring to the existing State/Territory OHS legislative requirements. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,BSBDES601 - Manage design realisation,"This unit describes the skills and knowledge required to manage the process of taking a design from concept to final realisation or production. It has a strong focus on planning, implementation and monitoring skills, combined with a sound knowledge of design and production issues and challenges in a given context. It applies to individuals working in any industry context or design discipline who take responsibility for turning design concept into reality - a product or service of value to the end-user. This person could be an individual designer-maker or a designer working as part of a larger design/production team. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUACOS501 - Make period costumes,"This unit describes the performance outcomes, skills and knowledge required to interpret costume specifications and production schedules in order to produce period costumes for productions in the screen, media, entertainment and events industries.",,CUACOS507 - Construct costume corsetry and undergarments,"This unit describes the skills and knowledge required to construct corsetry and undergarments to give costumes a particular silhouette when worn by performers in screen, media and entertainment industry productions. It applies to individuals who work with minimal supervision and guidance to construct corsetry and undergarments for period and contemporary costumes. Even though they work to briefs from costume designers, there is scope for them to be creative as they work on designs they are given. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUAPPM601 - Manage pre-production for shows and events,"This unit describes the performance outcomes, skills and knowledge required to manage all aspects of pre-production for shows and events in the entertainment industry.",,CUAPPM602 - Manage construction workshop operations,"This unit describes the performance outcomes, skills and knowledge required to manage construction workshop operations for areas such as set construction, props manufacture and scenic art for productions in the screen, media, entertainment and events industries.",,CUAACD601 - Extend professional expertise with drawing and other visual representation tools,"This unit describes, skills and knowledge required to extend skills with drawing and other forms of visual representation to develop a personal style suited to the individual's professional practice. It applies to individuals with high-level cognitive and creative skills who work independently to develop and refine personalised approaches to visual representation to support their professional practice. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,BSBDES602 - Research global design trends,"This unit describes the skills and knowledge required to research and critically evaluate global design trends. The focus is on research and analysis of information and ideas at a complex level, plus the evaluation and extension of the individual's professional skills. It applies to individuals who need to maintain a current and comprehensive knowledge of global design trends to inform their own professional practice. Although predominantly for designers, this unit may also be relevant to those who work in related management, marketing and production areas. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,"BSBDES502 - Establish, negotiate and refine a design brief","This unit describes the skills and knowledge required to work proactively with a client or commissioning organisation to develop and negotiate a design brief. It applies to individuals working in any industry or design context where the designer plays a key role in determining the scope and nature of work required. Establishment, negotiation and refinement of a design brief requires the integration of highly-developed creative thinking, communication and planning skills in a process that may not be linear. Adaptability and effective responses to change and new ideas are crucial. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUAACD601 - Extend professional expertise with drawing and other visual representation tools,"This unit describes, skills and knowledge required to extend skills with drawing and other forms of visual representation to develop a personal style suited to the individual's professional practice. It applies to individuals with high-level cognitive and creative skills who work independently to develop and refine personalised approaches to visual representation to support their professional practice. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,BSBDES601 - Manage design realisation,"This unit describes the skills and knowledge required to manage the process of taking a design from concept to final realisation or production. It has a strong focus on planning, implementation and monitoring skills, combined with a sound knowledge of design and production issues and challenges in a given context. It applies to individuals working in any industry context or design discipline who take responsibility for turning design concept into reality - a product or service of value to the end-user. This person could be an individual designer-maker or a designer working as part of a larger design/production team. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUAPPM601 - Manage pre-production for shows and events,"This unit describes the performance outcomes, skills and knowledge required to manage all aspects of pre-production for shows and events in the entertainment industry.",,CUAPAI501 - Refine painting techniques,"This unit describes the skills and knowledge required to research and experiment with a broad range of painting techniques to refine and evaluate an individual professional style. It applies to highly skilled visual artists who integrate the use of those different techniques explored, to realise a coherent body of creative work. They work with a high level of independence seeking mentoring and guidance as required. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,BSBDES601 - Manage design realisation,"This unit describes the skills and knowledge required to manage the process of taking a design from concept to final realisation or production. It has a strong focus on planning, implementation and monitoring skills, combined with a sound knowledge of design and production issues and challenges in a given context. It applies to individuals working in any industry context or design discipline who take responsibility for turning design concept into reality - a product or service of value to the end-user. This person could be an individual designer-maker or a designer working as part of a larger design/production team. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUARES601 - Research and apply concepts of live performance practice,"This unit describes the performance outcomes, skills and knowledge required to undertake research into, and present a range of perspectives on, current and emerging live performance concepts and practice. The emphasis is on informed experimentation to refine an individuals personal philosophy and to challenge the boundaries of current practice. Performers, choreographers, composers, producers, directors, writers and researchers interested in cutting edge live performance practice apply the skills and knowledge in this unit. They may need to refine their understanding of a specific discipline to inform the development of creative works, to plan productions, deepen their knowledge of a particular topic, or to develop an independent piece of research. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,SITXFIN601 - Manage physical assets,"This unit describes the performance outcomes, skills and knowledge required to manage the physical assets of an organisation. It requires the ability to establish systems and practices for asset monitoring, maintenance and acquisition.",,CUALGT504 - Develop lighting designs,"This unit describes the skills and knowledge required to interpret creative briefs and develop lighting designs for screen, media and entertainment productions. It applies to individuals who create lighting designs that reflect the style and mood of productions. They work closely with directors, directors of photography (DOPs), production designers, technical producers and costume designers. On major productions, lighting designers manage the work and safety of a team of lighting assistants and technicians, lighting console operators, and electricians and therefore, have responsibility for all aspects of lighting operations. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUAVSS501 - Design vision systems,"This unit describes the performance outcomes, skills and knowledge required to design vision systems for productions in a diverse range of industries.",,CUAACD601 - Extend professional expertise with drawing and other visual representation tools,"This unit describes, skills and knowledge required to extend skills with drawing and other forms of visual representation to develop a personal style suited to the individual's professional practice. It applies to individuals with high-level cognitive and creative skills who work independently to develop and refine personalised approaches to visual representation to support their professional practice. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,BSBDES601 - Manage design realisation,"This unit describes the skills and knowledge required to manage the process of taking a design from concept to final realisation or production. It has a strong focus on planning, implementation and monitoring skills, combined with a sound knowledge of design and production issues and challenges in a given context. It applies to individuals working in any industry context or design discipline who take responsibility for turning design concept into reality - a product or service of value to the end-user. This person could be an individual designer-maker or a designer working as part of a larger design/production team. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUAPPM601 - Manage pre-production for shows and events,"This unit describes the performance outcomes, skills and knowledge required to manage all aspects of pre-production for shows and events in the entertainment industry.",,CUAINN501 - Adopt an innovative approach to creating production elements,"This unit describes the performance outcomes, skills and knowledge required to undertake research and experiment with techniques and media to achieve innovative effects for sets, props or scenic art for productions in the screen, media, entertainment and events industries. Individuals who apply these skills are expected to display a high level of initiative and judgement as they take responsibility for facilitating an innovative approach to realising production designs. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUAPAI501 - Refine painting techniques,"This unit describes the skills and knowledge required to research and experiment with a broad range of painting techniques to refine and evaluate an individual professional style. It applies to highly skilled visual artists who integrate the use of those different techniques explored, to realise a coherent body of creative work. They work with a high level of independence seeking mentoring and guidance as required. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUAPPM602 - Manage construction workshop operations,"This unit describes the performance outcomes, skills and knowledge required to manage construction workshop operations for areas such as set construction, props manufacture and scenic art for productions in the screen, media, entertainment and events industries.",,CUAACD601 - Extend professional expertise with drawing and other visual representation tools,"This unit describes, skills and knowledge required to extend skills with drawing and other forms of visual representation to develop a personal style suited to the individual's professional practice. It applies to individuals with high-level cognitive and creative skills who work independently to develop and refine personalised approaches to visual representation to support their professional practice. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUASMT602 - Stage manage performances,"This unit describes the performance outcomes, skills and knowledge required to manage a wide range of administrative and organisational tasks associated with stage managing performances in the entertainment and events industries.",,CUAPPM601 - Manage pre-production for shows and events,"This unit describes the performance outcomes, skills and knowledge required to manage all aspects of pre-production for shows and events in the entertainment industry.",,CUASMT503 - Develop and maintain production documents,"This unit describes the performance outcomes, skills and knowledge required to produce and manage documentation that tracks the creative development of productions in the screen, media, entertainment and events industries. Individuals who apply these skills are expected to display initiative, judgement and responsibility as they use high level communication and coordination skills in the process of maintaining production scripts and keeping cast and crew up-to-date with developments through the rehearsal phase and into the performance run. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,CUASMT601 - Stage manage creative rehearsals,"This unit describes the performance outcomes, skills and knowledge required to manage a wide range of administrative and organisational tasks associated with running creative rehearsals for productions in the entertainment and events industries.",,CUASMT603 - Stage manage technical and dress rehearsals,"This unit describes the performance outcomes, skills and knowledge required to manage a wide range of administrative and organisational tasks associated with running technical and dress rehearsals for productions in the screen, media, entertainment and events industries.",,CUAPPM501 - Manage small-scale live productions,"This unit describes the performance outcomes, skills and knowledge required to plan and manage technical, creative and logistical aspects of small-scale live productions. Individuals who apply these skills are expected to display a high level of initiative and judgement as they take responsibility for organising, planning and coordinating the work of individuals and teams involved in staging productions. No licensing, legislative or certification requirements apply to this unit at the time of publication.",,,,,,,
ADIP,Edith Cowan University,Perth,Advanced Diploma of Music Industry,Western Australian Academy of Performing Arts,,,AUD,Years,1,Year,Yes,No,ATAR,IELTS,Equivalent AQF, ,6,Year 12,https://www.ecu.edu.au/degrees/courses/advanced-diploma-of-music-industry,English,D,"This nationally-recognised qualification is the second year of a two-year vocational contemporary music program. It is designed for musicians wishing to expand their songwriting, instrumental (including vocal), ensemble and musicianship skills.Students attend classes in songwriting, media performance, history, theory, aural and second study. On completion, a successful music artist would be expected to gain national industry recognition. ","Musician, Performance Artist, Composer, Performer, Entertainer, Sound Recordist, Sound Designer, Sound Mixer",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADEG,Edith Cowan University,Perth,Associate Degree in Criminology and Justice,Arts and Humanities,,"14,500",AUD,Years,2,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF,70,6,Year 12,https://www.ecu.edu.au/degrees/courses/associate-degree-in-criminology-and-justice,English,D,"Adopts a contemporary approach to the education of practitioners in the areas of policing and corrections.Students will develop an understanding of the theory and research that informs policing practice and offender management, as well as excellent academic literacy skills, including cultural awareness. The course facilitates students' practical skills and provides opportunities to apply learning. ","Police Officer, Community Corrections Officer, Parole Officer, Youth Justice Officer, Research & Policy Officer",Australia,Yes,Yes,Yes,Yes,Yes,,CRI1107 - The Criminal Justice Process,This unit introduces students to the major institutions of Criminal Justice in Australia. Students develop an understanding of how society responds to offensive behaviour. They also consider the roles of key agencies and individuals within the justice system. This compulsory unit provides important foundation knowledge for moving into specialised units.,,CRI1103 - Criminology,"This unit will introduce students to the study of criminology, the theories of criminology and the explanations of crime. It will provide students with an overview of society and will explore the link between society and crime. Major criminological theories will be applied to the understanding of crime in the modern world.",,CRI1104 - The Psychology of Criminal Behaviour,"Students consider the aetiology, maintenance and expression of criminal behaviour. In particular, psychological and physiological factors relevant to an understanding of criminality are examined. Issues such as psychopathy, aberrant sexuality and aggression are explored in detail. Students also consider theoretical and practical approaches to the treatment of criminal behaviour.",,CRI1208 - Research Methods I,"This first research methods unit introduces students to the theory and method of quantitative research in criminology and justice. Students will be exposed to the scientific method and its importance in measuring, examining and understanding issues relevant to criminology and justice, including the interpretation of crime statistics. Students will explore fundamental quantitative research concepts and procedures, methods of statistical analysis as well as the interpretation of quantitative data. In this unit, students become informed consumers of research and develop the skills required to conduct a criminological research project.",,CRI2103 - Correctional Studies - Theory and Practice,"This unit provides students with a comprehensive understanding of the correctional system by examining the history of correctional facilities in Western countries. Students will gain knowledge of the influence and development of corrections from different philosophical and political perspectives. The effectiveness of public and private prisons and the contemporary issues and challenges confronting management, staff, and prisoners in Australia are also examined.",,CRI2201 - Critical Aspects of Policing,"In this unit students consider how policing paradigms have evolved across time and the political context in which policing operates. Students examine contemporary proactive approaches to policing including, problem-oriented, community and intelligence-led policing. This unit also exposes students to contemporary issues and themes in policing such as the policing of minority groups and those with mental health issues, ethics, accountability and integrity. The overall purpose of this unit is to facilitate an understanding of the nature of policing in contemporary society. This compulsory unit provides an important foundation for moving into specialised units.",,CRI2115 - Psychology and Criminal Justice,"This unit examines ways that psychological principles may be applied to legal matters. In particular, the unit focuses on how psychological theory informs the investigatory and evidentiary stages of the criminal justice system. In addition, the way that knowledge of psychology underpins decision making in police investigations and court procedures is introduced.",,CRI2110 - Research Methods II,"This second research skills unit introduces students to qualitative theory and methodology to examine issues in criminology and justice. Students will be exposed to methods used within the qualitative paradigm and prepare a report for an industry stakeholder within the criminal justice discipline. Students will develop an understanding of the importance of qualitative research in measuring, examining and understanding issues relevant to criminology and justice. This unit also explores fundamental theories of qualitative research, types of qualitative data and data collection methods, as well as methods of analysing qualitative data. Finally, it will allow students to round off their research knowledge by comparing qualitative and quantitative methods of inquiry. This unit will emphasise critical ethical considerations relevant to applied research in criminology and justice which often includes disadvantaged and vulnerable people, young offenders, Indigenous people and victims of crime.",,CRI3120 - Aboriginal Australians in the Criminal Justice System,"This unit examines the position in the Criminal Justice System of Aboriginal people in Western Australia. Students will consider the disparity between the numbers of Aboriginal people in the community and their disproportionate numbers in the Criminal Justice System and will attempt to throw light on this imbalance. They will consider relevant legislation and examine contemporary practice with respect to Aboriginal people within the three arms of the Criminal Justice System: the Police, the Courts and Corrections. As part of this, students will explore the issues surrounding Indigenous customary practices and laws and the possibility of their inclusion into substantive law.",,JUS2100 - Police Academy Practicum,This practicum is provided by the Western Australia Police Service. In order for students to participate in this practicum they must satisfy normal entry criteria to the Western Australia Police Service and be accepted and gain a place in a recruit course. The content assessment and outcomes are controlled by the Western Australia Police Service. The recruit training course is 6 months in duration.,,CRI2700 - Corrective Services Practicum,This practicum is provided by the Department of Corrective Services. In order for students to participate in this practicum they must satisfy normal entry criteria to the Corrective Services Training Academy and be accepted into their training course. The content assessment and outcomes are controlled by the Department of Corrective Services training staff. The training course will be a semester in duration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
