Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
ADIP,Edith Cowan University,Perth,Advanced Diploma of Dance (Elite Performance),Western Australian Academy of Performing Arts, , ,AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent , ,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/advanced-diploma-of-dance-elite-performance,English,D,"It takes a holistic approach to the needs of the dancer of the future, building the skills required for lifelong sustainability in the dance profession. The course encourages dancers' individuality, confidence, flair and creativity. Students take classes in ballet, pointe, classical repertoire, contemporary techniques, choreography, performance, dance history, music, fitness and kinesiology. Following completion of this course, it is possible to transfer to the Bachelor of Arts (Dance) for a third year of training that allows students to graduate with a Bachelor's degree.",,Australia,No,Yes,No,Yes,No,
ADIP,Edith Cowan University,Perth,Advanced Diploma of Live Production and Management Services,Western Australian Academy of Performing Arts, , ,AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent , ,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/advanced-diploma-of-live-production-and-management-services,English,D,"This course may appeal to those who have an interest in design, lighting, props, scenery, stage management and similar aspects of production. The course is structured to provide skills and experience consistent with the growing needs of the entertainment industry. Students work as directed on productions mounted by WAAPA and will be expected to provide service at a professional level of competence.","Scenic Designer, Costume Designer, Stylist, Art Finisher, Costumier, Dresser, Film Standby, Milliner, Muralist, Stage Manager",Australia,No,Yes,No,Yes,No,
ADIP,Edith Cowan University,Perth,Advanced Diploma of Music Industry,Western Australian Academy of Performing Arts, , ,AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent , ,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/advanced-diploma-of-music-industry,English,D,"Students attend classes in songwriting, media performance, history, theory, aural and second study. On completion, a successful music artist would be expected to gain national industry recognition. ","Musician, Performance Artist, Composer, Performer, Entertainer, Sound Recordist, Sound Designer, Sound Mixer",Australia,No,Yes,No,Yes,No,
ADEG,Edith Cowan University,Perth,Associate Degree in Criminology and Justice,Arts and Humanities,"6,850", ,AUD,Years,2.0,Years,Yes,No,ATAR,IELTS,Equivalent ,70,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/associate-degree-in-criminology-and-justice,English,A,"Students will develop an understanding of the theory and research that informs policing practice and offender management, as well as excellent academic literacy skills, including cultural awareness. The course facilitates students' practical skills and provides opportunities to apply learning. ","Police Officer, Community Corrections Officer, Parole Officer, Youth Justice Officer, Research & Policy Officer",Australia,Yes,Yes,Yes,Yes,No,
ADEG,Edith Cowan University,Perth,"Associate Degree of Sport, Recreation and Event Management",Business and Law,"10,250", ,AUD,Years,2.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,70,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/associate-degree-of-sport-recreation-and-event-management,English,D,"Students will graduate with not only theoretical knowledge but also the industry focused practical skills that will lead to a successful career in the sport, recreation and events sector. The course focuses upon an application of the key aspects of sport delivery systems, event management, leadership and programming, culture and professional identity development, sport and recreation facilities and services management, strategic and human resource management, marketing and communications, funding and finance, sport venue management, and event operations management. Students also undertake a range of professional industry practice opportunities in the relevant industries.","Sport and Recreation Event Officer, Recreation Services Officer, Sport Coordinator, Event Coordinator, Recreation Facility Officer, Outdoor and Adventure Recreation Program Coordinator, Youth and Children's Program Coordinator, Sport and Recreation Officer, Community Development Officer",Australia,Yes,Yes,Yes,Yes,No,
BA,Edith Cowan University,Perth,Bachelor of Arts,Arts and Humanities,"6,850","30,900",AUD,Years,3.0,Years,Yes,No,ATAR,IELTS,Equivalent ,70,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/bachelor-of-arts,English,A,"Arts graduates are highly employable and have an impact across our communities in many ways. They have strong critical, creative, practical and ethical skills that are highly adaptable within our increasingly diversified workplaces. So when you study a Bachelor of Arts, you’ll experience a dynamic, creative and critical immersion in culture, history and politics. It’s a transformative experience that’s both interdisciplinary and empowering. The course allows you to choose between disciplines including Visual Arts, Creative and Professional Writing, English, or Historical and Political Studies. Most importantly, you’ll be interacting with and learning from our dynamic staffwho are accomplished artists and published writers of national and international standing and passionate about culture, politics and teaching.","Public Servant, Government Adviser, International Consultant, Foreign Affairs Officer, Historian, Social Researcher, Heritage Consultant, Policy Analyst, Writer, Editor",Australia,No,Yes,No,Yes,No,
BA,Edith Cowan University,Perth,Bachelor of Arts (Acting),Western Australian Academy of Performing Arts,"6,850","32,900",AUD,Years,3.0,Years,Yes,No,ATAR,IELTS,Equivalent , ,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/bachelor-of-arts-acting,English,A,"The course has evolved as an extensive conservatoire training program guided by a philosophy of discovery, application and embodiment, delivered at all times in a diverse and inclusive environment. The core innovation of the program is to unite rigorous skills-based actor training with local, national and international guest directors and organisations, to simulate real-life industry programs and productions. The combination of all these factors means that students graduate with more than just acting skills; they are self-determined, autonomous strategists who are resilient and elite performers at the top of their game.","Actor, Theatre Actor, Screen Actor, Writer, Producer, Director, Radio Voice Over Artist, Radio Broadcaster, Choreographer, Casting Agent",Australia,No,Yes,No,Yes,No,
BA,Edith Cowan University,Perth,Bachelor of Arts (Arts Management),Business and Law,"9,650","32,150",AUD,Years,3.0,Years,Yes,No,ATAR,IELTS,Equivalent ,70,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/bachelor-of-arts-arts-management,English,A,"The program is specifically industry-focused and designed to give students the knowledge and skills to work in a diverse range of art forms and organisations, including theatre companies, venues, dance companies, exhibitions, galleries, concerts and festivals. By studying at WAAPA, students have opportunities for practical experience, including placements/secondments in the wider arts industry.","General Manager, Arts Marketing Manager, Audience Development Manager, Sponsorship Manager, Business Development Manager, Communications Manager, Program Manager, Venue Manager, Producer, Events Coordinator",Australia,No,Yes,No,Yes,No,
BA,Edith Cowan University,Perth,Bachelor of Arts (Dance),Western Australian Academy of Performing Arts,"6,850","32,850",AUD,Years,3.0,Years,Yes,No,ATAR,IELTS,Equivalent , ,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/bachelor-of-arts-dance,English,A,"The pursuit of physical excellence is paired with the nurturing of creativity, laying the foundations for the performer, choreographer and/or independent practitioner. The course provides an insight into dance as an art form, and as a social and educative experience, offering additional skills in communication, critical thinking, research and analysis. Sustainability in relation to professional career pathways is emphasised through engagement with industry partners and exposure to diverse performance environments. Industry placement, short study tours and international exchange opportunities provide a local, national and international perspective.","Dancer, Contemporary Dancer, Ballet Dancer, Choreographer, Dance Teacher, Entertainer, Performer",Australia,No,Yes,No,Yes,No,
HONS,Edith Cowan University,Perth,Bachelor of Arts (Dance) Honours,Western Australian Academy of Performing Arts,"6,850","32,850",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,Equivalent , ,6.0,Year 12,https://www.ecu.edu.au/degrees/courses/bachelor-of-arts-dance-honours,English,A,"The course involves learning in the theories of dance and related disciplines which underpin the basis of a research project, and is offered in two modes: Individual Research and Company Research. In the Link Dance Company research investigations will: expand movement knowledge through diverse choreographic processes; enhance performance skills through exposure to a variety of venues and performance environments; and attain a working knowledge of the logistics of performance and touring. Overseas and interstate tours include performance and workshop activities. Students will engage in a thesis topic of their choice but are encouraged to focus on the experience of technique, performance, and life experience in a company setting. In the Individual research mode students will: master one or more theoretical approaches to analysing and creating original work in dance practice or scholarly practice; design and implement a research project; and present the results of the research in performance and/or other media and/or in minor thesis form. Students gain an appreciation of the art of dance within a broader, interdisciplinary context of the arts and/or sciences, and will be able to articulate the significance of the original research they create.",,Australia,No,Yes,No,Yes,No,
