Course_Lang,Remarks,Int_Fees,Country,Face_to_Face,Website,Prerequisite_1,Faculty,Blended,Description,University,Prerequisite_1_grade_1,Level_Code,Career_Outcomes/path,Duration_Time,Local_Fees,Online,City,Currency,Prerequisite_3_grade_3,Course,Prerequisite_3,Availability,Prerequisite_2_grade_2,Offline,Currency_Time,Duration,Full_Time,Prerequisite_2,Part_Time,Distance
English,, ,Australia,Yes,https://www.ecu.edu.au/degrees/courses/advanced-diploma-of-dance-elite-performance,ATAR,Western Australian Academy of Performing Arts,No,"It takes a holistic approach to the needs of the dancer of the future, building the skills required for lifelong sustainability in the dance profession. The course encourages dancers' individuality, confidence, flair and creativity. Students take classes in ballet, pointe, classical repertoire, contemporary techniques, choreography, performance, dance history, music, fitness and kinesiology. Following completion of this course, it is possible to transfer to the Bachelor of Arts (Dance) for a third year of training that allows students to graduate with a Bachelor's degree.",Edith Cowan University, ,ADIP,,Year, ,No,Perth,AUD,Year 12,Advanced Diploma of Dance (Elite Performance),Equivalent ,D,6.0,Yes,Years,1.0,Yes,IELTS,Yes,No
English,, ,Australia,Yes,https://www.ecu.edu.au/degrees/courses/advanced-diploma-of-live-production-and-management-services,ATAR,Western Australian Academy of Performing Arts,No,"This course may appeal to those who have an interest in design, lighting, props, scenery, stage management and similar aspects of production. The course is structured to provide skills and experience consistent with the growing needs of the entertainment industry. Students work as directed on productions mounted by WAAPA and will be expected to provide service at a professional level of competence.",Edith Cowan University, ,ADIP,"Scenic Designer, Costume Designer, Stylist, Art Finisher, Costumier, Dresser, Film Standby, Milliner, Muralist, Stage Manager",Year, ,No,Perth,AUD,Year 12,Advanced Diploma of Live Production and Management Services,Equivalent ,D,6.0,Yes,Years,1.0,Yes,IELTS,Yes,No
English,, ,Australia,Yes,https://www.ecu.edu.au/degrees/courses/advanced-diploma-of-music-industry,ATAR,Western Australian Academy of Performing Arts,No,"Students attend classes in songwriting, media performance, history, theory, aural and second study. On completion, a successful music artist would be expected to gain national industry recognition. ",Edith Cowan University, ,ADIP,"Musician, Performance Artist, Composer, Performer, Entertainer, Sound Recordist, Sound Designer, Sound Mixer",Year, ,No,Perth,AUD,Year 12,Advanced Diploma of Music Industry,Equivalent ,D,6.0,Yes,Years,1.0,Yes,IELTS,Yes,No
English,, ,Australia,Yes,https://www.ecu.edu.au/degrees/courses/associate-degree-in-criminology-and-justice,ATAR,Arts and Humanities,No,"Students will develop an understanding of the theory and research that informs policing practice and offender management, as well as excellent academic literacy skills, including cultural awareness. The course facilitates students' practical skills and provides opportunities to apply learning. ",Edith Cowan University,70,ADEG,"Police Officer, Community Corrections Officer, Parole Officer, Youth Justice Officer, Research & Policy Officer",Years,"6,850",Yes,Perth,AUD,Year 12,Associate Degree in Criminology and Justice,Equivalent ,A,6.0,Yes,Years,2.0,Yes,IELTS,No,Yes
English,, ,Australia,Yes,https://www.ecu.edu.au/degrees/courses/associate-degree-of-sport-recreation-and-event-management,ATAR,Business and Law,No,"Students will graduate with not only theoretical knowledge but also the industry focused practical skills that will lead to a successful career in the sport, recreation and events sector. The course focuses upon an application of the key aspects of sport delivery systems, event management, leadership and programming, culture and professional identity development, sport and recreation facilities and services management, strategic and human resource management, marketing and communications, funding and finance, sport venue management, and event operations management. Students also undertake a range of professional industry practice opportunities in the relevant industries.",Edith Cowan University,70,ADEG,"Sport and Recreation Event Officer, Recreation Services Officer, Sport Coordinator, Event Coordinator, Recreation Facility Officer, Outdoor and Adventure Recreation Program Coordinator, Youth and Children's Program Coordinator, Sport and Recreation Officer, Community Development Officer",Years,"10,250",Yes,Perth,AUD,Year 12,"Associate Degree of Sport, Recreation and Event Management",Equivalent ,D,6.0,Yes,Years,2.0,Yes,IELTS,Yes,Yes
English,,"30,900",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-arts,ATAR,Arts and Humanities,No,"Arts graduates are highly employable and have an impact across our communities in many ways. They have strong critical, creative, practical and ethical skills that are highly adaptable within our increasingly diversified workplaces. So when you study a Bachelor of Arts, you’ll experience a dynamic, creative and critical immersion in culture, history and politics. It’s a transformative experience that’s both interdisciplinary and empowering. The course allows you to choose between disciplines including Visual Arts, Creative and Professional Writing, English, or Historical and Political Studies. Most importantly, you’ll be interacting with and learning from our dynamic staffwho are accomplished artists and published writers of national and international standing and passionate about culture, politics and teaching.",Edith Cowan University,70,BA,"Public Servant, Government Adviser, International Consultant, Foreign Affairs Officer, Historian, Social Researcher, Heritage Consultant, Policy Analyst, Writer, Editor",Years,"6,850",No,Perth,AUD,Year 12,Bachelor of Arts,Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,No,No
English,,"32,900",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-arts-acting,ATAR,Western Australian Academy of Performing Arts,No,"The course has evolved as an extensive conservatoire training program guided by a philosophy of discovery, application and embodiment, delivered at all times in a diverse and inclusive environment. The core innovation of the program is to unite rigorous skills-based actor training with local, national and international guest directors and organisations, to simulate real-life industry programs and productions. The combination of all these factors means that students graduate with more than just acting skills; they are self-determined, autonomous strategists who are resilient and elite performers at the top of their game.",Edith Cowan University, ,BA,"Actor, Theatre Actor, Screen Actor, Writer, Producer, Director, Radio Voice Over Artist, Radio Broadcaster, Choreographer, Casting Agent",Years,"6,850",No,Perth,AUD,Year 12,Bachelor of Arts (Acting),Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,No,No
English,,"32,150",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-arts-arts-management,ATAR,Business and Law,No,"The program is specifically industry-focused and designed to give students the knowledge and skills to work in a diverse range of art forms and organisations, including theatre companies, venues, dance companies, exhibitions, galleries, concerts and festivals. By studying at WAAPA, students have opportunities for practical experience, including placements/secondments in the wider arts industry.",Edith Cowan University,70,BA,"General Manager, Arts Marketing Manager, Audience Development Manager, Sponsorship Manager, Business Development Manager, Communications Manager, Program Manager, Venue Manager, Producer, Events Coordinator",Years,"9,650",No,Perth,AUD,Year 12,Bachelor of Arts (Arts Management),Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,No,No
English,,"32,850",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-arts-dance,ATAR,Western Australian Academy of Performing Arts,No,"The pursuit of physical excellence is paired with the nurturing of creativity, laying the foundations for the performer, choreographer and/or independent practitioner. The course provides an insight into dance as an art form, and as a social and educative experience, offering additional skills in communication, critical thinking, research and analysis. Sustainability in relation to professional career pathways is emphasised through engagement with industry partners and exposure to diverse performance environments. Industry placement, short study tours and international exchange opportunities provide a local, national and international perspective.",Edith Cowan University, ,BA,"Dancer, Contemporary Dancer, Ballet Dancer, Choreographer, Dance Teacher, Entertainer, Performer",Years,"6,850",No,Perth,AUD,Year 12,Bachelor of Arts (Dance),Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,No,No
English,,"32,850",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-arts-dance-honours,ATAR,Western Australian Academy of Performing Arts,No,"The course involves learning in the theories of dance and related disciplines which underpin the basis of a research project, and is offered in two modes: Individual Research and Company Research. In the Link Dance Company research investigations will: expand movement knowledge through diverse choreographic processes; enhance performance skills through exposure to a variety of venues and performance environments; and attain a working knowledge of the logistics of performance and touring. Overseas and interstate tours include performance and workshop activities. Students will engage in a thesis topic of their choice but are encouraged to focus on the experience of technique, performance, and life experience in a company setting. In the Individual research mode students will: master one or more theoretical approaches to analysing and creating original work in dance practice or scholarly practice; design and implement a research project; and present the results of the research in performance and/or other media and/or in minor thesis form. Students gain an appreciation of the art of dance within a broader, interdisciplinary context of the arts and/or sciences, and will be able to articulate the significance of the original research they create.",Edith Cowan University, ,HONS,,Year,"6,850",No,Perth,AUD,Year 12,Bachelor of Arts (Dance) Honours,Equivalent ,A,6.0,Yes,Years,1.0,Yes,IELTS,No,No
