Course Delivery Mode,Faculty,Currency,Career_Outcomes/path,Currency_Time,Course_Lang,Country,Duration,Website,Part_Time,Blended,Full_Time,Course,Prerequisite_2_grade_2,Online,Availability,Face_to_Face,Prerequisite_1_grade_1,Int_Fees,Offline,Prerequisite_1,Description,Remarks,Level_Code,City,Distance,University,Prerequisite_2,Duration_Time,Local_Fees,FREE TAFE
Normal,Arts and Design,AUD,design assistantquality controllersewing machinist production support,Years,English,Australia,5.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Fashion/Certificate-II-in-Applied-Fashion-Design-and-Technology,No,No,Yes,Certificate II in Applied Fashion Design and Technology,Na,No,D,Yes,,NoIntFee,Yes,ATAR,"If you love fashion, working with fabric and design, and would like a career in the fashion industry, the Certificate II in Applied Fashion Design and Technology will introduce you to all facets of the fashion design and production process.",,CERTII,Melbourne,No,Holmesglen Institute,IELTS,Months,"4,680.00",No
Traineeship,Arts and Design,AUD,"This course is a starting point if you are interested in further study and a career in the fashion design field, in a variety of different areas. These can include fashion design, pattern making and drafting, production, marketing or styling.",Years,English,Australia,23.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Fashion/Certificate-II-in-Applied-Fashion-Design-and-Technology-VET-delivered-to-Secondary-School-Students,Yes,No,No,Certificate II in Applied Fashion Design and Technology,Na,No,D,Yes,,NoIntFee,Yes,ATAR,"If you love fashion, working with fabric and design and would like to progress to a career in the fashion industry, the Certificate II in Applied Fashion Design and Technology will introduce you to all facets of the fashion design and production process.",,CERTII,Melbourne,No,Holmesglen Institute,IELTS,Months,"4,680.00",No
Normal,Arts and Design,AUD,Bachelor of Fashion graduates can apply for entry to relevant Masters or other post-graduate qualifications. Grade Point Average or other conditions may apply.,Years,English,Australia,3.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Fashion/Bachelor-of-Fashion-Design,Yes,No,Yes,Bachelor of Fashion Design,6.0,No,A,Yes,,"18,800",Yes,ATAR,"Holmesglen's Bachelor of Fashion Design is a cutting edge course for those who aspire to a career in the fast paced world of fashion. Innovative design is at the forefront of our delivery, underpinned by a comprehensive technical foundation in pattern engineering, garment construction and the application of CAD design tools.",,BA,Melbourne,No,Holmesglen Institute,IELTS,Years,"15,964.30",No
Traineeship,Arts and Design,AUD,Design industry roles,Years,English,Australia,2.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Graphic-Design/Certificate-III-in-Design-Fundamentals-VET-delivered-to-Secondary-Students,Yes,No,No,Certificate III in Design Fundamentals,Na,No,D,Yes,,NoIntFee,Yes,ATAR,"This course provides you with an introduction to the practice of graphic design and prepares you to enter a wide range of art and design courses at certificate, diploma and degree level.",,CERTIII,Melbourne,No,Holmesglen Institute,IELTS,Years,NoLocalFee,No
Normal,Arts and Design,AUD,junior design roles,Years,English,Australia,5.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Graphic-Design/Certificate-IV-in-Design,Yes,No,Yes,Certificate IV in Design,5.5,No,A,Yes,,"6,900",Yes,ATAR,The Certificate IV in Design prepares post secondary-school students for further studies in art and design at diploma and degree level.,,CERTIV,Melbourne,No,Holmesglen Institute,IELTS,Months,"7,715.25",No
Normal,Arts and Design,AUD,freelance designer junior graphic designer production assistant,Years,English,Australia,1.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Graphic-Design/Diploma-of-Graphic-Design,Yes,No,Yes,Diploma of Graphic Design,5.5,No,A,Yes,,"13,800",Yes,ATAR,"The Diploma of Graphic Design will allow you to combine your technical, creative and conceptual skills to create designs that meet client requirements and solve a range of visual communication challenges.",,DIP,Melbourne,No,Holmesglen Institute,IELTS,Year,"11,793.50",No
Normal,Arts and Design,AUD,freelance designergraphic designer,Years,English,Australia,1.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Graphic-Design/Advanced-Diploma-of-Graphic-Design,No,No,Yes,Advanced Diploma of Graphic Design,5.5,No,A,Yes,,"13,800",Yes,ATAR,"The Advanced Diploma of Graphic Design will allow you to combine your technical, creative and conceptual skills to create designs that meet client requirements and solve a range of visual communication challenges.",,ADIP,Melbourne,No,Holmesglen Institute,IELTS,Year,"12,857.00",No
Traineeship,Arts and Design,AUD,Further study in interior design and decoration.,Years,English,Australia,2.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Interior-Decoration-and-Design/Certificate-III-in-Interior-Decoration-Retail-Services-VET-Delivered-to-Secondary-School-Students,Yes,No,No,Certificate III in Interior Decoration Retail Services,Na,No,D,Yes,,NoIntFee,Yes,ATAR,The Certificate III in Interior Decoration Retail Services is designed to develop the knowledge and skills in secondary school students required for the selection and coordination of interior furnishings and finishes in the decoration of domestic and commercial interiors.,,CERTIII,Melbourne,No,Holmesglen Institute,IELTS,Years,NoLocalFee,No
Normal,Arts and Design,AUD,Interior decoration consultantSelf employment working directly with clientsInterior decoration consultant within the retail domestic environment,Years,English,Australia,1.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Interior-Decoration-and-Design/Certificate-IV-in-Interior-Decoration,Yes,No,Yes,Certificate IV in Interior Decoration,5.0,No,A,Yes,,"13,500",Yes,ATAR,"The Certificate IV in Interior Decoration will prepare you for a range of interior design careers. Whether you want to decorate residential domestic interiors, retail interiors, commercial spaces or specialised rooms, this course will help you get there.",,CERTIV,Melbourne,No,Holmesglen Institute,IELTS,Year,"12,320.65",No
Pre-apprenticeship,Arts and Design,AUD,print apprenticeshipsprint manufacture apprenticeshipprint communications apprenticeship,Years,English,Australia,3.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Printing/Certificate-II-in-Printing-and-Graphic-Arts-General-Pre-apprenticeship,No,No,Yes,Certificate II in Printing and Graphic Arts (General),Na,No,D,Yes,,NoIntFee,Yes,ATAR,"The Certificate II in Printing and Graphic Arts (General) is a pre-apprenticeship course which will give you an insight into the printing industry and provide you with the skills and knowledge you need for digital printing. It covers basic design, digital photography, customer service, digital printing systems and processes.",,CERTII,Melbourne,No,Holmesglen Institute,IELTS,Months,"6,400.50",Yes
Traineeship,Arts and Design,AUD,digital printer lithographic printerflexographic printergravure printergraphic communications,Years,English,Australia,2.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Printing/Certificate-II-in-Printing-and-Graphic-Arts-General-VET-Delivered-to-Secondary-School-Students,Yes,No,No,Certificate II in Printing and Graphic Arts (General),Na,No,D,Yes,,NoIntFee,Yes,ATAR,"The Certificate II in Printing and Graphic Arts (General) provides secondary school students an insight into the printing industry and provides the skills and knowledge needed for digital printing. It covers basic design, digital photography, customer service, digital printing systems and processes.",,CERTII,Melbourne,No,Holmesglen Institute,IELTS,Years,NoLocalFee,No
Apprenticeship,Arts and Design,AUD,Digital media designermultimedia graphic designerassistant graphic artistmultimedia content authormultimedia designerprint finishing artistmultimedia production technicianpre-press operatorpre-press techniciandigital production controllerpre-press worker,Years,English,Australia,3.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Printing/Certificate-III-in-Print-Communications-Apprenticeship,Yes,No,No,Certificate III in Print Communications,Na,No,D,Yes,,NoIntFee,Yes,ATAR,The Certificate III in Print Communications is designed for employed apprentices who work in a digital design and output environment.,,CERTIII,Melbourne,No,Holmesglen Institute,IELTS,Years,"4,656.00",No
Apprenticeship,Arts and Design,AUD,Digital media designermultimedia graphic designerassistant graphic artistmultimedia content authormultimedia designerprint finishing artistmultimedia production technicianpre-press operatorpre-press techniciandigital production controllerpre-press worker,Years,English,Australia,3.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Printing/Certificate-III-in-Print-Communications-Apprenticeship,Yes,No,No,Certificate III in Print Communications,Na,No,D,Yes,,NoIntFee,Yes,ATAR,The Certificate III in Print Communications is designed for employed apprentices who work in a digital design and output environment.,,CERTIII,Workplace,No,Holmesglen Institute,IELTS,Years,"4,656.00",No
Apprenticeship,Arts and Design,AUD,ink mixermail house production workerpaper products machinistprint finishersacks and bags maker,Years,English,Australia,3.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Printing/Certificate-III-in-Print-Manufacturing-Apprenticeship,Yes,No,No,Certificate III in Print Manufacturing,Na,No,D,Yes,,NoIntFee,Yes,ATAR,"The Certificate III in Print Manufacturing provides comprehensive training for printing manufacturing apprentices and covers all practical and theoretical aspects of the print manufacturing trade streams, such as finishing, binding, folding, gluing, cutting, embellishing and corrugating.",,CERTIII,Melbourne,No,Holmesglen Institute,IELTS,Years,"4,628.00",No
Apprenticeship,Arts and Design,AUD,ink mixermail house production workerpaper products machinistprint finishersacks and bags maker,Years,English,Australia,3.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Printing/Certificate-III-in-Print-Manufacturing-Apprenticeship,Yes,No,No,Certificate III in Print Manufacturing,Na,No,D,Yes,,NoIntFee,Yes,ATAR,"The Certificate III in Print Manufacturing provides comprehensive training for printing manufacturing apprentices and covers all practical and theoretical aspects of the print manufacturing trade streams, such as finishing, binding, folding, gluing, cutting, embellishing and corrugating.",,CERTIII,Workplace,No,Holmesglen Institute,IELTS,Years,"4,628.00",No
Apprenticeship,Arts and Design,AUD,digital print managerdigital printerprint machinistscreen printer,Years,English,Australia,3.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Printing/Certificate-III-in-Printing-Apprenticeship,Yes,No,No,Certificate III in Printing,Na,No,D,Yes,,NoIntFee,Yes,ATAR,"The Certificate III in Printing provides comprehensive training for printing apprentices, and covers all practical and theoretical aspects of the trade, such as publishing, newspapers, magazines, and packaging.",,CERTIII,Melbourne,No,Holmesglen Institute,IELTS,Years,"4,650.00",No
Apprenticeship,Arts and Design,AUD,digital print managerdigital printerprint machinistscreen printer,Years,English,Australia,3.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Printing/Certificate-III-in-Printing-Apprenticeship,Yes,No,No,Certificate III in Printing,Na,No,D,Yes,,NoIntFee,Yes,ATAR,"The Certificate III in Printing provides comprehensive training for printing apprentices, and covers all practical and theoretical aspects of the trade, such as publishing, newspapers, magazines, and packaging.",,CERTIII,Workplace,No,Holmesglen Institute,IELTS,Years,"4,650.00",No
Normal,Arts and Design,AUD,None,Years,English,Australia,3.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Printing/Print-Awareness,Yes,No,No,Print Awareness,Na,No,D,Yes,,NoIntFee,Yes,ATAR,"This is short course will introduce participants to print production procedures, from creation to press. Delivered in easy-to-understand language.",,SHORT COURSES,Melbourne,No,Holmesglen Institute,IELTS,Years,441,No
Normal,Business and Finance,AUD,bookkeeperBAS agentpayroll officeraccounts administration accounts payable/ receivable.,Years,English,Australia,,https://holmesglen.edu.au/Courses/Business-and-Finance/Accounting-and-Financial-Services/Certificate-IV-in-Accounting-and-Bookkeeping-Online,Yes,No,No,Certificate IV in Accounting and Bookkeeping,Na,Yes,D,No,,NoIntFee,No,ATAR,"The Certificate IV in Accounting and Bookkeeping - delivered online - will give your the skills needed for a role as an assistant accountant, account clerk, bookkeeper or BAS agent.",,CERTIV,Online,Yes,Holmesglen Institute,IELTS,,"4,288.00",Yes
Normal,Business and Finance,AUD,mortgage brokerfinance brokercredit and loans officerloans processer,Years,English,Australia,6.0,https://holmesglen.edu.au/Courses/Business-and-Finance/Accounting-and-Financial-Services/Certificate-IV-in-Finance-and-Mortgage-Broking,Yes,No,No,Certificate IV in Finance and Mortgage Broking,Na,No,D,Yes,,NoIntFee,Yes,ATAR,"If you have responsibilities that include business finance and mortgage broking or you would like a pathway into the industry, the Certificate IV In Finance and Mortgage Broking is for you.",,CERTIV,Melbourne,No,Holmesglen Institute,IELTS,Months,"1,616.50",No
Normal,Business and Finance,AUD,bookkeepingBAS agentpayroll officeraccounts administration accounts payable/ receivable.,Years,English,Australia,5.0,https://holmesglen.edu.au/Courses/Business-and-Finance/Accounting-and-Financial-Services/Certificate-IV-in-Accounting-and-Bookkeeping,Yes,No,Yes,Certificate IV in Accounting and Bookkeeping,5.5,No,A,Yes,,"6,400",Yes,ATAR,"The Certificate IV in Accounting and Bookkeeping will give you a range of accounting skills, including how to prepare financial reports, set up and operate a computerised accounting system, complete a BAS and establish and maintain a payroll system.",,CERTIV,Melbourne,No,Holmesglen Institute,IELTS,Months,"4,288.00",Yes
Normal,Business and Finance,AUD,assistant accountantoffice manageraccounts payable and accounts receivable officerspayroll service providers,Years,English,Australia,5.0,https://holmesglen.edu.au/Courses/Business-and-Finance/Accounting-and-Financial-Services/Diploma-of-Accounting,Yes,No,Yes,Diploma of Accounting,5.5,No,A,Yes,,"6,400",Yes,ATAR,"The Diploma of Accounting will give you a strong working knowledge of the principles of accounting, tax, finance, statistics and law as they apply to the accounting profession, as well as the broader Australian business environment.",,DIP,Melbourne,No,Holmesglen Institute,IELTS,Months,"6,737.50",Yes
