Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Course Delivery Mode,FREE TAFE,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
CERTII,Holmesglen Institute,Melbourne,Certificate II in Applied Fashion Design and Technology,Arts and Design,,"4,680.00",AUD,Years,5.0,Months,Yes,No,ATAR,IELTS,,,https://holmesglen.edu.au/Courses/Arts-and-Design/Fashion/Certificate-II-in-Applied-Fashion-Design-and-Technology,English,D,"If you love fashion, working with fabric and design, and would like a career in the fashion industry, the Certificate II in Applied Fashion Design and Technology will introduce you to all facets of the fashion design and production process.Through the design process, you will learn how to create fashion illustrations, both by hand and digitally, put together colour and fabric proposals, modify patterns and design and make garments.You will learn all of these skills in purpose built, industry standard facilities and on the latest industrial equipment, taught by industry professionals.","design assistant, quality controller, sewing machinist, production support",Australia,No,Yes,No,Yes,No,,Normal,No,MSMENV272 Participate in environmentally sustainable work practices,,,MSMWHS200 Work safely,,,MSTCL2011 Draw and interpret a basic sketch,,,CUAPPR201 Make simple creative work,,,MSTFD2001 Design and produce a simple garment,,,MSTFD2005 Identify design process for fashion designs,,,MSTFD2006 Use a sewing machine for fashion design,,,MSTGN2003 Work in the TCF industry,,,"MSTGN2013 Identify fibres, fabrics and textiles used in the TCF industry",,,MSTGN2014 Operate computing technology in a TCF workplace,,,MSTTX1001 Produce a simple textile fabric or product,,,MSS402051 Apply quality standards,,,MSTCL2005 Use specialised machinery or processes to assist TCF production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTII,Holmesglen Institute,Melbourne,Certificate II in Applied Fashion Design and Technology,Arts and Design,,"4,680.00",AUD,Years,23.0,Months,No,Yes,ATAR,IELTS,,,https://holmesglen.edu.au/Courses/Arts-and-Design/Fashion/Certificate-II-in-Applied-Fashion-Design-and-Technology-VET-delivered-to-Secondary-School-Students,English,D,"If you love fashion, working with fabric and design and would like to progress to a career in the fashion industry, the Certificate II in Applied Fashion Design and Technology will introduce you to all facets of the fashion design and production process.During the course, you will learn how to create fashion illustrations, both by hand and digitally, put together colour and fabric proposals, draft patterns and sew garments. You will learn all these skills in purpose built, industry standard facilities, and on the latest industrial equipment, taught by industry professionals.If you love fashion, working with fabric and design and would like to progress to a career in the fashion industry, this course would be a perfect starting point.This is a VET Delivered to Secondary School Students (previously VETiS) course and can only be completed as part of your VCE or VCAL program.","This course is a starting point if you are interested in further study and a career in the fashion design field, in a variety of different areas. These can include fashion design, pattern making and drafting, production, marketing or styling.",Australia,No,Yes,No,Yes,No,,Traineeship,No,MSMWHS200 Work safely,,,MSTFD2005 Identify design process for fashion designs,,,MSTFD2006 Use a sewing machine for fashion design,,,MSMENV272 Participate in environmentally sustainable work practices,,,MSS402051 Apply quality standards,,,MSTCL2011 Draw and interpret a basic sketch,,,MSTCL1001 Produce a simple garment,,,CUAPPR201 Make simple creative work,,,MSTCL2010 Modify patterns to create basic styles,,,MSTTX1001 Produce a simple textile fabric or product,,,MSTCL3007 Embellish garment by hand or machine,,,MSTFD2001 Design and produce a simple garment,,,MSTML1001 Make a simple headpiece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIV,Holmesglen Institute,Melbourne,Certificate IV in Applied Fashion Design and Merchandising,Arts and Design,"13,800","12,900.00",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,,,https://holmesglen.edu.au/Courses/Arts-and-Design/Fashion/Certificate-IV-in-Applied-Fashion-Design-and-Merchandising,English,A,"The Certificate IV in Applied Fashion Design and Merchandising provides a general grounding in basic fashion design, including identifying fibres and fabrics, fashion illustration, designing and creating patterns and blocks, making and manufacturing, and using electronic fashion design tools.The course incorporates simulated workplace activities and will prepare you for further studies in a variety of fashion design and textiles courses at diploma and degree level.You will produce a folio of work that can be used when applying for further studies.You will graduate from the course with a sound knowledge of the fashion design process and have skills to obtain entry level work in occupations such as assistant designers and pattern makers, who work with and support other fashion industry personnel.","assistant fashion designer, merchandising assistant, specialist production technician, patternmaker, sewing machinist",Australia,No,Yes,No,Yes,No,,Normal,No,MSMENV272 Participate in environmentally sustainable work practices,,,MSMWHS200 Work safely,,,"MSTGN2013 Identify fibres, fabrics and textiles used in the TCF industry",,,MSTGN2014 Operate computing technology in a TCF workplace,,,MSTCL3009 Develop patterns from a block using basic patternmaking principles,,,MSTFD2005 Identify design process for fashion designs,,,MSTFD2006 Use a sewing machine for fashion design,,,MSTFD4002 Apply principles of colour theory to fashion design development,,,MSTFD4003 Assist in preparation of preliminary design concepts,,,MSTFD4008 Construct stock size block for garment to meet size and fit specifications,,,MSTFD4006 Interact and network with fashion industry participants,,,MSTCL3001 Identify fabric performance and handling requirements,,,MSTFD4001 Apply design studio process,,,MSTFD4005 Communicate and sell design concepts,,,MSTFD4010 Create pattern to meet design specifications applying advanced patternmaking principles,,,MSTFD4013 Grade 2-D patterns,,,MSTFD4014 Identify influences on contemporary fashion designs and construction techniques,,,MSTFD4016 Sew design prototypes,,,MSTFD4020 Use electronic fashion design tools,,,MSTFD4022 Source materials and resources for production of TCF designs,,,MSS402051 Apply quality standards,,,MSTFD3004 Draw a trade drawing for fashion design,,,MSTFD4023 Calculate cost estimates for TCF products,,,MSTFD4011 Cut fabrics for prototype designs,,,MSTFD4012 Develop product specifications for fashion design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Holmesglen Institute,Melbourne,Bachelor of Fashion Design,Arts and Design,"18,800","15,964.30",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,,6.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Fashion/Bachelor-of-Fashion-Design,English,A,"Holmesglen's Bachelor of Fashion Design is a cutting edge course for those who aspire to a career in the fast paced world of fashion. Innovative design is at the forefront of our delivery, underpinned by a comprehensive technical foundation in pattern engineering, garment construction and the application of CAD design tools.Our classes are small and our continual investment in the latest equipment and software ensures you are kept abreast of the latest skills and techniques that the industry demands.Learn from our highly skilled educators, who are also practising professionals with extensive experience in the local and global fashion industry. They understand what it takes to be successful in the competitive world of fashion, and know exactly how to support you to achieve your goals.Holmesglen Fashion is located on St Kilda Road, opposite the Shrine of Remembrance, with inspirational views across the cityscape - an ideal learning environment to get those creative energies flowing and turn designs into reality.Our state-of-the-art fashion facility is an easy stroll to visit suppliers, stockists, the National Gallery of Victoria and major fashion festivals, such as Melbourne Fashion Week and the Virgin Australia Melbourne Fashion Festival.",Bachelor of Fashion graduates can apply for entry to relevant Masters or other post-graduate qualifications. Grade Point Average or other conditions may apply.,Australia,No,Yes,No,Yes,No,,Normal,No,BFD101 Pattern Engineering 1,,,BFD102 Manufacturing & pre-production 1,,,BFD103 Design innovation 1,,,BFD104 Professional practice & industry issues 1,,,BFD105 Pattern engineering 2,,,BFD106 Manufacturing & pre-production 2,,,BFD107 Design innovation 2,,,BFD108 Professional practice & industry issues 2,,,BFD201 Pattern engineering 3,,,BFD202 Manufacturing & pre-production 3,,,BFD203 Design innovation 3,,,BFD204 Professional practice & industry issues 3,,,BFD205 Pattern engineering 4,,,BFD206 Manufacturing & pre-production 4,,,BFD207 Design innovation 4,,,BFD208 Professional practice & industry issues 4,,,BFD301 Pattern engineering 5,,,BFD302 Manufacturing & pre-production 5,,,BFD303 Design innovation 5,,,BFD304 Professional practice and industry issues 5,,,BFD305 Pattern engineering 6,,,BFD306 Manufacturing and pre-production 6,,,BFD307 Design innovation 6,,,BFD308 Professional practice and industry issues 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Design Fundamentals,Arts and Design,,,AUD,Years,2.0,Years,No,Yes,ATAR,IELTS,,,https://holmesglen.edu.au/Courses/Arts-and-Design/Graphic-Design/Certificate-III-in-Design-Fundamentals-VET-delivered-to-Secondary-Students,English,D,"This course provides you with an introduction to the practice of graphic design and prepares you to enter a wide range of art and design courses at certificate, diploma and degree level.Supported by encouraging, industry experienced teachers, you will be introduced to a wide variety of drawing materials and techniques when producing finished design pieces using the Adobe suite of products, including Photoshop, Illustrator and InDesign.Throughout the course you will create illustrations, both manually and digitally, explore layout and typography, learn digital DSLR photography and how to apply colour in a variety of contexts.On successful completion of this course, you will have prepared a folio of design projects, learnt how to present them professionally and participated in an exhibition of your work.This is a VET Delivered to Secondary Students (previously VETiS) course and can only be completed as part of your VCE or VCAL program.",Design industry roles,Australia,No,Yes,No,Yes,No,,Traineeship,No,BSBDES302 Explore and apply the creative design process to 2D forms,,,BSBWHS201 Contribute to health and safety of self and others,,,CUAACD301 Produce drawings to communicate ideas,,,BSBDES201 Follow a design process,,,BSBDES301 Explore the use of colour,,,BSBDES303 Explore and apply the creative design process to 3D forms,,,CUADIG305 Produce digital images,,,CUAPHI302 Capture photographic images,,,CUAPPR304 Participate in collaborative creative projects,,,BSBDES304 Source and apply design industry knowledge,,,CUAPPR301 Produce creative work,,,ICPPRP221 Select and apply type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIV,Holmesglen Institute,Melbourne,Certificate IV in Design,Arts and Design,"6,900","7,715.25",AUD,Years,5.0,Months,Yes,Yes,ATAR,IELTS,,5.5,https://holmesglen.edu.au/Courses/Arts-and-Design/Graphic-Design/Certificate-IV-in-Design,English,A,"The Certificate IV in Design prepares post secondary-school students for further studies in art and design at diploma and degree level.The course provides a general grounding in design and the opportunity to produce a folio of work that meets the requirements of entry to a wide variety of further art and design courses.Supported by encouraging, industry-experienced teachers, you will be introduced to the design process and work with a range of mediums, traditional and digital. The course covers drawing, two and three dimensional design, typography, layout design, photography, fashion illustration, pattern design, folio presentation and interview techniques.",junior design roles,Australia,No,Yes,No,Yes,No,,Normal,No,BSBCRT301 Develop and extend critical and creative thinking skills,,,BSBDES402 Interpret and respond to a design brief,,,BSBWHS201 Contribute to health and safety of self and others,,,CUAACD401 Integrate colour theory and design processes,,,CUAACD303 Produce technical drawings,,,CUADRA401 Experiment with techniques to produce drawings,,,CUAGRD302 Use typography techniques,,,CUAGRD401 Research and apply graphic design techniques,,,BSBDES305 Source and apply information on the history and theory of design,,,BSBDES401 Generate design solutions,,,CUAPPR401 Realise a creative project,,,BSBCRT402 Collaborate in a creative process,,,BSBITU401 Design and develop complex text documents,,,CUADIG304 Create visual design components,,,CUAILL401 Develop and refine illustrative work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Holmesglen Institute,Melbourne,Diploma of Graphic Design,Arts and Design,"13,800","11,793.50",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,,5.5,https://holmesglen.edu.au/Courses/Arts-and-Design/Graphic-Design/Diploma-of-Graphic-Design,English,A,"The Diploma of Graphic Design will allow you to combine your technical, creative and conceptual skills to create designs that meet client requirements and solve a range of visual communication challenges.During this course, you will gain strong technical skills, develop a sound understanding of design theory and practice, and be able to analyse and synthesise information from a range of sources to generate design solutions.Graphic designers work in many different commercial and community contexts across both print and digital media.Briefs include or have links to areas such as advertising and promotion, art direction, branding, corporate identity, instructional design, packaging, signage and UX and UI design.Throughout this course, you will also be introduced to industry briefs, have exciting opportunities to enter competitions, attend design industry events, and have access to professionals from the graphic design industry. Our experienced and supportive staff are drawn from industry and students study in our outstanding facilities using the latest software and equipment.","freelance designer, junior graphic designer, production assistant",Australia,No,Yes,No,Yes,No,,Normal,No,CUAACD501 Refine drawing and other visual representation tools,,,CUAGRD504 Create and manipulate graphics,,,BSBADV509 Create mass print media advertisements,,,BSBCRT501 Originate and develop concepts,,,BSBDES501 Implement design solutions,,,CUAACD506 Refine 2-D design ideas and processes,,,CUAACD512 Work with photomedia in creative practice,,,CUADIG403 Create user interfaces,,,CUADIG502 Design digital applications,,,BSBDES403 Develop and extend design skills and practice,,,CUAGRD501 Research visual communication history and theory,,,CUAGRD502 Produce graphic designs for 2-D and 3-D applications,,,CUAGRD503 Produce typographic design solutions,,,CUAGRD505 Design and manipulate complex layouts,,,CUAGRD506 Develop graphic design practice to meet industry needs,,,CUAPPR503 Present a body of own creative work,,,BSBADV510 Create mass electronic media advertisements,,,CUAACD507 Refine 3-D design ideas and processes,,,CUAPHI514 Prepare digital images for pre-press processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADIP,Holmesglen Institute,Melbourne,Advanced Diploma of Graphic Design,Arts and Design,"13,800","12,857.00",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,5.5,https://holmesglen.edu.au/Courses/Arts-and-Design/Graphic-Design/Advanced-Diploma-of-Graphic-Design,English,A,"The Advanced Diploma of Graphic Design will allow you to combine your technical, creative and conceptual skills to create designs that meet client requirements and solve a range of visual communication challenges.You will further develop your design practice plus gain crucial training in the business of graphic design and how to effectively present your work.The course reflects the role of graphic designers who have a command of wide-ranging, highly specialised technical, creative and conceptual skills and knowledge in visual communication.These skills allow you to conceive, negotiate and realise design concepts for complex projects, using sophisticated communication, organisational and project management skills.Graphic designers work in many different commercial and community contexts across both print and digital media.Briefs include, or have links to, areas such as advertising and promotion, art direction, branding, corporate identity, instructional design, packaging, signage and UX and UI design.","freelance designer, graphic designer",Australia,No,Yes,No,Yes,No,,Normal,No,"BSBDES502 Establish, negotiate and refine a design brief",,,CUAGRD601 Engage in the business of graphic design,,,CUAGRD603 Extend typographic design expertise,,,BSBIPR501 Manage intellectual property to protect and grow business,,,BSBPMG522 Undertake project work,,,CUAGRD602 Originate graphic designs for complex briefs,,,CUAPPR504 Establish and maintain environmentally sustainable creative practice,,,CUADIG507 Design digital simulations,,,CUAGRD607 Develop graphic designs for branding and identity,,,CUAPPR601 Originate a body of independent creative work,,,CUAPPR604 Publicly present a body of own creative work,,,BSBDES601 Manage design realisation,,,CUADIG506 Design interaction,,,CUAGRD606 Develop graphic designs for packaging,,,CUAILL501 Develop professional illustrations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIII,Holmesglen Institute,Melbourne,Certificate III in Interior Decoration Retail Services,Arts and Design,,,AUD,Years,2.0,Years,No,Yes,ATAR,IELTS,,,https://holmesglen.edu.au/Courses/Arts-and-Design/Interior-Decoration-and-Design/Certificate-III-in-Interior-Decoration-Retail-Services-VET-Delivered-to-Secondary-School-Students,English,D,"The Certificate III in Interior Decoration Retail Services is designed to develop the knowledge and skills in secondary school students required for the selection and coordination of interior furnishings and finishes in the decoration of domestic and commercial interiors.This is a VET Delivered to Secondary Students (previously VETiS) course and can only be completed as part of your VCE or VCAL program.You will study interior decoration and learn the practical skills and knowledge required to plan and implement creative design and decoration solutions for a variety of interior environments. You will also learn skills in computing, Google SketchUp, presentation methods, soft furnishings, hard material application, colour theory and application.You will have the opportunity to use Adobe design software throughout the program. You will create a folio of design work for art and design courses at tertiary level.",Further study in interior design and decoration.,Australia,No,Yes,No,Yes,No,,Traineeship,No,MSMSUP102 Communicate in the workplace,,,MSMWHS200 Work safely,,,BSBDES301 Explore the use of colour,,,MSMENV272 Participate in environmentally sustainable work practices,,,MSMSUP106 Work in a team,,,BSBCUE304 Provide sales solutions to customers,,,BSBDES202 Evaluate the nature of design in a specific industry context,,,MSFGN2001 Make measurements and calculations,,,MSFGN3002 Estimate and cost job,,,MSFSF3013 Provide technical advice to customers,,,SIRXCEG001 Engage the customer,,,MSFSF3010 Advise customers on interior decoration,,,SIRXSLS001 Sell to the retail customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIV,Holmesglen Institute,Melbourne,Certificate IV in Interior Decoration,Arts and Design,"13,500","12,320.65",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,,5.0,https://holmesglen.edu.au/Courses/Arts-and-Design/Interior-Decoration-and-Design/Certificate-IV-in-Interior-Decoration,English,A,"The Certificate IV in Interior Decoration will prepare you for a range of interior design careers. Whether you want to decorate residential domestic interiors, retail interiors, commercial spaces or specialised rooms, this course will help you get there.This is a practical hands on course, allowing you to view, touch and style hard materials and soft furnishing textiles.You'll explore the use of colour, work with fabrics, research design history and use computer aided design (CAD) and Adobe software to bring your ideas to life.You will learn invaluable skills in communication, teamwork, problem solving, in depth product knowledge and how to select appropriate products.In addition, you will learn how to interpret customer needs and desired outcomes, identify and recommend improvements and learn valuable planning and organisational skills working in a safe environment.You will develop an impressive portfolio of projects throughout the course, which you can use for presentation to potential employer and clients.","Interior decoration consultant, Self employment working directly with clients, Interior decoration consultant within the retail domestic environment",Australia,No,Yes,No,Yes,No,,Normal,No,BSBDES302 Explore and apply the creative design process to 2D forms,,,CUAACD301 Produce drawings to communicate ideas,,,CUAACD303 Produce technical drawings,,,MSFID4016 Design colour schemes for interior and exterior spaces,,,CPPBDN4001 Research and evaluate construction materials and methods for building design projects,,,CUAACD302 Produce computer-aided drawings,,,MSFID4015 Prepare materials and finishes boards for client presentation,,,MSFID4021 Design soft furnishing solutions for interior spaces,,,BSBDES303 Explore and apply the creative design process to 3D forms,,,MSFGN4001 Research and meet ethical and compliance requirements,,,MSFID4012 Decorate residential interiors,,,BSBDES403 Develop and extend design skills and practice,,,CUADIG303 Produce and prepare photo images,,,MSFID4013 Design residential interior lighting,,,MSFID4017 Research and recommend furniture and accessories,,,MSFID4019 Research interior decoration and design influences,,,MSMWHS200 Work safely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
