Country,Duration_Time,City,Part_Time,Description,Course,Level_Code,Website,Prerequisite_2_grade_2,Course_Lang,Remarks,Currency,Full_Time,Career_Outcomes/path,Online,Availability,Currency_Time,Prerequisite_2,Prerequisite_1,Distance,Blended,Duration,Prerequisite_3,Prerequisite_1_grade_1,Local_Fees,Offline,Prerequisite_3_grade_3,Faculty,University,Int_Fees,Face_to_Face
Australia,,Melbourne,No,"This course is designed for graduates of any discipline who seek to combine their existing skills with industry-driven, business-focused IT skills. Content is designed to meet employer demands for professionals with an understanding of business processes and information systems management tools.The qualification awarded on graduation is recognised in the Australian Qualifications Framework (AQF) as Level 8.",Graduate Certificate in Information Systems Management,GCERT,https://www.latrobe.edu.au/courses/graduate-certificate-in-information-systems-management,,English,,AUD,No,"Typical positions for graduates include business intelligence manager/consultant, ERP/IT consultant, IT manager, IT entrepreneurship consultant, business systems analyst/manager, business systems strategy analyst and planner, and SAP consultant. Accountants, marketers, and finance professionals should enjoy new promotional opportunities with enhanced applied IT skills.",,,Years,,,No,No, Cant find, ,,,Yes,,Business and commerce,La Trobe University,19100,Yes
Australia,,City,No,"Learn modern skills for a new communication eraThe evolution of digital media has transformed communication. Print media, direct mail and advertising are the old, and big data, social media and campaigns are the new way of communicating. La Trobe's Graduate Certificate of Strategic Communication gives you the skills to succeed in this rapidly-changing industry.You'll develop a strong foundation in communication with core subjects in strategy, writing, research, issues and crisis management along with political communication. Our range of electives helps you build the necessary skills to pursue a communication career in areas such as politics, public relations or digital marketing communication.You'll learn:Political communicationDiscover the vital role communication plays in the government to influence public opinion.Strategic communication writingLearn how to write to meet the strategic communication needs of an organisation.Research applications in strategic communicationGain an understanding of how research underpins communication campaigns.The qualification awarded on graduation is recognised in the Australian Qualifications Framework (AQF) as Level 8.",Graduate Certificate of Strategic Communication,GCERT,https://www.latrobe.edu.au/courses/graduate-certificate-of-strategic-communication,,English,,AUD,Yes,"Careers in the strategic communication are projected to grow to 22,000 by 2023.*",,,Years,,,No,No, Cant find, ,,,Yes,,Business and commerce,La Trobe University,16400,Yes
Australia,Year,City,No,"The Graduate Diploma in Business Analytics is a specialised degree that aims to give you the skills to solve the problems of modern businesses.This multi-disciplinary course draws upon knowledge and skills in business, statistics, computer science, and soft personal skills such as communication and critical thinking. The course covers foundation and advanced business analytics by using state-of-the-art tools to showcase the practical application of knowledge and skills. It also has a strong industry presence to ensure that you're kept up-to-date with the latest developments in this field.The qualification awarded on graduation is recognised in the Australian Qualifications Framework (AQF) as Level 8.",Graduate Diploma in Business Analytics,GDIP,https://www.latrobe.edu.au/courses/graduate-diploma-in-business-analytics,,English,,AUD,No,"In Australia, the need for analytical professionals is at an all-time high across a range of industries including banking, retail, sport, science, entertainment, health and public services.",,,Years,,,No,No,1.0, ,,,Yes,,Business and commerce,La Trobe University,35800,Yes
Australia,Year,Melbourne,No,"Employers are increasingly demanding professionals with an understanding of business processes and information systems management tools. You can combine your existing skills in any discipline with industry-driven, business-focused IT skills. It is part of a three-tier postgraduate program where you may articulate into the Master of Information Systems Management or the Master of Business Information Management and Systems. You will learn to develop business solutions in areas such as customer relationships, management, marketing or accounting and finance using industry based enterprise resource planning tools (e.g. SAP) and business intelligence tools (e.g. SAS). You will also develop an understanding of the analysis, design and application of business information systems and gain knowledge and skills in data warehousing, entrepreneurship, IT, information systems management and business intelligence.    The qualification awarded on graduation is recognised in the Australian Qualifications Framework (AQF) as Level 8.",Graduate Diploma in Information Systems Management,GDIP,https://www.latrobe.edu.au/courses/graduate-diploma-in-information-systems-management,,English,,AUD,No,"Typical positions for graduates include business intelligence manager/consultant, ERP/IT consultant, IT manager, IT entrepreneurship consultant, business systems analyst/manager, business systems strategy analyst and planner, and SAP consultant. Accountants, marketers, and finance professionals should enjoy new promotional opportunities with enhanced applied IT skills. ",,,Years,,,No,No,1.0, ,,,Yes,,Business and commerce,La Trobe University,38200,Yes
Australia,Year,City,No,"Learn modern skills for contemporary communication.The evolution of digital media has transformed communication. Professionals with skills in social media and campaigns are in high demand. La Trobe's Graduate Diploma of Strategic Communication has been designed to meet the needs of this rapidly-changing industry.You'll develop a strong foundation in communication with core subjects in strategy, writing, research and political communication. Our range of electives helps you build the necessary skills to pursue a communication career in areas such as politics, corporations and not-for-profit organisations.You'll learn:Political communicationDiscover the vital role communication plays in the government sector to influence public opinion.Strategic communication writingLearn how to write to a strategic communication plan.Research applications in strategic communicationGain an understanding of how research underpin communication campaigns.The qualification awarded on graduation is recognised in the Australian Qualifications Framework (AQF) as Level 8.",Graduate Diploma of Strategic Communication,GDIP,https://www.latrobe.edu.au/courses/graduate-diploma-of-strategic-communication,,English,,AUD,Yes,"Communication officerHelp prepare marketing material to help promote brands and projects.Social media managerCreate, edit and manage content for social media campaigns on platforms such as Facebook, Twitter and Instagram.Social researcherGather and analyse data on communities to create effective campaigns.",,,Years,,,No,No,1.0, ,,,Yes,,Business and commerce,La Trobe University,32800,Yes
Australia,Years,Melbourne,No,"Grow your financial expertise.Global financials systems are a powerful, ever-growing force. Firms are searching for professionals with a keen understanding of economic environments, who can help them navigate the contemporary business world.To meet this need, we've designed our Master of Accounting and Financial Management to give you a solid foundation in every aspect of business accounting and financial management. You'll also develop your expertise through a range of advanced accounting and finance subjects, which are designed to build your professional skills.It's an ideal course if you have an undergraduate degree and want to gain your professional accounting certification, as well as hone your finance skills.The Master of Accounting and Financial Management is accredited by Chartered Accountants Australia and New Zealand (CAANZ), CPA Australia and, on the Melbourne Campus, by the Chartered Institute of Management Accountants (CIMA)1.You'll learn:Financial and management accountingRecognise and apply the accounting principles that govern the preparation, presentation and communication of accounting information. Learn how to use accounting software to record business transactions.Financial managementGain a thorough knowledge of a firm's short and long-term investment decisions.EconomicsLearn a variety of economic concepts and how to apply them in business and policy-making.Company and commercial lawExplore the core principles of contract law, consumer protection and the law of negligence. Understand how to work with different business structures.TaxExamine Commonwealth income tax legislation and the implications of income tax on individuals and businesses.AuditingUnderstand concepts involved in the auditing process and integrate them with practical applications.1 Students must complete specific subjects to graduate with the CAANZ accredited qualification. Please refer to the La Trobe University Handbook for further details.The qualification awarded on graduation is recognised in the Australian Qualifications Framework (AQF) as Level 9.",Master of Accounting and Financial Management ,MST,https://www.latrobe.edu.au/courses/master-of-accounting-and-financial-management,,English,,AUD,No,"Investment officerProvide businesses with strategic investment advice. Identify business opportunities and secure investments that grow their impact.Management accountantManage accounting records, financial statements and tax returns for individuals, companies, trusts and super funds. Provide financial advice and formulate business plans.Finance business partnerUse your accounting skills to connect business units with both operations and management. Provide support and analysis, and become a trusted adviser who adds value in decision-making.AuditorEnsure businesses comply with internal control procedures and legal standards.Financial managerTake responsibility for budget planning and support executive decision-making with quality financial advice.Financial controller Oversee business finances and make key decisions on operations and spending. ",,,Years,,,No,No,2.0, ,,,Yes,,Business and commerce,La Trobe University,36600,Yes
Australia,Years,Bendigo,No,"Grow your financial expertise.Global financials systems are a powerful, ever-growing force. Firms are searching for professionals with a keen understanding of economic environments, who can help them navigate the contemporary business world.To meet this need, we've designed our Master of Accounting and Financial Management to give you a solid foundation in every aspect of business accounting and financial management. You'll also develop your expertise through a range of advanced accounting and finance subjects, which are designed to build your professional skills.It's an ideal course if you have an undergraduate degree and want to gain your professional accounting certification, as well as hone your finance skills.The Master of Accounting and Financial Management is accredited by Chartered Accountants Australia and New Zealand (CAANZ), CPA Australia and, on the Melbourne Campus, by the Chartered Institute of Management Accountants (CIMA)1.You'll learn:Financial and management accountingRecognise and apply the accounting principles that govern the preparation, presentation and communication of accounting information. Learn how to use accounting software to record business transactions.Financial managementGain a thorough knowledge of a firm's short and long-term investment decisions.EconomicsLearn a variety of economic concepts and how to apply them in business and policy-making.Company and commercial lawExplore the core principles of contract law, consumer protection and the law of negligence. Understand how to work with different business structures.TaxExamine Commonwealth income tax legislation and the implications of income tax on individuals and businesses.AuditingUnderstand concepts involved in the auditing process and integrate them with practical applications.1 Students must complete specific subjects to graduate with the CAANZ accredited qualification. Please refer to the La Trobe University Handbook for further details.The qualification awarded on graduation is recognised in the Australian Qualifications Framework (AQF) as Level 9.",Master of Accounting and Financial Management ,MST,https://www.latrobe.edu.au/courses/master-of-accounting-and-financial-management,,English,,AUD,No,"Investment officerProvide businesses with strategic investment advice. Identify business opportunities and secure investments that grow their impact.Management accountantManage accounting records, financial statements and tax returns for individuals, companies, trusts and super funds. Provide financial advice and formulate business plans.Finance business partnerUse your accounting skills to connect business units with both operations and management. Provide support and analysis, and become a trusted adviser who adds value in decision-making.AuditorEnsure businesses comply with internal control procedures and legal standards.Financial managerTake responsibility for budget planning and support executive decision-making with quality financial advice.Financial controller Oversee business finances and make key decisions on operations and spending. ",,,Years,,,No,No,2.0, ,,,Yes,,Business and commerce,La Trobe University,36600,Yes
Australia,Years,Melbourne,No,"Lead the biotech revolution.Every industry needs visionary leaders.As the field of biotechnology continues to innovate and expand, new opportunities are arising for skilled professionals who understand the power behind the science and can bring valuable innovations to market.Our Master of Biotechnology Management has been designed to give you a unique combination of biotechnology and business management skills. Gain advanced knowledge of molecular modelling software, proteomics and genomics, and develop essential enterprise skills including marketing, economics and finance. Your studies will take place in the heart of the La Trobe Institute for Molecular Sciences (LIMS). You'll have access to advanced research facilities, world-class laboratories devoted to biotech, biomedicine and biosecurity, and teachers at the forefront of biotech innovation.Graduate ready to use your management and technical knowledge to explore current and emerging technologies in human health, diagnostics, environmental sustainability, food security, renewable energy and more.You'll learn: Bioinformatics  Apply technical skills to collect, store and analyse complex biological data, including genome and protein sequence information.    Principles of economics  Explore a variety of economic concepts and how they can be applied in real-world business and policy-making to make better decisions and improve people's well-being.   Bio-business management  Apply for a job within a virtual biotechnology company and work in groups to produce and market a virtual product. You'll be guided by career development staff, academic staff and industry professionals. Examine organisational structure, intellectual property, scientific reasoning, market research and ethics.   Sustainable management and marketing  Understand how the need for sustainable value creation in contemporary organisations influences management and marketing behaviour and practice. Use theoretical and analytical frameworks to explore real-world examples.  The qualification awarded on graduation is recognised in the Australian Qualifications Framework (AQF) as Level 9.",Master of Biotechnology Management,MST,https://www.latrobe.edu.au/courses/master-of-biotechnology-management,,English,,AUD,No," Project officer  Provide technical support for researchers and liaise with vendors, service personnel and stakeholders.   Sales representative  Increase the market share, provide high-quality customer service and attend conferences for biotechnology businesses.   Clinical development officer  Manage clinical sites and ensure timely delivery of clinical trial enrolment.   Research and development manager  Manage the research, planning and implementation of new programs and protocols. Oversee the development of new products.   Business developer  Maximise sales, develop strategies to enter new markets and achieve financial growth.  ",,,Years,,,No,No,2.0, ,,,Yes,,Business and commerce,La Trobe University,37400,Yes
Australia,Years,Bendigo,No,Hi cant find you,Master of Business Administration,MST,https://www.latrobe.edu.au/courses/master-of-business-administration,,English,,AUD,No,No career outcomes provided,,,Years,,,No,No,2.0, ,,,Yes,,Business and commerce,La Trobe University,37400,Yes
Australia,Years,City,No,Hi cant find you,Master of Business Administration,MST,https://www.latrobe.edu.au/courses/master-of-business-administration,,English,,AUD,No,No career outcomes provided,,,Years,,,No,No,2.0, ,,,Yes,,Business and commerce,La Trobe University,37400,Yes
Australia,Years,Mildura,No,Hi cant find you,Master of Business Administration,MST,https://www.latrobe.edu.au/courses/master-of-business-administration,,English,,AUD,No,No career outcomes provided,,,Years,,,No,No,2.0, ,,,Yes,,Business and commerce,La Trobe University,37400,Yes
Australia,Years,Shepparton,No,Hi cant find you,Master of Business Administration,MST,https://www.latrobe.edu.au/courses/master-of-business-administration,,English,,AUD,No,No career outcomes provided,,,Years,,,No,No,2.0, ,,,Yes,,Business and commerce,La Trobe University,37400,Yes
