Prerequisite_2,Description,Career_Outcomes/path,Duration,Prerequisite_1,Course,Online,Country,Local_Fees,Face_to_Face,Course_Lang,Prerequisite_3_grade_3,Website,Faculty,Remarks,Full_Time,Level_Code,Prerequisite_2_grade_2,University,Offline,Prerequisite_1_grade_1,Availability,Currency_Time,Duration_Time,Distance,Part_Time,Int_Fees,Currency,City,Prerequisite_3,Blended
IELTS,"Love numbers? Build the foundations for a solid career.Want to learn invaluable skills? Regardless of the economic climate, a degree in accounting provides solid business skills you'll use for a lifetime.Carefully co-designed with leading industry experts, our Bachelor of Accounting will teach you core skills across every aspect of business, including cost accounting, financial accounting, professional accounting software, accounting information systems, auditing, taxation, finance and law. You can also explore your interests through electives in a range of exciting areas, including digital business and data analytics.Learn from world-class teachers and work towards your professional membership. Our Bachelor of Accounting is accredited by Chartered Accountants Australia and New Zealand (CAANZ), CPA Australia and the Chartered Institute of Management Accountants (CIMA)1.You'll have the opportunity for an internship with leading organisations, including the Big Four international firms and the Australian Taxation Office 2. Get real-world experience, develop your professional networks and plan for career success.You'll learn:Financial and management accountingRecognise and apply the accounting principles that govern the preparation, presentation and communication of accounting information. Learn how to use accounting software to record transactions.Company and commercial lawExplore the core principles of contract and consumer protection law, the law of negligence and property law. Understand how to work with different business structures.AuditingUnderstand concepts involved in the auditing process and integrate them with practical applications.TaxExamine Commonwealth income tax legislation and the implications of income tax on individuals and businesses.Economics and financeLearn a variety of economic concepts and how to apply them in business and policy-making.StatisticsExplore the relationship between businesses, financial systems and the wider world.1 Students must complete specific subjects to graduate with the CAANZ accredited qualification. Please refer to the La Trobe University Handbook for further details.2 Eligibility criteria apply.The qualification awarded on graduation is recognised in the Australian Qualifications Framework (AQF) as Level 7.","General accountantManage accounting records, financial statements and tax returns for individuals, companies, trusts and super funds.Management accountantAnalyse and manage the accounting records and financial statements of businesses. Ensure they're consistent with reporting standards.Tax specialistExamine taxes owed and prepare tax returns that comply with reporting and payment requirements.Corporate accountantMaintain a firm's financial records to ensure they comply with laws, regulations and internal policies. Provide financial advice and help to create budgets.Financial auditorEnsure banks and other financial institutions comply with laws and regulations.",3.0,ATAR,Bachelor of Accounting,,Australia,,Yes,English,Year 12,https://www.latrobe.edu.au/courses/bachelor-of-accounting,Business and commerce,,No,BA,6.0,La Trobe University,Yes,65.40,,Years,Years,No,No,32200,AUD,Melbourne,Equivalent ,No
IELTS,"Business is calling. Will you answer?As digital disruption continues to radically reshape the global business landscape, we need new leaders who understand the wealth of opportunities now available.Our Bachelor of Business will prepare you to enter the workforce equipped with both the confidence and practical skills you'll need to succeed. You'll establish important foundations in project management, marketing, accounting, data analysis and entrepreneurship. And you'll improve your adaptability, resilience and communication skills—all highly valued by employers.Choose from a wide range of specialisations—with more than 10 major and double degree options—and learn from industry experts and experienced researchers. Gain real-world experience through our work placement programs at organisations like Victoria Police and the Australian Taxation Office.Depending on your subject choices, you may graduate eligible for registration with the Australian Marketing Institute (AMI), CPA Australia, Chartered Accountants Australia and New Zealand (CAANZ) or the Australian Human Resources Institute (AHRI).You'll learn: Management and leadership  Understand how to lead, collaborate and connect with your business peers.   Entrepreneurship  Learn the fundamentals of creative innovation and get a competitive edge in the modern business environment.   Marketing and finance  Gain the marketing and financial knowledge that's central to any career in business, whether you go into small business, large enterprises, not-for-profits or your own start-up.   Digital literacy  Learn to use a wide range of digital tools and become a more efficient and effective business professional.   Sustainability  Learn about environmental, corporate and governance responsibility and develop sustainable solutions that prioritise individual and societal wellbeing.  The qualification awarded on graduation is recognised in the Australian Qualifications Framework (AQF) as Level 7."," Financial analyst  Analyse financial data and identify trends to grow wealth for your clients and stakeholders.   Business development manager  Create and implement business solutions to reach your organisation's goals.   Marketing manager  Plan, organise, lead teams and execute marketing strategies to deliver value for your organisation.   Human resources manager  Devise employment policies and procedures, and oversee employee rewards and recognition programs.   Accountant  Manage accounting records, financial statements and tax returns for individuals, companies, trusts and super funds.1  ",3.0,ATAR,Bachelor of Business,,Australia,,Yes,English,Year 12,https://www.latrobe.edu.au/courses/bachelor-of-business,Business and commerce,,No,BA,6.0,La Trobe University,Yes,55.00,,Years,Years,No,No,33800,AUD,Melbourne,Equivalent ,No
IELTS,Hi cant find you,No career outcomes provided,3.0,ATAR,Bachelor of Business (Accounting and Finance),,Australia,,Yes,English,Year 12,https://www.latrobe.edu.au/courses/bachelor-of-business-accounting-and-finance,Business and commerce,,No,BA,6.0,La Trobe University,Yes,58.05,,Years,Years,No,No,Not Provided,AUD,Melbourne,Equivalent ,No
IELTS,"Are you ready to kickstart your future in business?Build your foundations for a solid business career with our flexible course in business and accounting.Carefully co-designed with leading industry experts, our Bachelor of Business (Accounting) will teach you core skills across every aspect of business accounting, as well as communications, research, problem-solving and teamwork skills to boost your business credentials.Learn how to meet business needs and take on social challenges. You can also explore your interests through electives in a range of speciality areas, including digital business, finance and management.Learn from world-class teachers and work towards your professional membership. Our Bachelor of Business (Accounting) is accredited by Chartered Accountants Australia and New Zealand (CAANZ), CPA Australia and the Chartered Institute of Management Accountants (CIMA)1.You'll also have the opportunity for a voluntary internship with leading organisations, including the Big Four international firms and the Australian Taxation Office2.  Get real-world experience and develop your professional networks while you study.You'll learn:Financial and management accountingRecognise and apply the accounting principles that govern the preparation, presentation and communication of accounting information. Learn how to use accounting software to record business transactions.Company and commercial lawExplore the core principles of contract and consumer protection law, the law of negligence and property law. Understand how to work with different business structures.AuditingUnderstand concepts involved in the auditing process and integrate them with practical applications.TaxExamine Commonwealth income tax legislation and the implications of income tax on individuals and businesses.Economics and financeLearn a variety of economic concepts and how to apply them in business and policy-making.StatisticsExplore the relationship between businesses, financial systems and the wider world.1 Students must complete specific subjects to graduate with the CAANZ accredited qualification. Please refer to the La Trobe University Handbook for further details.2 Eligibility criteria apply.The qualification awarded on graduation is recognised in the Australian Qualifications Framework (AQF) as Level 7.","General accountantManage accounting records, financial statements and tax returns for individuals, companies, trusts and super funds.Management accountantAnalyse and manage the accounting records and financial statements of businesses. Ensure they're consistent with reporting standards.Tax specialistExamine taxes owed and prepare tax returns that comply with reporting and payment requirements.Corporate accountantMaintain a firm's financial records to ensure they comply with laws, regulations and internal policies. Provide financial advice and help to create budgets.Business analystHelp organisations identify their strengths and weaknesses. Develop data-driven solutions and ensure operational excellence.",3.0,ATAR,Bachelor of Business (Accounting),,Australia,,Yes,English,Year 12,https://www.latrobe.edu.au/courses/bachelor-of-business-accounting,Business and commerce,,No,BA,6.0,La Trobe University,Yes,56.50,,Years,Years,No,No,32200,AUD,Melbourne,Equivalent ,No
IELTS,"Join the exciting world of agribusiness.Australia's food and fibre sector has grown into a global export industry. Agribusiness professionals with the skills and knowledge to respond to changing and emerging international markets are needed.La Trobe's Bachelor of Business (Agribusiness) gives you the business, economic and financial expertise to meet this demand. You'll also develop sought-after skills in the emerging areas of digital business and business analytics.Course subjects are delivered at different regional La Trobe campuses, so you'll gain unique insights into how agribusiness operates across different Victorian regions.You'll also gain hands-on experience in real-world agribusiness industries, ranging from farms to multinationals.You'll learn:Agribusiness managementExplore the concepts, processes, ideas, issues and experiences of agribusiness managers and management.Economic issues and public policyAnalyse current economic issues and develop appropriate public policy responses to them.SustainabilityUnderstand the complex interactions between the environmental, economic and social dimensions of sustainabilityBusiness data analysisGain an introduction to statistical literacy and apply statistical concepts to critical business problems and major social issues.The qualification awarded on graduation is recognised in the Australian Qualifications Framework (AQF) as Level 7.","Business operations managerOversee daily operations on agri-based establishments like farms and food manufacturing plants.Food scientist or quality assurance managerStudy crops, livestock and farm animals with the goal of increasing safety and productivity.Commodities buyerPurchase commodities for use in food manufacturing or production.Agribusiness bankerEvaluate, approve and manage loans to agribusiness enterprises.Agricultural lobbyistRepresent agricultural interests and work with government officials and policymakers.",3.0,ATAR,Bachelor of Business (Agribusiness),,Australia,,Yes,English,Year 12,https://www.latrobe.edu.au/courses/bachelor-of-business-agribusiness,Business and commerce,,No,BA,6.0,La Trobe University,Yes,56.35,,Years,Years,No,No,33800,AUD,Melbourne,Equivalent ,No
IELTS,"Join the exciting world of agribusiness.Australia's food and fibre sector has grown into a global export industry. Agribusiness professionals with the skills and knowledge to respond to changing and emerging international markets are needed.La Trobe's Bachelor of Business (Agribusiness) gives you the business, economic and financial expertise to meet this demand. You'll also develop sought-after skills in the emerging areas of digital business and business analytics.Course subjects are delivered at different regional La Trobe campuses, so you'll gain unique insights into how agribusiness operates across different Victorian regions.You'll also gain hands-on experience in real-world agribusiness industries, ranging from farms to multinationals.You'll learn:Agribusiness managementExplore the concepts, processes, ideas, issues and experiences of agribusiness managers and management.Economic issues and public policyAnalyse current economic issues and develop appropriate public policy responses to them.SustainabilityUnderstand the complex interactions between the environmental, economic and social dimensions of sustainabilityBusiness data analysisGain an introduction to statistical literacy and apply statistical concepts to critical business problems and major social issues.The qualification awarded on graduation is recognised in the Australian Qualifications Framework (AQF) as Level 7.","Business operations managerOversee daily operations on agri-based establishments like farms and food manufacturing plants.Food scientist or quality assurance managerStudy crops, livestock and farm animals with the goal of increasing safety and productivity.Commodities buyerPurchase commodities for use in food manufacturing or production.Agribusiness bankerEvaluate, approve and manage loans to agribusiness enterprises.Agricultural lobbyistRepresent agricultural interests and work with government officials and policymakers.",3.0,ATAR,Bachelor of Business (Agribusiness),,Australia,,Yes,English,Year 12,https://www.latrobe.edu.au/courses/bachelor-of-business-agribusiness,Business and commerce,,No,BA,6.0,La Trobe University,Yes,56.35,,Years,Years,No,No,33800,AUD,Bendigo,Equivalent ,No
IELTS,"Join the exciting world of agribusiness.Australia's food and fibre sector has grown into a global export industry. Agribusiness professionals with the skills and knowledge to respond to changing and emerging international markets are needed.La Trobe's Bachelor of Business (Agribusiness) gives you the business, economic and financial expertise to meet this demand. You'll also develop sought-after skills in the emerging areas of digital business and business analytics.Course subjects are delivered at different regional La Trobe campuses, so you'll gain unique insights into how agribusiness operates across different Victorian regions.You'll also gain hands-on experience in real-world agribusiness industries, ranging from farms to multinationals.You'll learn:Agribusiness managementExplore the concepts, processes, ideas, issues and experiences of agribusiness managers and management.Economic issues and public policyAnalyse current economic issues and develop appropriate public policy responses to them.SustainabilityUnderstand the complex interactions between the environmental, economic and social dimensions of sustainabilityBusiness data analysisGain an introduction to statistical literacy and apply statistical concepts to critical business problems and major social issues.The qualification awarded on graduation is recognised in the Australian Qualifications Framework (AQF) as Level 7.","Business operations managerOversee daily operations on agri-based establishments like farms and food manufacturing plants.Food scientist or quality assurance managerStudy crops, livestock and farm animals with the goal of increasing safety and productivity.Commodities buyerPurchase commodities for use in food manufacturing or production.Agribusiness bankerEvaluate, approve and manage loans to agribusiness enterprises.Agricultural lobbyistRepresent agricultural interests and work with government officials and policymakers.",3.0,ATAR,Bachelor of Business (Agribusiness),,Australia,,Yes,English,Year 12,https://www.latrobe.edu.au/courses/bachelor-of-business-agribusiness,Business and commerce,,No,BA,6.0,La Trobe University,Yes,56.35,,Years,Years,No,No,33800,AUD,Mildura,Equivalent ,No
IELTS,"Join the exciting world of agribusiness.Australia's food and fibre sector has grown into a global export industry. Agribusiness professionals with the skills and knowledge to respond to changing and emerging international markets are needed.La Trobe's Bachelor of Business (Agribusiness) gives you the business, economic and financial expertise to meet this demand. You'll also develop sought-after skills in the emerging areas of digital business and business analytics.Course subjects are delivered at different regional La Trobe campuses, so you'll gain unique insights into how agribusiness operates across different Victorian regions.You'll also gain hands-on experience in real-world agribusiness industries, ranging from farms to multinationals.You'll learn:Agribusiness managementExplore the concepts, processes, ideas, issues and experiences of agribusiness managers and management.Economic issues and public policyAnalyse current economic issues and develop appropriate public policy responses to them.SustainabilityUnderstand the complex interactions between the environmental, economic and social dimensions of sustainabilityBusiness data analysisGain an introduction to statistical literacy and apply statistical concepts to critical business problems and major social issues.The qualification awarded on graduation is recognised in the Australian Qualifications Framework (AQF) as Level 7.","Business operations managerOversee daily operations on agri-based establishments like farms and food manufacturing plants.Food scientist or quality assurance managerStudy crops, livestock and farm animals with the goal of increasing safety and productivity.Commodities buyerPurchase commodities for use in food manufacturing or production.Agribusiness bankerEvaluate, approve and manage loans to agribusiness enterprises.Agricultural lobbyistRepresent agricultural interests and work with government officials and policymakers.",3.0,ATAR,Bachelor of Business (Agribusiness),,Australia,,Yes,English,Year 12,https://www.latrobe.edu.au/courses/bachelor-of-business-agribusiness,Business and commerce,,No,BA,6.0,La Trobe University,Yes,56.35,,Years,Years,No,No,33800,AUD,Shepparton,Equivalent ,No
IELTS,"Become a versatile leader in the events industry.The way we gather to celebrate, explore and discuss is changing. In today's global society, event management is about more than bookings and budgets. We're expanding into new physical and digital world, breaking down barriers and expanding inclusion, diversity and empathy.With La Trobe's Bachelor of Business (Event Management), you'll learn the skills you need to deliver successful events and be ready to find innovative solutions to any challenge. Plus, you'll have a foundation in business – so you'll be a flexible, multiskilled graduate.This multidisciplinary course will provide you with a solid grounding in business, then help you build specialist expertise in event management and marketing. With subjects dedicated to digital business, trends in modern business and business analytics, you'll develop a highly sought-after skillset that prepares you for the evolving events space.Want a degree tailored to your interests? Choose electives to complete a second major in another business discipline such as marketing or international business, or broaden your perspective by taking on any other major we offer at La Trobe.With guidance from industry experts working in the field and also teaching, you'll graduate with a practical understanding of the real-world event industry and networks. You'll learn:Event planning and managementUnderstand every aspect of delivering events, including logistics and project management, and study the unique factors involved in coordinating sustainable community events.Digital businessExplore how businesses are developing new operating models for the digital economy and develop the skills to design innovative digital solutions. Consumer behaviourAnalyse the factors influencing the consumer decision-making process and learn to consider how consumer behaviour shapes the development of marketing strategies. Accounting and financeDiscover how to compile and interpret budgets and financial statements and make strategic business planning decisions.The qualification awarded on graduation is recognised in the Australian Qualifications Framework (AQF) as Level 7.","Event managerSupport your organisation's business goals by delivering successful events. Connect with stakeholders, coordinate logistics and services, manage budgets and measure your success to find future improvements.Event management consultantHelp clients enjoy their dream event. Identify their needs and manage every aspect of an event, including logistics, services and on-the-day issues.Marketing coordinatorHelp your organisation grow by coordinating and managing its marketing activities, including events, campaigns and advertising.",3.0,ATAR,Bachelor of Business (Event Management),,Australia,,Yes,English,Year 12,https://www.latrobe.edu.au/courses/bachelor-of-business-event-management,Business and commerce,,No,BA,6.0,La Trobe University,Yes,55.05,,Years,Years,No,No,33000,AUD,Melbourne,Equivalent ,No
IELTS,"Become a versatile leader in the events industry.The way we connect with each other is changing. In today's global society, event management is about more than bookings and budgets. You need to be flexible, adaptable and ready to coordinate every aspect of an event in the physical and digital world.With La Trobe's Bachelor of Business (Event Management/Marketing), you'll learn the skills you need to deliver all kinds of events and be ready to find innovative solutions to any challenge.This multidisciplinary course will provide you with a solid grounding in business fundamentals, then help you build specialist expertise in event management and marketing. With subjects dedicated to digital business, digital branding and business analytics, you'll develop a highly sought-after skillset that prepares you for the evolving events space and wider career options in marketing, business and communications.With guidance from our industry Professors of Practice throughout your degree, you'll graduate with a practical understanding of the real-world event industry as it is now.You'll learn:Event planning and managementUnderstand every aspect of delivering events, including logistics and project management, and study the unique factors involved in coordinating sustainable community events.MarketingDevelop your skills in marketing by studying buyer behaviour, customer segmentation, targeting and market research.AdvertisingLearn about advertising, direct marketing and public relations and how to communicate effectively with consumers.Accounting and financeDiscover how to compile and interpret budgets and financial statements and make strategic business planning decisions.The qualification awarded on graduation is recognised in the Australian Qualifications Framework (AQF) as Level 7.","Event plannerSupport your organisation's business goals by delivering successful events. Connect with stakeholders, coordinate logistics and services, manage budgets and measure your success to find future improvements. Event management consultantHelp clients enjoy their dream event. Take on their requirements and manage every aspect of an event, including logistics, services and on-the-day issues.Marketing coordinatorHelp your organisation grow by coordinating and managing its marketing activities, including events, campaigns and advertising.",3.0,ATAR,Bachelor of Business (Event Management/Marketing),,Australia,,Yes,English,Year 12,https://www.latrobe.edu.au/courses/bachelor-of-business-event-management-marketing,Business and commerce,,No,BA,6.0,La Trobe University,Yes,58.55,,Years,Years,No,No,33000,AUD,Melbourne,Equivalent ,No
