Course,Remarks,Prerequisite_1_grade_1,Offline,Country,Int_Fees,Face_to_Face,City,Duration_Time,Currency_Time,Online,Currency,University,Prerequisite_1,Blended,Part_Time,Availability,Website,Description,Prerequisite_2_grade_2,Faculty,Full_Time,Distance,Duration,Course_Lang,Level_Code,Prerequisite_2
"Art, Design and Architecture",,,Yes,Australia,"34,100",Yes,Melbourne,,Years,No,AUD,Monash University,,Yes,Yes,A,"https://www.monash.edu/study/courses/find-a-course/2021/art,-design-and-architecture-1322?international=true","Monash University has a proud tradition of research excellence, and is committed to providing the highest quality of graduate research education. By undertaking your graduate studies at Monash, you will have the opportunity to be part of our stimulating, supportive and professional research environment.",,Computer Science & Information Technology,No,Yes,,English,DPG,
Arts,,,Yes,Australia,"34,700",Yes,Melbourne,,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/arts-0020?international=true,"Monash Arts is renowned for its innovative, engaging and high quality research in humanities, social sciences, languages and performing arts. By engaging with different cultural environments and communities around Australia and the world, we make deep connections that empower us to respond to the most pressing issues faced by society today. By undertaking your graduate studies at Monash Arts, you will have the opportunity to work with some of the world’s most inspiring and distinguished researchers and be part of our stimulating, supportive and professional research environment.",,Creative Arts & Design & Music,No,Yes,,English,DPG,
Arts,,,Yes,Australia,"34,700",Yes,Melbourne,,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/arts-0020?international=true,"Monash Arts is renowned for its innovative, engaging and high quality research in humanities, social sciences, languages and performing arts. By engaging with different cultural environments and communities around Australia and the world, we make deep connections that empower us to respond to the most pressing issues faced by society today. By undertaking your graduate studies at Monash Arts, you will have the opportunity to work with some of the world’s most inspiring and distinguished researchers and be part of our stimulating, supportive and professional research environment.",,Creative Arts & Design & Music,No,Yes,,English,DPG,
Arts,,,Yes,Australia,"34,100",Yes,Melbourne,Years,Years,No,AUD,Monash University,,No,No,A,https://www.monash.edu/study/courses/find-a-course/2021/arts-0498?international=true,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash graduate research degree can give you a distinct advantage.",,Creative Arts & Design & Music,Yes,No,2.0,English,DPG,
Arts,,,Yes,Australia,"34,700",Yes,Melbourne,Years,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/arts-2695?international=true,"Monash Arts is renowned for innovative, engaging and high quality research in the humanities and social sciences, and we are committed to providing graduate research education of the highest quality in a stimulating, supportive and professional environment.",,Creative Arts & Design & Music,No,Yes,2.0,English,DPG,
Arts,,,Yes,Australia,"34,700",Yes,Melbourne,Years,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/arts-2695?international=true,"Monash Arts is renowned for innovative, engaging and high quality research in the humanities and social sciences, and we are committed to providing graduate research education of the highest quality in a stimulating, supportive and professional environment.",,Creative Arts & Design & Music,No,Yes,2.0,English,DPG,
Arts Research Training,,,Yes,Australia,"34,700",Yes,Melbourne,Years,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/arts-research-training-a7001?international=true,"The Master of Arts (Research Training) is a graduate research degree which can be undertaken following completion of a regular three-year undergraduate degree. It is also an appropriate entry point into graduate research for prospective candidates with extensive industry experience or non-traditional research outputs who may not meet the traditional PhD admission requirements. This course will provide students with the opportunity for more specialised, in-depth research training in a discipline or on an interdisciplinary topic. It will also provide opportunities to translate your research for a particular professional context.",,Humanities and Social Science,No,Yes,2.0,English,DPG,
Arts Research Training,,,Yes,Australia,"34,700",Yes,Melbourne,Years,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/arts-research-training-a7001?international=true,"The Master of Arts (Research Training) is a graduate research degree which can be undertaken following completion of a regular three-year undergraduate degree. It is also an appropriate entry point into graduate research for prospective candidates with extensive industry experience or non-traditional research outputs who may not meet the traditional PhD admission requirements. This course will provide students with the opportunity for more specialised, in-depth research training in a discipline or on an interdisciplinary topic. It will also provide opportunities to translate your research for a particular professional context.",,Humanities and Social Science,No,Yes,2.0,English,DPG,
Business and Economics,,,Yes,Australia,"32,100",Yes,Melbourne,Years,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/business-and-economics-0029?international=true,"Monash is committed to providing the highest quality of graduate research education in a stimulating, supportive and professional environment. The sheer scale of Monash University's research capabilities and the breadth of specialist expertise within Business and Economics offer opportunities across the full range of applied business and policy disciplines.",,Business & Economics,No,Yes,2.0,English,DPG,
Business and Economics,,,Yes,Australia,"32,100",Yes,Melbourne,Years,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/business-and-economics-0029?international=true,"Monash is committed to providing the highest quality of graduate research education in a stimulating, supportive and professional environment. The sheer scale of Monash University's research capabilities and the breadth of specialist expertise within Business and Economics offer opportunities across the full range of applied business and policy disciplines.",,Business & Economics,No,Yes,2.0,English,DPG,
Business and Economics,,,Yes,Australia,"32,100",Yes,Melbourne,Years,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/business-and-economics-0029?international=true,"Monash is committed to providing the highest quality of graduate research education in a stimulating, supportive and professional environment. The sheer scale of Monash University's research capabilities and the breadth of specialist expertise within Business and Economics offer opportunities across the full range of applied business and policy disciplines.",,Business & Economics,No,Yes,2.0,English,DPG,
Clinical Neuropsychology,,,Yes,Australia,"32,100",Yes,Melbourne,Years,Years,No,AUD,Monash University,,No,No,A,https://www.monash.edu/study/courses/find-a-course/2021/clinical-neuropsychology-4586?international=true,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",,Medical and Nursing,Yes,No,4.0,English,DPG,
