Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Remarks,Course Delivery Mode,FREE TAFE,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
BA,Monash University,Melbourne,Accounting,Business & Economics,"45,000",,AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Level,,6.5,Year 12,,https://www.monash.edu/study/courses/find-a-course/2021/accounting-b2029?international=true,English,A,"Accounting is a strategic function in all organisations and a Bachelor of Accounting is much more than just numbers. You'll learn to apply accounting practices and make strategic decisions about an organisation's financial and non-financial situation, fundamentally driving success.Accounting plays a critical role in society and provides a strategic function in all organisations. It’s an integral part of any business, and spreads across different organisational functions – from finance and HR to senior management and marketing.In a Bachelor of Accounting you’ll discover what makes accounting so vital to business success, and why it’s more than just a numbers game.You'll gain a solid technical skill set across key areas such as information systems, corporate finance, auditing and assurance, financial reporting and data analysis. You’ll learn to interpret data and develop insights that will help organisations effectively allocate resources and make better business decisions.Show more",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Monash University,Melbourne,Actuarial Science,Science,"45,000",,AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Level,,6.5,Year 12,,https://www.monash.edu/study/courses/find-a-course/2021/actuarial-science-b2033?international=true,English,A,"An Actuarial Science degree prepares you to evaluate risk and opportunity in a business setting, and use your findings to influence some of society’s most important economic structures. Actuarial science will prepare you to provide professional actuarial advice in Australia and  other countries.Learn to evaluate risk and opportunity in a business setting, and use your findings to influence some of society’s most important economic structuresIn a Bachelor of Actuarial Science you’ll learn to apply mathematical concepts to real-life scenarios, and use your analytical skills to help companies plan for the future. As you further develop your maths and analytical skills, you’ll start to use a range of concepts and data findings to solve real commercial problems.If you’re big on numbers and the role they play in our day‑to‑day lives, actuarial science could help you turn your curiosity into a promising commercial career. Actuaries play major roles in a range of organisations - in insurance, superannuation, business and financial services, scientific and social research, and engineering.Show more",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Monash University,Melbourne,Applied Data Science,Science,"46,000",,AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Level,,6.5,Year 12,,https://www.monash.edu/study/courses/find-a-course/2021/applied-data-science-s2010?international=true,English,A,"If you’re interested in mastering big data and helping others to understand it, this is the course for you. This program of study will provide you with the skills necessary to solve a wide range of problems.The Bachelor of Applied Data Science is a specialist course which will develop your technical know-how in being able to approach data challenges. Through selected streams, you’ll develop your passion for the physical sciences, sociological or anthropological studies, business or engineering. Working in groups and on individual projects, you’ll bring together key skills in IT and mathematics, and apply these to real-life projects.For further information visit the Applied Data Science information page.",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAH,Monash University,Melbourne,Applied Data Science Advanced,Science,"46,000",,AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Level,,6.5,Year 12,,https://www.monash.edu/study/courses/find-a-course/2021/applied-data-science-advanced-s3003?international=true,English,A,"We live in a time where information and knowledge have never been more abundant. From industry leaders and NGOs to policy makers, from educators to research specialists, the decisions that shape our future will rely on graduates who can extract meaning from large volumes of data and transmit it to community and industry leaders.This four-year specialist course brings together studies in IT and mathematics in a series of interdisciplinary problem-solving challenges. Research and analysis into big data have the capacity to make a positive impact on our daily lives.This degree will give you the skills necessary to provide solutions to a wide range of problems. Through selected streams, you’ll develop your passion for the physical sciences, sociological or anthropological studies, business or Engineering. Working in groups and on individual projects, you’ll bring together key skills in IT and mathematics, and apply these to real-life projects.For further information visit the Applied Data Science information page.",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Monash University,Melbourne,Architectural Design,Creative Arts & Design & Music,"41,000",,AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Level,,6.5,Year 12,,https://www.monash.edu/study/courses/find-a-course/2021/architectural-design-f2001?international=true,English,A,"Progressive, dynamic and regarded by industry as a champion of change, Monash Architecture places you in a position to imagine the new environments of the future and shape the way we live and interact with one another.Monash Architecture is all about the bigger picture, and how architecture integrates with urban design and urban planning.Examine buildings within their larger urban or regional environment and in the context of a changing planet and develop the future-forward skills and knowledge to contribute to the common good of society, and a sustainable and equitable world.In this studio-based degree, you’ll study all aspects of architecture. For more than half of your degree you will be participating in studio learning, guided by industry experts or academics and collaborating with your peers in small groups to develop responses to a wide range of social and spatial issues. Studio learning replicates the way many architectural and design practices operate.You’ll also learn how to effectively visually communicate your ideas and responses – to clients, communities and/or policy-makers – through developing skills in visualisation, model making, digital fabrication and live presentation. You will learn to use the latest architectural software to ensure that you are prepared and ready to begin your professional practice.There is no need to have previously studied any design subjects as our first year has been developed to ensure all students gain the necessary foundation skills in freehand and computer-aided drawing to be successful in the degree and in architectural practice.On successful completion of the bachelor’s degree, you can move directly into either the Master of Architecture or the Master of Urban Planning and Design. Students who have successfully completed the Bachelor of Architectural Design at Monash University will automatically progress to our 2-year Master of Architecture.To qualify as a registered architect, you’ll need to complete the Master of Architecture, which is accredited by the Architects Accreditation Council of Australia (AACA) and undertake two years of professional practice.Career optionsWork in a range of roles from, urban design and planning consultant, sustainable design consultant, disaster relief specialist, historic building conservationist, interior design consultant, theatre and set designer, community development officer, property developer, town planner, architectural writer and commentator, urban informatics designer.Discover how our global alumni are making their mark in the world.Show more",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Monash University,Melbourne,Art and Design,Creative Arts & Design & Music,,,AUD,Years,8.0,Months,Yes,No,IELTS,Equivalent AQF Level,,,Year 12,,https://www.monash.edu/study/courses/find-a-course/2021/art-and-design-2613?international=true,English,A,"Put your creative ideas into practice by studying art, design and architecture. If you want to design skyscrapers, develop products or create contemporary art, develop the skills to turn your vision into reality.Put your creative ideas into practice by studying art, design and architecture. If you want to design skyscrapers, develop products or create contemporary art, develop the skills to turn your vision into reality.Monash College offers a specialised diploma that leads into art, design and architecture degrees.Diploma of Art and DesignStudy the Diploma if you:are interested in a career in art, design or architecturewould like to study subjects that directly relate to your future degreewould like to learn a range of creative art and design skillswould like to develop a folio of creative work.A Monash College Diploma of Art and Design provides a pathway into first or second year at Monash Art, Design and Architecture (MADA).*Select a stream depending on your career goals and in part 2 of your diploma you will study the same subjects as first-year students in Architecture, Fine Art or Design degrees.Your stream options:Architectural DesignFine ArtCommunication DesignIndustrial DesignSpatial Design.We work with MADA's academic staff to make sure you gain the confidence and skills to prepare you for entry into the University.Five reasons to choose the Diploma of Art and Design:A pathway into first or second year of an art, design or architecture degree at Monash University.*Learn on campus at Caulfield and access MADA's design studios.You want to study architecture or design and would like to make a start on your future degree.Receive individual attention – benefit from small class sizes and learning support.Prepare your design portfolio during your studies, ready for entry to the University.*Entry requirements into Monash College and Monash University apply.Show more",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Monash University,Melbourne,Arts,Creative Arts & Design & Music,,,AUD,Years,8.0,Months,Yes,No,IELTS,Equivalent AQF Level,,,Year 12,,https://www.monash.edu/study/courses/find-a-course/2021/arts-2618?international=true,English,A,"No matter where you want to go, a Monash University arts degree can take you there. The flexible course structure means you can personalise the degree to suit you.No matter where you want to go, a Monash University arts degree can take you there. The flexible course structure means you can personalise the degree to suit you.Choose the Diploma if:want to fast-track into second year of an arts degree at Monash University* want to make an immediate start on your degree have decided to study sociology, psychology, communications or media studies would like to study subjects that directly relate to your arts degree.*Entry requirements into Monash College and Monash University apply.A Monash College Diploma of Arts provides a pathway into the second year of a Monash University arts degree.*Select a stream depending on your career goals and study subjects such Media and Culture, Communications and Society, Effective Writing, and Contemporary Worlds. These subjects will give you a head start for an arts degree.Your stream options:SociologyPsychology.We work closely with theUniversity to develop the curriculum so you will be prepared for your degree.Five reasons to choose the Diploma of Arts:A pathway into second year of an arts degree Monash University.*Learn on campus at Clayton.You want to study psychology, sociology, communications or media studies and would like to make a start on your future degree.Receive individual attention – benefit from small class sizes and learning support.Study the same curriculum and assessments as first year undergraduate students.*Entry requirements into MonashCollege and Monash University apply.Show more",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Monash University,Jakarta,Arts,Creative Arts & Design & Music,,,AUD,Years,8.0,Months,Yes,No,IELTS,Equivalent AQF Level,,,Year 12,,https://www.monash.edu/study/courses/find-a-course/2021/arts-2618?international=true,English,A,"No matter where you want to go, a Monash University arts degree can take you there. The flexible course structure means you can personalise the degree to suit you.No matter where you want to go, a Monash University arts degree can take you there. The flexible course structure means you can personalise the degree to suit you.Choose the Diploma if:want to fast-track into second year of an arts degree at Monash University* want to make an immediate start on your degree have decided to study sociology, psychology, communications or media studies would like to study subjects that directly relate to your arts degree.*Entry requirements into Monash College and Monash University apply.A Monash College Diploma of Arts provides a pathway into the second year of a Monash University arts degree.*Select a stream depending on your career goals and study subjects such Media and Culture, Communications and Society, Effective Writing, and Contemporary Worlds. These subjects will give you a head start for an arts degree.Your stream options:SociologyPsychology.We work closely with theUniversity to develop the curriculum so you will be prepared for your degree.Five reasons to choose the Diploma of Arts:A pathway into second year of an arts degree Monash University.*Learn on campus at Clayton.You want to study psychology, sociology, communications or media studies and would like to make a start on your future degree.Receive individual attention – benefit from small class sizes and learning support.Study the same curriculum and assessments as first year undergraduate students.*Entry requirements into MonashCollege and Monash University apply.Show more",Indonesia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Monash University,Melbourne,Arts,Creative Arts & Design & Music,"33,000",,AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Level,,6.5,Year 12,,https://www.monash.edu/study/courses/find-a-course/2021/arts-a2000?international=true,English,A,"Explore ideas, cultures and places with a Bachelor of Arts. Choose from over forty areas of study and specialisations, open new career pathways with an internship, or take advantage of study opportunities overseas including the Global Immersion Guarantee - a funded study trip for all first year students.Arts at Monash is your comprehensive gateway to a wide range of fascinating and rewarding areas of study across the arts, humanities, and social sciences.Taking an innovative approach in tackling world issues and fostering a global perspective, you will develop the research skills, advanced discipline knowledge and self reliance to acquire information, assess evidence and convey complex ideas in speech and writing in order to answer complicated questions.You’ll have the scope to choose from over forty areas of study and specialisations, including languages, social studies, communications, politics, human rights, and international relations. And with access to the Monash Arts Global Immersion Guarantee you will develop an informed, critical awareness of the fields you're most passionate about, laying the groundwork for a wealth of exciting careers.The Bachelor of Arts offers both diversity and focus, and builds informed, skilful and critically aware citizens of the world. The course is built around deeply enriching experiences, and via your elective units, offers you four Professional Futures domains through which to develop your unique graduate profile: Global immersion, Intercultural expertise, Professional experience or Innovation capability.You can choose from local and international internships, professional engagements and entrepreneurial opportunities, and the choice of more than 50 global immersion programs including access to the funded Monash Arts Global Immersion Guarantee, preparing you to live and work in complex and culturally diverse environments, while building a community of like-minded peers.You'll develop a rich understanding of human difference and communication, the complexities of social organisation, and humankind's trajectory through the past and into the future. You will become an expert in your chosen discipline, and will be work ready, equipped with the core skills employers in all sectors are looking for including:written and verbal communication skillsteamwork skillslistening and decision-making skillsleadership and negotiation skillsmethods to build rapport and confidencecritical-thinking skillsproblem-solving skills research skillsShow more",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Monash University,Melbourne,Arts,Creative Arts & Design & Music,"33,000",,AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Level,,6.5,Year 12,,https://www.monash.edu/study/courses/find-a-course/2021/arts-a2000?international=true,English,A,"Explore ideas, cultures and places with a Bachelor of Arts. Choose from over forty areas of study and specialisations, open new career pathways with an internship, or take advantage of study opportunities overseas including the Global Immersion Guarantee - a funded study trip for all first year students.Arts at Monash is your comprehensive gateway to a wide range of fascinating and rewarding areas of study across the arts, humanities, and social sciences.Taking an innovative approach in tackling world issues and fostering a global perspective, you will develop the research skills, advanced discipline knowledge and self reliance to acquire information, assess evidence and convey complex ideas in speech and writing in order to answer complicated questions.You’ll have the scope to choose from over forty areas of study and specialisations, including languages, social studies, communications, politics, human rights, and international relations. And with access to the Monash Arts Global Immersion Guarantee you will develop an informed, critical awareness of the fields you're most passionate about, laying the groundwork for a wealth of exciting careers.The Bachelor of Arts offers both diversity and focus, and builds informed, skilful and critically aware citizens of the world. The course is built around deeply enriching experiences, and via your elective units, offers you four Professional Futures domains through which to develop your unique graduate profile: Global immersion, Intercultural expertise, Professional experience or Innovation capability.You can choose from local and international internships, professional engagements and entrepreneurial opportunities, and the choice of more than 50 global immersion programs including access to the funded Monash Arts Global Immersion Guarantee, preparing you to live and work in complex and culturally diverse environments, while building a community of like-minded peers.You'll develop a rich understanding of human difference and communication, the complexities of social organisation, and humankind's trajectory through the past and into the future. You will become an expert in your chosen discipline, and will be work ready, equipped with the core skills employers in all sectors are looking for including:written and verbal communication skillsteamwork skillslistening and decision-making skillsleadership and negotiation skillsmethods to build rapport and confidencecritical-thinking skillsproblem-solving skills research skillsShow more",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
