Level_Code,University,City,Course,Faculty,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,Monash University,Melbourne,Accounting,Business & Economics,"45,000",AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/accounting-b2029?international=true,English,A,"Accounting is a strategic function in all organisations and a Bachelor of Accounting is much more than just numbers. You'll learn to apply accounting practices and make strategic decisions about an organisation's financial and non-financial situation, fundamentally driving success.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Actuarial Science,Business & Economics,"45,000",AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/actuarial-science-b2033?international=true,English,A,"An Actuarial Science degree prepares you to evaluate risk and opportunity in a business setting, and use your findings to influence some of society’s most important economic structures. Actuarial science will prepare you to provide professional actuarial advice in Australia and  other countries.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Applied Data Science,Computer Science & Information Technology,"46,000",AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/applied-data-science-s2010?international=true,English,A,"If you’re interested in mastering big data and helping others to understand it, this is the course for you. This program of study will provide you with the skills necessary to solve a wide range of problems.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Applied Data Science Advanced,Computer Science & Information Technology,"46,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/applied-data-science-advanced-s3003?international=true,English,A,"We live in a time where information and knowledge have never been more abundant. From industry leaders and NGOs to policy makers, from educators to research specialists, the decisions that shape our future will rely on graduates who can extract meaning from large volumes of data and transmit it to community and industry leaders.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Architectural Design,Computer Science & Information Technology,"41,000",AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/architectural-design-f2001?international=true,English,A,"Progressive, dynamic and regarded by industry as a champion of change, Monash Architecture places you in a position to imagine the new environments of the future and shape the way we live and interact with one another.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Architectural Design,Computer Science & Information Technology,"41,000",AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/arts-2618?international=true,English,A,"Progressive, dynamic and regarded by industry as a champion of change, Monash Architecture places you in a position to imagine the new environments of the future and shape the way we live and interact with one another.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Arts,Creative Arts & Design & Music,"33,000",AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/arts-a2000?international=true,English,A,"Explore ideas, cultures and places with a Bachelor of Arts. Choose from almost 40 different areas of study, open new career pathways with an internship, or take advantage of study opportunities overseas including the Global Immersion Guarantee - a funded study trip for all first year students.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Arts,Creative Arts & Design & Music,"33,000",AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/arts-a2000?international=true,English,A,"Explore ideas, cultures and places with a Bachelor of Arts. Choose from almost 40 different areas of study, open new career pathways with an internship, or take advantage of study opportunities overseas including the Global Immersion Guarantee - a funded study trip for all first year students.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Arts,Creative Arts & Design & Music,"33,000",AUD,Years,1.0,Year,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/arts-a3701?international=true,English,A,"Explore ideas, cultures and places with a Bachelor of Arts. Choose from almost 40 different areas of study, open new career pathways with an internship, or take advantage of study opportunities overseas including the Global Immersion Guarantee - a funded study trip for all first year students.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Arts,Creative Arts & Design & Music,"33,000",AUD,Years,1.0,Year,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/arts-a3701?international=true,English,A,"Explore ideas, cultures and places with a Bachelor of Arts. Choose from almost 40 different areas of study, open new career pathways with an internship, or take advantage of study opportunities overseas including the Global Immersion Guarantee - a funded study trip for all first year students.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Arts and Criminology,Law,"33,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/arts-and-criminology-a2012?international=true,English,A,"This double degree will give you the foundation to analyse crime, victimisation, and the criminal justice system, together with lifelong critical thinking that is acquired through study in the arts and humanities. Gain the industry-relevant specialist skills needed for working in a world of constant change.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Arts and Fine Art,Creative Arts & Design & Music,"33,800",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/arts-and-fine-art-a2005?international=true,English,A,"Immerse yourself in a range of conceptual and practical approaches to fine art making, while gaining a sound knowledge of arts, social science and humanities in this unique double degree combination.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Arts and Music,Creative Arts & Design & Music,"33,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/arts-and-music-a2004?international=true,English,A,"The Bachelor of Arts and Music allows you compliment your passion for music with the breadth of humanities and social sciences. Explore the history, culture or language of the music you're playing, or add to your career flexibility with music through theatre, performance, film or journalism.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Banking and Finance,Business & Economics,"45,000",AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/banking-and-finance-b2042?international=true,English,A,"If you're keen to make decisions based on rigorous financial analysis, a Bachelor of Banking and Finance may be the right course for you. Delve into the complexities of the banking and finance sector and gain the skills to manage money in an institutional setting.",Australia,No,Yes,No,Yes,No,
