Level_Code,University,City,Course,Faculty,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
DPG,Monash University,Melbourne,"Art, Design and Architecture",Computer Science & Information Technology,"34,100",AUD,Years,,,No,Yes,,,,,"https://www.monash.edu/study/courses/find-a-course/2021/art,-design-and-architecture-1322?international=true",English,A,"Monash University has a proud tradition of research excellence, and is committed to providing the highest quality of graduate research education. By undertaking your graduate studies at Monash, you will have the opportunity to be part of our stimulating, supportive and professional research environment.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Arts,Creative Arts & Design & Music,"34,700",AUD,Years,,,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/arts-0020?international=true,English,A,"Monash Arts is renowned for its innovative, engaging and high quality research in humanities, social sciences, languages and performing arts. By engaging with different cultural environments and communities around Australia and the world, we make deep connections that empower us to respond to the most pressing issues faced by society today. By undertaking your graduate studies at Monash Arts, you will have the opportunity to work with some of the world’s most inspiring and distinguished researchers and be part of our stimulating, supportive and professional research environment.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Arts,Creative Arts & Design & Music,"34,700",AUD,Years,,,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/arts-0020?international=true,English,A,"Monash Arts is renowned for its innovative, engaging and high quality research in humanities, social sciences, languages and performing arts. By engaging with different cultural environments and communities around Australia and the world, we make deep connections that empower us to respond to the most pressing issues faced by society today. By undertaking your graduate studies at Monash Arts, you will have the opportunity to work with some of the world’s most inspiring and distinguished researchers and be part of our stimulating, supportive and professional research environment.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Arts,Creative Arts & Design & Music,"34,100",AUD,Years,2.0,Years,Yes,No,,,,,https://www.monash.edu/study/courses/find-a-course/2021/arts-0498?international=true,English,A,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash graduate research degree can give you a distinct advantage.",Australia,No,Yes,No,Yes,No,
DPG,Monash University,Melbourne,Arts,Creative Arts & Design & Music,"34,700",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/arts-2695?international=true,English,A,"Monash Arts is renowned for innovative, engaging and high quality research in the humanities and social sciences, and we are committed to providing graduate research education of the highest quality in a stimulating, supportive and professional environment.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Arts,Creative Arts & Design & Music,"34,700",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/arts-2695?international=true,English,A,"Monash Arts is renowned for innovative, engaging and high quality research in the humanities and social sciences, and we are committed to providing graduate research education of the highest quality in a stimulating, supportive and professional environment.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Arts Research Training,Humanities and Social Science,"34,700",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/arts-research-training-a7001?international=true,English,A,"The Master of Arts (Research Training) is a graduate research degree which can be undertaken following completion of a regular three-year undergraduate degree. It is also an appropriate entry point into graduate research for prospective candidates with extensive industry experience or non-traditional research outputs who may not meet the traditional PhD admission requirements. This course will provide students with the opportunity for more specialised, in-depth research training in a discipline or on an interdisciplinary topic. It will also provide opportunities to translate your research for a particular professional context.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Arts Research Training,Humanities and Social Science,"34,700",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/arts-research-training-a7001?international=true,English,A,"The Master of Arts (Research Training) is a graduate research degree which can be undertaken following completion of a regular three-year undergraduate degree. It is also an appropriate entry point into graduate research for prospective candidates with extensive industry experience or non-traditional research outputs who may not meet the traditional PhD admission requirements. This course will provide students with the opportunity for more specialised, in-depth research training in a discipline or on an interdisciplinary topic. It will also provide opportunities to translate your research for a particular professional context.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Business and Economics,Business & Economics,"32,100",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/business-and-economics-0029?international=true,English,A,"Monash is committed to providing the highest quality of graduate research education in a stimulating, supportive and professional environment. The sheer scale of Monash University's research capabilities and the breadth of specialist expertise within Business and Economics offer opportunities across the full range of applied business and policy disciplines.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Business and Economics,Business & Economics,"32,100",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/business-and-economics-0029?international=true,English,A,"Monash is committed to providing the highest quality of graduate research education in a stimulating, supportive and professional environment. The sheer scale of Monash University's research capabilities and the breadth of specialist expertise within Business and Economics offer opportunities across the full range of applied business and policy disciplines.",Australia,No,Yes,Yes,Yes,Yes,
DPG,Monash University,Melbourne,Business and Economics,Business & Economics,"32,100",AUD,Years,2.0,Years,No,Yes,,,,,https://www.monash.edu/study/courses/find-a-course/2021/business-and-economics-0029?international=true,English,A,"Monash is committed to providing the highest quality of graduate research education in a stimulating, supportive and professional environment. The sheer scale of Monash University's research capabilities and the breadth of specialist expertise within Business and Economics offer opportunities across the full range of applied business and policy disciplines.",Australia,No,Yes,Yes,Yes,Yes,
