Face_to_Face,Prerequisite_2,Currency_Time,Course_Lang,Faculty,Availability,Offline,Prerequisite_2_grade_2,Level_Code,Part_Time,Duration_Time,Website,University,Full_Time,Description,Country,Distance,Duration,Int_Fees,Online,Prerequisite_1_grade_1,Prerequisite_1,Course,City,Currency,Blended,Remarks
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/accounting-b2029?international=true,Monash University,Yes,"Accounting is a strategic function in all organisations and a Bachelor of Accounting is much more than just numbers. You'll learn to apply accounting practices and make strategic decisions about an organisation's financial and non-financial situation, fundamentally driving success.",Australia,No,3.0,"45,000",No,6.5,IELTS,Accounting,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/actuarial-science-b2033?international=true,Monash University,Yes,"An Actuarial Science degree prepares you to evaluate risk and opportunity in a business setting, and use your findings to influence some of society’s most important economic structures. Actuarial science will prepare you to provide professional actuarial advice in Australia and  other countries.",Australia,No,3.0,"45,000",No,6.5,IELTS,Actuarial Science,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Computer Science & Information Technology,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/applied-data-science-s2010?international=true,Monash University,Yes,"If you’re interested in mastering big data and helping others to understand it, this is the course for you. This program of study will provide you with the skills necessary to solve a wide range of problems.",Australia,No,3.0,"46,000",No,6.5,IELTS,Applied Data Science,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Computer Science & Information Technology,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/applied-data-science-advanced-s3003?international=true,Monash University,Yes,"We live in a time where information and knowledge have never been more abundant. From industry leaders and NGOs to policy makers, from educators to research specialists, the decisions that shape our future will rely on graduates who can extract meaning from large volumes of data and transmit it to community and industry leaders.",Australia,No,4.0,"46,000",No,6.5,IELTS,Applied Data Science Advanced,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Computer Science & Information Technology,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/architectural-design-f2001?international=true,Monash University,Yes,"Progressive, dynamic and regarded by industry as a champion of change, Monash Architecture places you in a position to imagine the new environments of the future and shape the way we live and interact with one another.",Australia,No,3.0,"41,000",No,6.5,IELTS,Architectural Design,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Computer Science & Information Technology,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/arts-2618?international=true,Monash University,Yes,"Progressive, dynamic and regarded by industry as a champion of change, Monash Architecture places you in a position to imagine the new environments of the future and shape the way we live and interact with one another.",Australia,No,3.0,"41,000",No,6.5,IELTS,Architectural Design,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Creative Arts & Design & Music,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/arts-a2000?international=true,Monash University,Yes,"Explore ideas, cultures and places with a Bachelor of Arts. Choose from almost 40 different areas of study, open new career pathways with an internship, or take advantage of study opportunities overseas including the Global Immersion Guarantee - a funded study trip for all first year students.",Australia,No,3.0,"33,000",No,6.5,IELTS,Arts,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Creative Arts & Design & Music,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/arts-a2000?international=true,Monash University,Yes,"Explore ideas, cultures and places with a Bachelor of Arts. Choose from almost 40 different areas of study, open new career pathways with an internship, or take advantage of study opportunities overseas including the Global Immersion Guarantee - a funded study trip for all first year students.",Australia,No,3.0,"33,000",No,6.5,IELTS,Arts,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Creative Arts & Design & Music,A,Yes,Year 12,BA,No,Year,https://www.monash.edu/study/courses/find-a-course/2021/arts-a3701?international=true,Monash University,Yes,"Explore ideas, cultures and places with a Bachelor of Arts. Choose from almost 40 different areas of study, open new career pathways with an internship, or take advantage of study opportunities overseas including the Global Immersion Guarantee - a funded study trip for all first year students.",Australia,No,1.0,"33,000",No,6.5,IELTS,Arts,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Creative Arts & Design & Music,A,Yes,Year 12,BA,No,Year,https://www.monash.edu/study/courses/find-a-course/2021/arts-a3701?international=true,Monash University,Yes,"Explore ideas, cultures and places with a Bachelor of Arts. Choose from almost 40 different areas of study, open new career pathways with an internship, or take advantage of study opportunities overseas including the Global Immersion Guarantee - a funded study trip for all first year students.",Australia,No,1.0,"33,000",No,6.5,IELTS,Arts,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Law,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/arts-and-criminology-a2012?international=true,Monash University,Yes,"This double degree will give you the foundation to analyse crime, victimisation, and the criminal justice system, together with lifelong critical thinking that is acquired through study in the arts and humanities. Gain the industry-relevant specialist skills needed for working in a world of constant change.",Australia,No,4.0,"33,000",No,6.5,IELTS,Arts and Criminology,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Creative Arts & Design & Music,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/arts-and-fine-art-a2005?international=true,Monash University,Yes,"Immerse yourself in a range of conceptual and practical approaches to fine art making, while gaining a sound knowledge of arts, social science and humanities in this unique double degree combination.",Australia,No,4.0,"33,800",No,6.5,IELTS,Arts and Fine Art,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Creative Arts & Design & Music,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/arts-and-music-a2004?international=true,Monash University,Yes,"The Bachelor of Arts and Music allows you compliment your passion for music with the breadth of humanities and social sciences. Explore the history, culture or language of the music you're playing, or add to your career flexibility with music through theatre, performance, film or journalism.",Australia,No,4.0,"33,000",No,6.5,IELTS,Arts and Music,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/banking-and-finance-b2042?international=true,Monash University,Yes,"If you're keen to make decisions based on rigorous financial analysis, a Bachelor of Banking and Finance may be the right course for you. Delve into the complexities of the banking and finance sector and gain the skills to manage money in an institutional setting.",Australia,No,3.0,"45,000",No,6.5,IELTS,Banking and Finance,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Medical and Nursing,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/biomedical-science-m2003?international=true,Monash University,Yes,"The Bachelor of Biomedical Science helps you understand disease, how it occurs and how we can prevent it to better improve quality of life. This multidisciplinary course offers units relating to biomedical chemistry, bioinformatics and human genetics. Graduates of this course will pursue careers in research, teaching, health promotion and much more.",Australia,No,3.0,"41,900",No,6.5,IELTS,Biomedical Science,Melbourne,AUD,No,
