Face_to_Face,City,Prerequisite_1,Availability,Part_Time,Duration,Distance,Currency,University,Description,Remarks,Prerequisite_2_grade_2,Full_Time,Prerequisite_2,Prerequisite_3_grade_3,Int_Fees,Blended,Duration_Time,Prerequisite_1_grade_1,Level_Code,Course_Lang,Prerequisite_3,Offline,Website,Country,Local_Fees,Career_Outcomes/path,Course,Currency_Time,Online,Faculty
Yes,Brisbane,ATAR,A,Yes,3.0,No,AUD,Queensland University of Technology,"Learn to create environments with positive impacts on human health, environmental quality, social relationships and urban systems. Study sustainable systems using advanced digital design tools. Undertake architectural design projects in practical studio settings.",,6.5,Yes,IELTS,Year 12,"32,500",Yes,Years,82.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-design-architecture,Australia,"8,400","Architect, Architectural Engineer, Architectural Historian, Architectural Writer / Journalist, Construction Manager, Set Designer, Sustainability Design Consultant",Bachelor of Design (Architecture),Years,No,"Creative Practice, Communication and Design"
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Learn to create environments with positive impacts on human health, environmental quality, social relationships and urban systems. Study sustainable systems using advanced digital design tools. Undertake architectural design projects in practical studio settings. Graduate with an honours-level qualification. Progress onto a Master of Architecture and gain the required practical experience to become an architect.",,6.5,Yes,IELTS,Year 12,"34,600",No,Years,93.00,HONS,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-design-honours-architectural-studies-advanced-standing-entry,Australia,"8,000","Architect, Designer",Bachelor of Design (Honours) (Architectural Studies) - Advanced Standing Entry,Years,No,"Creative Practice, Communication and Design"
Yes,Brisbane,ATAR,A,Yes,3.0,No,AUD,Queensland University of Technology,"Join an internationally recognised course that provides you with the expertise to produce spaces that enhance the quality of life and experience of occupants. Undertake interior design projects in practical studio settings and participate in independent and collaborative problem solving. Conceptualise and develop your designs using models, full-scale material constructs and digital animations.",,6.5,Yes,IELTS,Year 12,"32,500",Yes,Years,70.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-design-interior-architecture,Australia,"8,400","Exhibition Designer, Interior Designer, Project Manager, Set Designer, Sustainability Design Consultant, Theatre Designer, Visualisation Expert",Bachelor of Design (Interior Architecture),Years,No,"Creative Practice, Communication and Design"
Yes,Brisbane,ATAR,A,Yes,3.0,No,AUD,Queensland University of Technology,"QUT offers the only landscape architecture degrees in Queensland. Learn about landscape systems and to understand the complexity of landscape in relation to the creation of outdoor spaces with positive cultural and environmental impact. Learn about, and develop, design skills to engage with small scale landscape design projects. Work on real-world landscape design projects in practical studio settings and involving community participation. Take advantage of our 50-year history as one of Australia's principal landscape educators.",,6.5,Yes,IELTS,Year 12,"32,500",Yes,Years,70.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-design-landscape-architecture,Australia,"8,400","Landscape Architect, Landscape Construction Technician, Landscape Designer, Landscape Technician",Bachelor of Design (Landscape Architecture),Years,No,"Creative Practice, Communication and Design"
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Travel overseas, immerse yourself in a different culture and be on pace with international design trends. Enjoy a year of studying with one of our international partner universities in the UK, Sweden, Denmark, Hong Kong, the US and Canada. Enhance your global employability and open unique career opportunities.",,6.5,Yes,IELTS,Year 12,"32,300",No,Years,89.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-design-international-architecture,Australia,"8,400","Architect, Architectural Engineer, Architectural Historian, Architectural Writer / Journalist, Construction Manager, Set Designer, Sustainability Design Consultant",Bachelor of Design - International (Architecture),Years,No,"Creative Practice, Communication and Design"
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Travel overseas, immerse yourself in a different culture and be on pace with international design trends. Enjoy a year of studying with one of our international partner universities in the UK, Sweden, Denmark, Hong Kong, the US and Canada. Enhance your global employability and open unique career opportunities.",,6.5,Yes,IELTS,Year 12,"32,300",No,Years,89.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-design-international-interior-architecture,Australia,"8,400","Exhibition Designer, Interior Designer, Project Manager, Set Designer, Sustainability Design Consultant, Theatre Designer, Visualisation Expert",Bachelor of Design - International (Interior Architecture),Years,No,"Creative Practice, Communication and Design"
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Travel overseas, immerse yourself in a different culture and be on pace with international design trends. Enjoy a year of studying with one of our international partner universities in the UK, Sweden, Denmark, Hong Kong, the US and Canada. Enhance your global employability and open unique career opportunities.",,6.5,Yes,IELTS,Year 12,"32,300",No,Years,89.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-design-international-landscape-architecture,Australia,"8,400","Landscape Architect, Landscape Construction Technician, Landscape Designer, Landscape Technician",Bachelor of Design - International (Landscape Architecture),Years,No,"Creative Practice, Communication and Design"
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Gain experience in real-world hands-on activities in an innovative learning environment. Learn to plan, design, construct, operate and maintain a variety of structures and facilities. Study subjects in geotechnical and water engineering, sustainable engineering, and steel, highway and transport engineering. Gain experience under the supervision on a certified engineer and earn credit for paid work with the Work Integrated Learning program. Our engineering degree includes honours-level content integrated throughout the course.",,6.5,Yes,IELTS,Year 12,"39,300",No,Years,75.00,HONS,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-engineering-honours-civil,Australia,"7,000","Civil Engineer, Construction Manager, Project Manager, Transit analyst, Transport engineering specialist",Bachelor of Engineering (Honours) (Civil),Years,No,"Science, Technology, Engineering and Maths (STEM)"
Yes,Brisbane,ATAR,A,No,54.0,No,AUD,Queensland University of Technology,"Develop business skills and be able to think creatively and critically, communicate professionally, make ethical business decisions and work in a global context. Be inspired and empowered to create environments with a positive impact on human health, environmental quality, social relationships and urban systems. Undertake architectural design projects with a practical edge which will require you to think logically and creatively about how buildings function and are constructed. In both the commercial and property sectors, your business and architecture skills can lead to careers intersecting design with marketing, public relations, advertising, international business, economics, accountancy, finance, financial planning, management and human resource management.",,6.5,Yes,IELTS,Year 12,"31,700",No,Months,82.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-design-architecture,Australia,"11,900","Accountant, Advertising Professional, Architect, Economist, Financial Advisor/Analyst, Human Resource Manager, International Business Specialist, Manager, Marketing Officer/Manager, Public Relations Officer/Consultant",Bachelor of Business/Bachelor of Design (Architecture),Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Develop business skills and be able to think creatively and critically, communicate professionally, make ethical business decisions and work in a global context. Learn the expertise to produce interior spaces that enhance the quality of life and experience of occupants. You'll undertake interior design projects in practical studio settings and participate in independent and collaborative problem solving. Business acumen and interior architecture skills can lead to diverse careers intersecting design with marketing, public relations, advertising, international business, economics, accounting, finance, financial planning, management and human resource management.",,6.5,Yes,IELTS,Year 12,"31,200",No,Years,79.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-design-interior-architecture,Australia,"11,800","Accountant, Advertising Professional, Economist, Financial Advisor/Analyst, Human Resource Manager, Interior Designer, International Business Specialist, Manager, Marketing Officer/Manager, Public Relations Officer/Consultant",Bachelor of Business/Bachelor of Design (Interior Architecture),Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Develop business skills and be able to think creatively and critically, communicate professionally, make ethical business decisions and work in a global context. Learn about landscape systems and to understand the complexity of landscape in relation to the creation of outdoor spaces with positive cultural and environmental impact. Business acumen and landscape architecture skills can lead to diverse careers intersecting design with marketing, public relations, advertising, international business, economics, accounting, finance, financial planning,management and human resource management.",,6.5,Yes,IELTS,Year 12,"31,200",No,Years,79.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-design-landscape-architecture,Australia,"11,800","Accountant, Advertising Professional, Economist, Financial Advisor/Analyst, Human Resource Manager, International Business Specialist, Landscape Architect, Manager, Marketing Officer/Manager, Public Relations Officer/Consultant",Bachelor of Business/Bachelor of Design (Landscape Architecture),Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,5.0,No,AUD,Queensland University of Technology,"Be able to provide professional advice to the construction industry on the financial and legal aspects of new constructions and operation of existing buildings, as well as designing the environments and buildings. Learn to manage and administer construction costs and contracts, bills of quantities, tender appraisals, valuations, project audits, property taxation and life cycle cost advice. Study building management, cost planning, building development and research, policy development, measurement and construction and legal issues. Gain practical experience on field trips, site visits, and industry placements. Use your combined architecture and quantity surveying and cost engineering skills in careers with private developers, government bodies and communities to enhance established neighbourhoods, and shape new suburbs, cities and regions. Progress onto the proposed two year Master of Architecture (available from 2022) and gain the required practical experience to become an architect.",,N/A,Yes,IELTS,Year 12,"32,300",No,Years,82.00,HONS,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-design-architecture-bachelor-of-urban-development-honours-quantity-surveying-and-cost-engineering,Australia,"8,600","Architect, Project Developer, Quantity Surveyor",Bachelor of Design (Architecture) / Bachelor of Urban Development (Honours) (Quantity Surveying and Cost Engineering),Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,66.0,No,AUD,Queensland University of Technology,"Be inspired and empowered to create environments with a positive impact on human health, environmental quality, social relationships and urban systems. Undertake architectural design projects with a practical edge which will require you to think logically and creatively about how buildings function and are constructed. Study a Bachelor of Engineering (Honours) and get access to multimillion dollar research facilities, as well as learning practical solutions that impact on the real world. A range of opportunities are available to you with the double degree including careers in architecture, project management, property development, construction, civil engineering and urban design.",,6.5,Yes,IELTS,Year 12,"35,000",No,Months,82.00,HONS,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-design-architecture-bachelor-of-engineering-honours,Australia,"7,000","Architect, Engineer",Bachelor of Design (Architecture)/Bachelor of Engineering (Honours),Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,54.0,No,AUD,Queensland University of Technology,"Be inspired and empowered to create environments with a positive impact on human health, environmental quality, social relationships and urban systems. Undertake architectural design projects with a practical edge which will require you to think logically and creatively about how buildings function and are constructed. Design skills combined with sound economic intelligence are highly valued. Use your ability to research, develop, value and design property for investment in both commercial and government sectors.",,6.5,Yes,IELTS,Year 12,"31,800",No,Months,82.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-design-architecture-bachelor-of-property-economics,Australia,"11,500","Architect, Property Development",Bachelor of Design (Architecture)/Bachelor of Property Economics,Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,5.0,No,AUD,Queensland University of Technology,"Be inspired and empowered to create environments with a positive impact on human health, environmental quality, social relationships and urban systems. Undertake architectural design projects with a practical edge which will require you to think logically and creatively about how buildings function and are constructed. Learn to coordinate the construction and maintenance of large and complex projects such as low-rise and high-rise housing developments, hotels, factories, office blocks, schools and hospitals. Your combined architecture and construction management knowledge will make you a valuable architect and project manager in the building industry. Progress onto the proposed two year Master of Architecture (available from 2022) and gain the required practical experience to become an architect.",,6.5,Yes,IELTS,Year 12,"32,300",No,Years,82.00,HONS,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-design-architecturebachelor-of-urban-development-honours-construction-management,Australia,"8,600","Architect, Construction Manager",Bachelor of Design (Architecture)/Bachelor of Urban Development (Honours) (Construction Management),Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,5.0,No,AUD,Queensland University of Technology,"Be inspired and empowered to create environments with a positive impact on human health, environmental quality, social relationships and urban systems. Your urban development studies will prepare you to plan large-scale projects such as new cities, suburbs, ports, recreational and industrial areas and transport infrastructure. Use your combined architecture and urban development skills in careers with private developers, government bodies and communities to enhance established neighbourhoods, and shape new suburbs, cities and regions. Progress onto the proposed two year Master of Architecture (available from 2022) and gain the required practical experience to become an architect.",,N/A,Yes,IELTS,Year 12,"32,300",No,Years,82.00,HONS,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-design-architecturebachelor-of-urban-development-honours-urban-and-regional-planning,Australia,"8,600","Architect, Urban Designer, Urban and Regional Planner",Bachelor of Design (Architecture)/Bachelor of Urban Development (Honours) (Urban and Regional Planning),Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,Learn the expertise to produce interior spaces that enhance the quality of life and experience of occupants. Undertake interior design projects in practical studio settings and participate in independent and collaborative problem solving. Incorporate your creative eye with investment acumen to optimise returns and manage the performance of properties. You'll be valued in both the private and public sectors.,,6.5,Yes,IELTS,Year 12,"31,700",No,Years,70.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-design-interior-architecture-bachelor-of-property-economics,Australia,"11,600","Interior Designer, Property Development",Bachelor of Design (Interior Architecture)/Bachelor of Property Economics,Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,5.0,No,AUD,Queensland University of Technology,"Develop the expertise to produce interior spaces that enhance the quality of life and experience of occupants. You will undertake interior design projects in practical studio settings and participate in independent and collaborative problem solving. Learn to coordinate the construction and maintenance of large and complex projects such as low-rise and high-rise housing developments, hotels, factories, office blocks, schools and hospitals. Combine your creativity with skills in project management to design, plan and manage the construction, renovation or enhancement of internal spaces. You could work as a consultant for small to medium enterprises, or with major architecture, design or building firms.",,6.5,Yes,IELTS,Year 12,"32,300",No,Years,70.00,HONS,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-design-interior-architecturebachelor-of-urban-development-honours-construction-management,Australia,"8,600","Construction Manager, Interior Designer",Bachelor of Design (Interior Architecture)/Bachelor of Urban Development (Honours) (Construction Management),Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,5.0,No,AUD,Queensland University of Technology,"Learn about landscape systems and to understand the complexity of landscape in relation to the creation of outdoor spaces with positive cultural and environmental impact. Study a Bachelor of Engineering (Honours) and gain access to multimillion dollar research facilities, as well as learning practical solutions that impact on the real world. With your combined landscape architecture and engineering skills you can work in private practice or in government at all levels, including roles such as structural engineer, geotechnical engineer, architect and environmental engineer.",,6.5,Yes,IELTS,Year 12,"34,200",No,Years,75.00,HONS,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-design-landscape-architecturebachelor-of-engineering-honours,Australia,"7,700","Engineer, Landscape Architect",Bachelor of Design (Landscape Architecture)/Bachelor of Engineering (Honours),Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,4.0,No,AUD,Queensland University of Technology,"Learn about landscape systems and to understand the complexity of landscape in relation to the creation of outdoor spaces with positive cultural and environmental impact. Benefit from our 50-year history as one of Australia's principal landscape educators and our graduates are leading practitioners employed around the world. Be at the cutting edge of international science education with access to our multimillion dollar research and teaching facilities, including our Science and Engineering Precinct.",,6.5,Yes,IELTS,Year 12,"35,000",No,Years,70.00,BA,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-design-landscape-architecture-bachelor-of-science,Australia,"8,000","Landscape Architect, Scientist",Bachelor of Design (Landscape Architecture)/Bachelor of Science,Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,5.0,No,AUD,Queensland University of Technology,"Learn about landscape systems and to understand the complexity of landscape in relation to the creation of outdoor spaces with positive cultural and environmental impact. Learn to design and manage the use of land and natural resources to meet human needs in a sustainable way. Your urban development studies will prepare you to plan large-scale projects such as new cities, suburbs, ports, recreational and industrial areas and transport infrastructure. Use your combined landscape architecture and urban development skills in careers with private developers, government bodies and communities to enhance established neighbourhoods, and shape new suburbs, cities and regions.",,6.5,Yes,IELTS,Year 12,"32,300",No,Years,70.00,HONS,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-design-landscape-architecturebachelor-of-urban-development-honours-urban-and-regional-planning,Australia,"8,600","Landscape Architect, Urban and Regional Planner",Bachelor of Design (Landscape Architecture)/Bachelor of Urban Development (Honours) (Urban and Regional Planning),Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,66.0,No,AUD,Queensland University of Technology,"Benefit from meaningful connections with high profile industry employers, and classes with leading law and property economics experts. Learn through industry partnerships and networking, and interdisciplinary work. Complete 2 degrees in 5.5 years full time.",,6.5,Yes,IELTS,Year 12,"30,800",No,Months,87.00,HONS,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-property-economics-bachelor-of-laws-honours,Australia,"14,500","Barrister, Contract Administrator, Crown Law Officer, Funds Manager, In-House Lawyer, Investment Analyst, Property Development, Property Economist, Property Management, Solicitor",Bachelor of Property Economics/Bachelor of Laws (Honours),Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,5.0,No,AUD,Queensland University of Technology,"New double degree now available for mid-year entry Combines strengths in Urban and Regional Planning with Environmental Science, addressing industry needs Develop highly relevant skills to design and plan large-scale projects, ensuring the balance of usability and liveability with sustainable land management. Study community planning, creative design, environmental management, geography, infrastructure provisions, spatial science. Graduates work in urban design, transport planning, development assessment, open space and recreational planning, environmental protection, and social and economic development.",,6.5,Yes,IELTS,Year 12,"35,800",No,Years,N/A,HONS,English,Equivalent ,Yes,https://www.qut.edu.au/courses/bachelor-of-urban-development-honours-urban-and-regional-planning-bachelor-of-science-environmental-science,Australia,"8,400","Coastal Scientist, Ecologist, Environmental Scientist, Environmental manager, Natural Resource Scientist, Urban Designer, Urban and Regional Planner",Bachelor of Urban Development (Honours) (Urban and Regional Planning)/ Bachelor of Science (Environmental Science),Years,No,Double Degree
Yes,Brisbane,ATAR,A,No,2.0,No,AUD,Queensland University of Technology,"Develop advanced understanding in architectural design and research, contextual studies, technology and science, and professional practice. Serve communities through practitioner engagement with designing, promoting and overseeing sustainable built environments. With practical experience, graduates are eligible to take the Architectural Practice Examination and become an architect in Australia This course will start in 2022. If you'd like to apply to start studying earlier, you can apply for our Master of Architecture (DE80).",,6.5,Yes,IELTS,Year 12,"34,700",No,Years,N/A,MST,English,Equivalent ,Yes,https://www.qut.edu.au/courses/master-of-architecture-DE83,Australia,"8,000",Architect,Master of Architecture (from 2022),Years,No,Building and Planning
Yes,Brisbane,ATAR,A,No,1.0,No,AUD,Queensland University of Technology,"Develop advanced understanding in architectural design and research, contextual studies,  technology and science, and professional practice. Serve communities through practitioner engagement with designing, promoting and overseeing sustainable built environments. With practical experience, graduates are eligible to take the Architectural Practice Examination and become an architect in Australia.",,6.5,Yes,IELTS,Year 12,"34,700",No,Year,N/A,MST,English,Equivalent ,Yes,https://www.qut.edu.au/courses/master-of-architecture,Australia,"8,000",Architect,Master of Architecture (until 2022),Years,No,Building and Planning
Yes,Brisbane,ATAR,A,Yes,18.0,No,AUD,Queensland University of Technology,"Complete a university-wide degree that gives you access to expertise from all our faculties and research areas. Tailor your learning opportunities to your skills, experience and career goals. A research degree skills audit allows you and your supervisors to identify skills and align them with research and employment goals. Be exposed to transdisciplinary concepts and engage with other students across all disciplines with a cohort approach to learning. Engage with end users and acquire knowledge in areas that are seen as critical requirements to progress into the research workforce. Benefit from the support of experienced researchers who can guide and mentor your work and provide the best possible training foundation for future admission into a PhD.",,6.5,Yes,IELTS,Year 12,"30,300",Yes,Months,N/A,MST,English,Equivalent ,Yes,https://www.qut.edu.au/courses/master-of-philosophy,Australia,"26,800",No career outcomes provided,Master of Philosophy,Years,No,Building and Planning
