Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
BA,Queensland University of Technology,Brisbane,Bachelor of Design (Architecture),"Creative Practice, Communication and Design","32,500","8,400",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,82.00,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-design-architecture,English,A," Learn to create environments with positive impacts on human health, environmental quality, social relationships and urban systems. Study sustainable systems using advanced digital design tools. Undertake architectural design projects in practical studio settings.  Architecture at QUT is recognised internationally for our focus on innovation and sustainable development. Undertake architectural design projects in studio settings.  Architecture at QUT is recognised internationally for our focus on innovation and sustainable development. Undertake architectural design projects in studio settings.    Your degree will begin with introductory and shared impact lab units where, working with students from other disciplines, you’ll focus on problems and social issues and identify potential solutions connected to industry and community. Your introductory studies will also introduce you to visualisation skills and applications needed to formulate design as an exploration of the materials of the built environment. Your studies will then build on these foundations and explore areas including environmental principles and the global movement of modern architecture with design studio units covering the process of design, dwelling, tectonics and public spaces. Later in your degree you will be able to transfer skills and knowledge to a workplace or professional context and gain practical work experience with work integrated learning.                                 Double degrees                           Combine your architecture degree with a second degree to gain a broader range of skills and knowledge, a competitive advantage and enhanced career flexibility.  Choose a double degree with:  business to lead to careers intersecting design with marketing, public relations, advertising, international business, economics, management and human resource management. engineering to enable a range of opportunities including careers in architecture, project management, property development, construction, civil engineering and urban design. property economics to combine your design skills with sound economic intelligence is highly valued and use your ability to research, develop, value and design property for investment in both commercial and government sectors. construction management to become a valuable architect and project manager in the building industry.   ","Architect, Architectural Engineer, Architectural Historian, Architectural Writer / Journalist, Construction Manager, Set Designer, Sustainability Design Consultant",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAH,Queensland University of Technology,Brisbane,Bachelor of Design (Honours) (Architectural Studies) - Advanced Standing Entry,"Creative Practice, Communication and Design","34,600","8,000",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,Equivalent ,93.00,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-design-honours-architectural-studies-advanced-standing-entry,English,A," Learn to create environments with positive impacts on human health, environmental quality, social relationships and urban systems. Study sustainable systems using advanced digital design tools. Undertake architectural design projects in practical studio settings. Graduate with an honours-level qualification. Progress onto a Master of Architecture and gain the required practical experience to become an architect.  Architecture at QUT is recognised internationally for our focus on innovation and sustainable development. Prior work experience or studies required  Architecture at QUT is recognised internationally for our focus on innovation and sustainable development. Prior work experience or studies required     Architecture engages with the design, theory and practice of making spaces and environments for human activity. The profession of architecture has an extensive history as a practice and academic discipline. Workplace experience and learning is still a requirement for professional registration and recognition of architects. If you are interested in creating things, buildings and spaces, technology, art and design, a career in architecture may be for you.   ","Architect, Designer",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Queensland University of Technology,Brisbane,Bachelor of Design (Interior Architecture),"Creative Practice, Communication and Design","32,500","8,400",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,70.00,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-design-interior-architecture,English,A," Join an internationally recognised course that provides you with the expertise to produce spaces that enhance the quality of life and experience of occupants. Undertake interior design projects in practical studio settings and participate in independent and collaborative problem solving. Conceptualise and develop your designs using models, full-scale material constructs and digital animations.  In this internationally recognised course you’ll undertake interior design projects in practical studio settings and learn from award-winning practitioners.  In this internationally recognised course you’ll undertake interior design projects in practical studio settings and learn from award-winning practitioners.    Your degree will begin with introductory and shared impact lab units where, working with students from other  disciplines, you’ll focus on problems and social issues and identify potential solutions connected to industry and community. Your studies will focus on design process, theory and technology including 2D and 3D digital drafting and then you’ll build on these foundations and explore areas including design psychology and the sociocultural aspects of design, and well as your choice of units from other areas of study. Later in your degree you will be able to transfer skills and knowledge to a workplace or professional context and gain practical work experience with work integrated learning.                                 Double degrees                           Combine your degree with a second degree to gain a broader range of skills and knowledge, a competitive advantage and enhanced career flexibility.  Choose a double degree with:  Business to develop skills that can lead to diverse careers intersecting design with marketing, public relations, advertising, international business, economics, management and human resource management. Construction management to combine your creativity with skills in project management to design, plan and manage the construction,renovation or enhancement of internal spaces. You could work as a consultant for small to medium enterprises, or with major architecture, design or building firms. Property economics to incorporate your creative eye with investment acumen to optimise returns and manage the performance of properties. You’ll be valued in both the private and public sectors.   ","Exhibition Designer, Interior Designer, Project Manager, Set Designer, Sustainability Design Consultant, Theatre Designer, Visualisation Expert",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Queensland University of Technology,Brisbane,Bachelor of Design (Landscape Architecture),"Creative Practice, Communication and Design","32,500","8,400",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,70.00,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-design-landscape-architecture,English,A," QUT offers the only landscape architecture degrees in Queensland. Learn about landscape systems and to understand the complexity of landscape in relation to the creation of outdoor spaces with positive cultural and environmental impact. Learn about, and develop, design skills to engage with small scale landscape design projects. Work on real-world landscape design projects in practical studio settings and involving community participation. Take advantage of our 50-year history as one of Australia's principal landscape educators.  Study with one of Australia’s principal landscape educators. You’ll work on real-world projects in studio settings and gain knowledge of emerging industry trends.  Study with one of Australia’s principal landscape educators. You’ll work on real-world projects in studio settings and gain knowledge of emerging industry trends.    In this course you will learn to combine landscape systems with urban design and environmental science to create outdoor spaces with positive cultural and environmental impact. Your degree will begin with introductory and shared impact lab units where, working with students from other disciplines, you’ll focus on problems and social issues and identify potential solutions connected to industry and community. Your introductory studies will focus on foundational landscape design knowledge, skills and applications, covering a range of design principles, theories and processes which you will apply to real or simulated design scenarios. Building on these foundations you’ll then explore core units covering building materials, flora, ecology, landform and tectonics as well as the legislative environment governing landscape construction. Later in your degree you will be able to transfer skills and knowledge to a workplace or professional context and gain practical work experience with work integrated learning.                                 Double degrees                            Combine your degree with a second degree to gain a broader range of skills and knowledge, a competitive advantage and enhanced career flexibility.  Choose a double degree with:  Business to develop skills that can lead to diverse careers intersecting design with marketing, public relations, advertising, international business, economics, management and human resource management. Engineering to work in private practice or in government at all levels, in roles such as structural engineer, geotechnical engineer, landscape architect and environmental engineer. Science to develop your understanding of environmental impacts of mining, tourism and urban development, and be equipped to rehabilitate and reforest degraded sites, or design outdoor spaces that enhance the environment. Urban and regional planning to use your combined skills in careers with private developers, government bodies and communities to enhance established neighbourhoods, and shape new suburbs, cities and regions.   ","Landscape Architect, Landscape Construction Technician, Landscape Designer, Landscape Technician",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Queensland University of Technology,Brisbane,Bachelor of Design - International (Architecture),"Creative Practice, Communication and Design","32,300","8,400",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,Equivalent ,89.00,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-design-international-architecture,English,A," Travel overseas, immerse yourself in a different culture and be on pace with international design trends. Enjoy a year of studying with one of our international partner universities in the UK, Sweden, Denmark, Hong Kong, the US and Canada. Enhance your global employability and open unique career opportunities.  Architecture at QUT is recognised internationally for innovation and sustainable development. This course combines your architecture degree with a year of international studies.  Architecture at QUT is recognised internationally for innovation and sustainable development. This course combines your architecture degree with a year of international studies.    Great design is happening all around the world. If you want to travel overseas, immerse yourself in a different culture and be on pace with the design trends emerging in another country, this degree is for you. Your degree will begin with introductory and shared impact lab units where, working with students from other disciplines, you’ll focus on problems and social issues and identify potential solutions connected to industry and community. Your introductory studies will also introduce you to visualisation skills and applications needed to formulate design as an exploration of the materials of the built environment. Your studies will then build on these foundations and explore areas including environmental principles and the global movement of modern architecture with design studio units covering the process of design, dwelling, tectonics and public spaces. In your third year of study you will spend two semesters (96 credit points) studing abroad before returning to apply your skills and knowledge to a workplace or professional context and gain practical work experience with work integrated learning.  ","Architect, Architectural Engineer, Architectural Historian, Architectural Writer / Journalist, Construction Manager, Set Designer, Sustainability Design Consultant",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Queensland University of Technology,Brisbane,Bachelor of Design - International (Interior Architecture),"Creative Practice, Communication and Design","32,300","8,400",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,Equivalent ,89.00,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-design-international-interior-architecture,English,A," Travel overseas, immerse yourself in a different culture and be on pace with international design trends. Enjoy a year of studying with one of our international partner universities in the UK, Sweden, Denmark, Hong Kong, the US and Canada. Enhance your global employability and open unique career opportunities.  Undertake interior design projects in practical studio settings and learn from award-winning practitioners. This course combines your design degree with a year of international studies.  Undertake interior design projects in practical studio settings and learn from award-winning practitioners. This course combines your design degree with a year of international studies.    Great design is happening all around the world. If you want to travel overseas, immerse yourself in a different culture and be on pace with the design trends emerging in another country, this degree is for you. Your degree will begin with introductory and shared impact lab units where, working with students from other  disciplines, you’ll focus on problems and social issues and identify potential solutions connected to industry and community. Your studies will focus on design process, theory and technology including 2D and 3D digital drafting and then you’ll build on these foundations and explore areas including design psychology and the sociocultural aspects of design, and well as your choice of units from other areas of study. In your third year of study you will spend two semesters (96 credit points) studing abroad before returing to transfer skills and knowledge to a workplace or professional context and gain practical work experience with work integrated learning.  ","Exhibition Designer, Interior Designer, Project Manager, Set Designer, Sustainability Design Consultant, Theatre Designer, Visualisation Expert",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Queensland University of Technology,Brisbane,Bachelor of Design - International (Landscape Architecture),"Creative Practice, Communication and Design","32,300","8,400",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,Equivalent ,89.00,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-design-international-landscape-architecture,English,A," Travel overseas, immerse yourself in a different culture and be on pace with international design trends. Enjoy a year of studying with one of our international partner universities in the UK, Sweden, Denmark, Hong Kong, the US and Canada. Enhance your global employability and open unique career opportunities.  You’ll work on real-world projects in studio settings and gain knowledge of emerging industry trends. This course combines your design degree with a year of international studies.  You’ll work on real-world projects in studio settings and gain knowledge of emerging industry trends. This course combines your design degree with a year of international studies.    Great design is happening all around the world. If you want to travel overseas, immerse yourself in a different culture and be on pace with the design trends emerging in another country, this degree is for you. In this course you will learn to combine landscape systems with urban design and environmental science to create outdoor spaces with positive cultural and environmental impact. Your degree will begin with introductory and shared impact lab units where, working with students from other disciplines, you’ll focus on problems and social issues and identify potential solutions connected to industry and community. Your introductory studies will focus on foundational landscape design knowledge, skills and applications, covering a range of design principles, theories and processes which you will apply to real or simulated design scenarios. Building on these foundations you’ll then explore core units covering building materials, flora, ecology, landform and tectonics as well as the legislative environment governing landscape construction. In your third year of study you will spend two semesters (96 credit points) studing abroad before returing to transfer skills and knowledge to a workplace or professional context and gain practical work experience with work integrated learning.  ","Landscape Architect, Landscape Construction Technician, Landscape Designer, Landscape Technician",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAH,Queensland University of Technology,Brisbane,Bachelor of Engineering (Honours) (Civil),"Science, Technology, Engineering and Maths (STEM)","39,300","7,000",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,Equivalent ,75.00,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-engineering-honours-civil,English,A," Gain experience in real-world hands-on activities in an innovative learning environment. Learn to plan, design, construct, operate and maintain a variety of structures and facilities. Study subjects in geotechnical and water engineering, sustainable engineering, and steel, highway and transport engineering. Gain experience under the supervision on a certified engineer and earn credit for paid work with the Work Integrated Learning program. Our engineering degree includes honours-level content integrated throughout the course.  Design, construct and maintain infrastructure such as roads or harbours. Be in demand and well paid with a professional civil engineering qualification.  Design, construct and maintain infrastructure such as roads or harbours. Be in demand and well paid with a professional civil engineering qualification.    Civil engineers plan, design, construct, operate and maintain a variety of structures and facilities that benefit society—from roads and busways to bridges and buildings. They are also involved with the assessment of the impact of projects on the natural and social environment. Civil engineers have a responsibility to produce safe, economical and environmentally sound infrastructure for the community. QUT's engineering courses, whether a single or double degree, now include honours-level content integrated throughout the course. A bachelor honours degree is a higher-level qualification than a bachelor degree; and along with the advanced knowledge and skills, it will benefit you in your professional career, or future research and study. The duration of the degree remains unchanged: a single engineering honours degree is a four-year program, and a double degree is five years. Your engineering degree features common units in the first year that combine broad foundation principles with a wide range of major choices, giving you flexibility and options before you choose your career specialisation. Explore your options Your engineering degree features common units in the first year that combine broad foundation principles with a wide range of major choices, giving you flexibility and options before you choose your career specialisation.                                 Flexible delivery                           Start online. Come when you can. You can commence this course online in 2021 if you are unable to enter Australia due to travel restrictions, however you may not be able to enrol with a full-time study load as some units may not be available. In addition, you may choose to commence your studies by undertaking eligible Minor units. (Engineering units with hands-on practicals are only offered on campus.) You will need to complete the course on campus, once travel to Brisbane is possible.     Work Integrated Learning Work Integrated Learning (WIL) is embedded in the curriculum and it is a core component for all engineering students. WIL allows you to graduate with a portfolio of professional skills that provides evidence of your professional competencies. You are required to undertake 60 days of approved work experience in the engineering environment as part of your work integrated learning.  ","Civil Engineer, Construction Manager, Project Manager, Transit analyst, Transport engineering specialist",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Queensland University of Technology,Brisbane,Bachelor of Business/Bachelor of Design (Architecture),Double Degree,"31,700","11,900",AUD,Years,54.0,Months,Yes,No,ATAR,IELTS,Equivalent ,82.00,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-design-architecture,English,A," Develop business skills and be able to think creatively and critically, communicate professionally, make ethical business decisions and work in a global context. Be inspired and empowered to create environments with a positive impact on human health, environmental quality, social relationships and urban systems. Undertake architectural design projects with a practical edge which will require you to think logically and creatively about how buildings function and are constructed. In both the commercial and property sectors, your business and architecture skills can lead to careers intersecting design with marketing, public relations, advertising, international business, economics, accountancy, finance, financial planning, management and human resource management.  Combine business and architecture to create environments that make a positive impact, or for careers in management, marketing or other business aspects of design organisations.  Combine business and architecture to create environments that make a positive impact, or for careers in management, marketing or other business aspects of design organisations.    Bachelor of Business Our business degree equips you to confidently enter the modern business world. It combines key business research and contemporary business best practice, and sets demanding standards to create your future career options. Develop business skills and be able to think creatively and critically, communicate professionally, make ethical business decisions and work in a global context. Graduate with deep knowledge and experience in your chosen major, equipping you as a professional in your chosen discipline. You can study accountancy, advertising, economics, finance, financial planning, human resource management, international business, management, marketing, or public relations. Bachelor of Design (Architecture) Our architecture course is increasingly being recognised internationally for its focus on innovation in design and sustainable development. You'll be inspired and empowered to create environments with a positive impact on human health, environmental quality, social relationships and urban systems. You will study sustainable systems and undertake architectural design projects in practical studio settings. Throughout your degree, you will undertake architectural design projects with a practical edge which will require you to think logically and creatively about how buildings function and are constructed. In both the commercial and property sectors, your business and architecture skills can lead to careers intersecting design with marketing, public relations, advertising, international business, economics, accountancy, finance, financial planning, management and human resource management. Graduates can find employment in the fields of architecture and building design. This redesigned course is undergoing reaccreditation with the Architects Accreditation Council of Australia. We are also seeking recognition from the Australian Institute of Architects.  ","Accountant, Advertising Professional, Architect, Economist, Financial Advisor/Analyst, Human Resource Manager, International Business Specialist, Manager, Marketing Officer/Manager, Public Relations Officer/Consultant",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Queensland University of Technology,Brisbane,Bachelor of Business/Bachelor of Design (Interior Architecture),Double Degree,"31,200","11,800",AUD,Years,4.0,Years,Yes,No,ATAR,IELTS,Equivalent ,79.00,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-design-interior-architecture,English,A," Develop business skills and be able to think creatively and critically, communicate professionally, make ethical business decisions and work in a global context. Learn the expertise to produce interior spaces that enhance the quality of life and experience of occupants. You'll undertake interior design projects in practical studio settings and participate in independent and collaborative problem solving. Business acumen and interior architecture skills can lead to diverse careers intersecting design with marketing, public relations, advertising, international business, economics, accounting, finance, financial planning, management and human resource management.  Combine business and interior architecture to produce interior spaces that enhance quality of life, or for careers in management, marketing or other business aspects of design organisations.  Combine business and interior architecture to produce interior spaces that enhance quality of life, or for careers in management, marketing or other business aspects of design organisations.    Bachelor of Business Our business degree equips you to confidently enter the modern business world. It combines key business research and contemporary business best practice, and sets demanding standards to create your future career options. Develop business skills and be able to think creatively and critically, communicate professionally, make ethical business decisions and work in a global context. Graduate with deep knowledge and experience in your chosen major, equipping you as a professional in your chosen discipline. You can study accountancy, advertising, economics, finance financial planning, human resource management, international business, management, marketing, or public relations. Business acumen and interior architecture skills can lead to diverse careers intersecting design with one of the business majors. Bachelor of Design (Interior Architecture) This course is internationally recognised and provides you with the expertise to produce spaces that enhance the quality of life and experience of occupants. You'll undertake interior design projects in practical studio settings and participate in independent and collaborative problem solving. Our strong connections to local industry provide you with real-world experience and insight into your career options, through award-winning practitioners as tutors and promotion of your work in prominent public settings. You will be supported by contemporary, relevant teaching and a focus on new and emergent fields including small and large-scale design in real and virtual environments, physical and digital experimentation, body/space relations, and design for health and social inclusion. During the course you will conceptualise and develop your designs through expertise in spatial thinking and detailed resolution, using models, full-scale material constructs and digital animations.  ","Accountant, Advertising Professional, Economist, Financial Advisor/Analyst, Human Resource Manager, Interior Designer, International Business Specialist, Manager, Marketing Officer/Manager, Public Relations Officer/Consultant",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
