Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,Queensland University of Technology,Brisbane,Bachelor of Design (Architecture),"Creative Practice, Communication and Design","8,400","32,500",AUD,Years,3,Years,Yes,Yes,ATAR,IELTS,Equivalent ,82,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-design-architecture,English,A,"Learn to create environments with positive impacts on human health, environmental quality, social relationships and urban systems. Study sustainable systems using advanced digital design tools. Undertake architectural design projects in practical studio settings.","Architect, Architectural Engineer, Architectural Historian, Architectural Writer / Journalist, Construction Manager, Set Designer, Sustainability Design Consultant",Australia,No,Yes,No,Yes,Yes,
HONS,Queensland University of Technology,Brisbane,Bachelor of Design (Honours) (Architectural Studies) - Advanced Standing Entry,"Creative Practice, Communication and Design","8,000","34,600",AUD,Years,4,Years,Yes,No,ATAR,IELTS,Equivalent ,93,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-design-honours-architectural-studies-advanced-standing-entry,English,A,"Learn to create environments with positive impacts on human health, environmental quality, social relationships and urban systems. Study sustainable systems using advanced digital design tools. Undertake architectural design projects in practical studio settings. Graduate with an honours-level qualification. Progress onto a Master of Architecture and gain the required practical experience to become an architect.","Architect, Designer",Australia,No,Yes,No,Yes,No,
BA,Queensland University of Technology,Brisbane,Bachelor of Design (Interior Architecture),"Creative Practice, Communication and Design","8,400","32,500",AUD,Years,3,Years,Yes,Yes,ATAR,IELTS,Equivalent ,70,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-design-interior-architecture,English,A,"Join an internationally recognised course that provides you with the expertise to produce spaces that enhance the quality of life and experience of occupants. Undertake interior design projects in practical studio settings and participate in independent and collaborative problem solving. Conceptualise and develop your designs using models, full-scale material constructs and digital animations.","Exhibition Designer, Interior Designer, Project Manager, Set Designer, Sustainability Design Consultant, Theatre Designer, Visualisation Expert",Australia,No,Yes,No,Yes,Yes,
BA,Queensland University of Technology,Brisbane,Bachelor of Design (Landscape Architecture),"Creative Practice, Communication and Design","8,400","32,500",AUD,Years,3,Years,Yes,Yes,ATAR,IELTS,Equivalent ,70,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-design-landscape-architecture,English,A,"QUT offers the only landscape architecture degrees in Queensland. Learn about landscape systems and to understand the complexity of landscape in relation to the creation of outdoor spaces with positive cultural and environmental impact. Learn about, and develop, design skills to engage with small scale landscape design projects. Work on real-world landscape design projects in practical studio settings and involving community participation. Take advantage of our 50-year history as one of Australia's principal landscape educators.","Landscape Architect, Landscape Construction Technician, Landscape Designer, Landscape Technician",Australia,No,Yes,No,Yes,Yes,
BA,Queensland University of Technology,Brisbane,Bachelor of Design - International (Architecture),"Creative Practice, Communication and Design","8,400","32,300",AUD,Years,4,Years,Yes,No,ATAR,IELTS,Equivalent ,89,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-design-international-architecture,English,A,"Travel overseas, immerse yourself in a different culture and be on pace with international design trends. Enjoy a year of studying with one of our international partner universities in the UK, Sweden, Denmark, Hong Kong, the US and Canada. Enhance your global employability and open unique career opportunities.","Architect, Architectural Engineer, Architectural Historian, Architectural Writer / Journalist, Construction Manager, Set Designer, Sustainability Design Consultant",Australia,No,Yes,No,Yes,No,
BA,Queensland University of Technology,Brisbane,Bachelor of Design - International (Interior Architecture),"Creative Practice, Communication and Design","8,400","32,300",AUD,Years,4,Years,Yes,No,ATAR,IELTS,Equivalent ,89,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-design-international-interior-architecture,English,A,"Travel overseas, immerse yourself in a different culture and be on pace with international design trends. Enjoy a year of studying with one of our international partner universities in the UK, Sweden, Denmark, Hong Kong, the US and Canada. Enhance your global employability and open unique career opportunities.","Exhibition Designer, Interior Designer, Project Manager, Set Designer, Sustainability Design Consultant, Theatre Designer, Visualisation Expert",Australia,No,Yes,No,Yes,No,
BA,Queensland University of Technology,Brisbane,Bachelor of Design - International (Landscape Architecture),"Creative Practice, Communication and Design","8,400","32,300",AUD,Years,4,Years,Yes,No,ATAR,IELTS,Equivalent ,89,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-design-international-landscape-architecture,English,A,"Travel overseas, immerse yourself in a different culture and be on pace with international design trends. Enjoy a year of studying with one of our international partner universities in the UK, Sweden, Denmark, Hong Kong, the US and Canada. Enhance your global employability and open unique career opportunities.","Landscape Architect, Landscape Construction Technician, Landscape Designer, Landscape Technician",Australia,No,Yes,No,Yes,No,
HONS,Queensland University of Technology,Brisbane,Bachelor of Engineering (Honours) (Civil),"Science, Technology, Engineering and Maths (STEM)","7,000","39,300",AUD,Years,4,Years,Yes,No,ATAR,IELTS,Equivalent ,75,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-engineering-honours-civil,English,A,"Gain experience in real-world hands-on activities in an innovative learning environment. Learn to plan, design, construct, operate and maintain a variety of structures and facilities. Study subjects in geotechnical and water engineering, sustainable engineering, and steel, highway and transport engineering. Gain experience under the supervision on a certified engineer and earn credit for paid work with the Work Integrated Learning program. Our engineering degree includes honours-level content integrated throughout the course.","Civil Engineer, Construction Manager, Project Manager, Transit analyst, Transport engineering specialist",Australia,No,Yes,No,Yes,No,
BA,Queensland University of Technology,Brisbane,Bachelor of Business/Bachelor of Design (Architecture),Double Degree,"11,900","31,700",AUD,Years,54,Months,Yes,No,ATAR,IELTS,Equivalent ,82,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-design-architecture,English,A,"Develop business skills and be able to think creatively and critically, communicate professionally, make ethical business decisions and work in a global context. Be inspired and empowered to create environments with a positive impact on human health, environmental quality, social relationships and urban systems. Undertake architectural design projects with a practical edge which will require you to think logically and creatively about how buildings function and are constructed. In both the commercial and property sectors, your business and architecture skills can lead to careers intersecting design with marketing, public relations, advertising, international business, economics, accountancy, finance, financial planning, management and human resource management.","Accountant, Advertising Professional, Architect, Economist, Financial Advisor/Analyst, Human Resource Manager, International Business Specialist, Manager, Marketing Officer/Manager, Public Relations Officer/Consultant",Australia,No,Yes,No,Yes,No,
BA,Queensland University of Technology,Brisbane,Bachelor of Business/Bachelor of Design (Interior Architecture),Double Degree,"11,800","31,200",AUD,Years,4,Years,Yes,No,ATAR,IELTS,Equivalent ,79,6.5,Year 12,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-design-interior-architecture,English,A,"Develop business skills and be able to think creatively and critically, communicate professionally, make ethical business decisions and work in a global context. Learn the expertise to produce interior spaces that enhance the quality of life and experience of occupants. You'll undertake interior design projects in practical studio settings and participate in independent and collaborative problem solving. Business acumen and interior architecture skills can lead to diverse careers intersecting design with marketing, public relations, advertising, international business, economics, accounting, finance, financial planning, management and human resource management.","Accountant, Advertising Professional, Economist, Financial Advisor/Analyst, Human Resource Manager, Interior Designer, International Business Specialist, Manager, Marketing Officer/Manager, Public Relations Officer/Consultant",Australia,No,Yes,No,Yes,No,
