Local_Fees,University,Duration_Time,Prerequisite_1,Prerequisite_3,Description,Blended,Faculty,Prerequisite_2_grade_2,Currency_Time,Level_Code,Currency,Remarks,Prerequisite_3_grade_3,Part_Time,Availability,Face_to_Face,Online,Prerequisite_2,Offline,Career_Outcomes/path,Prerequisite_1_grade_1,Website,Course_Lang,Int_Fees,Country,Duration,City,Full_Time,Course,Distance
,University of Newcastle,Years,,,"Pursuing a career in finance can be challenging, yet rewarding, as it can open up a range of career opportunities and enable you to become a leader in the global business environment. A Graduate Certificate in Applied Finance at the University of Newcastle will equip you with a highly regarded qualification that provides superior fundamental finance knowledge, including high-level analytical skills that are transferable across the finance sector, and can be used to inform decision-making across other areas of business.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Business Analyst, Business Relationship Manager, Finance Manager, Financial Analyst, Financial Planner, Investment Banker, Management Consultant, Portfolio Analyst, Stockbroker",,https://www.newcastle.edu.au/degrees/graduate-certificate-applied-finance,English,,Australia,6.0,Newcastle,Yes, Applied Finance,
,University of Newcastle,Years,,,"A career in accounting provides challenging, rewarding and versatile opportunities in the current business environment. Increasingly businesses are looking for people with superior analytical skills which accounting can provide.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Financial and management accounting, Taxation, Auditing, Superannuation, Investment, Financial advising, Banking, Stockbroking",,https://www.newcastle.edu.au/degrees/graduate-certificate-professional-accounting,English,,Australia,6.0,Sydney,Yes, Professional Accounting,
,University of Newcastle,Year,,,"The Master of Applied Finance program at the University of Newcastle is focused on developing high-level analytical skills that are relevant across the finance sector, and can also be used to inform decision making across other areas of business. The Master of Applied Finance program will arm you with the technical knowledge and practical skills required to succeed in finance.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Finance Manager, Financial Analyst, Investment Banker, Management Consultant, Portfolio Analyst",,https://www.newcastle.edu.au/degrees/master-applied-finance,English,,Australia,1.0,Newcastle,Yes, Applied Finance,
,University of Newcastle,Years,,,Quietly change the world.,No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"private and commercial practice, research, construction, project management, property development, town planning, infrastructure planning, overseas aid",,https://www.newcastle.edu.au/degrees/master-architecture,English,,Australia,2.0,Newcastle,Yes, Architecture,Yes
,University of Newcastle,Year,,,"A career in accounting provides challenging, rewarding and versatile opportunities in the current business environment. Increasingly, businesses are looking for people with superior analytical skills that accounting can provide.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Forensic Accountant, Internal Auditor, Ratings Analyst, Chief Financial Officer, Financial Advisor",,https://www.newcastle.edu.au/degrees/master-professional-accounting,English,,Australia,1.0,Sydney,Yes, Professional Accounting,Yes
,University of Newcastle,Years,,,"A career in accounting provides challenging, rewarding and versatile opportunities in the current business environment. Increasingly, businesses are looking for people with superior analytical skills which accounting can provide.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Forensic Accountant, Internal Auditor, Ratings Analyst, Chief Financial Officer, Financial Advisor",,https://www.newcastle.edu.au/degrees/master-professional-accounting-advanced,English,,Australia,2.0,Sydney,Yes, Professional Accounting (Advanced),Yes
,University of Newcastle,Years,,,"The Executive MBA is a practice-oriented graduate business degree, designed for experienced employees wishing to learn alongside like-minded people to advance leadership, business and management skills. You will typically be a team leader or a mid to high-level manager seeking to broaden your knowledge base and skill sets and take your career to the next level.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,,,https://www.newcastle.edu.au/degrees/executive-master-business-administration-emba,English,"32,400 ",Australia,2.0,Sydney,Yes, Business Administration (EMBA),Yes
,University of Newcastle,Years,,,"The Graduate Certificate in Business Administration is the first step for professionals aiming to expand their career opportunities. You will improve your foundational skills in managerial decision making, understand effective organisational structures, study human behaviour and learn how to expertly manage people.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Account Executive, Business Consultant, Company Executive, Entrepreneur, Financial Advisor, Marketing Manager",,https://www.newcastle.edu.au/degrees/graduate-certificate-business-administration,English,"32,400 ",Australia,6.0,Newcastle,Yes, Business Administration,Yes
,University of Newcastle,Years,,,"The Graduate Certificate in Business Administration is the first step for professionals aiming to expand their career opportunities. You will improve your foundational skills in managerial decision making, understand effective organisational structures, study human behaviour and learn how to expertly manage people.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Account Executive, Business Consultant, Company Executive, Entrepreneur, Financial Advisor, Marketing Manager",,https://www.newcastle.edu.au/degrees/graduate-certificate-business-administration,English,"32,400 ",Australia,6.0,Sydney,Yes, Business Administration,Yes
,University of Newcastle,Year,,,"Outstanding business leadership meets you when you graduate with the Master of Business Administration (MBA) from the University of Newcastle. With brand new on-campus facilities, or an all-inclusive online program guided by business leaders and academics, the MBA is designed to challenge you and build your capacity for business excellence.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Account Executive, Business Consultant, Business Development Manager, Entrepreneur, Financial Advisor, Industry Specialist Manager, Marketing Manager, Operations Manager",,https://www.newcastle.edu.au/degrees/master-business-administration-mba,English,"32,400 ",Australia,1.0,Newcastle,Yes, Business Administration (MBA),Yes
,University of Newcastle,Year,,,"Outstanding business leadership meets you when you graduate with the Master of Business Administration (MBA) from the University of Newcastle. With brand new on-campus facilities, or an all-inclusive online program guided by business leaders and academics, the MBA is designed to challenge you and build your capacity for business excellence.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Account Executive, Business Consultant, Business Development Manager, Entrepreneur, Financial Advisor, Industry Specialist Manager, Marketing Manager, Operations Manager",,https://www.newcastle.edu.au/degrees/master-business-administration-mba,English,"32,400 ",Australia,1.0,Sydney,Yes, Business Administration (MBA),Yes
,University of Newcastle,Years,,,"The University of Newcastle Graduate Certificate in Clinical Epidemiology provides health care professionals with an introduction to clinical epidemiology. You will learn basic research skills and obtain fundamental principles of clinical epidemiology, which can be applied to your current profession.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,Yes,IELTS,Yes,"epidemiology research, academia, policy advisor, health related industries",,https://www.newcastle.edu.au/degrees/graduate-certificate-clinical-epidemiology,English,"38,425 ",Australia,6.0,Newcastle,Yes, Clinical Epidemiology,Yes
,University of Newcastle,Years,,,"If you chose to study the Graduate Certificate in Creative Industries at the University of Newcastle you will step into a world of creative exploration. Creative Industries includes professions within creative and performing arts, communications, digital media, visual design and music. This degree will allow you to expand upon your undergraduate focus in the Creative Industries and enable you to fine-tune your artistic output in a specialist area. Discipline areas include advertising design, architecture, design, electronic games, fashion, film, music, performing arts, publishing, radio, television, visual arts and more.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,Yes,IELTS,Yes,"advertising and marketing, creative writing and publishing, architecture and interior design, graphic and electronic design, visual arts, film and cinematics, TV, print and radio production, music and performing arts, digital content and software",,https://www.newcastle.edu.au/degrees/graduate-certificate-creative-industries,English,"38,425 ",Australia,6.0,Newcastle,Yes, Creative Industries,Yes
,University of Newcastle,Year,,,"The Master of Clinical Epidemiology at the University of Newcastle focuses on health care research. You will learn how to conceptualise, design and carry out health care research applying epidemiologic methods, and to apply the best available research evidence to clinical practices and health care.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,Yes,IELTS,Yes,"epidemiology research, academia, policy advisor, health related industries",,https://www.newcastle.edu.au/degrees/master-clinical-epidemiology,English,"38,425 ",Australia,1.0,Newcastle,Yes, Clinical Epidemiology,Yes
,University of Newcastle,Year,,,Contemporary health leaders are required to manage increasingly complex clinical presentations cost effectively through high-quality evidenced based integrated and patient-centred models of care. Evidence-based quality patient centred care can only be achieved through developing clinical leaders from all disciplines with the ability to leverage their expertise in building and leading 21st century high performing inter-professional teams.,No,Science,6.5,Years,MST,AUD,,,No,A,Yes,Yes,IELTS,Yes,"Clinical team leader/manager, Department or unit director, Director of clinical governance, Director of quality improvement and system redesign, Head of discipline, Hospital or community service leader, Operational manager",,https://www.newcastle.edu.au/degrees/master-clinical-medicine-leadership-management,English,"38,425 ",Australia,1.0,Newcastle,Yes, Clinical Medicine (Leadership and Management),Yes
,University of Newcastle,Years,,,"The Master of Clinical Psychology is a professional qualification for those who wish to practice as a Clinical Psychologist. With expert supervision in our Psychology clinic and local health care and community settings, the course will give you the skills to work in the prevention, diagnosis, and treatment of a wide range of psychological disorders.",No,Science,7.0,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"promoting psychological health through public policy, allied health professions management, teaching and supervision, research, program development and evaluation",,https://www.newcastle.edu.au/degrees/master-clinical-psychology,English,"38,425 ",Australia,2.0,Newcastle,Yes, Clinical Psychology,Yes
,University of Newcastle,Year,,,"The University of Newcastle's Master of Creative Industries offers a unique degree that will engage your creativity for social and cultural innovation; and provide a platform to explore your ideas and transform your passions into viable commercial endeavours. If you define yourself as a creator, shape-shifter, or innovator; then this is the program for you.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,Yes,IELTS,Yes,"advertising and marketing, architecture and interior design, audio visual design, communication and media studies, creative arts, creative writing and publishing, digital content and software, drama and theatre studies, fine arts, graphic arts and design studies, graphic and design studies, graphic and electronic design, journalism, language and literature, music and performing arts, television, print and radio production, visual arts, film and cinematics",,https://www.newcastle.edu.au/degrees/master-creative-industries,English,"38,425 ",Australia,1.0,Newcastle,Yes, Creative Industries,Yes
,University of Newcastle,Years,,,"Cyberspace has profoundly transformed the way we live and do business. We are increasingly relying upon networked applications for assessing information and making critical business decisions, so it is critical for individuals, enterprises and governments to be able to secure cyberspace from attacks to allow them to effectively conduct their business.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"security system manager, security consultant, cryptographer, IT security engineer, security system developer, security analyst, project manager",,https://www.newcastle.edu.au/degrees/master-cyber-security,English,"38,425 ",Australia,2.0,Newcastle,Yes, Cyber Security,Yes
,University of Newcastle,Years,,,"This program is delivered through CIFAL Newcastle, a United Nations training centre with a focus on disaster resilience and sustainable development, which is hosted at the University of Newcastle. The United Nations has partnered with the University to develop the Graduate Certificate in Disaster Risk Reduction. The program provides graduates with the knowledge to manage the Disaster Risk Reduction (DRR) process across all sectors of society.",No,Science,6.5,Years,MST,AUD,,,No,A,Yes,Yes,IELTS,Yes,"risk manager, compliance officer, local government officer, WHS coordinator",,https://www.newcastle.edu.au/degrees/graduate-certificate-disaster-risk-reduction,English,"34,915 ",Australia,6.0,Newcastle,Yes, Disaster Risk Reduction,Yes
,University of Newcastle,Years,,,"This program is delivered through CIFAL Newcastle, a United Nations training centre with a focus on disaster resilience and sustainable development, which is hosted at the University of Newcastle. The United Nations has partnered with the University to develop the Master of Disaster Resilience and Sustainable Development. Students in this program develop the best practice knowledge and skills needed to implement the new UN Sustainable Development Goals and the Sendai framework for Disaster Risk Reduction.",No,Science,6.5,Years,MST,AUD,,,No,A,Yes,Yes,IELTS,Yes,,,https://www.newcastle.edu.au/degrees/master-disaster-resilience-sustainable-development,English,"34,915 ",Australia,2.0,Newcastle,Yes, Disaster Resilience and Sustainable Development,Yes
,University of Newcastle,Year,,,"Do you want to work effectively in dispute resolution applying techniques and processes within court, across government sectors and within the private sector? Then the University of Newcastle’s Master of Dispute Resolution is the program for you.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Expert complaints staff, Human Resource Manager, Independent Dispute Resolution Scheme Managers and senior staff, Government dispute resolution expert, Arbitrator, Mediator, Conciliator, Negotiator, Ombuds senior staff",,https://www.newcastle.edu.au/degrees/master-dispute-resolution,English,"34,915 ",Australia,1.0,Newcastle,Yes, Dispute Resolution,Yes
,University of Newcastle,Years,,,"If you are a practising teacher or educator with a passion for learning and desire to develop an advanced understanding of a variety of broad issues then the Graduate Certificate in Education is the program for you. This program will enhance your existing skills as an education professional, see you connect with the latest developments and research in the field, and move beyond the classroom to explore system-level issues and challenges. Upon graduation you will be positioned as an educational leader.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,Yes,IELTS,Yes,"higher education teacher within TAFEs and university sectors, education consultant within TAFEs, universities or schools, leadership, coordination, specialist or professional development positions in school systems",,https://www.newcastle.edu.au/degrees/graduate-certificate-education,English,"34,915 ",Australia,6.0,Newcastle,Yes, Education,Yes
,University of Newcastle,Year,,,"If you are a practising education professional with a desire to develop an advanced understanding of your area of expertise and professional qualifications then the Master of Education is the program for you. This program will enhance your knowledge of education practice and theory, explore contemporary education issues, and connect you with the latest developments in the field. Upon graduation you will be positioned as an educational leader and open diverse career pathways that will see you excel within the classroom or take you out of the classroom.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,Yes,IELTS,Yes,"Higher Education Teacher within TAFEs and university sectors, Education Consultant or Advisor within TAFEs, universities or schools, Specialist Teacher in areas such as language, geography, computing and history, secondary maths, physics and chemistry, Leadership, Coordination, Specialist or Professional Development positions in school systems",,https://www.newcastle.edu.au/degrees/master-education,English,"34,915 ",Australia,1.0,Newcastle,Yes, Education,Yes
,University of Newcastle,Year,,,"The Master of Environmental Law at the University of Newcastle is designed to equip legal and non-legal professionals with a deeper knowledge of Environmental Law, through a unique, professionally-focused and interdisciplinary program.",No,Science,7.0,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"environmental and resources sectors, public policy, government sector, non-government sector, private sector, e.g. sustainability consulting, legal practice or advice (for legal professionals only), in-house counsel (for legal professionals only)",,https://www.newcastle.edu.au/degrees/master-environmental-law,English,"34,915 ",Australia,1.0,Newcastle,Yes, Environmental Law,Yes
,University of Newcastle,Years,,,"The demand for accredited exercise physiologists in a variety of health environments is rapidly expanding. The Master of Exercise Physiology at the University of Newcastle is a unique, advanced and contemporary allied health program which aims to bring critical thinking and appraisal of evidence in exercise physiology and health practice to the forefront.",No,Health & Medicine,7.0,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,,,https://www.newcastle.edu.au/degrees/master-of-exercise-physiology,English,"34,915 ",Australia,2.0,Central Coast,Yes, Exercise Physiology,Yes
,University of Newcastle,Years,,,,No,Science,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Salaries: As an engineer you’ll be valued and well rewarded. Starting salaries average around $80,000p.a. In 2015, 85% of our engineers had jobs when they graduated - making the University of Newcastle one of the top 2 universities in NSW for graduate employment rates., Flexibility: Some engineers work 9-5 in an office, others fly-in-fly out from a project site. You might prefer hands-on fieldwork, design and development, or managing people and projects., Global opportunities: As a qualified engineer you can travel the world and work almost anywhere you choose. Professional recognition through Engineers Australia lets you work in places such as Canada, Hong Kong, India, Ireland, Japan, Korea, Malaysia, New Zealand, Russia, Turkey, the UK and the USA.",,https://www.newcastle.edu.au/degrees/master-professional-engineering-chemical,English,"34,915 ",Australia,3.0,Newcastle,Yes, Professional Engineering (Chemical),Yes
,University of Newcastle,Years,,,,No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Salaries: As an engineer you’ll be valued and well rewarded. Starting salaries average around $80,000p.a. In 2015, 85% of our engineers had jobs when they graduated - making the University of Newcastle one of the top 2 universities in NSW for graduate employment rates., Flexibility: Some engineers work 9-5 in an office, others fly-in-fly out from a project site. You might prefer hands-on fieldwork, design and development, or managing people and projects., Global opportunities: As a qualified engineer you can travel the world and work almost anywhere you choose. Professional recognition through Engineers Australia lets you work in places such as Canada, Hong Kong, India, Ireland, Japan, Korea, Malaysia, New Zealand, Russia, Turkey, the UK and the USA.",,https://www.newcastle.edu.au/degrees/master-professional-engineering-civil,English,"34,915 ",Australia,3.0,Newcastle,Yes, Professional Engineering (Civil),Yes
,University of Newcastle,Years,,,,No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Salaries: As an engineer you’ll be valued and well rewarded. Starting salaries average around $80,000p.a. In 2015, 85% of our engineers had jobs when they graduated - making the University of Newcastle one of the top 2 universities in NSW for graduate employment rates., Flexibility: Some engineers work 9-5 in an office, others fly-in-fly out from a project site. You might prefer hands-on fieldwork, design and development, or managing people and projects., Global opportunities: As a qualified engineer you can travel the world and work almost anywhere you choose. Professional recognition through Engineers Australia lets you work in places such as Canada, Hong Kong, India, Ireland, Japan, Korea, Malaysia, New Zealand, Russia, Turkey, the UK and the USA.",,https://www.newcastle.edu.au/degrees/master-professional-engineering-computer-systems,English,"34,915 ",Australia,2.0,Newcastle,Yes, Professional Engineering (Computer Systems),Yes
,University of Newcastle,Years,,,,No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Salaries: As an engineer you’ll be valued and well rewarded. Starting salaries average around $80,000p.a. In 2015, 85% of our engineers had jobs when they graduated - making the University of Newcastle one of the top 2 universities in NSW for graduate employment rates., Flexibility: Some engineers work 9-5 in an office, others fly-in-fly out from a project site. You might prefer hands-on fieldwork, design and development, or managing people and projects., Global opportunities: As a qualified engineer you can travel the world and work almost anywhere you choose. Professional recognition through Engineers Australia lets you work in places such as Canada, Hong Kong, India, Ireland, Japan, Korea, Malaysia, New Zealand, Russia, Turkey, the UK and the USA.",,https://www.newcastle.edu.au/degrees/master-professional-engineering-electrical-electronic,English,"34,915 ",Australia,3.0,Newcastle,Yes, Professional Engineering (Electrical and Electronic),Yes
,University of Newcastle,Years,,,,No,Science,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Salaries: As an engineer you’ll be valued and well rewarded. Starting salaries average around $80,000p.a. In 2015, 85% of our engineers had jobs when they graduated - making the University of Newcastle one of the top 2 universities in NSW for graduate employment rates., Flexibility: Some engineers work 9-5 in an office, others fly-in-fly out from a project site. You might prefer hands-on fieldwork, design and development, or managing people and projects., Global opportunities: As a qualified engineer you can travel the world and work almost anywhere you choose. Professional recognition through Engineers Australia lets you work in places such as Canada, Hong Kong, India, Ireland, Japan, Korea, Malaysia, New Zealand, Russia, Turkey, the UK and the USA.",,https://www.newcastle.edu.au/degrees/master-professional-engineering-environmental,English,"34,915 ",Australia,2.0,Newcastle,Yes, Professional Engineering (Environmental),Yes
,University of Newcastle,Years,,,,No,Science,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Salaries: As a surveyor or geospatial engineer you’ll be valued and well rewarded. Postgraduate engineers starting salaries average around $115,000p.a*. In 2018*, 92% of our Surveying and Geospatial engineers were employed within four months of graduating, making the University of Newcastle one of the top universities in NSW for graduate employment rates., Flexibility: Some surveyors and geospatial engineers work 9-5 in an office, others fly-in-fly-out from a project site. You might prefer hands-on fieldwork, design and development, or managing people and projects.",,https://www.newcastle.edu.au/degrees/master-professional-engineering-geospatial-surveying,English,"34,915 ",Australia,2.0,Newcastle,Yes, Professional Engineering (Geospatial Engineering and Surveying),Yes
,University of Newcastle,Years,,,,No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Salaries: As an engineer you’ll be valued and well rewarded. Starting salaries average around $80,000p.a. In 2015, 85% of our engineers had jobs when they graduated - making the University of Newcastle one of the top 2 universities in NSW for graduate employment rates., Flexibility: Some engineers work 9-5 in an office, others fly-in-fly out from a project site. You might prefer hands-on fieldwork, design and development, or managing people and projects., Global opportunities: As a qualified engineer you can travel the world and work almost anywhere you choose. Professional recognition through Engineers Australia lets you work in places such as Canada, Hong Kong, India, Ireland, Japan, Korea, Malaysia, New Zealand, Russia, Turkey, the UK and the USA.",,https://www.newcastle.edu.au/degrees/master-professional-engineering-mechanical,English,"34,915 ",Australia,3.0,Newcastle,Yes, Professional Engineering (Mechanical),Yes
,University of Newcastle,Years,,,"The Master of Professional Engineering (Mechatronics) includes advanced mechatronics engineering courses in real-time estimation for embedded systems and advanced estimation. Plus, you’ll choose from a range of mechanical and electrical engineering courses in areas like:",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Salaries: As an engineer you’ll be valued and well rewarded. Starting salaries average around $80,000p.a. In 2015, 85% of our engineers had jobs when they graduated - making the University of Newcastle one of the top 2 universities in NSW for graduate employment rates., Flexibility: Some engineers work 9-5 in an office, others fly-in-fly out from a project site. You might prefer hands-on fieldwork, design and development, or managing people and projects., Global opportunities: As a qualified engineer you can travel the world and work almost anywhere you choose. Professional recognition through Engineers Australia lets you work in places such as Canada, Hong Kong, India, Ireland, Japan, Korea, Malaysia, New Zealand, Russia, Turkey, the UK and the USA.",,https://www.newcastle.edu.au/degrees/master-professional-engineering-mechatronics,English,"34,915 ",Australia,2.0,Newcastle,Yes, Professional Engineering (Mechatronics),Yes
,University of Newcastle,Years,,,,No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Salaries: As an engineer you’ll be valued and well rewarded. Starting salaries average around $80,000p.a. In 2015, 85% of our engineers had jobs when they graduated - making the University of Newcastle one of the top 2 universities in NSW for graduate employment rates., Flexibility: Some engineers work 9-5 in an office, others fly-in-fly out from a project site. You might prefer hands-on fieldwork, design and development, or managing people and projects., Global opportunities: As a qualified engineer you can travel the world and work almost anywhere you choose. Professional recognition through Engineers Australia lets you work in places such as Canada, Hong Kong, India, Ireland, Japan, Korea, Malaysia, New Zealand, Russia, Turkey, the UK and the USA.",,https://www.newcastle.edu.au/degrees/master-professional-engineering-software,English,"34,915 ",Australia,3.0,Newcastle,Yes, Professional Engineering (Software),Yes
,University of Newcastle,Years,,,"The Graduate Diploma in Education Studies is an EXIT AWARD ONLY and does NOT qualify students to teach.  Graduates can work in education fields other than teaching and will have highly developed problem-solving, communication and critical thinking skills.  Students who graduate with the Graduate Diploma in Education Studies cannot be re-admitted or complete another teaching degree at the University of Newcastle (UON).",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes, ,,https://www.newcastle.edu.au/degrees/exit-award/graduate-diploma-in-education-studies-exit-award,English,"34,915 ",Australia,3.0,Newcastle,Yes, Education Studies (Exit Award),Yes
,University of Newcastle,Years,,,"The Master of Environmental Risk Assessment and Remediation program is designed to equip graduates with specialist training in risk assessment and remediation, and provide high quality industry ready graduates to meet end user needs.",No,Science,6.5,Years,MST,AUD,,,No,N,Yes,No,IELTS,Yes, ,,https://www.newcastle.edu.au/degrees/teach-out/master-of-environmental-risk-assessment-and-remediation-pre-2021,English,"40,855 ",Australia,2.0,Newcastle,Yes, Environmental Risk Assessment and Remediation (pre 2021),Yes
,University of Newcastle,Years,,,The Graduate Certificate in Financial Planning will equip you with the practical skills and knowledge to successfully work in the financial services industry.,No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,"Financial Planner / Adviser, Insurance Adviser, Stock Broker, Superannuation Consultant, Paraplanner, Financial Analyst, Compliance Manager, Portfolio Analyst",,https://www.newcastle.edu.au/degrees/graduate-certificate-financial-planning,English,"40,000 ",Australia,2.0,Newcastle,Yes, Financial Planning,Yes
,University of Newcastle,Years,,,"The University of Newcastle’s Master of Family Studies has been designed to enhance your theoretical and practical knowledge in core areas of family practice including family processes, working with risk and trauma in families and family diversity. You will be equipped with the necessary expertise to pursue leading roles in family work-based positions and to work inter-professionally to address complex problems in families and community.",No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,Yes,IELTS,Yes,"family service manager, family program coordinator, research and policy officer, international development worker specialising in family policy or programs, family and relationship services practitioner, specialist family work roles in nursing, allied health, youth work, drug and alcohol, mental health, early childhood, education, law.",,https://www.newcastle.edu.au/degrees/master-family-studies,English,"40,000 ",Australia,2.0,Newcastle,Yes, Family Studies,Yes
,University of Newcastle,Years,,,"The Graduate Certificate in Health Economics, Management and Policy provides a practical toolkit of skills in leadership and management, policy and governance, and economics.",No,Science,6.5,Years,MST,AUD,,,No,A,Yes,Yes,IELTS,Yes,,,https://www.newcastle.edu.au/degrees/graduate-certificate-health-economics-management-policy,English,"40,000 ",Australia,6.0,Newcastle,Yes," Health Economics, Management and Policy",Yes
,University of Newcastle,Years,,,Are you searching for a qualification that will allow you to become a human resource management practitioner?,No,Health & Medicine,6.5,Years,MST,AUD,,,No,A,Yes,Yes,IELTS,Yes,"Human Resources Officer/Advisor, Union Official or Employer Organisation Advisor, Change Management Consultant, Graduate Recruitment Consultant",,https://www.newcastle.edu.au/degrees/graduate-certificate-human-resource-management,English,"40,000 ",Australia,6.0,Newcastle,Yes, Human Resource Management,Yes
,University of Newcastle,Year,,,"The Master of Health Economics, Management and Policy offers a practical toolkit for healthcare sector leaders, policy makers and analysts. It provides a mixed-skills portfolio comprising leadership and management capabilities with analytical and conceptual knowledge.",No,Science,6.5,Years,MST,AUD,,,No,A,Yes,No,IELTS,Yes,,,https://www.newcastle.edu.au/degrees/master-of-health-economics-management-and-policy,English,"40,000 ",Australia,1.0,Newcastle,Yes," Health Economics, Management and Policy",Yes
