Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
MST,University of Newcastle,Newcastle, Applied Finance,Health & Medicine,,,AUD,Years,6,Years,Yes,No,,IELTS,,,6.5,,https://www.newcastle.edu.au/degrees/graduate-certificate-applied-finance,English,A,"Pursuing a career in finance can be challenging, yet rewarding, as it can open up a range of career opportunities and enable you to become a leader in the global business environment. A Graduate Certificate in Applied Finance at the University of Newcastle will equip you with a highly regarded qualification that provides superior fundamental finance knowledge, including high-level analytical skills that are transferable across the finance sector, and can be used to inform decision-making across other areas of business.","Business Analyst, Business Relationship Manager, Finance Manager, Financial Analyst, Financial Planner, Investment Banker, Management Consultant, Portfolio Analyst, Stockbroker",Australia,No,Yes,,Yes,No,
MST,University of Newcastle,Sydney, Professional Accounting,Health & Medicine,,,AUD,Years,6,Years,Yes,No,,IELTS,,,6.5,,https://www.newcastle.edu.au/degrees/graduate-certificate-professional-accounting,English,A,"A career in accounting provides challenging, rewarding and versatile opportunities in the current business environment. Increasingly businesses are looking for people with superior analytical skills which accounting can provide.","Financial and management accounting, Taxation, Auditing, Superannuation, Investment, Financial advising, Banking, Stockbroking",Australia,No,Yes,,Yes,No,
MST,University of Newcastle,Newcastle, Applied Finance,Health & Medicine,,,AUD,Years,1,Year,Yes,No,,IELTS,,,6.5,,https://www.newcastle.edu.au/degrees/master-applied-finance,English,A,"The Master of Applied Finance program at the University of Newcastle is focused on developing high-level analytical skills that are relevant across the finance sector, and can also be used to inform decision making across other areas of business. The Master of Applied Finance program will arm you with the technical knowledge and practical skills required to succeed in finance.","Finance Manager, Financial Analyst, Investment Banker, Management Consultant, Portfolio Analyst",Australia,No,Yes,,Yes,No,
MST,University of Newcastle,Newcastle, Architecture,Health & Medicine,,,AUD,Years,2,Years,Yes,No,,IELTS,,,6.5,,https://www.newcastle.edu.au/degrees/master-architecture,English,A,Quietly change the world.,"private and commercial practice, research, construction, project management, property development, town planning, infrastructure planning, overseas aid",Australia,No,Yes,Yes,Yes,No,
MST,University of Newcastle,Sydney, Professional Accounting,Health & Medicine,,,AUD,Years,1,Year,Yes,No,,IELTS,,,6.5,,https://www.newcastle.edu.au/degrees/master-professional-accounting,English,A,"A career in accounting provides challenging, rewarding and versatile opportunities in the current business environment. Increasingly, businesses are looking for people with superior analytical skills that accounting can provide.","Forensic Accountant, Internal Auditor, Ratings Analyst, Chief Financial Officer, Financial Advisor",Australia,No,Yes,Yes,Yes,No,
MST,University of Newcastle,Sydney, Professional Accounting (Advanced),Health & Medicine,,,AUD,Years,2,Years,Yes,No,,IELTS,,,6.5,,https://www.newcastle.edu.au/degrees/master-professional-accounting-advanced,English,A,"A career in accounting provides challenging, rewarding and versatile opportunities in the current business environment. Increasingly, businesses are looking for people with superior analytical skills which accounting can provide.","Forensic Accountant, Internal Auditor, Ratings Analyst, Chief Financial Officer, Financial Advisor",Australia,No,Yes,Yes,Yes,No,
MST,University of Newcastle,Sydney, Business Administration (EMBA),Health & Medicine,,"32,400",AUD,Years,2,Years,Yes,No,,IELTS,,,6.5,,https://www.newcastle.edu.au/degrees/executive-master-business-administration-emba,English,A,"The Executive MBA is a practice-oriented graduate business degree, designed for experienced employees wishing to learn alongside like-minded people to advance leadership, business and management skills. You will typically be a team leader or a mid to high-level manager seeking to broaden your knowledge base and skill sets and take your career to the next level.",,Australia,No,Yes,Yes,Yes,No,
MST,University of Newcastle,Newcastle, Business Administration,Health & Medicine,,"32,400",AUD,Years,6,Years,Yes,No,,IELTS,,,6.5,,https://www.newcastle.edu.au/degrees/graduate-certificate-business-administration,English,A,"The Graduate Certificate in Business Administration is the first step for professionals aiming to expand their career opportunities. You will improve your foundational skills in managerial decision making, understand effective organisational structures, study human behaviour and learn how to expertly manage people.","Account Executive, Business Consultant, Company Executive, Entrepreneur, Financial Advisor, Marketing Manager",Australia,No,Yes,Yes,Yes,No,
MST,University of Newcastle,Sydney, Business Administration,Health & Medicine,,"32,400",AUD,Years,6,Years,Yes,No,,IELTS,,,6.5,,https://www.newcastle.edu.au/degrees/graduate-certificate-business-administration,English,A,"The Graduate Certificate in Business Administration is the first step for professionals aiming to expand their career opportunities. You will improve your foundational skills in managerial decision making, understand effective organisational structures, study human behaviour and learn how to expertly manage people.","Account Executive, Business Consultant, Company Executive, Entrepreneur, Financial Advisor, Marketing Manager",Australia,No,Yes,Yes,Yes,No,
MST,University of Newcastle,Newcastle, Business Administration (MBA),Health & Medicine,,"32,400",AUD,Years,1,Year,Yes,No,,IELTS,,,6.5,,https://www.newcastle.edu.au/degrees/master-business-administration-mba,English,A,"Outstanding business leadership meets you when you graduate with the Master of Business Administration (MBA) from the University of Newcastle. With brand new on-campus facilities, or an all-inclusive online program guided by business leaders and academics, the MBA is designed to challenge you and build your capacity for business excellence.","Account Executive, Business Consultant, Business Development Manager, Entrepreneur, Financial Advisor, Industry Specialist Manager, Marketing Manager, Operations Manager",Australia,No,Yes,Yes,Yes,No,
