Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BAH,University of Newcastle,Newcastle, Aboriginal Studies (Honours),Science,,"27,065 ",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,N/A,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-aboriginal-studies-honours,English,A,"Students who have successfully completed the Bachelor of Aboriginal Studies, the Bachelor of Aboriginal Professional Practice, the Bachelor of Global Indigenous Studies, the Bachelor of Arts, or the Bachelor of Social Science with a major sequence in Aboriginal Studies or Global Indigenous Studies may undertake a further year of full-time study or equivalent part-time study to obtain an Honours degree.  International students from health, education and social science backgrounds with relevant degrees are also encouraged to apply. The Honours degree allows students to further develop their specific areas of interest. The program is specifically Aboriginal in orientation and prepares students for roles such as service provision in Aboriginal and Torres Strait Islander organisations.", ,Australia,No,Yes,,Yes,No,
BA,University of Newcastle,Newcastle, Arts,Education & Arts,,"27,065 ",AUD,Years,3.0,Years,Yes,No,ATAR,IELTS,,62.00,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-arts,English,A,"Enrich your mind, diversify your skills and safeguard your future with our new work-ready arts degree at the University of Newcastle.","Archaeological Excavator, Architectural Historian, Archivist, Cultural Heritage Officer, Cultural Interpreter, Cultural Resource Manager, Editor, Editorial Assistant, Exhibitions Officer, Foreign Affairs and Trade Officer, Historian, History Teacher, Linguistic Analyst, Museum/Art Gallery Curator, Publications Officer/Editor, Speechwriter, Translator, University Lecturer/Academic",Australia,Yes,Yes,,Yes,No,
BA,University of Newcastle,Central Coast, Arts,Education & Arts,,"27,065 ",AUD,Years,3.0,Years,Yes,No,ATAR,IELTS,,62.00,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-arts,English,A,"Enrich your mind, diversify your skills and safeguard your future with our new work-ready arts degree at the University of Newcastle.","Archaeological Excavator, Architectural Historian, Archivist, Cultural Heritage Officer, Cultural Interpreter, Cultural Resource Manager, Editor, Editorial Assistant, Exhibitions Officer, Foreign Affairs and Trade Officer, Historian, History Teacher, Linguistic Analyst, Museum/Art Gallery Curator, Publications Officer/Editor, Speechwriter, Translator, University Lecturer/Academic",Australia,Yes,Yes,,Yes,No,
BAH,University of Newcastle,Newcastle, Arts (Honours),Education & Arts,,"28,065 ",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,N/A,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-arts-honours,English,A,"Students who perform well during their Bachelor of Arts, with a GPA of 5.0 or greater, may apply to undertake a further year of full-time (or equivalent part-time) study to obtain an Bachelor of Arts (Honours) degree.", ,Australia,No,Yes,,Yes,No,
BAH,University of Newcastle,Central Coast, Arts (Honours),Education & Arts,,"28,065 ",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,N/A,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-arts-honours,English,A,"Students who perform well during their Bachelor of Arts, with a GPA of 5.0 or greater, may apply to undertake a further year of full-time (or equivalent part-time) study to obtain an Bachelor of Arts (Honours) degree.", ,Australia,No,Yes,,Yes,No,
BA,University of Newcastle,Newcastle, Biomedical Science,Science,,"28,960 ",AUD,Years,3.0,Years,Yes,No,ATAR,IELTS,,75.00,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-biomedical-science,English,A,Advance the progress of medical science. And your career potential.,,Australia,No,Yes,,Yes,No,
BAH,University of Newcastle,Newcastle, Biomedical Science (Honours),Science,,"38,905 ",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,N/A,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-biomedical-science-honours,English,A,Students who achieve a superior level of performance in the Bachelor of Biomedical Science at this university or any other degree approved by the Faculty Board will be able to undertake the Honours program which is of one year's duration when undertaken full-time. The Honours degree program allows students to further develop their skills in Biomedical Science by undertaking a specific research project under the supervision of appropriate staff.Research Information - http://www.newcastle.edu.au/about-uon/governance-and-leadership/faculties-and-schools/faculty-of-health-and-medicine/school-of-biomedical-sciences-and-pharmacy/research, ,Australia,No,Yes,,Yes,No,
BA,University of Newcastle,Newcastle, Biotechnology,Science,,"38,905 ",AUD,Years,3.0,Years,Yes,No,ATAR,IELTS,,62.00,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-biotechnology,English,A,"Biotechnology is predicted to be the key for the future, acting as the basis for solving global issues. Your study will see you learn about human and animal diseases, climate change, fuel alternatives and food security. Biotechnology uses living organisms to modify products for a specific human purpose, such as genetically modified crops or creation of a vaccine.","Biochemist, Biological Sciences Technician, Biologist, Biotechnologist, Clinical Research Coordinator, Embryologist, Flavourist, Food Scientist, Food Technologist, Forensic Biologist, Geneticist, Laboratory Analyst, Laboratory Manager, Microbiologist, National Park Ranger, Neurophysiological Technician, Park Ranger, Pathology Assistant, Pharmaceutical Scientist, Pharmaceutical/Clinical Specialist Sales Representative, Pharmaceutical/Medicinal Chemist, Quality Assurance Technician, Reproductive Medicine/IVF Specialist, Research Manager, Research Officer, Research Scientist, Science Editor, Science Information/Education Officer, Scientific Patent Examiner/Technical Advisor, Scientific Policy Officer, Scientific Writer, Technical Sales Representative, Tissue Culture Technician, University Lecturer/Academic",Australia,No,Yes,,Yes,No,
BAH,University of Newcastle,Newcastle, Biotechnology (Honours),Science,,"38,905 ",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,N/A,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-biotechnology-honours,English,A,The Bachelor of Biotechnology (Honours) is a one year full-time (or equivalent part-time) program that allows students to further develop their specific areas of interest. This degree prepares students for careers in biotechnology as well as providing a pathway into Research Higher Degree studies., ,Australia,No,Yes,,Yes,No,
BAH,University of Newcastle,Newcastle, Business (Honours),Business & Law,,"30,090 ",AUD,Years,1.0,Year,Yes,No,ATAR,IELTS,,N/A,6.0,,https://www.newcastle.edu.au/degrees/bachelor-of-business-honours,English,A,"Honours programs in Management, Marketing, Human Resource Management, International Business, and Tourism are available. Potential Honours students should consult with the Newcastle Business School towards the end of the semester prior to that in which they intend to enrol.", ,Australia,No,Yes,,Yes,No,
