Face_to_Face,Description,Website,Country,Blended,Faculty,Currency,Availability,Prerequisite_2,Local_Fees,Level_Code,City,Prerequisite_3,Full_Time,Duration,Course_Lang,Part_Time,Career_Outcomes/path,Int_Fees,Prerequisite_2_grade_2,Offline,University,Prerequisite_3_grade_3,Prerequisite_1,Remarks,Distance,Duration_Time,Online,Course,Currency_Time,Prerequisite_1_grade_1
Yes,"Students who have successfully completed the Bachelor of Aboriginal Studies, the Bachelor of Aboriginal Professional Practice, the Bachelor of Global Indigenous Studies, the Bachelor of Arts, or the Bachelor of Social Science with a major sequence in Aboriginal Studies or Global Indigenous Studies may undertake a further year of full-time study or equivalent part-time study to obtain an Honours degree.  International students from health, education and social science backgrounds with relevant degrees are also encouraged to apply. The Honours degree allows students to further develop their specific areas of interest. The program is specifically Aboriginal in orientation and prepares students for roles such as service provision in Aboriginal and Torres Strait Islander organisations.",https://www.newcastle.edu.au/degrees/bachelor-of-aboriginal-studies-honours,Australia,No,Science,AUD,A,IELTS,,BAH,Newcastle,,Yes,1.0,English,No, ,"27,065 ",6.0,Yes,University of Newcastle,,ATAR,,,Year,No, Aboriginal Studies (Honours),Years,N/A
Yes,"Enrich your mind, diversify your skills and safeguard your future with our new work-ready arts degree at the University of Newcastle.",https://www.newcastle.edu.au/degrees/bachelor-of-arts,Australia,No,Education & Arts,AUD,A,IELTS,,BA,Newcastle,,Yes,3.0,English,No,"Archaeological Excavator, Architectural Historian, Archivist, Cultural Heritage Officer, Cultural Interpreter, Cultural Resource Manager, Editor, Editorial Assistant, Exhibitions Officer, Foreign Affairs and Trade Officer, Historian, History Teacher, Linguistic Analyst, Museum/Art Gallery Curator, Publications Officer/Editor, Speechwriter, Translator, University Lecturer/Academic","27,065 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,Yes, Arts,Years,62.00
Yes,"Enrich your mind, diversify your skills and safeguard your future with our new work-ready arts degree at the University of Newcastle.",https://www.newcastle.edu.au/degrees/bachelor-of-arts,Australia,No,Education & Arts,AUD,A,IELTS,,BA,Central Coast,,Yes,3.0,English,No,"Archaeological Excavator, Architectural Historian, Archivist, Cultural Heritage Officer, Cultural Interpreter, Cultural Resource Manager, Editor, Editorial Assistant, Exhibitions Officer, Foreign Affairs and Trade Officer, Historian, History Teacher, Linguistic Analyst, Museum/Art Gallery Curator, Publications Officer/Editor, Speechwriter, Translator, University Lecturer/Academic","27,065 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,Yes, Arts,Years,62.00
Yes,"Students who perform well during their Bachelor of Arts, with a GPA of 5.0 or greater, may apply to undertake a further year of full-time (or equivalent part-time) study to obtain an Bachelor of Arts (Honours) degree.",https://www.newcastle.edu.au/degrees/bachelor-of-arts-honours,Australia,No,Education & Arts,AUD,A,IELTS,,BAH,Newcastle,,Yes,1.0,English,No, ,"28,065 ",6.0,Yes,University of Newcastle,,ATAR,,,Year,No, Arts (Honours),Years,N/A
Yes,"Students who perform well during their Bachelor of Arts, with a GPA of 5.0 or greater, may apply to undertake a further year of full-time (or equivalent part-time) study to obtain an Bachelor of Arts (Honours) degree.",https://www.newcastle.edu.au/degrees/bachelor-of-arts-honours,Australia,No,Education & Arts,AUD,A,IELTS,,BAH,Central Coast,,Yes,1.0,English,No, ,"28,065 ",6.0,Yes,University of Newcastle,,ATAR,,,Year,No, Arts (Honours),Years,N/A
Yes,Advance the progress of medical science. And your career potential.,https://www.newcastle.edu.au/degrees/bachelor-of-biomedical-science,Australia,No,Science,AUD,A,IELTS,,BA,Newcastle,,Yes,3.0,English,No,,"28,960 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Biomedical Science,Years,75.00
Yes,Students who achieve a superior level of performance in the Bachelor of Biomedical Science at this university or any other degree approved by the Faculty Board will be able to undertake the Honours program which is of one year's duration when undertaken full-time. The Honours degree program allows students to further develop their skills in Biomedical Science by undertaking a specific research project under the supervision of appropriate staff.Research Information - http://www.newcastle.edu.au/about-uon/governance-and-leadership/faculties-and-schools/faculty-of-health-and-medicine/school-of-biomedical-sciences-and-pharmacy/research,https://www.newcastle.edu.au/degrees/bachelor-of-biomedical-science-honours,Australia,No,Science,AUD,A,IELTS,,BAH,Newcastle,,Yes,1.0,English,No, ,"38,905 ",6.0,Yes,University of Newcastle,,ATAR,,,Year,No, Biomedical Science (Honours),Years,N/A
Yes,"Biotechnology is predicted to be the key for the future, acting as the basis for solving global issues. Your study will see you learn about human and animal diseases, climate change, fuel alternatives and food security. Biotechnology uses living organisms to modify products for a specific human purpose, such as genetically modified crops or creation of a vaccine.",https://www.newcastle.edu.au/degrees/bachelor-of-biotechnology,Australia,No,Science,AUD,A,IELTS,,BA,Newcastle,,Yes,3.0,English,No,"Biochemist, Biological Sciences Technician, Biologist, Biotechnologist, Clinical Research Coordinator, Embryologist, Flavourist, Food Scientist, Food Technologist, Forensic Biologist, Geneticist, Laboratory Analyst, Laboratory Manager, Microbiologist, National Park Ranger, Neurophysiological Technician, Park Ranger, Pathology Assistant, Pharmaceutical Scientist, Pharmaceutical/Clinical Specialist Sales Representative, Pharmaceutical/Medicinal Chemist, Quality Assurance Technician, Reproductive Medicine/IVF Specialist, Research Manager, Research Officer, Research Scientist, Science Editor, Science Information/Education Officer, Scientific Patent Examiner/Technical Advisor, Scientific Policy Officer, Scientific Writer, Technical Sales Representative, Tissue Culture Technician, University Lecturer/Academic","38,905 ",6.0,Yes,University of Newcastle,,ATAR,,,Years,No, Biotechnology,Years,62.00
Yes,The Bachelor of Biotechnology (Honours) is a one year full-time (or equivalent part-time) program that allows students to further develop their specific areas of interest. This degree prepares students for careers in biotechnology as well as providing a pathway into Research Higher Degree studies.,https://www.newcastle.edu.au/degrees/bachelor-of-biotechnology-honours,Australia,No,Science,AUD,A,IELTS,,BAH,Newcastle,,Yes,1.0,English,No, ,"38,905 ",6.0,Yes,University of Newcastle,,ATAR,,,Year,No, Biotechnology (Honours),Years,N/A
Yes,"Honours programs in Management, Marketing, Human Resource Management, International Business, and Tourism are available. Potential Honours students should consult with the Newcastle Business School towards the end of the semester prior to that in which they intend to enrol.",https://www.newcastle.edu.au/degrees/bachelor-of-business-honours,Australia,No,Business & Law,AUD,A,IELTS,,BAH,Newcastle,,Yes,1.0,English,No, ,"30,090 ",6.0,Yes,University of Newcastle,,ATAR,,,Year,No, Business (Honours),Years,N/A
