Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
MST,University of New England,Armidale,Graduate Certificate in Accounting,"Science and Agriculture, Business and Law",,,AUD,Years,2.0,Years,No,Yes,,,,,,,https://my.une.edu.au/courses/2020/courses/GCACC,English,A,"The Graduate Certificate in Accounting is a course that will service the needs of students requiring four or fewer units for accreditation with the professional accounting bodies. It can serve as an entry and exit point for the Master of Professional Accounting. The course comprises four units (that is 24 credit points) and is usually used to supplement existing studies in accounting to satisfy the entry requirements of the professional accounting organisations. Subjects are drawn from the Master of Professional Accounting and may cover introductory as well as advanced units in accounting, finance, systems, law, auditing, economics and business statistics. ",,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Agribusiness,"Science and Agriculture, Business and Law",,,AUD,Years,1.0,Year,No,Yes,,,,,,,https://my.une.edu.au/courses/2020/courses/GCAGB,English,A,Demand for agribusiness professionals continues to grow. This course provides students with the opportunity to enhance or develop their competencies in key multi-disciplinary agribusiness content areas. It is designed for both candidates with an agribusiness background wishing to enhance their skills and candidates seeking to gain employment in the agribusiness sector.,,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Agriculture,"Science and Agriculture, Business and Law",,,AUD,Years,4.0,Years,No,Yes,,,,,,,https://my.une.edu.au/courses/2020/courses/GCAGR,English,A,The Graduate Certificate in Agriculture is the first award level of a fully articulated program which gives qualified applicants the opportunity for study at a higher level in agriculture related disciplines - Master of Science in Agriculture.,,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Applied Economics,"Science and Agriculture, Business and Law",,,AUD,Years,4.0,Years,No,No,,,,,,,https://my.une.edu.au/courses/2020/courses/GCAPEC,English,A,"This is an Exit Award only for candidates who have completed 24 credit points towards either the Graduate Diploma in Economics, Master of Economics or the Master of Economic and Regional Development.",,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Applied Linguistics,"Humanities, Arts, Social Sciences and Education",,,AUD,Years,6.0,Years,No,Yes,,,,,,,https://my.une.edu.au/courses/2020/courses/GCAPL,English,A,This course is an Exit Award only for students who have completed 24 credit points in the Master of Applied Linguistics.,,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Arts,"Humanities, Arts, Social Sciences and Education",,,AUD,Years,4.0,Years,No,Yes,,,,,,,https://my.une.edu.au/courses/2020/courses/GCA,English,A,The Graduate Certificate in Arts is designed to enable graduates who wish to expand on their undergraduate program or who wish to change the direction of their focus and pursue studies in an area of personal interest.,,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Business,"Science and Agriculture, Business and Law",,,AUD,Years,1.0,Year,No,Yes,,,,,,,https://my.une.edu.au/courses/2020/courses/GCBUS,English,A,"This course provides students with the opportunity to enhance or develop their competencies in key multidisciplinary business content areas including accounting, economics, finance, human resource management, management and marketing. It is designed for students who want to enhance their business skills and employment opportunities and can be tailored to suit individual work and career goals.",,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Data and Cyber Management,"Science and Agriculture, Business and Law",,,AUD,Years,2.0,Years,No,Yes,,,,,,,https://my.une.edu.au/courses/2020/courses/GCDCM,English,A,"The Graduate Certificate in Data and Cyber Management is targeted at leaders who are looking to equip themselves with the knowledge and skills needed to address the importance of effective cyber management in any organisation. The Graduate Certificate gives leaders an opportunity to explore contemporary and global data security strategies, become familiar with the legal and political spectrum of data security and provide the tools to affect a positive organisation-wide data security culture.",,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Data Science,"Science and Agriculture, Business and Law",,,AUD,Years,6.0,Years,No,Yes,,,,,,,https://my.une.edu.au/courses/2020/courses/GCDSC,English,A,"Data is a vital asset valued by virtually every organisation in the world. It provides the basis for sensible, evidence-based decision making, and the ability to manage and make sense of data is a key skill in the modern workplace. In the last decade, streams of data of various types have grown in volume and velocity such that they require specialist skills in order to get the most value from them. Data scientists are responsible for building intelligent systems, mastering intuitive processes and bringing structure to the vast quantities of data to unlock the potential for improvement and competitive advantage.",,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Disability Practice,"Science and Agriculture, Business and Law",,,AUD,Years,2.0,Years,No,Yes,,,,,,,https://my.une.edu.au/courses/2020/courses/GCDIS,English,A,This course was previously known as Graduate Certificate in Disability.,,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Education Studies,"Humanities, Arts, Social Sciences and Education",,,AUD,Years,6.0,Years,No,Yes,,,,,,,https://my.une.edu.au/courses/2020/courses/GCES,English,A,"This course is designed for professionals to study in depth a range of areas related to education. Participants may choose from a range of units from different areas or specialise in the area of Teaching English to Speakers of Other Languages (TESOL) (also known as Teaching English as an Additional Language or Dialect (EAL/D)). Some units are related to the school curriculum. However, these units are not intended for the purposes of teacher preparation in any particular method. The course articulates with the Master of Education and so provides a pathway for candidates wishing to pursue further study. ",,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in eLearning,"Humanities, Arts, Social Sciences and Education",,,AUD,Years,2.0,Years,No,Yes,,,,,,,https://my.une.edu.au/courses/2020/courses/GCEL,English,A,"Why study the Graduate Certificate in eLearning at UNE? The course has been designed to meet the needs of all involved in the area of web-based teaching and learning. This includes: teachers, education officers, training and development personnel across all professions. The course content and experiences are developed within the context of each individual's specific needs and circumstances. This course is delivered fully online and involves a range of individual and collaborative learning activities. Assessment includes opportunities to tailor requirements to individual needs. Career Opportunities School-based teachers; Professional educators; Staff trainers, consultants and professional developers; Materials developers; Career advisers; VET sector educators and educators in the professions. Note: Full time study is only available to candidates who commence in Trimester 1.",,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Environmental Science,Medicine and Health,,,AUD,Years,6.0,Years,No,Yes,,,,,,,https://my.une.edu.au/courses/2020/courses/GCENSC,English,A,The Graduate Certificate in Environmental Science is the first award level of an articulated program which gives qualified applicants the opportunity for study at progressive postgraduate levels in Environmental Science.,,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Financial Planning,"Science and Agriculture, Business and Law",,,AUD,Years,2.0,Years,No,Yes,,,,,,,https://my.une.edu.au/courses/2020/courses/GCFP,English,A,This course is not offered in 2021.,,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Health Management,Medicine and Health,,,AUD,Years,2.0,Years,No,Yes,,,,,,,https://my.une.edu.au/courses/2020/courses/GCHM,English,A,"This course aims to meet the needs of health professionals who are required to document evidence of continuing education in order to maintain active membership in their professional associations, the Australasian College of Health Service Management. It is designed to serve as a flexible, self-directed entry into other advanced academic courses such as a the Master of Health Management.",,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Health Professional Education,Medicine and Health,,,AUD,Years,1.0,Year,No,Yes,,,, ,,,https://my.une.edu.au/courses/2020/courses/GCHPE,English,A,This course is not offered in 2021.,,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Human Resource Management,"Science and Agriculture, Business and Law",,,AUD,Years,2.0,Years,No,Yes,,,, ,,,https://my.une.edu.au/courses/2020/courses/GCHRM,English,A,"The Graduate Certificate provides graduates with fundamental knowledge about human resource management (HRM). It has been designed to meet the needs of those people wanting to become successful human resource professionals, as well as those who are responsible for managing people and who are concerned with designing, implementing and maintaining innovative HRM practices within their workplaces. The units making up the Graduate Certificate provide students with the opportunity to apply current theory relevant to HRM to their workplace through work-based assessment activities. The Graduate Certificate articulates with the Master of Business Administration and the Master of Strategic Organisational Development and Human Resource Management.",,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Information Technology,"Science and Agriculture, Business and Law",,,AUD,Years,6.0,Years,No,Yes,,,, ,,,https://my.une.edu.au/courses/2020/courses/GCIT,English,A,"Information and computing technology affects all aspects of modern life and there is a worldwide shortage of ICT professionals. Its applications now include, not only commerce and science, but also health, education, engineering, transport, government, entertainment, sport, and social networking. It has become so complex that only well-educated professionals are capable of developing and applying ICT systems in modern organisations.",,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Law,"Science and Agriculture, Business and Law",,,AUD,Years,6.0,Years,No,No,,,, ,,,https://my.une.edu.au/courses/2020/courses/GCL,English,A,This course is an Exit Award only for students who have completed 24 credit points at 500 level from units in the Master of Laws.,,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Management,"Science and Agriculture, Business and Law",,,AUD,Years,2.0,Years,No,Yes,,,, ,,,https://my.une.edu.au/courses/2020/courses/GCMGT,English,A,"This course provides students with the key skills to be an effective manager in any organisational context. The course comprises four units, one of which is prescribed, and others that are drawn from a range of areas, including accounting, business analytics, economics, finance, human resource management, management or marketing enabling you to tailor the degree to suit your work and career goals. This degree serves as an exit point for the Master of Business Administration and the Master of Strategic Organisational Development and Human Resource Management.",,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Mental Health Practice,Medicine and Health,,,AUD,Years,6.0,Years,No,Yes,,,, ,,,https://my.une.edu.au/courses/2020/courses/GCMHP,English,A,The Graduate Certificate in Mental Health Practice is an interdisciplinary award designed to equip health professionals to support people with mental health issues and their carers. It is based on the Mental Health competencies in the National Standards for the Mental Health Workforce as part of the National Mental Health Strategy. Students will be introduced to the mental health care system in Australia and the assessment skills and intervention strategies required to work effectively in the mental health field.,,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in NDIS Business Development,"Science and Agriculture, Business and Law",,,AUD,Years,2.0,Years,No,Yes,,,, ,,,https://my.une.edu.au/courses/2020/courses/GCNDIS,English,A,The Graduate Certificate in NDIS Business Development offers students a program of study to enhance their understanding and appreciation of the issues affecting the disability sector. As such it offers study of both legal and business frameworks that might impact upon organisational operations that may affect the optimum delivery of client focussed services. At the end of the program of study students will have a sound grasp of the legislative frameworks underpinning the National Disability Insurance Scheme.,,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Planning and Management of Natural Hazards,"Humanities, Arts, Social Sciences and Education",,,AUD,Years,2.0,Years,No,Yes,,,, ,,,https://my.une.edu.au/courses/2020/courses/GCPMNH,English,A,The Graduate Certificate in Planning and Management of Natural Hazards takes a multidisciplinary approach to looking at natural hazards and how society can build resilience in the face of natural hazards. The course will build from a broad knowledge of natural hazard situations towards questions of policy development in the field of hazard mitigation. The course will cover the following topic areas:,Environmental planning; Urban and regional planning; Natural resource management; and Emergency management,Australia,Yes,Yes,Yes,Yes,No,
MST,University of New England,Armidale,Graduate Certificate in Professional Practice,"Humanities, Arts, Social Sciences and Education",,,AUD,Years,6.0,Years,No,Yes,,,, ,,,https://my.une.edu.au/courses/2020/courses/GCPRP,English,A,"The Graduate Certificate in Professional Practice is a Bespoke course which gives you the freedom to choose from more than 500 units across the full breadth of university subject areas, and assemble them into your own unique course.","Study online in any of our three study periods (trimesters) with 24/7 tutor support. Finish in one trimester, or take three.",Australia,Yes,Yes,Yes,Yes,No,
