Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
ADIP,University of New England,Armidale,Advanced Diploma in Arts,"Humanities, Arts, Social Sciences and Education",,,AUD,Years,1.0,Year,No,Yes,ATAR,,,0,,,https://my.une.edu.au/courses/2020/courses/ADDA,English,A,"The Advanced Diploma in Arts is designed for those who wish to gain an undergraduate qualification that is shorter in length than a Bachelor's degree. Graduates of the Advanced Diploma in Arts are eligible to proceed to the Bachelor of Arts. The Advanced Diploma in Arts provides students with skills and knowledge in a range of disciplinary areas in the humanities, arts and social sciences. The Advanced Diploma in Arts examines historic, environmental, social, behavioural and cultural features of humanity, allowing students to analyse, reflect upon and anticipate patterns of human conduct. It equips graduates with creative, critical and analytical skills to assist with future employment or to pursue further study.",,Australia,Yes,Yes,Yes,Yes,No,
ADIP,University of New England,Armidale,Advanced Diploma in Legal Studies,"Science and Agriculture, Business and Law",,,AUD,Years,1.0,Year,No,No,ATAR,,,0,,,https://my.une.edu.au/courses/2020/courses/ADLS,English,A,This course is an Exit Award only for students who have completed 72 credit points from specified units in undergraduate Law courses.,,Australia,Yes,Yes,Yes,Yes,No,
ADIP,University of New England,Armidale,"Advanced Diploma in Local, Family and Applied History","Humanities, Arts, Social Sciences and Education",,,AUD,Years,1.0,Year,No,Yes,ATAR,,,0,,,https://my.une.edu.au/courses/2020/courses/ADLFAH,English,A,"This course provides an opportunity for people interested in local, family and applied history to pursue formal studies in their areas of interest and to acquire qualifications as historians. The focus is on learning and practising the specific skills and knowledge required to investigate, interpret and present histories that meet professional standards, utilise different sources and media, and engage a variety of different audiences.",,Australia,Yes,Yes,Yes,Yes,No,
ADIP,University of New England,Armidale,Advanced Diploma in Paralegal Studies,"Science and Agriculture, Business and Law",,,AUD,Years,1.0,Year,No,Yes,ATAR,,,0,,,https://my.une.edu.au/courses/2020/courses/ADPS,English,A,"The Advanced Diploma in Paralegal Studies course provides students with the opportunity to complete a course dedicated to preparatory skills and studies in law, regardless of their educational background.",,Australia,Yes,Yes,Yes,Yes,No,
ADIP,University of New England,Armidale,Advanced Diploma in Science,"Science and Agriculture, Business and Law",,,AUD,Years,1.0,Year,No,No,ATAR,,,0,,,https://my.une.edu.au/courses/2020/courses/ADSC,English,A,This course is an Exit Award only. It is for candidates who have completed 72 credit points towards an approved Bachelor degree.,,Australia,Yes,Yes,Yes,Yes,No,
ADIP,University of New England,Armidale,Advanced Diploma in Science,"Science and Agriculture, Business and Law",,,AUD,Years,1.0,Year,No,No,ATAR,,,0,,,https://my.une.edu.au/courses/2020/courses/ADAGPM,English,N,This course will no longer be offered from 2021. ,,Australia,Yes,Yes,Yes,Yes,No,
ADEG,University of New England,Armidale,Associate Degree in Teaching (Pacific Focus),"Humanities, Arts, Social Sciences and Education",,,AUD,Years,2.0,Years,No,Yes,ATAR,,,0,,,https://my.une.edu.au/courses/2020/courses/ADTPF,English,A,"The Associate Degree in Teaching (Pacific Focus) is a unique teacher education course developed specifically for educators in Pacific Island contexts. The course offers three career pathways for graduates and is a gateway to completing further studies toward a Bachelor of Education (Pacific Focus). This initial-teacher education qualification encompasses working with children in Early Childhood Education, Primary Education, and Secondary Education.",,Australia,Yes,Yes,Yes,Yes,No,
BA,University of New England,Armidale,Bachelor of Accounting,"Science and Agriculture, Business and Law",,,AUD,Years,3.0,Years,No,Yes,ATAR,,,72.55,,,https://my.une.edu.au/courses/2020/courses/BACC,English,A,Accounting is at the centre of business and finance - from tracking the flow of money to analysing financial activities. The skills you develop through the Bachelor of Accounting are fundamental to making strategic business decisions and helping people stay in control of their money. ,The Bachelor of Accounting gives you the flexibility to take your accounting qualification in the specific direction you choose.,Australia,Yes,Yes,Yes,Yes,No,
BA,University of New England,Armidale,Bachelor of Agribusiness,"Science and Agriculture, Business and Law",,,AUD,Years,3.0,Years,No,Yes,ATAR,,,72.55,,,https://my.une.edu.au/courses/2020/courses/BAGB,English,A,"Demand for agribusiness professionals continues to grow. The Bachelor of Agribusiness at UNE provides you with the business skills and knowledge that prepares you for employment in the food and agribusiness industries from the farm level through to multinational companies. You will develop a high level of problem solving and communication skills to be able to address real issues facing agriculture and business within a changing global environment - issues such as food safety and security, climate change, sustainability and increasing globalisation and integration of agricultural and food networks. ",,Australia,Yes,Yes,Yes,Yes,No,
BA,University of New England,Armidale,Bachelor of Agricultural and Resource Economics,"Science and Agriculture, Business and Law",,,AUD,Years,4.0,Years,No,Yes,ATAR,,,72.55,,,https://my.une.edu.au/courses/2020/courses/BAGREC,English,A,Demand for agricultural business professionals continues to grow. The Bachelor of Agricultural and Resource Economics at UNE is the longest running agricultural and resource economics degree in Australia. ,,Australia,Yes,Yes,Yes,Yes,No,
