Faculty,Prerequisite_1_grade_1,Prerequisite_3,Prerequisite_2_grade_2,Currency_Time,City,Int_Fees,Career_Outcomes/path,Prerequisite_3_grade_3,Offline,Full_Time,Online,Local_Fees,Course_Lang,Website,Face_to_Face,University,Availability,Part_Time,Country,Blended,Course,Distance,Prerequisite_1,Duration_Time,Duration,Level_Code,Currency,Remarks,Description,Prerequisite_2
"Humanities, Arts, Social Sciences and Education",0,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/ADDA,Yes,University of New England,A,Yes,Australia,No,Advanced Diploma in Arts,Yes,ATAR,Year,1.0,ADIP,AUD,,"The Advanced Diploma in Arts is designed for those who wish to gain an undergraduate qualification that is shorter in length than a Bachelor's degree. Graduates of the Advanced Diploma in Arts are eligible to proceed to the Bachelor of Arts. The Advanced Diploma in Arts provides students with skills and knowledge in a range of disciplinary areas in the humanities, arts and social sciences. The Advanced Diploma in Arts examines historic, environmental, social, behavioural and cultural features of humanity, allowing students to analyse, reflect upon and anticipate patterns of human conduct. It equips graduates with creative, critical and analytical skills to assist with future employment or to pursue further study.",
"Science and Agriculture, Business and Law",0,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/ADLS,Yes,University of New England,A,No,Australia,No,Advanced Diploma in Legal Studies,Yes,ATAR,Year,1.0,ADIP,AUD,,This course is an Exit Award only for students who have completed 72 credit points from specified units in undergraduate Law courses.,
"Humanities, Arts, Social Sciences and Education",0,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/ADLFAH,Yes,University of New England,A,Yes,Australia,No,"Advanced Diploma in Local, Family and Applied History",Yes,ATAR,Year,1.0,ADIP,AUD,,"This course provides an opportunity for people interested in local, family and applied history to pursue formal studies in their areas of interest and to acquire qualifications as historians. The focus is on learning and practising the specific skills and knowledge required to investigate, interpret and present histories that meet professional standards, utilise different sources and media, and engage a variety of different audiences.",
"Science and Agriculture, Business and Law",0,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/ADPS,Yes,University of New England,A,Yes,Australia,No,Advanced Diploma in Paralegal Studies,Yes,ATAR,Year,1.0,ADIP,AUD,,"The Advanced Diploma in Paralegal Studies course provides students with the opportunity to complete a course dedicated to preparatory skills and studies in law, regardless of their educational background.",
"Science and Agriculture, Business and Law",0,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/ADSC,Yes,University of New England,A,No,Australia,No,Advanced Diploma in Science,Yes,ATAR,Year,1.0,ADIP,AUD,,This course is an Exit Award only. It is for candidates who have completed 72 credit points towards an approved Bachelor degree.,
"Science and Agriculture, Business and Law",0,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/ADAGPM,Yes,University of New England,N,No,Australia,No,Advanced Diploma in Science,Yes,ATAR,Year,1.0,ADIP,AUD,,This course will no longer be offered from 2021. ,
"Humanities, Arts, Social Sciences and Education",0,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/ADTPF,Yes,University of New England,A,Yes,Australia,No,Associate Degree in Teaching (Pacific Focus),Yes,ATAR,Years,2.0,ADEG,AUD,,"The Associate Degree in Teaching (Pacific Focus) is a unique teacher education course developed specifically for educators in Pacific Island contexts. The course offers three career pathways for graduates and is a gateway to completing further studies toward a Bachelor of Education (Pacific Focus). This initial-teacher education qualification encompasses working with children in Early Childhood Education, Primary Education, and Secondary Education.",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,The Bachelor of Accounting gives you the flexibility to take your accounting qualification in the specific direction you choose.,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BACC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Accounting,Yes,ATAR,Years,3.0,BA,AUD,,Accounting is at the centre of business and finance - from tracking the flow of money to analysing financial activities. The skills you develop through the Bachelor of Accounting are fundamental to making strategic business decisions and helping people stay in control of their money. ,
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BAGB,Yes,University of New England,A,Yes,Australia,No,Bachelor of Agribusiness,Yes,ATAR,Years,3.0,BA,AUD,,"Demand for agribusiness professionals continues to grow. The Bachelor of Agribusiness at UNE provides you with the business skills and knowledge that prepares you for employment in the food and agribusiness industries from the farm level through to multinational companies. You will develop a high level of problem solving and communication skills to be able to address real issues facing agriculture and business within a changing global environment - issues such as food safety and security, climate change, sustainability and increasing globalisation and integration of agricultural and food networks. ",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BAGREC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Agricultural and Resource Economics,Yes,ATAR,Years,4.0,BA,AUD,,Demand for agricultural business professionals continues to grow. The Bachelor of Agricultural and Resource Economics at UNE is the longest running agricultural and resource economics degree in Australia. ,
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BAGPM,Yes,University of New England,N,Yes,Australia,No,Bachelor of Agricultural and Resource Economics,Yes,ATAR,Year,1.0,BA,AUD,,This course will no longer be offered from 2021.,
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,"Graduates from this degree can expect employment in agricultural advisory fields in the public and private sector, management and consulting in the cropping and animal industries, precision agriculture, agriculture technology, agribusiness, primary production, Landcare, soil conservation and natural resource management. This degree is a relevant degree for those wishing to become secondary school agriculture teachers.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BAGR,Yes,University of New England,A,Yes,Australia,No,Bachelor of Agriculture,Yes,ATAR,Years,3.0,BA,AUD,,"This degree produces graduates with skills in increasing demand in the rural sector. A practically orientated degree, students are provided with the tools necessary to understand the implications of land use and management change on agricultural productivity. Once armed with the basic knowledge to understand agricultural systems, graduates are able to continue on to further study in specific areas of interest. This degree suits students who are more interested in management of agricultural landscapes in contrast to the scientific, agricultural systems focus of other agricultural based degree programs offered at UNE. The major completed will appear on the academic record and testamur.",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,"Graduates from this degree can expect employment in agricultural advisory fields in the public and private sector, management and consulting in the cropping and animal industries, precision agriculture, agriculture technology, agribusiness, primary production, Landcare, soil conservation and natural resource management. This degree is a relevant degree for those wishing to become secondary school agriculture teachers.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BAGBUS,Yes,University of New England,A,Yes,Australia,No,Bachelor of Agriculture/Bachelor of Business,Yes,ATAR,Years,4.0,BA,AUD,,This combined program offers graduates the opportunity to pursue careers in agriculture and business related areas. Students can achieve disciplinary depth as well as the breadth of learning expected in agriculture and business degrees.,
