Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
ADEG,University of Southern Queensland,Online,Associate Degree of Engineering,Engineering,,,AUD,Years,2.0,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,,6.5,Year 12,https://usq.edu.au/study/degrees/associate-degree-of-engineering,English,A,"The Associate Degree of Engineering will give you the freedom of choice to start up your career in the industry or set a stepping stone for further study. Gain industry driven knowledge and skills to apply practical analysis and technical principles to your area of specialisation. When you graduate with your Associate Degree, you’ll be able to apply for provisional accreditation with Engineers Australia. Apply for membership after you graduate to become an Engineering Associate (Officer) and with the experience you will gain from working in the field, you can apply for chartered status as an Engineering Officer. This program is a great stepping stone to our Bachelor of Engineering Science program where you will be credited for your studies already undertaken in the Associate Degree of Engineering (if studying in the same discipline area).",,Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADEG,University of Southern Queensland,Ipswich,Associate Degree of Engineering,Engineering,,,AUD,Years,2.0,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,,6.5,Year 12,https://usq.edu.au/study/degrees/associate-degree-of-engineering,English,A,"The Associate Degree of Engineering will give you the freedom of choice to start up your career in the industry or set a stepping stone for further study. Gain industry driven knowledge and skills to apply practical analysis and technical principles to your area of specialisation. When you graduate with your Associate Degree, you’ll be able to apply for provisional accreditation with Engineers Australia. Apply for membership after you graduate to become an Engineering Associate (Officer) and with the experience you will gain from working in the field, you can apply for chartered status as an Engineering Officer. This program is a great stepping stone to our Bachelor of Engineering Science program where you will be credited for your studies already undertaken in the Associate Degree of Engineering (if studying in the same discipline area).",,Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADEG,University of Southern Queensland,Toowoomba,Associate Degree of Engineering,Engineering,,,AUD,Years,2.0,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,,6.5,Year 12,https://usq.edu.au/study/degrees/associate-degree-of-engineering,English,A,"The Associate Degree of Engineering will give you the freedom of choice to start up your career in the industry or set a stepping stone for further study. Gain industry driven knowledge and skills to apply practical analysis and technical principles to your area of specialisation. When you graduate with your Associate Degree, you’ll be able to apply for provisional accreditation with Engineers Australia. Apply for membership after you graduate to become an Engineering Associate (Officer) and with the experience you will gain from working in the field, you can apply for chartered status as an Engineering Officer. This program is a great stepping stone to our Bachelor of Engineering Science program where you will be credited for your studies already undertaken in the Associate Degree of Engineering (if studying in the same discipline area).",,Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAH,University of Southern Queensland,Online,Bachelor of Engineering (Honours),Engineering,,,AUD,Years,4.0,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,,6.5,Year 12,https://usq.edu.au/study/degrees/bachelor-of-engineering-honours,English,A,"In the Bachelor of Engineering (Honours) at USQ you will develop skills, knowledge and experience to enable you to deliver practical solutions to real world problems. This program will give you the opportunity to apply your knowledge through practical work experience and an exciting final year research project that will give you industry experience. The program offers flexibility to study externally or on campus to enable you to adapt your study to your life, and a wide range of specialities to choose from to study in the area you are interested. On graduation, you will be eligible to apply for membership with Engineers Australia.",,Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAH,University of Southern Queensland,Ipswich,Bachelor of Engineering (Honours),Engineering,,,AUD,Years,4.0,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,,6.5,Year 12,https://usq.edu.au/study/degrees/bachelor-of-engineering-honours,English,A,"In the Bachelor of Engineering (Honours) at USQ you will develop skills, knowledge and experience to enable you to deliver practical solutions to real world problems. This program will give you the opportunity to apply your knowledge through practical work experience and an exciting final year research project that will give you industry experience. The program offers flexibility to study externally or on campus to enable you to adapt your study to your life, and a wide range of specialities to choose from to study in the area you are interested. On graduation, you will be eligible to apply for membership with Engineers Australia.",,Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAH,University of Southern Queensland,Toowoomba,Bachelor of Engineering (Honours),Engineering,,,AUD,Years,4.0,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,,6.5,Year 12,https://usq.edu.au/study/degrees/bachelor-of-engineering-honours,English,A,"In the Bachelor of Engineering (Honours) at USQ you will develop skills, knowledge and experience to enable you to deliver practical solutions to real world problems. This program will give you the opportunity to apply your knowledge through practical work experience and an exciting final year research project that will give you industry experience. The program offers flexibility to study externally or on campus to enable you to adapt your study to your life, and a wide range of specialities to choose from to study in the area you are interested. On graduation, you will be eligible to apply for membership with Engineers Australia.",,Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,University of Southern Queensland,Online,Bachelor of Engineering Science,Engineering,,,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,,6.5,Year 12,https://usq.edu.au/study/degrees/bachelor-of-engineering-science,English,A,"The Bachelor of Engineering Science will provide you with the technical knowledge and skills to practise as a graduate engineering technologist. Gain hands-on experience, work with professional equipment and learn the highly sought after skills you will need in industry.",,Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,University of Southern Queensland,Ipswich,Bachelor of Engineering Science,Engineering,,,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,,6.5,Year 12,https://usq.edu.au/study/degrees/bachelor-of-engineering-science,English,A,"The Bachelor of Engineering Science will provide you with the technical knowledge and skills to practise as a graduate engineering technologist. Gain hands-on experience, work with professional equipment and learn the highly sought after skills you will need in industry.",,Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,University of Southern Queensland,Toowoomba,Bachelor of Engineering Science,Engineering,,,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,,6.5,Year 12,https://usq.edu.au/study/degrees/bachelor-of-engineering-science,English,A,"The Bachelor of Engineering Science will provide you with the technical knowledge and skills to practise as a graduate engineering technologist. Gain hands-on experience, work with professional equipment and learn the highly sought after skills you will need in industry.",,Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,University of Southern Queensland,Online,Bachelor of Science,Sciences,,,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent AQF Level,,6.5,Year 12,https://usq.edu.au/study/degrees/bachelor-of-science,English,A,"Whether you’re curious about the Sciences or want to extend your knowledge and further immerse yourself in the field, the Bachelor of Science will suit you. Undertake a tasting plate of discipline areas and then delve into an area you're passionate about later on in the degree. You will develop your analytic and problem-solving skills along the way leading you to become a work-ready independent thinker.",,Australia,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
