Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
ADEG,University of Southern Queensland,Ipswich,Associate Degree of Engineering,Agriculture and Environment,Not provided, ,AUD,Years,2.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/associate-degree-of-engineering,English,A,This program is a great stepping stone to our Bachelor of Engineering Science program where you will be credited for your studies already undertaken in the Associate Degree of Engineering (if studying in the same discipline area).,No career outcomes provided,Australia,Yes,Yes,Yes,Yes,Yes,
ADEG,University of Southern Queensland,Toowoomba,Associate Degree of Engineering,Agriculture and Environment,Not provided, ,AUD,Years,2.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/associate-degree-of-engineering,English,A,This program is a great stepping stone to our Bachelor of Engineering Science program where you will be credited for your studies already undertaken in the Associate Degree of Engineering (if studying in the same discipline area).,No career outcomes provided,Australia,Yes,Yes,Yes,Yes,Yes,
HONS,University of Southern Queensland,Ipswich,Bachelor of Engineering (Honours),Agriculture and Environment,Not provided, ,AUD,Years,4.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/bachelor-of-engineering-honours,English,A,"On graduation, you will be eligible to apply for membership with Engineers Australia.",No career outcomes provided,Australia,Yes,Yes,Yes,Yes,Yes,
HONS,University of Southern Queensland,Toowoomba,Bachelor of Engineering (Honours),Agriculture and Environment,Not provided, ,AUD,Years,4.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/bachelor-of-engineering-honours,English,A,"On graduation, you will be eligible to apply for membership with Engineers Australia.",No career outcomes provided,Australia,Yes,Yes,Yes,Yes,Yes,
BA,University of Southern Queensland,Ipswich,Bachelor of Engineering Science,Agriculture and Environment,Not provided, ,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/bachelor-of-engineering-science,English,A,"Gain hands-on experience, work with professional equipment and learn the highly sought after skills you will need in industry.",No career outcomes provided,Australia,Yes,Yes,Yes,Yes,Yes,
BA,University of Southern Queensland,Toowoomba,Bachelor of Engineering Science,Agriculture and Environment,Not provided, ,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/bachelor-of-engineering-science,English,A,"Gain hands-on experience, work with professional equipment and learn the highly sought after skills you will need in industry.",No career outcomes provided,Australia,Yes,Yes,Yes,Yes,Yes,
BA,University of Southern Queensland,Toowoomba,Bachelor of Science,Agriculture and Environment,Not provided, ,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/bachelor-of-science,English,A,You will develop your analytic and problem-solving skills along the way leading you to become a work-ready independent thinker.,No career outcomes provided,Australia,Yes,Yes,Yes,Yes,Yes,
BA,University of Southern Queensland,Ipswich,Bachelor of Science,Agriculture and Environment,Not provided, ,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/bachelor-of-science,English,A,You will develop your analytic and problem-solving skills along the way leading you to become a work-ready independent thinker.,No career outcomes provided,Australia,Yes,Yes,Yes,Yes,Yes,
DIP,University of Southern Queensland,Toowoomba,Diploma of Science,Agriculture and Environment,Not provided, ,AUD,Years,1.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/diploma-of-science,English,D,The Diploma of Science is perfect if you would like to start your science studies with a bite-sized portion. It is a qualification in its own right but can also be a pathway to a Bachelor of Science degree and beyond.,No career outcomes provided,Australia,Yes,Yes,Yes,Yes,Yes,
GCERT,University of Southern Queensland,Toowoomba,Graduate Certificate of Engineering Science,Agriculture and Environment,Not provided, ,AUD,Years,6.0,Months,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/graduate-certificate-of-engineering-science,English,A,Gain strong knowledge and technical competence in your chosen engineering specialisation.,No career outcomes provided,Australia,Yes,Yes,Yes,Yes,Yes,
GCERT,University of Southern Queensland,Toowoomba,Graduate Certificate of Science,Agriculture and Environment,Not provided, ,AUD,Years,6.0,Months,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/graduate-certificate-of-science,English,A,Choose four eligible units of study within your chosen area and enjoy the convenience of online study.,No career outcomes provided,Australia,Yes,Yes,Yes,Yes,Yes,
