Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
ADIP,Victorian Institute of Technology,Adelaide,Advanced Diploma of Hospitality Management,,"18,999","18,999",AUD,Years,107,Weeks,No,No,IELTS,Equivalent AQF Level,,Year 12,https://www.vit.edu.au/courses/advanced-diploma-of-hospitality-management/,English,,"The Advanced Diploma of Hospitality Management course provides the skills and knowledge for an individual to become competent as a Manager in any hospitality function area. This individual would have the ability to analyse, design and execute judgement’s using wide-ranging technical, creative, conceptual or managerial competencies. Work would be undertaken in various hospitality settings.",This qualification provides a pathway to work in any sector of the hospitality industry as a senior manager in large organisation or small business owner or manager.Possible job titles include: • area manager or operations manager • cafe owner or manager • executive chef • executive sous chef • food and beverage manager • head chef,Australia,No,Yes,No,Yes,No,
ADIP,Victorian Institute of Technology,Abottsford,Advanced Diploma of Hospitality Management,,"18,999","18,999",AUD,Years,107,Weeks,No,No,IELTS,Equivalent AQF Level,,Year 12,https://www.vit.edu.au/courses/advanced-diploma-of-hospitality-management/,English,,"The Advanced Diploma of Hospitality Management course provides the skills and knowledge for an individual to become competent as a Manager in any hospitality function area. This individual would have the ability to analyse, design and execute judgement’s using wide-ranging technical, creative, conceptual or managerial competencies. Work would be undertaken in various hospitality settings.",This qualification provides a pathway to work in any sector of the hospitality industry as a senior manager in large organisation or small business owner or manager.Possible job titles include: • area manager or operations manager • cafe owner or manager • executive chef • executive sous chef • food and beverage manager • head chef,Australia,No,Yes,No,Yes,No,
ADIP,Victorian Institute of Technology,Melbourne,Advanced Diploma of Hospitality Management,,"18,999","18,999",AUD,Years,107,Weeks,No,No,IELTS,Equivalent AQF Level,,Year 12,https://www.vit.edu.au/courses/advanced-diploma-of-hospitality-management/,English,,"The Advanced Diploma of Hospitality Management course provides the skills and knowledge for an individual to become competent as a Manager in any hospitality function area. This individual would have the ability to analyse, design and execute judgement’s using wide-ranging technical, creative, conceptual or managerial competencies. Work would be undertaken in various hospitality settings.",This qualification provides a pathway to work in any sector of the hospitality industry as a senior manager in large organisation or small business owner or manager.Possible job titles include: • area manager or operations manager • cafe owner or manager • executive chef • executive sous chef • food and beverage manager • head chef,Australia,No,Yes,No,Yes,No,
CERTIII,Victorian Institute of Technology,Melbourne,Certificate III in Carpentry,,"24,000","24,000",AUD,Years,104,Weeks,No,No,IELTS,Equivalent AQF Level,,Year 11,https://www.vit.edu.au/courses/certificate-iii-in-carpentry/,English,,"The Certificate III in Carpentry qualification provides a trade outcome in carpentry, covering work in residential and commercial applications. Occupational titles may include: • Carpenter • Carpenter and joiner The qualification has core unit of competency requirements that cover common skills for the construction industry, as well as a specialist field",",Course Structure ,,,,Unit Code,Unit Name,Core/ Elective,,,CPCCCA2002B,Use carpentry tools and equipment,Core,,,CPCCCA2011A,Handle carpentry materials,Core,,,CPCCCA3001A,Carry out general demolition of minor building structures,Core,,,CPCCCA3002A,Carry out setting out,Core,,,CPCCCA3003A,Install flooring systems,Core,,,CPCCCA3004A,Construct wall frames,Core,,,CPCCCA3005B,Construct ceiling frames,Core,,,CPCCCA3006B,Erect roof trusses,Core,,,CPCCCA3007C,Construct pitched roofs,Core,,,CPCCCA3008B,Construct eaves,Core,,,CPCCCA3023A,Carry out levelling operations,Core,,,CPCCCM1012A,Work effectively and sustainably in the construction industry,Core,,,CPCCCM1013A,Plan and organise work,Core,,,CPCCCM1014A,Conduct workplace communication,Core,,,CPCCCM1015A,Carry out measurements and calculations,Core,,,CPCCCM2001A,Read and interpret plans and specifications,Core,,,CPCCCM2002A,Carry out excavation,Core,,,CPCCCM2007B,Use explosive power tools,Core,,,CPCCCM2008B,Erect and dismantle restricted height scaffolding,Core,,,CPCCCM2010B,Work safely at heights,Core,,,CPCCCO2013A,Carry out concreting to simple forms,Core,,,CPCCOHS2001A,Apply OHS requirements, policies and procedures in the construction industry,Core,,,CPCCCA3012A,Frame and fit wet area fixtures,Elective,,,CPCCCA3010A,Install and replace windows and doors,Elective,,,CPCCCA3019A,Erect and dismantle formwork to suspended slabs, columns, beams and walls,Elective,,,CPCCCA3014A,Construct bulkheads,Elective,,,CPCCCA3015A,Assemble partitions,Elective,,,CPCCCA3020A,Erect and dismantle jump form formwork,Elective,,,CPCCSF2004A,Place and fix reinforcement materials,Elective,,,CPCCWHS1001,Prepare to work safely in the construction industry,Elective,,,, ,",Australia,No,Yes,No,Yes,No,
CERTIII,Victorian Institute of Technology,Adelaide,Certificate III in Commercial Cookery,,"12,999","12,999",AUD,Years,64,Weeks,No,No,IELTS,Equivalent AQF Level,,Year 11,https://www.vit.edu.au/courses/certificate-iii-in-commercial-cookery/,English,,"The Certificate III in Commercial Cookery qualification reflects the role of commercial cooks who use a wide range of well-developed cookery skills and provides sound information on kitchen operations including how to arrange food and menu items. Certificate III in Commercial Cookery provides a pathway to work as a commercial cook in organizations such as hotels, restaurants, cafés, coffee shops, clubs and pubs. If you are passionate about cooking and are looking for a career that is in demand everywhere (especially in Australia!), VIT’s Commercial Cookery course is for you.","This qualification provides the skills and knowledge for an individual to be competent as a qualified cook. Work would be undertaken in various hospitality enterprises where food is prepared and served, including restaurants, hotels, clubs, pubs, cafes, cafeterias and coffee shops. Individuals may have some responsibility for others and provide technical advice and support to a team.",Australia,No,Yes,No,Yes,No,
CERTIII,Victorian Institute of Technology,Abottsford,Certificate III in Commercial Cookery,,"12,999","12,999",AUD,Years,64,Weeks,No,No,IELTS,Equivalent AQF Level,,Year 11,https://www.vit.edu.au/courses/certificate-iii-in-commercial-cookery/,English,,"The Certificate III in Commercial Cookery qualification reflects the role of commercial cooks who use a wide range of well-developed cookery skills and provides sound information on kitchen operations including how to arrange food and menu items. Certificate III in Commercial Cookery provides a pathway to work as a commercial cook in organizations such as hotels, restaurants, cafés, coffee shops, clubs and pubs. If you are passionate about cooking and are looking for a career that is in demand everywhere (especially in Australia!), VIT’s Commercial Cookery course is for you.","This qualification provides the skills and knowledge for an individual to be competent as a qualified cook. Work would be undertaken in various hospitality enterprises where food is prepared and served, including restaurants, hotels, clubs, pubs, cafes, cafeterias and coffee shops. Individuals may have some responsibility for others and provide technical advice and support to a team.",Australia,No,Yes,No,Yes,No,
CERTIII,Victorian Institute of Technology,Melbourne,Certificate III in Commercial Cookery,,"12,999","12,999",AUD,Years,64,Weeks,No,No,IELTS,Equivalent AQF Level,,Year 11,https://www.vit.edu.au/courses/certificate-iii-in-commercial-cookery/,English,,"The Certificate III in Commercial Cookery qualification reflects the role of commercial cooks who use a wide range of well-developed cookery skills and provides sound information on kitchen operations including how to arrange food and menu items. Certificate III in Commercial Cookery provides a pathway to work as a commercial cook in organizations such as hotels, restaurants, cafés, coffee shops, clubs and pubs. If you are passionate about cooking and are looking for a career that is in demand everywhere (especially in Australia!), VIT’s Commercial Cookery course is for you.","This qualification provides the skills and knowledge for an individual to be competent as a qualified cook. Work would be undertaken in various hospitality enterprises where food is prepared and served, including restaurants, hotels, clubs, pubs, cafes, cafeterias and coffee shops. Individuals may have some responsibility for others and provide technical advice and support to a team.",Australia,No,Yes,No,Yes,No,
CERTIII,Victorian Institute of Technology,Adelaide,Certificate III in Patisserie,,"13,999","13,999",AUD,Years,52,Weeks,No,No,IELTS,Equivalent AQF Level,,Year 11,https://www.vit.edu.au/courses/certificate-iii-in-patisserie/,English,,"When you finish the Certificate III in Patisserie course, you will gain the knowledge and abilities to work quickly and adequately in a commercial kitchen and have the capability to plan, prepare and bake mouth-watering cakes, tarts, petit fours, baked goods and chocolates This Patisserie course provides a pathway to work in different organizations where patisserie items are prepared and served, including patisseries, restaurants, and hotels, catering operations, clubs, pubs, cafés and coffee shops. The Certificate III in Patisserie course prepares students to become qualified pastry cooks. An emphasis is placed on providing hands-on, practical training whilst students are learning to make cakes, gateaux, pastries, yeast goods and petit fours.","This qualification provides a pathway to work in various hospitality enterprises where patisserie products are prepared and served, including patisseries, restaurants, hotels, catering operations, clubs, pubs, cafes and coffee shops.,Possible job titles include:,• Pastry Chef,• Patissier",Australia,No,Yes,No,Yes,No,
CERTIII,Victorian Institute of Technology,Abottsford,Certificate III in Patisserie,,"13,999","13,999",AUD,Years,52,Weeks,No,No,IELTS,Equivalent AQF Level,,Year 11,https://www.vit.edu.au/courses/certificate-iii-in-patisserie/,English,,"When you finish the Certificate III in Patisserie course, you will gain the knowledge and abilities to work quickly and adequately in a commercial kitchen and have the capability to plan, prepare and bake mouth-watering cakes, tarts, petit fours, baked goods and chocolates This Patisserie course provides a pathway to work in different organizations where patisserie items are prepared and served, including patisseries, restaurants, and hotels, catering operations, clubs, pubs, cafés and coffee shops. The Certificate III in Patisserie course prepares students to become qualified pastry cooks. An emphasis is placed on providing hands-on, practical training whilst students are learning to make cakes, gateaux, pastries, yeast goods and petit fours.","This qualification provides a pathway to work in various hospitality enterprises where patisserie products are prepared and served, including patisseries, restaurants, hotels, catering operations, clubs, pubs, cafes and coffee shops.,Possible job titles include:,• Pastry Chef,• Patissier",Australia,No,Yes,No,Yes,No,
CERTIII,Victorian Institute of Technology,Melbourne,Certificate III in Patisserie,,"13,999","13,999",AUD,Years,52,Weeks,No,No,IELTS,Equivalent AQF Level,,Year 11,https://www.vit.edu.au/courses/certificate-iii-in-patisserie/,English,,"When you finish the Certificate III in Patisserie course, you will gain the knowledge and abilities to work quickly and adequately in a commercial kitchen and have the capability to plan, prepare and bake mouth-watering cakes, tarts, petit fours, baked goods and chocolates This Patisserie course provides a pathway to work in different organizations where patisserie items are prepared and served, including patisseries, restaurants, and hotels, catering operations, clubs, pubs, cafés and coffee shops. The Certificate III in Patisserie course prepares students to become qualified pastry cooks. An emphasis is placed on providing hands-on, practical training whilst students are learning to make cakes, gateaux, pastries, yeast goods and petit fours.","This qualification provides a pathway to work in various hospitality enterprises where patisserie products are prepared and served, including patisseries, restaurants, hotels, catering operations, clubs, pubs, cafes and coffee shops.,Possible job titles include:,• Pastry Chef,• Patissier",Australia,No,Yes,No,Yes,No,
